Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number,Vat Registration Num
,,03/09/2015,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9046000041,"86,382.32",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st April to 31st July 2015,DE55 4QJ,,,PUBLIC,,
,,03/09/2015,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9046000042,"742,075.86",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st April to 31st July 2015,DE55 4QJ,,,PUBLIC,,
,,03/09/2015,Outsourcing Contract,DG: SFNHS,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,E0040124,"53,109.00",3 year national clinical programme across 10 categories - March 15 to October 15 - (up to 8 month review gateway).,HA7 4LP,,,PUBLIC,,
,,04/09/2015,Other Admin expenditure,DG: Central Technical,SALFORD ROYAL NHS FOUNDATION TRUST,1000138427,"33,995.58",,M6 8HD,,,PUBLIC,,
,,04/09/2015,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9046000046,"222,811.72",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st April to 31st July 2015,DE55 4QJ,,,PUBLIC,,
,,04/09/2015,DH Support to Mergers,DG: Central Technical,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0076393,"133,333.00",Advisory Costs,GU16 5UJ,,,PUBLIC,,
,,04/09/2015,DH Support to Mergers,DG: Central Technical,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0076393,"1,520,000.00",Implementation of Heatherwood Operational Efficiency - Frimley,GU16 5UJ,,,PUBLIC,,
,,04/09/2015,DH Support to Mergers,DG: Central Technical,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0076393,"164,167.00",PMO Costs,GU16 5UJ,,,PUBLIC,,
,,07/09/2015,Additions NHS FTs Capital Investment Loans,DG: Central Technical,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,HAFS-18722,"2,500,000.00",,RG24 9NA,,,PUBLIC,,
,,07/09/2015,Additions NHS FTs Capital Investment Loans,DG: Central Technical,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,HAFS-18723,"1,339,000.00",,RG24 9NA,,,PUBLIC,,
,,07/09/2015,Additions NHS FTs Working Capital Loans,DG: Central Technical,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,HAFS-18724,"42,045,000.00",,SW10 9NH,,,PUBLIC,,
,,07/09/2015,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,BEDFORD HOSPITAL NHS TRUST,HAFS-18725,"70,000.00",,MK42 9DJ,,,PUBLIC,,
,,08/09/2015,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9046000044,"569,703.34",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st April to 31st July 2015,DE55 4QJ,,,PUBLIC,,
,,08/09/2015,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9046000045,"38,782.76",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st April to 31st July 2015,DE55 4QJ,,,PUBLIC,,
,,08/09/2015,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-543610-109661,"45,941.20",HTA Commissioned Research,NW1 2BX,,,PUBLIC,,
,,08/09/2015,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-543612-109663,"29,249.00",Research for Patient Benefit,NG7 2UK,,,PUBLIC,,
,,08/09/2015,Research & development,DG: RDD,NHS South Norfolk Clinical Commissioning Group 06Y,ERS-543615-109668,"34,209.00",Research for Patient Benefit,NR7 0WG,,,PUBLIC,,GB654460631
,,08/09/2015,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-543616-109662,"48,571.00",HTA Commissioned Research,NE7 7DN,,,PUBLIC,,GB654968777
,,09/09/2015,Outsourcing Contract,DG: IGT,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12671458,"69,600.00",DOLS - retrospective 2014/15 Retro Payments.,LS1 6AE,,,PUBLIC,,
,,10/09/2015,Policy Payments,DG: PHD,NHS ENGLAND CBA033,7000015026,"107,582.40",Funding for the provision of Regional Prevent Co-Ordinators - 2014/15 FY,LS2 7UE,,,PUBLIC,,GB654442045
,,11/09/2015,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),20318,"105,292.73",NHS Pensions BSA 2015 - 16,NE1 6SN,,,PUBLIC,,
,,11/09/2015,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),20320,"77,108.56",NHS Pensions BSA 2015 - 16,NE1 6SN,,,PUBLIC,,
,,14/09/2015,Other programme expenditure,DG: PHD,PUBLIC HEALTH ENGLAND PHE033,6164492,"75,000.00",Development and further expansion of the National Cogenital Anomaly and Rare Disease Registration Service,SW1W 9SZ,,,PUBLIC,,
,,14/09/2015,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9046000047,"438,836.30",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st April to 31st July 2015,DE55 4QJ,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-543767-109847,"43,688.00",Research Capability Funding (STANDARD),L12 2AP,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-543767-109847,"36,364.00",CRFs - CRII,L12 2AP,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,ERS-543768-109901,"94,542.00",Research Capability Funding (STANDARD),BA1 3QE,,,PUBLIC,,GB654912228
,,14/09/2015,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-543769-109971,"2,552,320.00",Comprehensive Networks,E1 8PR,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-543769-109971,"23,125.00",Comprehensive Networks,E1 8PR,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-543769-109971,"103,420.00",Research Capability Funding (STANDARD),E1 8PR,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-543769-109971,"166,656.00",CLAHRCs,E1 8PR,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-543769-109971,"50,298.00",Health Technology Co-operatives,E1 8PR,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-543769-109971,"109,290.00",Biomedical Units,E1 8PR,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,ERS-543770-109966,"28,636.00",Research Capability Funding (STANDARD),RG7 4BQ,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,ERS-543771-109924,"37,505.00",Research Capability Funding (STANDARD),B15 2PZ,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST RYW,ERS-543772-109968,"26,503.00",Research Capability Funding (STANDARD),B13 8JL,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-543775-109844,"62,250.00",Health Technology Co-operatives,WF3 1WE,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-543775-109844,"19,222.00",NIHR Fellowships,WF3 1WE,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-543775-109844,"68,453.00",Research Capability Funding (STANDARD),WF3 1WE,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-543775-109844,"12,194.00",NIHR Fellowships,WF3 1WE,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-543776-109918,"42,408.00",Research Capability Funding (STANDARD),BN2 3EW,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-543776-109918,"54,545.00",CRFs - CRII,BN2 3EW,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-543781-109859,"2,046,144.00",Bio-Medical Centres,CB2 2QQ,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-543781-109859,"83,333.00",Biomedical Units,CB2 2QQ,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-543781-109859,"509,921.00",Research Capability Funding (STANDARD),CB2 2QQ,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-543781-109859,"14,588.00",NIHR Fellowships,CB2 2QQ,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-543781-109859,"60,811.00",Health Technology Co-operatives,CB2 2QQ,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-543781-109859,"197,255.00",CRFs - CRII,CB2 2QQ,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,ERS-543783-109890,"176,666.00",CLAHRCs,CB1 5EE,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,ERS-543783-109890,"55,564.00",Research Capability Funding (STANDARD),CB1 5EE,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,ERS-543784-109964,"56,657.00",Research Capability Funding (STANDARD),NW1 0PE,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-543787-109904,"1,413,916.00",Comprehensive Networks,M13 0JR,,,PUBLIC,,GB654415538
,,14/09/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-543787-109904,"25,321.00",Comprehensive Networks,M13 0JR,,,PUBLIC,,GB654415538
,,14/09/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-543787-109904,"19,027.00",NIHR Fellowships,M13 0JR,,,PUBLIC,,GB654415538
,,14/09/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-543787-109904,"100,000.00",CRFs - CRII,M13 0JR,,,PUBLIC,,GB654415538
,,14/09/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-543787-109904,"95,500.00",Biomedical Units,M13 0JR,,,PUBLIC,,GB654415538
,,14/09/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-543787-109904,"111,584.00",Research Capability Funding (STANDARD),M13 0JR,,,PUBLIC,,GB654415538
,,14/09/2015,Research & development,DG: RDD,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ERS-543788-109885,"166,666.00",CLAHRCs,SW10 9NH,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ERS-543788-109885,"30,830.00",Research Capability Funding (STANDARD),SW10 9NH,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,DERBY HOSPITALS NHS FOUNDATION TRUST,ERS-543791-109896,"26,245.00",Research Capability Funding (STANDARD),DE1 2QS,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,EAST & NORTH HERTFORDSHIRE NHS TRUST,ERS-543794-109909,"40,606.00",Research Capability Funding (STANDARD),BS1 2NP,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-543801-109880,"605,160.00",Bio-Medical Centres,WC1N 3JH,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-543801-109880,"50,170.00",Clinician Scientist Awards,WC1N 3JH,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-543801-109880,"155,318.00",Research Capability Funding (STANDARD),WC1N 3JH,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,ERS-543802-109925,"15,096.00",NIHR Fellowships,M25 3BL,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,ERS-543802-109925,"92,164.00",Research Capability Funding (STANDARD),M25 3BL,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-543803-109866,"1,010,049.00",Bio-Medical Centres,SE1 9RT,,,PUBLIC,,GB654923417
,,14/09/2015,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-543803-109866,"102,604.00",CRFs - CRII,SE1 9RT,,,PUBLIC,,GB654923417
,,14/09/2015,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-543803-109866,"62,455.00",Health Technology Co-operatives,SE1 9RT,,,PUBLIC,,GB654923417
,,14/09/2015,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-543803-109866,"19,695.00",Network Research Capability Funding,SE1 9RT,,,PUBLIC,,GB654923417
,,14/09/2015,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-543803-109866,"1,873,458.00",Network Research Capability Funding,SE1 9RT,,,PUBLIC,,GB654923417
,,14/09/2015,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-543803-109866,"274,517.00",Research Capability Funding (STANDARD),SE1 9RT,,,PUBLIC,,GB654923417
,,14/09/2015,Research & development,DG: RDD,HEART OF ENGLAND NHS FOUNDATION TRUST,ERS-543804-109886,"26,917.00",Research Capability Funding (STANDARD),B9 5TA,,,PUBLIC,,GB654912816
,,14/09/2015,Research & development,DG: RDD,HEART OF ENGLAND NHS FOUNDATION TRUST,ERS-543804-109886,"12,526.00",NIHR Fellowships,B9 5TA,,,PUBLIC,,GB654912816
,,14/09/2015,Research & development,DG: RDD,HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,ERS-543805-109911,"25,321.00",Research Capability Funding (STANDARD),AL3 5TL,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-543808-109928,"197,927.00",CRFs - CRII,W12 0HS,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-543808-109928,"1,892,364.00",Bio-Medical Centres,W12 0HS,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-543808-109928,"121,480.00",Quality and Safety Research Centres,W12 0HS,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-543808-109928,"62,111.00",NIHR Diagnostic Evidence Cooperatives,W12 0HS,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-543808-109928,"20,344.00",Network Research Capability Funding,W12 0HS,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-543808-109928,"1,046,042.00",Network Research Capability Funding,W12 0HS,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-543808-109928,"475,630.00",Research Capability Funding (STANDARD),W12 0HS,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-543814-109869,"169,999.00",CLAHRCs,SE5 9RS,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-543814-109869,"52,965.00",Research Capability Funding (STANDARD),SE5 9RS,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-543820-109887,"105,049.00",Research Capability Funding (STANDARD),LS9 7TF,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-543820-109887,"69,251.00",NIHR Diagnostic Evidence Cooperatives,LS9 7TF,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-543820-109887,"48,982.00",Health Technology Co-operatives,LS9 7TF,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-543820-109887,"11,037.00",CRFs - CRII,LS9 7TF,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-543820-109887,"112,276.00",Biomedical Units,LS9 7TF,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-543827-109963,"47,073.00",Research Capability Funding (STANDARD),M21 9UN,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-543832-109881,"150,972.00",Research Capability Funding (STANDARD),EC1V 2PD,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-543832-109881,"102,050.00",CRFs - CRII,EC1V 2PD,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-543832-109881,"472,600.00",Bio-Medical Centres,EC1V 2PD,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,NHS BLOOD AND TRANSPLANT (NHSBT),ERS-543834-109962,"100,632.00",Research Capability Funding (STANDARD),LS15 7TW,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,NHS BRISTOL CCG 11H,ERS-543836-109976,"93,413.00",Research Capability Funding (STANDARD),BS1 3NX,,,PUBLIC,,GB654444431
,,14/09/2015,Research & development,DG: RDD,NHS Cambridgeshire and Peterborough CCG 06H,ERS-543837-109975,"50,668.00",Research Capability Funding (STANDARD),CB2 8FH,,,PUBLIC,,GB654454525
,,14/09/2015,Research & development,DG: RDD,NHS LEICESTER CITY CCG 04C,ERS-543838-109977,"36,392.00",Research Capability Funding (STANDARD),LE1 6NB,,,PUBLIC,,GB654463426
,,14/09/2015,Research & development,DG: RDD,NHS LIVERPOOL CCG,ERS-543839-109983,"37,608.00",Research Capability Funding (STANDARD),L1 4AZ,,,PUBLIC,,GB654457614
,,14/09/2015,Research & development,DG: RDD,NHS OXFORDSHIRE CCG 10Q,ERS-543845-109974,"66,190.00",Research Capability Funding (STANDARD),OX4 2LH,,,PUBLIC,,GB654462331
,,14/09/2015,Research & development,DG: RDD,NHS VALE OF YORK CCG 03Q,ERS-543850-109981,"47,808.00",Research Capability Funding (STANDARD),YO1 6GA,,,PUBLIC,,GB654454623
,,14/09/2015,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-543851-109874,"45,589.00",Research Capability Funding (STANDARD),NR4 7UY,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-543851-109874,"1,702,730.00",Comprehensive Networks,NR4 7UY,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-543851-109874,"17,944.00",Comprehensive Networks,NR4 7UY,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,NORTH BRISTOL NHS TRUST,ERS-543854-109900,"22,905.00",NIHR Fellowships,BS1 2NP,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,NORTH BRISTOL NHS TRUST,ERS-543854-109900,"73,944.00",Research Capability Funding (STANDARD),BS1 2NP,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,NORTH EAST LONDON NHS FOUNDATION TRUST,ERS-543855-109846,"25,441.00",Research Capability Funding (STANDARD),CM8 2TL,,,PUBLIC,,
,,14/09/2015,Research & development,DG: RDD,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ERS-543858-109895,"25,001.00",Research Capability Funding (STANDARD),NE12 8EW,,,PUBLIC,,
