Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,,
HMRC,HMRC,02/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100069759,"£15,054.39",KCOM setup charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,02/12/2015,Non-IMS IT for CSR,Civil Service Resourcing,VALTECH LIMITED,5100069833,"£83,160.00",Consultancy Fees for October 2015 surrounding the functionality of recruitment processes to be used in the 2016 Fast Track and Apprenticeship schemes.,EC1A 4JQ,,,,,,
HMRC,HMRC,02/12/2015,Non-IMS IT for CSR,Civil Service Resourcing,VALTECH LIMITED,5100069840,"£34,080.00",Consultancy Fees for September 2015 surrounding the functionality of recruitment processes to be used in the 2016 Fast Track and Apprenticeship schemes.,EC1A 4JQ,,,,,,
HMRC,HMRC,03/12/2015,Training Costs,HR,CAPITA BUSINESS SERVICES LTD,1700010549,"-£73,909.67",Credit for incorrect invoice re May costs for external training consultants  ,DL1 9HN,,,,,,
HMRC,HMRC,03/12/2015,Training Costs,HR,CAPITA BUSINESS SERVICES LTD,1700010550,"-£43,500.26",Credit for incorrect invoice re June costs for external training consultants  ,DL1 9HN,,,,,,
HMRC,HMRC,03/12/2015,Training Costs,HR,CAPITA BUSINESS SERVICES LTD,1700022199,"-£73,909.67",Credit for incorrect invoice re May costs for external training consultants,DL1 9HN,,,,,,
HMRC,HMRC,03/12/2015,Training Costs,HR,CAPITA BUSINESS SERVICES LTD,1700022199,"-£45,545.75",Credit for incorrect invoice re July costs for external training consultants  ,DL1 9HN,,,,,,
HMRC,HMRC,03/12/2015,Training Costs,HR,CAPITA BUSINESS SERVICES LTD,1700022199,"-£43,500.26",Credit for incorrect invoice re June costs for external training consultants  ,DL1 9HN,,,,,,
HMRC,HMRC,03/12/2015,Nat Pst Del Ser(VAT),PT Director,ROYAL MAIL,5100070162,£382.28,These are postal charges following the Ex-com decision to move all HMRC Output Management costs into PT Director . ,PE4 5BR,,,,,,
HMRC,HMRC,03/12/2015,Nat Pst Del Ser(VAT),PT Director,ROYAL MAIL,5100070162,"£53,862.48",These are postal charges following the Ex-com decision to move all HMRC Output Management costs into PT Director . ,PE4 5BR,,,,,,
HMRC,HMRC,03/12/2015,Nat Pst Del Ser(VAT),PT Director,ROYAL MAIL,5100070162,"£356,010.79",These are postal charges following the Ex-com decision to move all HMRC Output Management costs into PT Director . ,PE4 5BR,,,,,,
HMRC,HMRC,03/12/2015,Non-IMS IT for CSR,Civil Service Resourcing,WORLD CAREERS NETWORK PLC,5100070194,"£56,016.00",Monthly E Recruitment Service Charge for Full Solution and Advert Only Fees for November 2015.,SW19 8DR,,,,,,
HMRC,HMRC,03/12/2015,Fst Strm Traing Cost,Civil Service Resourcing,CAPITA BUSINESS SERVICES LTD,5100070203,"£38,886.53",Costs for a Second Fast Track Induction Event ,DL1 9HN,,,,,,
HMRC,HMRC,03/12/2015,Gov Bank Serv Charge,Corporate Finance,CITIBANK NA,5100070204,"£33,216.70",Monthly charges for payments into HMRC of direct taxes,E14 5LB,,,,,,
HMRC,HMRC,03/12/2015,Fst Strm Traing Cost,Civil Service Resourcing,CAPITA BUSINESS SERVICES LTD,5100070205,"£89,789.56",Costs for a Second Fast Track Induction Event ,DL1 9HN,,,,,,
HMRC,HMRC,03/12/2015,GovDept Serv(VAT Ex),Risk & Intelligence,FOREIGN AND COMMONWEALTH OFFICE,5100070230,"£520,000.00",Costs for officers stationed abroad,MK10 1PX,,,,,,
HMRC,HMRC,03/12/2015,GovDept Serv(VAT Ex),Risk & Intelligence,FOREIGN AND COMMONWEALTH OFFICE,5100070239,"£84,793.05",Costs for officers stationed abroad,MK10 1PX,,,,,,
HMRC,HMRC,03/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100070242,£638.40,Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,03/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100070242,"£2,864.40",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,03/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100070242,"£30,960.10",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,03/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100070243,"£6,667.94",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,03/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100070243,"£124,977.00",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,03/12/2015,OGD costs,Estates & Support Services,DWP,5100070258,"£36,789.34",Charges for occupation under MOTO arrangement. ,CF14 3UW,,,,,,
HMRC,HMRC,03/12/2015,OGD costs,Estates & Support Services,DWP,5100070259,"£111,400.24",Charges for occupation under MOTO arrangement. ,CF14 3UW,,,,,,
HMRC,HMRC,03/12/2015,Landlord Charges,Estates & Support Services,MUNROE K,5100070260,"£4,461.71",Standard Landlord Service Charge payable to the Landlord,WC2E 9DH,,,,,,
HMRC,HMRC,03/12/2015,Rent,Estates & Support Services,MUNROE K,5100070260,"£21,894.00",Monthly rent payment payable to the Landlord,WC2E 9DH,,,,,,
HMRC,HMRC,03/12/2015,Landlord Charges,Estates & Support Services,MUNROE K,5100070260,"£22,743.79",Standard Landlord Service Charge payable to the Landlord,WC2E 9DH,,,,,,
HMRC,HMRC,03/12/2015,Rent,Estates & Support Services,MUNROE K,5100070260,"£111,606.00",Monthly rent payment payable to the Landlord,WC2E 9DH,,,,,,
HMRC,HMRC,03/12/2015,Non-IMS IT for CSR,Civil Service Resourcing,SPECIALIST COMPUTER CTR,5100070265,"£116,369.45",Specialist Computer Centre (SCC) is the main IT contractor for the Civil Service Fast Stream intake. Invoice covers consultancy fees surroudiing Cubiks E-tray for 2016.,B11 2LE,,,,,,
HMRC,HMRC,03/12/2015,OGD costs,Estates & Support Services,DWP,5100070334,"£478,854.60",Charges for occupation under MOTO arrangement. ,CF14 3UW,,,,,,
HMRC,HMRC,04/12/2015,STEPS FUP,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,1700022200,"-£51,911.69",Monthly charge for fully serviced accommodation across the UK under the Mapeley STEPS Private Finance Initiative contract,WD17 1HN,,,,,,
HMRC,HMRC,04/12/2015,STEPS FUP VAT recvbl,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,1700023087,"-£84,161.06",Credit rec'd from HMRC's PFI service provider.,WD17 1HN,,,,,,
HMRC,HMRC,04/12/2015,STEPS FUP VAT recvbl,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,1700023087,"-£1,559.06",Credit rec'd from HMRC's PFI service provider.,WD17 1HN,,,,,,
HMRC,HMRC,04/12/2015,Training Costs,HMRC,CAPITA BUSINESS SERVICES LTD,1900346436,"£44,252.02",Employee Training,DL1 9HN,,,,,,x
HMRC,HMRC,04/12/2015,Software coding,Information Management Services,MOZAIC-SERVICES LIMITED,5100070376,"£63,036.49",Charges for IT Specialists,W1B 5TR,,,,,,
HMRC,HMRC,04/12/2015,Landlord Charges,Estates & Support Services,GVA (PMA321),5100070508,"£24,558.00",Quarterly landlord service charges,B1 2JJ,,,,,,
HMRC,HMRC,04/12/2015,Rent,Estates & Support Services,GVA (PMA321),5100070508,"£50,400.00",Quarterly rent payment,B1 2JJ,,,,,,
HMRC,HMRC,04/12/2015,Rent,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100070516,"£308,582.03",Monthly rent payment payable to the Landlord,WD17 1HN,,,,,,
HMRC,HMRC,04/12/2015,Rent,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100070517,"£61,941.88",Monthly rent payment payable to the Landlord,WD17 1HN,,,,,,
HMRC,HMRC,04/12/2015,Landlord Charges,Estates & Support Services,LEGAT OWEN,5100070518,£296.46,Standard Landlord Service Charge payable to the Landlord,CH1 1RQ,,,,,,
HMRC,HMRC,04/12/2015,Rent,Estates & Support Services,LEGAT OWEN,5100070518,£530.89,Monthly rent payment payable to the Landlord,CH1 1RQ,,,,,,
HMRC,HMRC,04/12/2015,Landlord Charges,Estates & Support Services,LEGAT OWEN,5100070518,"£32,643.70",Standard Landlord Service Charge payable to the Landlord,CH1 1RQ,,,,,,
HMRC,HMRC,04/12/2015,Rent,Estates & Support Services,LEGAT OWEN,5100070518,"£58,456.61",Monthly rent payment payable to the Landlord,CH1 1RQ,,,,,,
HMRC,HMRC,04/12/2015,Rent,Estates & Support Services,CLSH MANAGEMENT LTD,5100070519,"£2,128.33",Monthly rent payment payable to the Landlord,SW8 1SF,,,,,,
HMRC,HMRC,04/12/2015,Rent,Estates & Support Services,CLSH MANAGEMENT LTD,5100070519,"£234,353.57",Monthly rent payment payable to the Landlord,SW8 1SF,,,,,,
HMRC,HMRC,04/12/2015,Rent,Estates & Support Services,JONES LANG LASALLE LTD,5100070520,"£4,228.06",Monthly rent payment payable to the Landlord,BS8 9AQ,,,,,,
HMRC,HMRC,04/12/2015,Rent,Estates & Support Services,JONES LANG LASALLE LTD,5100070520,"£187,956.44",Monthly rent payment payable to the Landlord,BS8 9AQ,,,,,,
HMRC,HMRC,04/12/2015,Rent,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100070522,"£9,801.00",Monthly rent payment payable to the Landlord,WD17 1HN,,,,,,
HMRC,HMRC,04/12/2015,Landlord Charges,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100070522,"£10,167.53",Standard Landlord Service Charge payable to the Landlord,WD17 1HN,,,,,,
HMRC,HMRC,04/12/2015,Rent,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100070522,"£79,299.00",Monthly rent payment payable to the Landlord,WD17 1HN,,,,,,
HMRC,HMRC,04/12/2015,Landlord Charges,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100070522,"£82,264.56",Standard Landlord Service Charge payable to the Landlord,WD17 1HN,,,,,,
HMRC,HMRC,04/12/2015,Rent,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100070524,"£8,118.00",Monthly rent payment payable to the Landlord,WD17 1HN,,,,,,
HMRC,HMRC,04/12/2015,Landlord Charges,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100070524,"£8,125.36",Standard Landlord Service Charge payable to the Landlord,WD17 1HN,,,,,,
HMRC,HMRC,04/12/2015,Rent,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100070524,"£65,682.00",Monthly rent payment payable to the Landlord,WD17 1HN,,,,,,
HMRC,HMRC,04/12/2015,Landlord Charges,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100070524,"£65,741.48",Standard Landlord Service Charge payable to the Landlord,WD17 1HN,,,,,,
HMRC,HMRC,04/12/2015,Rent,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100070525,"£147,788.77",Monthly rent payment payable to the Landlord,WD17 1HN,,,,,,
HMRC,HMRC,04/12/2015,IT consultancy,Information Management Services,EQUAL EXPERTS UK LTD,5100070534,"£45,240.00",Invoice for Equal Experts Transaction monitoring December 2015 scrum team resource,WC1H 9BB,,,,,,
HMRC,HMRC,04/12/2015,IT consultancy,Digital,ORANGE BUS LTD,5100070547,"£8,400.00",Digital Delivery Centre Newcastle October Invoice - Scrum 1,NE136DS,,,,,,
HMRC,HMRC,04/12/2015,IT consultancy,Digital,ORANGE BUS LTD,5100070547,"£8,880.00",Digital Delivery Centre Newcastle October Invoice - Scrum 2,NE136DS,,,,,,
HMRC,HMRC,04/12/2015,IT consultancy,Digital,ORANGE BUS LTD,5100070547,"£9,120.00",Digital Delivery Centre Newcastle October Invoice - Scrum 1,NE136DS,,,,,,
HMRC,HMRC,04/12/2015,IT consultancy,Digital,ORANGE BUS LTD,5100070547,"£9,600.00",Digital Delivery Centre Newcastle October Invoice - Scrum 1,NE136DS,,,,,,
HMRC,HMRC,04/12/2015,IT consultancy,Digital,ORANGE BUS LTD,5100070547,"£10,080.00",Digital Delivery Centre Newcastle October Invoice - Scrum 11,NE136DS,,,,,,
HMRC,HMRC,04/12/2015,IT consultancy,Digital,ORANGE BUS LTD,5100070547,"£10,260.00",Digital Delivery Centre Newcastle October Invoice - Scrum 3 Employment Related Securities Project,NE136DS,,,,,,
HMRC,HMRC,04/12/2015,IT consultancy,Digital,ORANGE BUS LTD,5100070551,"£9,120.00",Digital Delivery Centre Newcastle October Invoice - Scrum 20,NE136DS,,,,,,
HMRC,HMRC,04/12/2015,IT consultancy,Digital,ORANGE BUS LTD,5100070551,"£9,120.00",Digital Delivery Centre Newcastle October Invoice - Scrum 20,NE136DS,,,,,,
HMRC,HMRC,04/12/2015,IT consultancy,Digital,ORANGE BUS LTD,5100070551,"£9,600.00",Digital Delivery Centre Newcastle October Invoice - Scrum 20,NE136DS,,,,,,
HMRC,HMRC,04/12/2015,IT consultancy,Digital,ORANGE BUS LTD,5100070551,"£10,080.00",Digital Delivery Centre Newcastle October Invoice - Scrum 20,NE136DS,,,,,,
HMRC,HMRC,04/12/2015,IT consultancy,Digital,ORANGE BUS LTD,5100070551,"£10,080.00",Digital Delivery Centre Newcastle October Invoice - Scrum 20,NE136DS,,,,,,
HMRC,HMRC,04/12/2015,IT consultancy,Digital,ORANGE BUS LTD,5100070551,"£11,340.00",Digital Delivery Centre Newcastle October Invoice - Scrum 1,NE136DS,,,,,,
HMRC,HMRC,07/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100071402,£583.86,Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,07/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100071402,"£30,967.86",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,07/12/2015,Software coding,Information Management Services,EQUAL EXPERTS UK LTD,5100071443,"£30,450.00",October invoice for work completed on Webchat on Exploitation Project,WC1H 9BB,,,,,,
HMRC,HMRC,07/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100071518,"£36,271.97",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,07/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100071520,£470.40,Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,07/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100071520,£795.60,Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,07/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100071520,"£27,734.40",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,07/12/2015,Nat Pst Del Ser(VAT),PT Director,ROYAL MAIL WHOLESALE,5100071532,£488.74,These are postal charges following the Ex-com decision to move all HMRC Output Management costs into PT Director . ,EC4Y 0HQ,,,,,,
HMRC,HMRC,07/12/2015,Nat Pst Del Ser(VAT),PT Director,ROYAL MAIL WHOLESALE,5100071532,"£5,201,646.54",These are postal charges following the Ex-com decision to move all HMRC Output Management costs into PT Director . ,EC4Y 0HQ,,,,,,
HMRC,HMRC,08/12/2015,Training Costs,HMRC,CAPITA BUSINESS SERVICES LTD,1900346606,"£137,163.89",Employee Training,DL1 9HN,,,,,,x
HMRC,HMRC,08/12/2015,Legal Service Sol's,Solicitors Office,THE SCOTLAND OFFICE,5100071531,"£74,823.00",Costs incurred by OSAG (Office for the Solicitor to the Advocate General) for HMRC cases.,EH3 7HW,,,,,,
HMRC,HMRC,08/12/2015,Hardware maintenance,Information Management Services,FUJITSU SERVICES LTD,5100071538,"£584,707.46",Fujitsu Invoice charges for the Customs Handling Inward Export Freight systems,W1U 3BW,,,,,,
HMRC,HMRC,08/12/2015,Samplng & Analytical,Specialist Investigations (SI),LGC LTD,5100071550,"£151,556.51",Sampling & Analytical Services,TW11 0LY,,,,,,
HMRC,HMRC,08/12/2015,Gov Bank Serv Charge,Corporate Finance,HSBC BANK PLC,5100071552,"£63,936.00",Cash management reporting solution (FTR) provided by HSBC,E14 5HQ,,,,,,
HMRC,HMRC,08/12/2015,Hardware maintenance,Information Management Services,FUJITSU SERVICES LTD,5100071591,"£39,134.30",Fujitsu Invoice charges for Tech Refresh for the Customs Handling Inward Export Freight systems,W1U 3BW,,,,,,
HMRC,HMRC,08/12/2015,Min AW non-struc VAT,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071669,"£158,595.00",Essential works at Chailey House Bedford,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,IT Config Services,Information Management Services,EDM GROUP LTD,5100071686,"£134,316.61",EDM Invoice in relation to Scanning and Storage space,EC4N 1SP,,,,,,
HMRC,HMRC,08/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100071687,£279.48,Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,08/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100071687,"£29,625.13",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,08/12/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071693,"£140,333.24",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071693,"£736,749.47",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,£115.46,Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,£149.14,Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,£159.44,Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,£205.19,Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,£402.18,Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,£606.17,Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,£782.96,Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,£837.03,Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,"£1,049.16",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,"£1,077.24",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,"£2,111.44",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,"£2,251.51",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,"£4,803.65",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,"£5,427.13",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,"£5,508.11",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,"£7,828.44",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,"£11,820.43",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,"£12,161.62",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,"£25,219.17",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,"£28,492.45",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,"£32,664.72",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,"£41,099.30",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,"£48,361.83",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,"£60,142.93",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,"£63,848.51",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,"£171,489.78",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,"£253,899.59",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100071698,"£315,750.41",Utility payment,WD17 1HN,,,,,,
HMRC,HMRC,08/12/2015,Disposal Seized Gds,Specialist Investigations (SI),ENVA NORTHERN IRELAND LTD,5100071728,"£49,001.04",Disposal of Seized Goods,BT24 8LS,,,,,,
HMRC,HMRC,08/12/2015,Next Day Del. Closed,HR & Corporate Change Centre ,TNT UK LTD,5100071736,£169.76,Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Closed,BT Corporate Centre,TNT UK LTD,5100071736,£254.64,Courier Services,BL10 9AR,,,,,,x
HMRC,HMRC,08/12/2015,Next Day Del. Open,Change Portfolio,TNT UK LTD,5100071736,£424.40,Courier Services,BL10 9AR,,,,,,x
