Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code,
Departmen of Health,NHS Business Services Authority,12/10/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080063230,"39,827.68",AC  0912819049  PPC,S49 1HQ,
Departmen of Health,NHS Business Services Authority,12/10/2015,Storage Costs,Prescription Pricing Division,RESTORE PLC,0080063563,"20,862.16",STOREAGE PALLET SEPT 15 ARCHIVEDELICOL,RH1 5DY,
Departmen of Health,NHS Business Services Authority,12/10/2015,Temporary Staff,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080063603,"30,804.77",Temporary Staff,DL1 9HN,
Departmen of Health,NHS Business Services Authority,12/10/2015,Temporary Staff,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080063604,"26,754.00",Temporary Staff,DL1 9HN,
Departmen of Health,NHS Business Services Authority,13/10/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080063499,"33,059.20",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH,
Departmen of Health,NHS Business Services Authority,13/10/2015,Professional Fees,Corporate Services,INTEGRATED HEALTH PROJECTS,0080063643,"486,341.40",MW 4.27 PMI 023 BSA Asbestos Strategy,HP2 7TR,
Departmen of Health,NHS Business Services Authority,13/10/2015,General Maintenance,NHS Protect,INTEGRATED HEALTH PROJECTS,0080063643,"7,597.42",MW 5.06 PMI 001 Skipton House Data,HP2 7TR,
Departmen of Health,NHS Business Services Authority,15/10/2015,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080063664,"43,328.57",MITI FIXED/VAR  APR - JULY 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,15/10/2015,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080063665,"378,392.60",MITI VAR AUG 15 SERC CREDITS JUL 15 MVS,DL1 9HN,
Departmen of Health,NHS Business Services Authority,15/10/2015,Mobile Phones,NHS Protect,CAPITA BUSINESS SERVICES LTD,0080063665,"-2,200.69",MITI VAR AUG 15 SERC CREDITS JUL 15 MVS,DL1 9HN,
Departmen of Health,NHS Business Services Authority,15/10/2015,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080063666,"341,851.63",MITI FIXED CHARGES AUG 15,DL1 9HN,
Department of Health,NHS Business Services Authority,15/10/2015,Statutory Payments,Corporate Services,HMRC,,"1,212,187.17",NI & TAX,,
Department of Health,NHS Business Services Authority,15/10/2015,Statutory Payments,Corporate Services,NHS Pension Scheme,,"912,087.90",PENSIONS,,
Departmen of Health,NHS Business Services Authority,16/10/2015,Training,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080063667,"220,150.45",DCSS FIXEDVAR CHGS PASSTHO AUG 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,16/10/2015,Rent,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080063667,"9,007.92",DCSS FIXEDVAR CHGS PASSTHO AUG 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,16/10/2015,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080063669,"346,881.47",PCN CONT CENTRE CROSS CHARGE & POST,DL1 9HN,
Departmen of Health,NHS Business Services Authority,16/10/2015,Postage Charges,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080063669,"-4,567.28",PCN CONT CENTRE CROSS CHARGE & POST,DL1 9HN,
Departmen of Health,NHS Business Services Authority,16/10/2015,Sundry Income,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080063669,"-20,000.00",PCN CONT CENTRE CROSS CHARGE & POST,DL1 9HN,
Departmen of Health,NHS Business Services Authority,16/10/2015,Professional Fees,Prescription Pricing Division,APHARI LTD,0080063716,"75,644.15",Call Off Agreement - Contract 15_08_19,SW1Y 6DF,
Departmen of Health,NHS Business Services Authority,16/10/2015,Astron Contract,Corporate Services,GARTNER U.K. LIMITED,0080063724,"52,092.60",Gartner Consulting,TW20 9AW,
Departmen of Health,NHS Business Services Authority,20/10/2015,Envision Retained Services,Pensions Division,PAYMASTER (1836) LTD,0050031356,"879,960.75",CONTRACT CHARGES OCT 15,RH10 1UH,
Departmen of Health,NHS Business Services Authority,22/10/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080063797,"26,567.91",A/C 0912819049 PPC,S49 1HQ,
Departmen of Health,NHS Business Services Authority,23/10/2015,Internal Audit Fees,Corporate Services,DEPARTMENT OF HEALTH,0080064159,"28,591.24",5.70 days 15-16 Information Governance,LS2 7UE,
Departmen of Health,NHS Business Services Authority,27/10/2015,Rent,Supply Chain Management Division,THE COAL AUTHORITY,0080063996,"27,000.00",Rent 01 Oct  31 Dec 15,NG18 4RG,
Departmen of Health,NHS Business Services Authority,29/10/2015,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0080064357,"59,205.28",OCT15 CONTRIBUTIONS,RG24 9NW,
Departmen of Health,NHS Business Services Authority,30/10/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080063497,"62,044.40",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH,
Department of Health,NHS Business Services Authority,30/10/2015,Pharmacy Contractors,Prescription Pricing ,,,"732,428,875.81",Payments to Pharmacy Contractors,,
Department of Health,NHS Business Services Authority,30/10/2015,Pharmacy Contractors,Prescription Pricing ,,,"105,228,924.33",Payments to Pharmacy Contractors,,
