Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,19/02/2014,Envision Retained Services,Pensions Division,PAYMASTER (1836) LTD,0050028238,"857,144.58",RETAINED SERVICES,RH10 1UH
Departmen of Health,NHS Business Services Authority,19/02/2014,IT,Pensions Division,DEPARTMENT OF HEALTH,0080043337,"85,889.00","CCN 789 46,281   CCN 874 39608  ESR",LS2 7UE
Departmen of Health,NHS Business Services Authority,19/02/2014,Professional Fees,Corporate Services,DEPARTMENT OF HEALTH,0080043842,"59,742.68",RECHARGE,LS2 7UE
Departmen of Health,NHS Business Services Authority,21/02/2014,Consumables,Prescription Pricing Division,IBML,0050028314,"32,156.81",O/N 10488,35210
Departmen of Health,NHS Business Services Authority,21/02/2014,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080043350,"37,866.27",LIS postage,S49 1HQ
Departmen of Health,NHS Business Services Authority,21/02/2014,LAN Maintenance,Prescription Pricing Division,MICRO FOCUS LTD,0080043929,"26,933.20",Renewal of maintenance and support for:,RG14 1QN
Departmen of Health,NHS Business Services Authority,24/02/2014,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0080043523,"54,485.37",HWHC forms & awareness,RG12 1FE
Departmen of Health,NHS Business Services Authority,24/02/2014,Professional Fees,Pensions Division,SAPIENT LIMITED,0080044046,"22,445.00",Change Request - Project BSA Delivery,E1 6DX
Departmen of Health,NHS Business Services Authority,26/02/2014,Furniture & Equiptment Capital,Corporate Services,INTEGRATED HEALTH PROJECTS,0080043509,"151,728.06",MP02 Hesketh House Cladding Cert 23,HP2 7TR
Departmen of Health,NHS Business Services Authority,26/02/2014,Dilapidations,Corporate Services,CHANTRYCO INVESTMENTS LTD,0080043951,"132,950.00",DILAPIDATIONS SETTLEMENT 3 & 4TH FLOOR,HG1 1TS
Departmen of Health,NHS Business Services Authority,27/02/2014,External Audit Fees,Corporate Services,NATIONAL AUDIT OFFICE,0080044115,"40,000.00",Audit Services,SW1W 9SP
Departmen of Health,NHS Business Services Authority,27/02/2014,Temporary Staff,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080044254,"2,551.82",Call Off Form - CON/0238 - Tactical Hub,DL1 9HN
Departmen of Health,NHS Business Services Authority,27/02/2014,Professional Fees,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080044254,"2,826.41",Call Off Form - CON/0207 - Information,DL1 9HN
Departmen of Health,NHS Business Services Authority,27/02/2014,Professional Fees,NHS Protect,CAPITA BUSINESS SERVICES LTD,0080044254,"1,003.67",Implementation of Global Scan NX,DL1 9HN
Departmen of Health,NHS Business Services Authority,27/02/2014,Temporary Staff,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080044254,"50,040.55",Onsite Senior Engineer (provide early,DL1 9HN
Departmen of Health,NHS Business Services Authority,28/02/2014,Licences Capital,Prescription Pricing Division,BAL GLOBAL FINANCE (UK) LTD,0050028297,"945,568.80",PO 8736  LICENCEE FEE,E14 5AQ
Departmen of Health,NHS Business Services Authority,28/02/2014,Travel,Corporate Services,REDFERN TRAVEL,0050028299,"105,908.26",JAN2014 DISBURSEMENTS,BD1 3AZ
Departmen of Health,NHS Business Services Authority,28/02/2014,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0080044197,"71,585.28",DEDUCTIONS FEB14,RG24 9NW
Departmen of Health,NHS Business Services Authority,28/02/2014,Equipment Repairs & Maintenance,Corporate Services,HFX LIMITED,0080044289,"27,326.47",HFX Limited,SG4 8TR
Departmen of Health,NHS Business Services Authority,28/02/2014,Pharmacy Contractors,Prescription Pricing ,,,"753,011,098.39",Payments to Pharmacy Contractors,
