Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code,
Departmen of Health,NHS Business Services Authority,22/12/2015,Sundry Income,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080065796,"-20,000.00",PCN NOVEMBER 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,22/12/2015,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080065831,"349,896.14",MITI FIXED CHARGES NOV 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,22/12/2015,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080065832,"352,224.14",MITI FIXED DEC 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,22/12/2015,Professional Fees,Corporate Services,INTEGRATED HEALTH PROJECTS,0080065847,"486,015.97",MW 4.27 PMI 023 BSA Asbestos Strategy,HP2 7TR,
Departmen of Health,NHS Business Services Authority,22/12/2015,General Maintenance,NHS Protect,INTEGRATED HEALTH PROJECTS,0080065847,518.62,MW 4.09 PMI 053 BSA FRA Inspections S1,HP2 7TR,
Departmen of Health,NHS Business Services Authority,24/12/2015,Temporary Staff,Prescription Pricing Division,BROOK STREET (UK) LTD,0080065834,"26,269.37",Staff,AL1 4ZX,
Departmen of Health,NHS Business Services Authority,24/12/2015,Printing Charges (External),Prescription Pricing Division,WILLIAMS LEA LTD,0080065917,"63,211.99",Drug Tariff Annual Printing Costs,EC1M 4NA,
Departmen of Health,NHS Business Services Authority,24/12/2015,Temporary Staff,Pensions Division,PRICEWATERHOUSE COOPERS LLP,0080065921,"45,116.40","Order for PwC, FAO Pete Sparshott",E14 9SQ,
Departmen of Health,NHS Business Services Authority,24/12/2015,General Maintenance,Pensions Division,PAYMASTER (1836) LTD,0080065929,"29,022.37",EQUINITI PAYMASTER,RH10 1UH,
Departmen of Health,NHS Business Services Authority,30/12/2015,Telphone Charges,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050031631,"321,062.99",MITI VARIABLE NOV 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,30/12/2015,Mobile Phones,NHS Protect,CAPITA BUSINESS SERVICES LTD,0050031631,"-8,923.57",MITI VARIABLE NOV 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,30/12/2015,Telphone Charges,Project Pacific,CAPITA BUSINESS SERVICES LTD,0050031631,188.54,MITI VARIABLE NOV 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,31/12/2015,Temporary Staff,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080065830,"27,851.54",DENTAL PILOTS JUL & NOV 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,31/12/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080065872,"34,358.77",AC 0912819049  Tax Credit,S49 1HQ,
Departmen of Health,NHS Business Services Authority,31/12/2015,Envision Payroll,Pensions Division,PAYMASTER (1836) LTD,0080065928,"38,657.12",CONTRACT ADJUSTMENT NOV2015,RH10 1UH,
Department of Health,NHS Business Services Authority,31/12/2015,Pharmacy Contractors,Prescription Pricing ,,,"713,928,064.46",Payments to Pharmacy Contractors,,
Department of Health,NHS Business Services Authority,31/12/2015,Pharmacy Contractors,Prescription Pricing ,,,"105,239,581.11",Payments to Pharmacy Contractors,,
Department of Health,NHS Business Services Authority,04/01/2016,Dental Contractors,Dental Services ,,,"178,093,275.00",Payments to Dental Contractors,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
