Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code,
Departmen of Health,NHS Business Services Authority,04/09/2015,Training,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080062589,"248,200.83",TRAINING,DL1 9HN,
Departmen of Health,NHS Business Services Authority,04/09/2015,Rent,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080062589,"8,860.70",EASTBOURNE ACCOMMODATION,DL1 9HN,
Departmen of Health,NHS Business Services Authority,04/09/2015,Temporary Staff,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080062594,"103,620.49",June Payment,DL1 9HN,
Departmen of Health,NHS Business Services Authority,07/09/2015,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050031169,"25,965.00",N166187,NE99 2PT,
Departmen of Health,NHS Business Services Authority,07/09/2015,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050031170,"37,468.00",N011495,NE99 2PT,
Departmen of Health,NHS Business Services Authority,08/09/2015,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0080062688,"58,486.77",DEDUCTIONS AUG 15,RG24 9NW,
Departmen of Health,NHS Business Services Authority,08/09/2015,Professional Fees,Prescription Pricing Division,APHARI LTD,0080062698,"47,036.05",Framework Agreement: Schedule 1 -,SW1Y 6DF,
Departmen of Health,NHS Business Services Authority,08/09/2015,Professional Fees,Prescription Pricing Division,APHARI LTD,0080062699,"57,003.80",Framework Agreement: Schedule 1 -,SW1Y 6DF,
Department of Health,NHS Business Services Authority,08/09/2015,Pharmacy Contractors,Prescription Pricing ,,,"241,805.81",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,09/09/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080062726,"63,659.20",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH,
Departmen of Health,NHS Business Services Authority,09/09/2015,Envision IT / IS,Pensions Division,PAYMASTER (1836) LTD,0080062727,"51,328.80",As above,RH10 1UH,
Departmen of Health,NHS Business Services Authority,11/09/2015,Temporary Staff,Unclassified,REDFERN TRAVEL,0050031177,"58,974.58",TRAVEL AUG 15,BD1 3AZ,
Departmen of Health,NHS Business Services Authority,11/09/2015,NHSBSA Property Costs,Pensions Division,EUROPEAN PENSIONS MANAGEMENT LTD,0080062745,"160,000.00",RENT HESKETH HOUSE 240615280915,SP3 5WY,
Departmen of Health,NHS Business Services Authority,15/09/2015,Building Works,Corporate Services,DEPARTMENT OF HEALTH,0080058970,"38,968.32",DOH Tech support and Project management,LS2 7UE,
Department of Health,NHS Business Services Authority,15/09/2015,Statutory Payments,Corporate Services,HMRC,,"1,209,013.03",NI & TAX,,
Department of Health,NHS Business Services Authority,15/09/2015,Statutory Payments,Corporate Services,NHS Pension Scheme,,"911,072.22",PENSIONS,,
Departmen of Health,NHS Business Services Authority,16/09/2015,PPA Membership Subscriptions,Business Solutions,GARTNER U.K. LIMITED,0080062980,"89,520.00",Order Form to RM 1557vi G-Cloud Service,TW20 9AW,
Departmen of Health,NHS Business Services Authority,18/09/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080062671,"38,849.46",AC 0912819049  EHIC UK,S49 1HQ,
Departmen of Health,NHS Business Services Authority,18/09/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080062675,"56,953.35",A/C 0912819049 - EHIC EU,S49 1HQ,
Departmen of Health,NHS Business Services Authority,18/09/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080062682,"41,910.76",A/C 0912819049 TAX CREDIT,S49 1HQ,
Departmen of Health,NHS Business Services Authority,18/09/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080062738,"33,771.68",AC 0912819049,S49 1HQ,
Departmen of Health,NHS Business Services Authority,18/09/2015,Temporary Staff,Prescription Pricing Division,PAYMASTER (1836) LTD,0080062883,"41,592.28",IT Support Services - Provision of,RH10 1UH,
Departmen of Health,NHS Business Services Authority,18/09/2015,Professional Fees,Corporate Services,INTEGRATED HEALTH PROJECTS,0080063044,"448,518.84",MW 4.27 PMI 023 BSA Asbestos Strategy,HP2 7TR,
Departmen of Health,NHS Business Services Authority,22/09/2015,Printing Charges (External),Prescription Pricing Division,WILLIAMS LEA LTD,0080062806,"44,009.71",Drug Tariff Annual Printing Costs,EC1M 4NA,
Departmen of Health,NHS Business Services Authority,22/09/2015,Service Charges General,Corporate Services,EMERSON MANAGEMENT SERVICES,0080062847,"136,977.00",SC 29 Sep  24 Mar 16,SK9 7LF,
Departmen of Health,NHS Business Services Authority,22/09/2015,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080063025,"253,530.40",MITI VAR/ SERV CREDITS  JUN-JUL,DL1 9HN,
Departmen of Health,NHS Business Services Authority,22/09/2015,Mobile Phones,NHS Protect,CAPITA BUSINESS SERVICES LTD,0080063025,"-2,200.69",MITI VAR/ SERV CREDITS  JUN-JUL,DL1 9HN,
Departmen of Health,NHS Business Services Authority,24/09/2015,Envision Retained Services,Pensions Division,PAYMASTER (1836) LTD,0050031261,"879,960.75",CONTRACT CHARGES SEPT 15,RH10 1UH,
Departmen of Health,NHS Business Services Authority,25/09/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080063113,"29,004.99",A/C 0912819049 PPC,S49 1HQ,
Departmen of Health,NHS Business Services Authority,25/09/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080063116,"31,549.53",A/C 0912819049 EHIC UK,S49 1HQ,
Departmen of Health,NHS Business Services Authority,29/09/2015,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0080063136,"60,641.38",DEDUCTIONS SEPT 15,RG24 9NW,
Department of Health,NHS Business Services Authority,30/09/2015,Pharmacy Contractors,Prescription Pricing ,,,"8,030,918.60",Payments to Pharmacy Contractors,,
