Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code,
Departmen of Health,NHS Business Services Authority,09/03/2016,Envision IT / IS,Pensions Division,PAYMASTER (1836) LTD,0080067735,"63,997.00",Equiniti Paymaster 2015 Scheme Hutton,RH10 1UH,
Departmen of Health,NHS Business Services Authority,09/03/2016,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080068002,"33,356.80",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH,
Departmen of Health,NHS Business Services Authority,09/03/2016,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080068004,"63,965.60",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH,
Departmen of Health,NHS Business Services Authority,11/03/2016,Coaching,Corporate Services,QA LIMITED,0080067416,"39,000.00",Agile training to be delivered by QA,LS12 6BD,
Departmen of Health,NHS Business Services Authority,11/03/2016,Rent,Corporate Services,EMERSON MANAGEMENT SERVICES,0080068035,"136,233.00",QTRLY RENT 25 Mar to 23 Jun 16,SK9 7LF,
Departmen of Health,NHS Business Services Authority,11/03/2016,Rent,Corporate Services,EUROPEAN PENSIONS MANAGEMENT LTD,0080068065,"160,000.00",25.12.15 / 24.03.16 HESKETH HOUSE,SP3 5WY,
Departmen of Health,NHS Business Services Authority,11/03/2016,Temporary Staff,Dental Services Division,PA CONSULTING GROUP,0080068169,"116,280.00",Specialist consultancy resource to,SG8 6DP,
Departmen of Health,NHS Business Services Authority,15/03/2016,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0080067758,"25,784.58",EHIC CALL OFF 29/01/16-16/02/16,SS6 7UQ,
Departmen of Health,NHS Business Services Authority,15/03/2016,Temporary Staff,Prescription Pricing Division,NORTH HIGHLAND UK LTD,0080067762,"77,737.20",MATERNITY EXEMPTION DIGITAL SERV,SL6 1NJ,
Departmen of Health,NHS Business Services Authority,15/03/2016,Temporary Staff,Pensions Division,DEPARTMENT OF HEALTH,0080067960,"41,238.00",CCN005 TRS SOLUTION  GATEWAY TO VERIFY,LS2 7UE,
Departmen of Health,NHS Business Services Authority,15/03/2016,Rates Charges,Corporate Services,BOLTON COUNCIL,0080068101,"177,677.50",RATES RIDGEWAY HOUSE 1617,BL1 1RX,
Departmen of Health,NHS Business Services Authority,15/03/2016,Printing Charges (External),Pensions Division,XEROX UK LIMITED,0080068184,"48,603.50","Leaflet printing - £28,424.00 Printing",LS12 6NJ,
Departmen of Health,NHS Business Services Authority,15/03/2016,Temporary Staff,Prescription Pricing Division,PAYMASTER (1836) LTD,0080068188,"20,946.00",EQUINITI PAYMASTER,RH10 1UH,
Departmen of Health,NHS Business Services Authority,15/03/2016,Internal Audit Fees,Corporate Services,DEPARTMENT OF HEALTH,0080068280,"30,428.57",Expenses,LS2 7UE,
Department of Health,NHS Business Services Authority,15/03/2016,Pharmacy Contractors,Prescription Pricing ,,,"7,475.37",Payments to Pharmacy Contractors,,
Department of Health,NHS Business Services Authority,15/03/2016,Statutory Payments,Corporate Services,HMRC,,"2,743,698.13",NI & TAX,,
Department of Health,NHS Business Services Authority,15/03/2016,Statutory Payments,Corporate Services,NHS Pension Scheme,,"1,828,064.87",PENSIONS,,
Departmen of Health,NHS Business Services Authority,17/03/2016,Professional Fees,Corporate Services,GOVERNMENT ACTUARY'S DEPARTMENT,0080068328,"44,629.46",PERIOD ENDING 31JAN2016,EC4A 1AB,
Departmen of Health,NHS Business Services Authority,17/03/2016,Astron Contract,Corporate Services,GARTNER U.K. LIMITED,0080068470,"64,433.04",NHSBSA requires specialist support and,TW20 9AW,
Departmen of Health,NHS Business Services Authority,17/03/2016,Building Works,Corporate Services,FLEXIFORM,0080068472,"35,616.00",Furniture Clearance and relocation -,BD3 7AE,
Departmen of Health,NHS Business Services Authority,18/03/2016,Internal Audit Fees,Corporate Services,DEPARTMENT OF HEALTH,0080068490,"38,854.78",3 days 15-16 Follow Up,LS2 7UE,
Departmen of Health,NHS Business Services Authority,18/03/2016,Professional Fees,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080068501,"32,677.27",Actuate Servers Additional Support,DL1 9HN,
Departmen of Health,NHS Business Services Authority,18/03/2016,Furniture Purchase,Supply Chain Management Division,CAPITA BUSINESS SERVICES LTD,0080068506,"48,004.26",Resource/Item: 5m Cat6 Ethernet cable,DL1 9HN,
Departmen of Health,NHS Business Services Authority,18/03/2016,Temporary Staff,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080068508,"28,423.45","Data cables,GREY 2m",DL1 9HN,
Departmen of Health,NHS Business Services Authority,22/03/2016,Equipment Repairs & Maintenance,Corporate Services,MICAD SYSTEMS UK LTD,0080066930,"47,475.85",Leases & Terrier Module P2843,WA14 5UA,
Departmen of Health,NHS Business Services Authority,22/03/2016,Minor Works,Corporate Services,INTEGRATED HEALTH PROJECTS,0080068510,"116,029.25",IHP CERT 53 TASK 5.19,HP2 7TR,
Departmen of Health,NHS Business Services Authority,22/03/2016,General Maintenance,NHS Protect,INTEGRATED HEALTH PROJECTS,0080068510,106.70,MW 5.06 PMI 001 Skipton House Data,HP2 7TR,
Departmen of Health,NHS Business Services Authority,22/03/2016,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080068527,"337,665.17",MITI FIXED JAN2016 SERVICE DESK,DL1 9HN,
Departmen of Health,NHS Business Services Authority,22/03/2016,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080068528,"337,665.17",MITI FIXED CHRGS FEB2016 SERVICE DESK,DL1 9HN,
Departmen of Health,NHS Business Services Authority,22/03/2016,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080068529,"337,665.17",MITI FIXED CHRGS MARCH 2016 SERVICE DESK,DL1 9HN,
Departmen of Health,NHS Business Services Authority,22/03/2016,Telphone Charges,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080068530,"330,965.75",MVS CALLS DEC15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,22/03/2016,Mobile Phones,NHS Protect,CAPITA BUSINESS SERVICES LTD,0080068530,"-2,200.69",NHSP TELEPHONY CREDITS NOV15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,22/03/2016,Telphone Charges,Project Pacific,CAPITA BUSINESS SERVICES LTD,0080068530,194.63,MVS CALLS DEC15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,22/03/2016,IT Hardware Purchase Capital,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080068581,"1,286,823.32",CON/0382,DL1 9HN,
Departmen of Health,NHS Business Services Authority,22/03/2016,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080068602,"428,735.50",PCN JAN 16,DL1 9HN,
Departmen of Health,NHS Business Services Authority,22/03/2016,Postage Charges,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080068602,"-3,514.99",PCN JAN 16,DL1 9HN,
Departmen of Health,NHS Business Services Authority,22/03/2016,Sundry Income,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080068602,"-20,000.00",PCN JAN 16,DL1 9HN,
Departmen of Health,NHS Business Services Authority,22/03/2016,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080068603,"441,098.92",PCN FEB 16,DL1 9HN,
Departmen of Health,NHS Business Services Authority,22/03/2016,Postage Charges,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080068603,"-7,201.44",PCN FEB 16,DL1 9HN,
Departmen of Health,NHS Business Services Authority,22/03/2016,Sundry Income,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080068603,"-20,000.00",PCN FEB 16,DL1 9HN,
Departmen of Health,NHS Business Services Authority,23/03/2016,Envision Retained Services,Pensions Division,PAYMASTER (1836) LTD,0050031958,"886,790.32",CHARGES MARCH 16,RH10 1UH,
Departmen of Health,NHS Business Services Authority,29/03/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080068030,"30,484.02",AC 0912819049  EHIC UK,S49 1HQ,
Departmen of Health,NHS Business Services Authority,29/03/2016,Professional Fees,Corporate Services,GOVERNMENT ACTUARY'S DEPARTMENT,0080068387,"28,836.43",PERIOD ENDING 29FEB2016,EC4A 1AB,
Departmen of Health,NHS Business Services Authority,29/03/2016,IT,Corporate Services,REDWEB LTD,0080068582,"170,400.00",Web Hosting and Content Management,BH8 8EJ,
Departmen of Health,NHS Business Services Authority,29/03/2016,Training,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080068604,"242,700.84",DCSS FIXED/ VARIABLE PASS THRO JAN 16,DL1 9HN,
Departmen of Health,NHS Business Services Authority,29/03/2016,Rent,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080068604,"9,007.92",DCSS FIXED/ VARIABLE PASS THRO JAN 16,DL1 9HN,
Departmen of Health,NHS Business Services Authority,29/03/2016,Training,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080068605,"237,013.94",DCSS FIXEDVAR PASS THRO MARCH 16,DL1 9HN,
Departmen of Health,NHS Business Services Authority,29/03/2016,Rent,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080068605,"9,007.92",DCSS FIXEDVAR PASS THRO MARCH 16,DL1 9HN,
Departmen of Health,NHS Business Services Authority,29/03/2016,E-Learning / LMS,Corporate Services,KALLIDUS LIMITED,0080068672,"161,280.00",Re-procurement of LMS licences covering,GL7 1RY,
Departmen of Health,NHS Business Services Authority,29/03/2016,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0080068673,"88,303.56",DEDUCTIONS MARCH 16,RG24 9NW,
Departmen of Health,NHS Business Services Authority,29/03/2016,Temporary Staff,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080068691,"66,443.02",Monthly Cost - January 2016,DL1 9HN,
Departmen of Health,NHS Business Services Authority,29/03/2016,Printing Charges (External),Prescription Pricing Division,XEROX UK LIMITED,0080068698,"45,667.61",NHS PRINT CONTRACT - New supplier Xerox,LS12 6NJ,
Departmen of Health,NHS Business Services Authority,29/03/2016,Professional Fees,Prescription Pricing Division,APHARI LTD,0080068716,"35,105.72",Travel and Subsistence,SW1Y 6DF,
Departmen of Health,NHS Business Services Authority,29/03/2016,Professional Fees,Prescription Pricing Division,APHARI LTD,0080068717,"33,143.42",Travel and Subsistence,SW1Y 6DF,
Departmen of Health,NHS Business Services Authority,30/03/2016,Temporary Staff,Corporate Services,REDFERN TRAVEL,0050031962,"84,235.70",01FEB16 - 01MAR16,BD1 3AZ,
Departmen of Health,NHS Business Services Authority,30/03/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080068225,"35,592.69",AC 0912819049  EHIC EU,S49 1HQ,
Departmen of Health,NHS Business Services Authority,30/03/2016,Query,Corporate Services,FISCAL TECHNOLOGIES LTD,0080068794,"45,092.40",3 Year Licence to use AP Forensics,RG2 0BS,
Departmen of Health,NHS Business Services Authority,31/03/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080067841,"35,187.21",AC 0912819049  PPC,S49 1HQ,
Departmen of Health,NHS Business Services Authority,31/03/2016,Software Licences,Prescription Pricing Division,COMPAREX UK LTD,0080068722,"90,851.70","Year 1, Oracle Licence and Support",HA1 3EL,
Departmen of Health,NHS Business Services Authority,31/03/2016,LAN Maintenance,Prescription Pricing Division,INJIXO LTD,0080068832,"33,730.19",Annual Maintenance for Patient Services,B1 2JB,
Departmen of Health,NHS Business Services Authority,31/03/2016,PC Purchases,Business Solutions,CAPITA BUSINESS SERVICES LTD,0080068834,81.99,Remedy Call Reference: INC000001538775,DL1 9HN,
Departmen of Health,NHS Business Services Authority,31/03/2016,Professional Fees,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080068834,"11,322.31",NHSBSA Requirement:,DL1 9HN,
Departmen of Health,NHS Business Services Authority,31/03/2016,PC Purchases,NHS Protect,CAPITA BUSINESS SERVICES LTD,0080068834,228.06,P/O 16439,DL1 9HN,
Departmen of Health,NHS Business Services Authority,31/03/2016,PC Purchases,Pensions Division,CAPITA BUSINESS SERVICES LTD,0080068834,"3,355.04",P/O 17078,DL1 9HN,
Departmen of Health,NHS Business Services Authority,31/03/2016,Temporary Staff,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080068834,"11,510.41",PO to be raised for work that Capita,DL1 9HN,
Departmen of Health,NHS Business Services Authority,31/03/2016,Professional Fees,Project Pacific,CAPITA BUSINESS SERVICES LTD,0080068834,906.95,NHSBSA Requirement:,DL1 9HN,
Departmen of Health,NHS Business Services Authority,31/03/2016,PC Purchases,Supply Chain Management Division,CAPITA BUSINESS SERVICES LTD,0080068834,50.81,Part Code:  LN-X230X6 - Battery,DL1 9HN,
Departmen of Health,NHS Business Services Authority,31/03/2016,Professional Fees,Supply Chain Management Division,DELOITTE MCS LIMITED,0080068835,"120,518.40",Strategic Review and Transition Support,MK9 1FD,
Department of Health,NHS Business Services Authority,31/03/2016,Pharmacy Contractors,Prescription Pricing ,,,"7,795,113.14",Payments to Pharmacy Contractors,,
