Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,18/08/2015,General Maintenance,NHS Protect,INTEGRATED HEALTH PROJECTS,0080062196,"7,854.89",MW 4.09 PMI 053 BSA FRA Inspections S1,HP2 7TR
Departmen of Health,NHS Business Services Authority,18/08/2015,Building Works,Prescription Pricing Division,INTEGRATED HEALTH PROJECTS,0080062196,"4,941.85",MW 4.38 PMI 051 and 052 HH Social,HP2 7TR
Departmen of Health,NHS Business Services Authority,18/08/2015,Consultants,Project Pacific,INTEGRATED HEALTH PROJECTS,0080062196,170.28,MW 4.42 BH Lvl 7 Small Power and Data,HP2 7TR
Departmen of Health,NHS Business Services Authority,18/08/2015,LAN Maintenance,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080062235,"30,171.87",25 x Boardpad Licences,DL1 9HN
Departmen of Health,NHS Business Services Authority,18/08/2015,Temporary Staff,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080062240,"97,157.50",Training - Capita Operations Staff -,DL1 9HN
Departmen of Health,NHS Business Services Authority,18/08/2015,Temporary Staff,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080062241,"27,711.12",Call Off Authorisation Note - CON/0070,DL1 9HN
Departmen of Health,NHS Business Services Authority,19/08/2015,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080062264,"320,024.97",MITI VARIABLE/SERV CREDITS/NHS PROT VODA,DL1 9HN
Departmen of Health,NHS Business Services Authority,19/08/2015,Mobile Phones,NHS Protect,CAPITA BUSINESS SERVICES LTD,0080062264,"-17,281.20",MITI VARIABLE/SERV CREDITS/NHS PROT VODA,DL1 9HN
Departmen of Health,NHS Business Services Authority,21/08/2015,Professional Fees,Pensions Division,ADDLESHAW GODDARD,0080062375,"37,107.05",Provision of legal advice for NHS,LS1 1HQ
Departmen of Health,NHS Business Services Authority,24/08/2015,Envision Retained Services,Pensions Division,PAYMASTER (1836) LTD,0050031079,"879,960.75",nhs pensions agency contract,RH10 1UH
Departmen of Health,NHS Business Services Authority,25/08/2015,Internal Audit Fees,Corporate Services,DEPARTMENT OF HEALTH,0080061390,"90,529.19",15.97 days 14-15 NHS BSA PCID Security,LS2 7UE
Departmen of Health,NHS Business Services Authority,25/08/2015,Envision Payroll,Pensions Division,PAYMASTER (1836) LTD,0080061706,"35,138.81",JUNE2015 CONT ADJUSTMENT,RH10 1UH
Departmen of Health,NHS Business Services Authority,25/08/2015,Temporary Staff,Pensions Division,PRICEWATERHOUSE COOPERS LLP,0080061980,"31,221.02","Expenses : up to £74,950.",E14 9SQ
Department of Health,NHS Business Services Authority,28/08/2015,Pharmacy Contractors,Prescription Pricing ,,,"7,758,293.42",Payments to Pharmacy Contractors,
