Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code,
Departmen of Health,NHS Business Services Authority,14/01/2016,Internal Audit Fees,Corporate Services,DEPARTMENT OF HEALTH,0080066313,"37,824.81",FAO: Liz Mercer,LS2 7UE,
Departmen of Health,NHS Business Services Authority,14/01/2016,Printing Charges (External),Prescription Pricing Division,XEROX UK LIMITED,0080066444,"24,545.60",ZER VAT PO 15701,LS12 6NJ,
Department of Health,NHS Business Services Authority,15/01/2016,Statutory Payments,Corporate Services,HMRC,,"1,183,840.32",NI & TAX,,
Department of Health,NHS Business Services Authority,15/01/2016,Statutory Payments,Corporate Services,NHS Pension Scheme,,"909,296.41",PENSIONS,,
Departmen of Health,NHS Business Services Authority,18/01/2016,Printing Charges (External),Prescription Pricing Division,XEROX UK LIMITED,0080066550,"26,800.85",ZER VAT PO 15701,LS12 6NJ,
Departmen of Health,NHS Business Services Authority,22/01/2016,Envision Retained Services,Pensions Division,PAYMASTER (1836) LTD,0050031715,"886,790.32",NHS PENSIONS AGENCY PARTNERSHIP CONTRACT,RH10 1UH,
Departmen of Health,NHS Business Services Authority,22/01/2016,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080066215,"23,586.00",2015 Scheme Hutton Fixed price costs for,RH10 1UH,
Departmen of Health,NHS Business Services Authority,22/01/2016,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080066216,"61,299.00",Equiniti Paymaster 2015 Scheme Hutton,RH10 1UH,
Departmen of Health,NHS Business Services Authority,22/01/2016,Temporary Staff,Prescription Pricing Division,NORTH HIGHLAND UK LTD,0080066562,"63,647.69",Maternity Exemption Digitisation &,SL6 1NJ,
Departmen of Health,NHS Business Services Authority,26/01/2016,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0080066770,"57,972.20",DEDUCTIONS JAN 16,RG24 9NW,
Departmen of Health,NHS Business Services Authority,29/01/2016,Professional Fees,Corporate Services,INTEGRATED HEALTH PROJECTS,0080066910,"406,059.31",MW 4.27 PMI 023 BSA Asbestos Strategy,HP2 7TR,
Department of Health,NHS Business Services Authority,29/01/2016,Pharmacy Contractors,Prescription Pricing ,,,"7,747,094.38",Payments to Pharmacy Contractors,,
