Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code,
Departmen of Health,NHS Business Services Authority,13/05/2016,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080069781,"33,356.80",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH,
Departmen of Health,NHS Business Services Authority,13/05/2016,Professional Fees,Pensions Division,ADDLESHAW GODDARD,0080069786,"39,584.40",Provision of legal advice for NHS,LS1 1HQ,
Department of Health,NHS Business Services Authority,16/05/2016,Statutory Payments,Corporate Services,HMRC,,"1,133,136.79",NI & TAX,,
Department of Health,NHS Business Services Authority,16/05/2016,Statutory Payments,Corporate Services,NHS Pension Scheme,,"775,440.93",PENSIONS,,
Departmen of Health,NHS Business Services Authority,17/05/2016,Envision Payroll,Pensions Division,PAYMASTER (1836) LTD,0080069914,"33,467.11",CONT ADJ MARCH 16,RH10 1UH,
Departmen of Health,NHS Business Services Authority,17/05/2016,Security Services Maintenance,Corporate Services,INTEGRATED HEALTH PROJECTS,0080069928,"239,405.15",IHP CERT 55 TASK 5.2,HP2 7TR,
Departmen of Health,NHS Business Services Authority,17/05/2016,General Maintenance,NHS Protect,INTEGRATED HEALTH PROJECTS,0080069928,500.70,MW 5.06 PMI 001 Skipton House Data,HP2 7TR,
Departmen of Health,NHS Business Services Authority,17/05/2016,Envision Retained Services,Pensions Division,PAYMASTER (1836) LTD,0080069962,"23,579.93",IT Support Services - Digitisation of,RH10 1UH,
Departmen of Health,NHS Business Services Authority,17/05/2016,Internal Audit Fees,Corporate Services,DEPARTMENT OF HEALTH,0080069980,"128,193.74",2.63 days 15-16 Property and Facilities,LS2 7UE,
Departmen of Health,NHS Business Services Authority,19/05/2016,Printing Charges (External),Prescription Pricing Division,XEROX UK LIMITED,0080070059,"33,383.20",ZER VAT PO 15701,LS12 6NJ,
Departmen of Health,NHS Business Services Authority,20/05/2016,Temporary Staff,Prescription Pricing Division,INDIGO BLUE CONSULTING LTD,0080070177,"44,640.00",Call-Off Contract awarded to IndigoBlue,SW1 Y6JP,
Departmen of Health,NHS Business Services Authority,20/05/2016,Temporary Staff,Prescription Pricing Division,INDIGO BLUE CONSULTING LTD,0080070178,"34,560.00",Call-Off Contract awarded to IndigoBlue,SW1 Y6JP,
Department of Health,NHS Business Services Authority,20/05/2016,PC Purchases,NHS Protect,MCSA GROUP  T/A  CSA WAVERLEY,0080000032,"44,247.89",HARDWARE -UTM BUNDLE  FORTI CARE,HP10 0AB,
Department of Health,NHS Business Services Authority,20/05/2016,PC Purchases,NHS Protect,MCSA GROUP  T/A  CSA WAVERLEY,0080000033,"26,383.51",CONS SERVICE / PROJECT MANAGE,HP10 0AB,
Departmen of Health,NHS Business Services Authority,23/05/2016,Envision Retained Services,Pensions Division,PAYMASTER (1836) LTD,0050032138,"886,790.32",NHS PENSIONS AGENCY PARTNERSHIP,RH10 1UH,
Departmen of Health,NHS Business Services Authority,26/05/2016,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080069772,"26,658.00",EXCESS PO 17027,RH10 1UH,
Departmen of Health,NHS Business Services Authority,26/05/2016,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080069807,"416,632.25",PCNCC CROSS CHARGE MAR POSTAGE FEB,DL1 9HN,
Departmen of Health,NHS Business Services Authority,26/05/2016,Postage Charges,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080069807,"-3,725.39",PCN/CC CROSS CHARGE MAR POSTAGE FEB,DL1 9HN,
Departmen of Health,NHS Business Services Authority,26/05/2016,Sundry Income,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080069807,"-20,000.00",PCN/CC CROSS CHARGE MAR POSTAGE FEB,DL1 9HN,
Departmen of Health,NHS Business Services Authority,26/05/2016,Envision Other,Pensions Division,PAYMASTER (1836) LTD,0080069963,"27,322.92",This order is for exit services from,RH10 1UH,
Departmen of Health,NHS Business Services Authority,26/05/2016,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0080070164,"21,568.91","Production, Personalization and",SS6 7UQ,
Departmen of Health,NHS Business Services Authority,26/05/2016,Rent,Supply Chain Management Division,THE COAL AUTHORITY,0080070194,"27,000.00",ANNUAL RENT 010416300616,NG18 4RG,
Departmen of Health,NHS Business Services Authority,26/05/2016,Rent,Corporate Services,IBREND ESTATES BV,0080070195,"32,774.54",QTR RENT 240616280916 WAKEFIELD,HG1 1TS,
Departmen of Health,NHS Business Services Authority,26/05/2016,Rent,Corporate Services,IBREND ESTATES BV,0080070197,"32,774.54",RENT 5TH FLOOR 240616280916,HG1 1TS,
Departmen of Health,NHS Business Services Authority,26/05/2016,Envision Other,Pensions Division,PAYMASTER (1836) LTD,0080070266,"20,873.50",Provision of services relating to the,RH10 1UH,
Departmen of Health,NHS Business Services Authority,27/05/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080069572,"337,074.05",AC 0912819049  Tax Credit UK,S49 1HQ,
Departmen of Health,NHS Business Services Authority,27/05/2016,IT,Pensions Division,DEPARTMENT FOR WORKS AND PENSIONS,0080070403,"52,689.80","DWP - TUO Deliver  Partnership, TB013a,",FY5 3TA,
Department of Health,NHS Business Services Authority,31/05/2016,Pharmacy Contractors,Prescription Pricing ,,,"7,674,435.20",Payments to Pharmacy Contractors,,
