Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code,
Departmen of Health,NHS Business Services Authority,06/11/2015,Postage Charges,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080064546,"-4,000.00",PCN SEPT 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,06/11/2015,Sundry Income,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080064546,"-20,000.00",PCN SEPT 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,06/11/2015,Training,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080064547,"252,140.45",DCSS FIXEDVARI PASS THROUGH SEPT 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,06/11/2015,Rent,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080064547,"9,007.92",DCSS FIXEDVARI PASS THROUGH SEPT 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,06/11/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080064563,"33,059.20",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH,
Departmen of Health,NHS Business Services Authority,10/11/2015,Temporary Staff,Corporate Services,REDFERN TRAVEL,0050031441,"92,980.20",TRAVEL OCT 15,BD1 3AZ,
Departmen of Health,NHS Business Services Authority,10/11/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080064319,"266,082.40",AC 0912819049 EHIC UK,S49 1HQ,
Departmen of Health,NHS Business Services Authority,10/11/2015,Printing Charges (External),Prescription Pricing Division,XEROX UK LIMITED,0080064653,"23,781.14",NHS PRINT CONTRACT - New supplier Xerox,LS12 6NJ,
Departmen of Health,NHS Business Services Authority,10/11/2015,Temporary Staff,Prescription Pricing Division,KAINOS SOFTWARE LIMITED,0080064663,"31,193.00",Support Days commencing 28/10/15,BT7 1NT,
Department of Health,NHS Business Services Authority,12/11/2015,Pharmacy Contractors,Prescription Pricing ,,,"176,303.50",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,13/11/2015,Envision Payroll,Pensions Division,PAYMASTER (1836) LTD,0080064396,"38,374.71",CONT ADJ SEPT 15,RH10 1UH,
Departmen of Health,NHS Business Services Authority,13/11/2015,Printing Charges (External),Prescription Pricing Division,XEROX UK LIMITED,0080064718,"23,781.14",ZER VAT  PO 15701,LS12 6NJ,
Departmen of Health,NHS Business Services Authority,13/11/2015,Temporary Staff,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080064750,"22,733.53",Monthly Cost - August 2015,DL1 9HN,
Departmen of Health,NHS Business Services Authority,13/11/2015,Temporary Staff,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080064751,"25,842.67",Monthly Cost - September 2015,DL1 9HN,
Departmen of Health,NHS Business Services Authority,13/11/2015,Temporary Staff,Prescription Pricing Division,PAYMASTER (1836) LTD,0080064771,"403,215.46",EQUINITI PAYMASTER,RH10 1UH,
Department of Health,NHS Business Services Authority,15/11/2015,Statutory Payments,Corporate Services,HMRC,,"1,199,545.11",NI & TAX,,
Department of Health,NHS Business Services Authority,15/11/2015,Statutory Payments,Corporate Services,NHS Pension Scheme,,"911,164.70",PENSIONS,,
Departmen of Health,NHS Business Services Authority,17/11/2015,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0080062494,"26,068.26",EHIC CALL OFF CARDS,SS6 7UQ,
Departmen of Health,NHS Business Services Authority,17/11/2015,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0080062850,"23,321.26",EHIC CALL OFF,SS6 7UQ,
Departmen of Health,NHS Business Services Authority,17/11/2015,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080064711,"327,704.00",MITI VARIABLE SEPT 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,17/11/2015,Mobile Phones,NHS Protect,CAPITA BUSINESS SERVICES LTD,0080064711,"-2,200.69",MITI VARIABLE SEPT 15,DL1 9HN,
Departmen of Health,NHS Business Services Authority,17/11/2015,Temporary Staff,Project Pacific,CAPITA BUSINESS SERVICES LTD,0080064848,"55,886.05",Capita Software Services: Professional,DL1 9HN,
Departmen of Health,NHS Business Services Authority,17/11/2015,Temporary Staff,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080064849,"24,233.25",Call Off Form - CON/0353 - Windows 2003,DL1 9HN,
Departmen of Health,NHS Business Services Authority,17/11/2015,Professional Fees,Corporate Services,INTEGRATED HEALTH PROJECTS,0080064881,"419,502.47",MW 4.27 PMI 023 BSA Asbestos Strategy,HP2 7TR,
Departmen of Health,NHS Business Services Authority,19/11/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080063494,"131,807.20",PART CREDITS TO OFFSET,RH10 1UH,
Departmen of Health,NHS Business Services Authority,19/11/2015,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080064566,"27,321.00",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH,
Departmen of Health,NHS Business Services Authority,19/11/2015,Public Info Distribution,Prescription Pricing Division,IDS UK LIMITED,0080064623,"25,590.60",Distribute HC12 leaflets which contain,SO32 2EJ,
Departmen of Health,NHS Business Services Authority,19/11/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080064743,"24,179.45",AC 0912819049  EHIC UK,S49 1HQ,
Departmen of Health,NHS Business Services Authority,19/11/2015,Astron Contract,Corporate Services,GARTNER U.K. LIMITED,0080064925,"27,614.16",NHSBSA requires specialist support and,TW20 9AW,
Departmen of Health,NHS Business Services Authority,20/11/2015,Envision Retained Services,Pensions Division,PAYMASTER (1836) LTD,0050031482,"879,960.75",CONTRACT CHARGES NOV 15,RH10 1UH,
Departmen of Health,NHS Business Services Authority,20/11/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080064478,"85,410.62",AC 0912819049  PPC,S49 1HQ,
Departmen of Health,NHS Business Services Authority,20/11/2015,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0080064490,"189,188.03",CALL OFF CARDS,SS6 7UQ,
Departmen of Health,NHS Business Services Authority,20/11/2015,Professional Fees,Project Pacific,CAPITA BUSINESS SERVICES LTD,0080065047,"27,188.64","Desktop Engineer - Build, test and",DL1 9HN,
Departmen of Health,NHS Business Services Authority,20/11/2015,Software Licences,Prescription Pricing Division,IBM UK LTD,0080065068,"25,864.80",Part No. E09QMLL - IBM SPSS Modeler,PO6 3AF,
Departmen of Health,NHS Business Services Authority,24/11/2015,PC Purchases,Business Solutions,CAPITA BUSINESS SERVICES LTD,0080065080,842.59,Part Code: CAP20CLS0PY00 - Lenovo X250,DL1 9HN,
Departmen of Health,NHS Business Services Authority,24/11/2015,PC Purchases,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080065080,"5,296.81","Part Code: PF12.5W9  - 3M 12.5""",DL1 9HN,
Departmen of Health,NHS Business Services Authority,24/11/2015,PC Purchases,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080065080,33.86,Part Code: KTL-TP3BS/4G - 4GB,DL1 9HN,
Departmen of Health,NHS Business Services Authority,24/11/2015,PC Purchases,NHS Protect,CAPITA BUSINESS SERVICES LTD,0080065080,81.04,"Part Code: PF19.0 - 3M 19"" Privacy",DL1 9HN,
Departmen of Health,NHS Business Services Authority,24/11/2015,Temporary Staff,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080065080,"9,002.99",Requirement:,DL1 9HN,
Departmen of Health,NHS Business Services Authority,24/11/2015,Professional Fees,Project Pacific,CAPITA BUSINESS SERVICES LTD,0080065080,"3,645.89",Desktop Engineer,DL1 9HN,
Departmen of Health,NHS Business Services Authority,24/11/2015,Professional Fees,Supply Chain Management Division,CAPITA BUSINESS SERVICES LTD,0080065080,"2,518.54",Requirement:,DL1 9HN,
Departmen of Health,NHS Business Services Authority,24/11/2015,PC Purchases,Unclassified,CAPITA BUSINESS SERVICES LTD,0080065080,52.04,Part Code: PF19.0W - 3M 19 WIDE TFT,DL1 9HN,
Departmen of Health,NHS Business Services Authority,24/11/2015,Temporary Staff,Pensions Division,PRICEWATERHOUSE COOPERS LLP,0080065084,"47,699.33","Order for PwC, FAO Pete Sparshott",E14 9SQ,
Departmen of Health,NHS Business Services Authority,24/11/2015,Temporary Staff,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080065086,"22,094.73",Monthly Cost - October 2015,DL1 9HN,
Departmen of Health,NHS Business Services Authority,26/11/2015,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080064818,"23,395.94",AC 0912819049 EHIC EU,S49 1HQ,
Departmen of Health,NHS Business Services Authority,27/11/2015,Envision Payroll,Pensions Division,PAYMASTER (1836) LTD,0080065127,"39,384.26",CONTRACT ADJUSTMENT OCT2015,RH10 1UH,
Departmen of Health,NHS Business Services Authority,27/11/2015,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0080065195,"59,832.14",DEDUCTIONS NOV 15,RG24 9NW,
Department of Health,NHS Business Services Authority,30/11/2015,Pharmacy Contractors,Prescription Pricing ,,,"7,682,517.27",Payments to Pharmacy Contractors,,
