Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code,
Departmen of Health,NHS Business Services Authority,12/02/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080066963,"21,221.68",A/C 0912819048,S49 1HQ,
Departmen of Health,NHS Business Services Authority,12/02/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080067168,"34,447.31",AC 0912819049 PPC,S49 1HQ,
Departmen of Health,NHS Business Services Authority,12/02/2016,Storage Costs,Prescription Pricing Division,RESTORE PLC,0080067380,"21,254.48",Storage and archiving of records,RH1 5DY,
Department of Health,NHS Business Services Authority,15/02/2016,Statutory Payments,Corporate Services,HMRC,,"1,265,841.10",NI & TAX,,
Department of Health,NHS Business Services Authority,15/02/2016,Statutory Payments,Corporate Services,NHS Pension Scheme,,"904,138.21",PENSIONS,,
Departmen of Health,NHS Business Services Authority,16/02/2016,Electricity,Corporate Services,EDF ENERGY,0050031815,"35,365.52",BRIDGE HOUSE,PL3 5XQ,
Departmen of Health,NHS Business Services Authority,17/02/2016,Temporary Staff,Corporate Services,REDFERN TRAVEL,0050031812,"66,450.84",TRAVEL JAN 2016,BD1 3AZ,
Departmen of Health,NHS Business Services Authority,17/02/2016,Rent,Corporate Services,IBREND ESTATES BV,0080067355,"31,592.71",RENT 4TH FLOOR WAKEFIELD 2512152403,HG1 1TS,
Departmen of Health,NHS Business Services Authority,17/02/2016,Rent,Corporate Services,IBREND ESTATES BV,0080067356,"31,592.71",RENT 5TH FLOOR WAKEFIELD 2512152403,HG1 1TS,
Departmen of Health,NHS Business Services Authority,17/02/2016,Furniture Purchase,Supply Chain Management Division,FLEXIFORM,0080067415,"48,703.68",49x Narrow Under Desk Mobile Pedestal,BD3 7AE,
Departmen of Health,NHS Business Services Authority,22/02/2016,Stationary Charges,Prescription Pricing Division,WILLIAMS LEA LTD,0080067223,"41,617.14",PO 14734  CREDIT TO CONTRA,EC1M 4NA,
Departmen of Health,NHS Business Services Authority,22/02/2016,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080067374,"28,043.04",Costs in relation to the provision of,RH10 1UH,
Departmen of Health,NHS Business Services Authority,22/02/2016,Rent,Corporate Services,EUROPEAN PENSIONS MANAGEMENT LTD,0080067399,"160,000.00",RENT 29/09/15-24/12/15,SP3 5WY,
Departmen of Health,NHS Business Services Authority,22/02/2016,Professional Fees,Pensions Division,PRICEWATERHOUSE COOPERS LLP,0080067597,"235,755.60",Provision of specialist financial,E14 9SQ,
Departmen of Health,NHS Business Services Authority,24/02/2016,Envision Retained Services,Pensions Division,PAYMASTER (1836) LTD,0050031864,"886,790.32",CHARGES FEB 16,RH10 1UH,
Departmen of Health,NHS Business Services Authority,25/02/2016,Service Charges General,Corporate Services,IBREND ESTATES BV,0080067586,"32,774.54",SC 4F 25 Mar  23 Jun 16,HG1 1TS,
Departmen of Health,NHS Business Services Authority,25/02/2016,Service Charges General,Corporate Services,IBREND ESTATES BV,0080067587,"32,774.54",SC 5F 25 Mar  23 Jun 16,HG1 1TS,
Departmen of Health,NHS Business Services Authority,25/02/2016,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0080067654,"57,915.91",DEDUCTIONS FEB 16,RG24 9NW,
Departmen of Health,NHS Business Services Authority,25/02/2016,Temporary Staff,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080067757,"25,468.58",Project Management - Senior Consultant,DL1 9HN,
Department of Health,NHS Business Services Authority,29/02/2016,Pharmacy Contractors,Prescription Pricing ,,,"7,333,919.70",Payments to Pharmacy Contractors,,
