Department family,Entity,Date,Expense type,Supplier,Transaction number,Amount,Description,Supplier Post Code,
Departmen of Health,NHS Business Services Authority,04/07/2014,Pharmacy Contractors,Prescription Pricing ,,,"1,303,757.43",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,07/07/2014,Temporary Staff,Corporate Services,COMENSURA LTD,0050028955,"1,233.02",Staff Costs,LU1 3BA
Departmen of Health,NHS Business Services Authority,07/07/2014,Temporary Staff,NHS Protect,COMENSURA LTD,0050028955,"1,498.64",Staff Costs,LU1 3BA
Departmen of Health,NHS Business Services Authority,07/07/2014,Temporary Staff,Pensions Division,COMENSURA LTD,0050028955,"21,287.64",Staff Costs,LU1 3BA
Departmen of Health,NHS Business Services Authority,07/07/2014,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,0050028955,"11,322.86",Staff Costs,LU1 3BA
Departmen of Health,NHS Business Services Authority,07/07/2014,Temporary Staff,Unclassified,REDFERN TRAVEL,0050028956,"104,350.75",Staff Costs,BD1 3AZ
Departmen of Health,NHS Business Services Authority,07/07/2014,Service Charges General,NHS Protect,COMMUNITIES AND LOCAL GOVERNMENT,0080047900,"92,497.66","Citygate rent, rates Serv charge & FM",HP2 4XN
Departmen of Health,NHS Business Services Authority,09/07/2014,Professional Fees,Corporate Services,DEPARTMENT OF HEALTH,0080048156,"33,030.52",5 Days NHS BSA Anti Fraud review,LS2 7UE
Departmen of Health,NHS Business Services Authority,10/07/2014,Printing Charges (External),Prescription Pricing Division,CPI CARD GROUP - PETERSFIELD LIMITED,0080047992,"53,939.17",EHic cards June CPI,GU32 3AL
Departmen of Health,NHS Business Services Authority,10/07/2014,Pharmacy Contractors,Prescription Pricing ,,,"132,719.26",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,15/07/2014,Statutory Payments,Corporate Services,HMRC,,"1,228,928.71",NI & TAX,
Departmen of Health,NHS Business Services Authority,15/07/2014,Statutory Payments,Corporate Services,HMRC,,"868,915.87",PENSIONS,
Departmen of Health,NHS Business Services Authority,17/07/2014,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080047878,"187,281.05",EQUINITI PAYMASTER,RH10 1UH
Departmen of Health,NHS Business Services Authority,17/07/2014,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080047907,"138,995.97",AC 0912819049,S49 1HQ
Departmen of Health,NHS Business Services Authority,17/07/2014,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080048075,"84,026.07",AC 0912819049 JUN14,S49 1HQ
Departmen of Health,NHS Business Services Authority,17/07/2014,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080048219,"61,550.00",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH
Departmen of Health,NHS Business Services Authority,17/07/2014,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080048275,"44,137.22",Mail,S49 1HQ
Departmen of Health,NHS Business Services Authority,17/07/2014,Licences Capital,Prescription Pricing Division,ORACLE CORPORATION UK LTD,0080048396,"92,137.96",Oracle Advanced Analytics - Processor,RG6 1RA
Departmen of Health,NHS Business Services Authority,17/07/2014,Licences Capital,Prescription Pricing Division,ORACLE CORPORATION UK LTD,0080048397,"234,010.56",Partitioning - Processor Perpetual,RG6 1RA
Departmen of Health,NHS Business Services Authority,21/07/2014,Envision Retained Services,Pensions Division,PAYMASTER (1836) LTD,0050029017,"883,873.66",RETAINED SERVICES,RH10 1UH
Departmen of Health,NHS Business Services Authority,23/07/2014,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050029022,"59,937.74",NHSE,SW1V 2RS
Departmen of Health,NHS Business Services Authority,23/07/2014,Leased Car Holdings,Corporate Services,BRIAN JOHNSTON & CO (INS. BROKERS) LTD,0080048425,"26,840.00",Vehicle Insurance,RH1 1BL
Departmen of Health,NHS Business Services Authority,23/07/2014,Building Works,Corporate Services,DEPT FOR BUSINESS INNOVATION & SKILLS,0080048507,"508,511.13",EXCESS PO 10763,NP10 8QQ
Departmen of Health,NHS Business Services Authority,23/07/2014,Building Works,Corporate Services,DEPT FOR BUSINESS INNOVATION & SKILLS,0080048508,"36,019.54","Department for business, innovation and",NP10 8QQ
Departmen of Health,NHS Business Services Authority,24/07/2014,Furniture & Equiptment Capital,Corporate Services,INTEGRATED HEALTH PROJECTS,0080048513,"88,505.16",Integrated Health Projects,HP2 7TR
Departmen of Health,NHS Business Services Authority,24/07/2014,Minor Works,Corporate Services,INTEGRATED HEALTH PROJECTS,0080048514,"93,940.70",Integrated health Projects,HP2 7TR
Departmen of Health,NHS Business Services Authority,25/07/2014,Electricity,Corporate Services,EDF ENERGY,0050029064,"96,479.86",A/C 18376603,PL3 5XQ
Departmen of Health,NHS Business Services Authority,25/07/2014,Electricity,Corporate Services,EDF ENERGY,0050029065,"72,625.60",A/C 18376603,PL3 5XQ
Departmen of Health,NHS Business Services Authority,25/07/2014,Temporary Staff,Pensions Division,SAPIENT LIMITED,0080048394,"120,000.00",NHS PENSION DISCOVERY,E1 6DX
Departmen of Health,NHS Business Services Authority,25/07/2014,Professional Fees,Pensions Division,SAPIENT LIMITED,0080048395,"120,000.00",NHS PENSIONS DISCOVERY,E1 6DX
Departmen of Health,NHS Business Services Authority,25/07/2014,Legal Fees General,Corporate Services,ADDLESHAW GODDARD,0080048418,"27,573.00",Legal Costs,LS1 1HQ
Departmen of Health,NHS Business Services Authority,29/07/2014,Professional Fees,Corporate Services,MOUCHEL BUSINESS SERVICES LTD,0080048390,"65,139.80",Pension Levy,LN5 5ET
Departmen of Health,NHS Business Services Authority,29/07/2014,Service Charges General,NHS Protect,COMMUNITIES AND LOCAL GOVERNMENT,0080048593,"80,493.91",Rent,HP2 4XN
Departmen of Health,NHS Business Services Authority,29/07/2014,Professional Fees,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080048681,"66,694.64",Call Off Form - CON/0231 - Dispatch of,DL1 9HN
Departmen of Health,NHS Business Services Authority,31/07/2014,Envision Retained Services,Pensions Division,PAYMASTER (1836) LTD,0080048493,"81,860.00",EQUINITI PAYMASTER,RH10 1UH
Departmen of Health,NHS Business Services Authority,31/07/2014,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080048496,"31,946.68",EHIC postage July,S49 1HQ
Departmen of Health,NHS Business Services Authority,31/07/2014,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080048533,"56,000.00",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH
Departmen of Health,NHS Business Services Authority,31/07/2014,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080048534,"200,000.00",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH
Departmen of Health,NHS Business Services Authority,31/07/2014,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080048535,"53,819.00",EQUINITI PAYMASTER,RH10 1UH
Departmen of Health,NHS Business Services Authority,31/07/2014,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080048536,"330,800.00",Equiniti Paymaster 2015 Scheme Hutton IT,RH10 1UH
Departmen of Health,NHS Business Services Authority,31/07/2014,External Audit Fees,Corporate Services,NATIONAL AUDIT OFFICE,0080048710,"50,000.00",FINAL AUDIT FEES FOR 201314,SW1W 9SP
Departmen of Health,NHS Business Services Authority,31/07/2014,LAN Software,Supply Chain Management Division,GHX UK LTD,0080048766,"63,060.00",Bespoke data feed for BSA Scorpio data,CB4 0WG
Departmen of Health,NHS Business Services Authority,31/07/2014,Pharmacy Contractors,Prescription Pricing ,,,"7,209,798.56",Payments to Pharmacy Contractors,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
