Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,13/08/2012,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0080021583,"37,582.51",HWHC DESPATCHCHES  MAY 12,OL9 9QH
Departmen of Health,NHS Business Services Authority,09/08/2012,Equipment Repairs & Maintenance,Prescription Pricing Division,PITNEY BOWES UK MAILING,0080021679,"50,445.60",PLEASE ALSO SEE ATTACHMENT,CM19 5LS
Departmen of Health,NHS Business Services Authority,09/08/2012,Envision Medical Services,Pensions Division,PAYMASTER (1836) LIMITED,0080021768,"98,354.52",TWO TIER CHARGES JANMAR11APR 11 MAR 1,RH10 1UH
Departmen of Health,NHS Business Services Authority,09/08/2012,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080021839,"114,204.64",AC 0912819049,S49 1HQ
Departmen of Health,NHS Business Services Authority,09/08/2012,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080021847,"50,363.41",AC 0912819049,S49 1HQ
Departmen of Health,NHS Business Services Authority,10/08/2012,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080021854,"41,642.55",AC 0912819049,S49 1HQ
Departmen of Health,NHS Business Services Authority,10/08/2012,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080021860,"31,244.26",AC 0912819049,S49 1HQ
Departmen of Health,NHS Business Services Authority,09/08/2012,Cost of Travel Concession,Travel Concession,NEXUS,0080021869,"32,558.00",7 Nexus Travel Passes,NE1 4AX
Departmen of Health,NHS Business Services Authority,15/08/2012,Professional Fees,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080021887,"59,952.00",DENTAL PILOTS MAY 12,DL1 9HN
Departmen of Health,NHS Business Services Authority,13/08/2012,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080021943,"44,175.00",Change Request - Project Information,E1 6DX
Departmen of Health,NHS Business Services Authority,13/08/2012,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080021944,"54,425.00",Consultant Application Developer -,E1 6DX
Departmen of Health,NHS Business Services Authority,10/08/2012,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080021945,"36,585.00",Senior Consultant Programme Manager -,E1 6DX
Departmen of Health,NHS Business Services Authority,15/08/2012,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080021947,"27,510.00",PO 5174 FCOMP,E1 6DX
Departmen of Health,NHS Business Services Authority,13/08/2012,Temporary Staff,Prescription Pricing Division,SAPIENT LIMITED,0080021950,"31,935.00",Consultant Project Manager Developer -,E1 6DX
Departmen of Health,NHS Business Services Authority,10/08/2012,Professional Fees,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080021977,"24,318.66",Desktop Resource for packaging,DL1 9HN
Departmen of Health,NHS Business Services Authority,10/08/2012,Temporary Staff,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080021981,"21,915.58",Call Off Authorisation Note - CON/0117,DL1 9HN
Departmen of Health,NHS Business Services Authority,17/08/2012,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080022087,"317,000.00",TM29  ENHANCED ONLINE SERVICES,DL1 9HN
Departmen of Health,NHS Business Services Authority,17/08/2012,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080022088,"225,000.00",TM20  TARGET OPERATING MODEL,DL1 9HN
Departmen of Health,NHS Business Services Authority,17/08/2012,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080022089,"488,000.00",TM11  SURVEY & ASSESSMENT,DL1 9HN
Departmen of Health,NHS Business Services Authority,15/08/2012,Professional Fees,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080022092,"53,774.00",DENTAL PILOTS JUNE 12,DL1 9HN
Departmen of Health,NHS Business Services Authority,15/08/2012,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080022095,"61,587.59",PENALTY CHARGES JUNE 12,DL1 9HN
Departmen of Health,NHS Business Services Authority,23/08/2012,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080022099,"954,893.96",MITI CHARGES JUNE 12  DCSS JUNE 12,DL1 9HN
Departmen of Health,NHS Business Services Authority,15/08/2012,Professional Fees,Corporate Services,MOUCHEL BUSINESS SERVICES LTD,0080022141,"79,541.56",FRC PENSION LEVY 010412  310313,LN5 5ET
Departmen of Health,NHS Business Services Authority,15/08/2012,Statutory Payments,Statutory Payments,CABINET OFFICE: CIVIL SUPERANNUATION,0080022215,"66,902.71",DEDUCTIONS JULY 12,RG21 4HG
Departmen of Health,NHS Business Services Authority,17/08/2012,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0080022222,"76,838.80",HWHC DESPATCHES,OL9 9QH
Departmen of Health,NHS Business Services Authority,16/08/2012,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080022250,"28,757.40",AC 0912819049,S49 1HQ
Departmen of Health,NHS Business Services Authority,20/08/2012,Professional Fees,Prescription Pricing Division,SAPIENT LIMITED,0080022301,"21,840.00",Consultant Application Developer -,E1 6DX
Departmen of Health,NHS Business Services Authority,20/08/2012,Professional Fees,Prescription Pricing Division,SAPIENT LIMITED,0080022304,"21,150.00",Consultant Application Developer -,E1 6DX
Departmen of Health,NHS Business Services Authority,30/08/2012,Estates,Corporate Services,INTEGRATED HEALTH PROJECTS,0080022731,"754,193.59",WORKS PERIOD END 290712,HP2 7TR
Departmen of Health,NHS Business Services Authority,30/08/2012,Professional Fees,Supply Chain Management Division,EXEL EUROPE LTD,0080022747,"30,000.00",RECHARGE PWC AUDIT FEES 2011,MK40 2XQ
Departmen of Health,NHS Business Services Authority,30/08/2012,Printing Charges (External),Prescription Pricing Division,THE STATIONERY OFFICE,0080022754,"26,803.13",Printing,NR3 1PD
Departmen of Health,NHS Business Services Authority,01/08/2012,Dental Contractors,Dental Services Division,,,"171,575,882.00",Payments to Dental Contractors
Departmen of Health,NHS Business Services Authority,01/08/2012,Pharmacy Contractors,Prescription Pricing Division,,,"764,124,108.81",Payments to Pharmacy Contractors
Departmen of Health,NHS Business Services Authority,03/08/2012,Pharmacy Contractors,Prescription Pricing Division,,,"614,691.39",Payments to Pharmacy Contractors
Departmen of Health,NHS Business Services Authority,09/08/2012,Pharmacy Contractors,Prescription Pricing Division,,,"225,856.22",Payments to Pharmacy Contractors
Departmen of Health,NHS Business Services Authority,13/08/2012,Pharmacy Contractors,Prescription Pricing Division,,,"96,443.77",Payments to Pharmacy Contractors
Departmen of Health,NHS Business Services Authority,15/08/2012,Pharmacy Contractors,Prescription Pricing Division,,,"41,362.13",Payments to Pharmacy Contractors
Departmen of Health,NHS Business Services Authority,31/08/2012,Pharmacy Contractors,Prescription Pricing Division,,,"758,808,377.88",Payments to Pharmacy Contractors
Departmen of Health,NHS Business Services Authority,15/08/2012,Statutory Payments,Corporate Services,HMRC,,"1,181,772.72",NI & TAX
Departmen of Health,NHS Business Services Authority,15/08/2012,Statutory Payments,Corporate Services,HMRC,,"649,645.27",PENSIONS
