Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department for Energy and Climate Change,Department for Energy and Climate Change,16/09/2010,Capital Grants - Other,National Climate Change & Consumer Support - National Climate Change,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4017603,"£915,750",
Department for Energy and Climate Change,Department for Energy and Climate Change,29/09/2010,Capital Grants to the Private Sector - Resource Expenditure,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4017946,"£897,860",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - DECC Commercial Team,E.ON UK PLC,4017163,"£883,786",
Department for Energy and Climate Change,Department for Energy and Climate Change,08/09/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4017369,"£849,734",
Department for Energy and Climate Change,Department for Energy and Climate Change,02/09/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4017104,"£730,800",
Department for Energy and Climate Change,Department for Energy and Climate Change,16/09/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,NABARRO,4017563,"£543,030",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4017200,"£527,498",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4017239,"£494,718",
Department for Energy and Climate Change,Department for Energy and Climate Change,30/09/2010,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4017976,"£480,978",
Department for Energy and Climate Change,Department for Energy and Climate Change,23/09/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,NABARRO,4017758,"£477,221",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,External Legal Advice,Energy Markets & Infrastructure - DECC Commercial Team,FRESHFIELDS BRUCKHAUS DERINGER,4017220,"£469,933",
Department for Energy and Climate Change,Department for Energy and Climate Change,08/09/2010,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4017369,"£444,476",
Department for Energy and Climate Change,Department for Energy and Climate Change,27/09/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE EUROPEAN MARINE ENERGY CENTRE LTD,4017867,"£434,532",
Department for Energy and Climate Change,Department for Energy and Climate Change,14/09/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4017524,"£423,417",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4017236,"£419,427",
Department for Energy and Climate Change,Department for Energy and Climate Change,21/09/2010,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4017728,"£398,967",
Department for Energy and Climate Change,Department for Energy and Climate Change,22/09/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4017736,"£316,711",
Department for Energy and Climate Change,Department for Energy and Climate Change,30/09/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4017976,"£260,245",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4017169,"£240,336",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4017443,"£234,078",
Department for Energy and Climate Change,Department for Energy and Climate Change,02/09/2010,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4017103,"£230,285",
Department for Energy and Climate Change,Department for Energy and Climate Change,30/09/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4017979,"£229,573",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4017442,"£228,309",
Department for Energy and Climate Change,Department for Energy and Climate Change,09/09/2010,Minor Works,Corporate Support & Shared Services - Corporate Support & Shared Services,DEFRA,4017436,"£222,063",
Department for Energy and Climate Change,Department for Energy and Climate Change,20/09/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4017653,"£221,539",
Department for Energy and Climate Change,Department for Energy and Climate Change,27/09/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4017871,"£216,668",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,4017468,"£200,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,13/09/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,BURNTISLAND FABRICATIONS LTD,4017469,"£200,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,13/09/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,BURNTISLAND FABRICATIONS LTD,4017469,"£200,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,17/09/2010,Grants - Non Statutory - Current - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE NATIONAL NON-FOOD CROPS CENTRE,4017633,"£200,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,PARSONS BRINCKERHOFF LTD,4017218,"£189,131",
Department for Energy and Climate Change,Department for Energy and Climate Change,16/09/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,1006793,"£171,558",
Department for Energy and Climate Change,Department for Energy and Climate Change,21/09/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,IRON MOUNTAIN LTD,4017713,"£171,423",
Department for Energy and Climate Change,Department for Energy and Climate Change,29/09/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,SIEMENS plc,4017965,"£166,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,20/09/2010,Computer Equipment - Clearing,Corporate Support & Shared Services - Corporate Support & Shared Services,ORACLE CORPORATION UK LTD,4017648,"£155,085",
Department for Energy and Climate Change,Department for Energy and Climate Change,02/09/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,SIEMENS plc,4017164,"£150,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,27/09/2010,Application Development & Support (PFI),DECC Central Budgets - DECC Central Budgets,FUJITSU SERVICES LTD,4017898,"£146,368",
Department for Energy and Climate Change,Department for Energy and Climate Change,30/09/2010,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,PARSONS BRINCKERHOFF LTD,4018022,"£143,765",
Department for Energy and Climate Change,Department for Energy and Climate Change,09/09/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4017343,"£140,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4017171,"£136,430",
Department for Energy and Climate Change,Department for Energy and Climate Change,24/09/2010,Telecommunications,Corporate Support & Shared Services - Corporate Support & Shared Services,DEFRA,4017646,"£131,946",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4017161,"£130,975",
Department for Energy and Climate Change,Department for Energy and Climate Change,14/09/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4017522,"£121,479",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4017441,"£120,803",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4017173,"£120,028",
Department for Energy and Climate Change,Department for Energy and Climate Change,16/09/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,SPACE CONNEXIONS LTD,4017569,"£115,951",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,BURNTISLAND FABRICATIONS LTD,4017451,"£115,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,BURNTISLAND FABRICATIONS LTD,4017451,"£115,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,24/09/2010,Telecommunications,Corporate Support & Shared Services - Corporate Support & Shared Services,DEFRA,4017646,"£112,295",
Department for Energy and Climate Change,Department for Energy and Climate Change,17/09/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4017641,"£112,124",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Cash Expenditure during the Year - Other Coal Non-Health Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4017238,"£103,222",
Department for Energy and Climate Change,Department for Energy and Climate Change,06/09/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4017240,"£100,031",
Department for Energy and Climate Change,Department for Energy and Climate Change,17/09/2010,International Subscriptions,Energy & Climate Change International - International Energy & Carbon Budgets,INTERNATIONAL ENERGY FORUM SECRETARIAT,4017551,"£100,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,28/09/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4017870,"£94,160",
Department for Energy and Climate Change,Department for Energy and Climate Change,28/09/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,SPARKE HELMORE,4017794,"£91,966",
Department for Energy and Climate Change,Department for Energy and Climate Change,16/09/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,SPACE CONNEXIONS LTD,4017567,"£86,220",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Technical Advice / Services & Support,Energy Markets & Infrastructure - Energy Development Unit,MWH UK LTD,4017197,"£82,839",
Department for Energy and Climate Change,Department for Energy and Climate Change,16/09/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4017573,"£82,500",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4017170,"£82,252",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",AEA TECHNOLOGY plc,4017131,"£82,028",
Department for Energy and Climate Change,Department for Energy and Climate Change,24/09/2010,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",AEA TECHNOLOGY plc,4017839,"£80,883",
Department for Energy and Climate Change,Department for Energy and Climate Change,20/09/2010,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4017622,"£80,319",
Department for Energy and Climate Change,Department for Energy and Climate Change,20/09/2010,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4017625,"£80,319",
Department for Energy and Climate Change,Department for Energy and Climate Change,16/09/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,1006794,"£76,498",
Department for Energy and Climate Change,Department for Energy and Climate Change,27/09/2010,Project Management Costs (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE NATIONAL NON-FOOD CROPS CENTRE,4017903,"£69,422",
Department for Energy and Climate Change,Department for Energy and Climate Change,20/09/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),1006919,"£66,287",
Department for Energy and Climate Change,Department for Energy and Climate Change,20/09/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,MARITIME AND COASTGUARD AGENCY MCA,4017693,"£65,365",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,NATURAL ENVIRONMENT RESEARCH COUNCIL (BGS BRITISH GEOLOGICAL SURVEY),4017402,"£65,138",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4017054,"£62,331",
Department for Energy and Climate Change,Department for Energy and Climate Change,24/09/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4017810,"£62,331",
Department for Energy and Climate Change,Department for Energy and Climate Change,29/09/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TEES ALLIANCE GROUP LTD,4017951,"£61,519",
Department for Energy and Climate Change,Department for Energy and Climate Change,22/09/2010,Capital Grants - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4017729,"£60,571",
Department for Energy and Climate Change,Department for Energy and Climate Change,30/09/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,SOUTH BOATS (SPECIAL PROJECTS) LTD,4018018,"£60,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,External Legal Advice,Energy Markets & Infrastructure - DECC Commercial Team,FRESHFIELDS BRUCKHAUS DERINGER,4017220,"£59,201",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Accommodation Rentals,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4017422,"£58,969",
Department for Energy and Climate Change,Department for Energy and Climate Change,23/09/2010,Technical Advice,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY plc,4017405,"£58,846",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,DELOITTE LLP,4017424,"£57,886",
Department for Energy and Climate Change,Department for Energy and Climate Change,01/09/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BRE,4016989,"£57,484",
Department for Energy and Climate Change,Department for Energy and Climate Change,30/09/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4017999,"£53,304",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,GB GROUP PLC,4017450,"£52,575",
Department for Energy and Climate Change,Department for Energy and Climate Change,08/09/2010,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4017355,"£52,082",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4017439,"£51,821",
Department for Energy and Climate Change,Department for Energy and Climate Change,27/09/2010,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4017851,"£50,968",
Department for Energy and Climate Change,Department for Energy and Climate Change,27/09/2010,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4017737,"£50,566",
Department for Energy and Climate Change,Department for Energy and Climate Change,14/09/2010,GPC New Procedures,Corporate Payment,BARCLAYS BANK PLC,4017527,"£50,476",
Department for Energy and Climate Change,Department for Energy and Climate Change,06/09/2010,Grants - Statutory - Current - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,SOUTH EAST ENGLAND DEVELOPMENT AGENCY,4017273,"£50,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,BURNTISLAND FABRICATIONS LTD,4017452,"£50,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,BURNTISLAND FABRICATIONS LTD,4017452,"£50,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,16/09/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4017572,"£50,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,21/09/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE WASTE & RESOURCES ACTION PROGRAMME (WRAP),4017699,"£50,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,02/09/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4017187,"£49,723",
Department for Energy and Climate Change,Department for Energy and Climate Change,29/09/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4017945,"£49,723",
Department for Energy and Climate Change,Department for Energy and Climate Change,14/09/2010,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,ATOS ORIGIN IT SERVICES UK LTD,4017513,"£48,483",
Department for Energy and Climate Change,Department for Energy and Climate Change,20/09/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TUV NEL LTD,4017660,"£47,522",
Department for Energy and Climate Change,Department for Energy and Climate Change,16/09/2010,Contract Management,Energy Markets & Infrastructure - Security and resilience,HEALTH & SAFETY EXECUTIVE,4017581,"£46,604",
Department for Energy and Climate Change,Department for Energy and Climate Change,30/09/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4017979,"£45,914",
Department for Energy and Climate Change,Department for Energy and Climate Change,14/09/2010,Capital Grants - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,LONDON BOROUGH OF HARINGEY,4017207,"£45,273",
Department for Energy and Climate Change,Department for Energy and Climate Change,14/09/2010,Capital Grants - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,LONDON BOROUGH OF HARINGEY,4017207,"£45,273",
Department for Energy and Climate Change,Department for Energy and Climate Change,21/09/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4017668,"£43,753",
Department for Energy and Climate Change,Department for Energy and Climate Change,09/09/2010,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,POYRY ENERGY (OXFORD) LTD,4017409,"£42,500",
Department for Energy and Climate Change,Department for Energy and Climate Change,30/09/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,MITSUBISHI POWER SYSTEMS EUROPE LTD,4018019,"£42,429",
Department for Energy and Climate Change,Department for Energy and Climate Change,06/09/2010,Capital Grants - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,LAMMAS LOW IMPACT INITIATIVES LTD,4017244,"£41,840",
Department for Energy and Climate Change,Department for Energy and Climate Change,14/09/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,INBUILT LTD,4017506,"£40,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,03/09/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4017172,"£39,542",
Department for Energy and Climate Change,Department for Energy and Climate Change,07/09/2010,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4016994,"£39,509",
Department for Energy and Climate Change,Department for Energy and Climate Change,08/09/2010,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4017018,"£39,439",
Department for Energy and Climate Change,Department for Energy and Climate Change,22/09/2010,ICT Maintenance & Upkeep,National Climate Change & Consumer Support - National Climate Change,AMTEC Consulting plc,4017712,"£39,133",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4017444,"£38,784",
Department for Energy and Climate Change,Department for Energy and Climate Change,17/09/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,NATURAL ENVIRONMENT RESEARCH COUNCIL (BGS BRITISH GEOLOGICAL SURVEY),4017605,"£38,504",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Mobile Line Rental,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4017420,"£38,441",
Department for Energy and Climate Change,Department for Energy and Climate Change,06/09/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4017285,"£35,438",
Department for Energy and Climate Change,Department for Energy and Climate Change,22/09/2010,Computer Equipment - Clearing,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4017671,"£34,854",
Department for Energy and Climate Change,Department for Energy and Climate Change,20/09/2010,IT Software Licences,Corporate Support & Shared Services - Corporate Support & Shared Services,ORACLE CORPORATION UK LTD,4017647,"£34,347",
Department for Energy and Climate Change,Department for Energy and Climate Change,29/09/2010,Payments to Treasury Solicitors and Treasury Counsel,Corporate Support & Shared Services - Corporate Support & Shared Services,THE TREASURY SOLICITORS,4017828,"£34,131",
