Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount
Department for Transport,British Transport Police Authority,22/10/2010,SERVICE CHARGES,FIN ESTATES,SANDERSON WEATHERALL CLIENT PREMIUM A/C,223990,"21,582.50"
Department for Transport,British Transport Police Authority,22/10/2010,BUILDING RENTAL,FIN ESTATES,SANDERSON WEATHERALL CLIENT PREMIUM A/C,223991,"32,931.38"
Department for Transport,British Transport Police Authority,22/10/2010,SERVICE CHARGES,FIN ESTATES,SANDERSON WEATHERALL CLIENT PREMIUM A/C,223991,"13,150.00"
Department for Transport,British Transport Police Authority,22/10/2010,STATIONERY,WW Police Station West Sector,Dx Network Services Ltd,224129,"34,861.10"
Department for Transport,British Transport Police Authority,22/10/2010,POSTAGE,FIN ESTATES,THE EAGLE CONSULTANCY GROUP,224160,"39,017.85"
Department for Transport,British Transport Police Authority,22/10/2010,POSTAGE,FIN FINANCE,Dx Network Services Ltd,224189,"29,221.28"
Department for Transport,British Transport Police Authority,22/10/2010,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,BRITSPACE MODULAR BUILDING LIMITED,224315,"298,760.00"
Department for Transport,British Transport Police Authority,29/10/2010,COMMS DATA,TECHNOLOGY GROUP,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,220667,"26,676.53"
Department for Transport,British Transport Police Authority,29/10/2010,COMMS DATA,TECHNOLOGY GROUP,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,220668,"100,217.04"
Department for Transport,British Transport Police Authority,29/10/2010,COMMS DATA,TECHNOLOGY GROUP,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,223172,"25,521.66"
Department for Transport,British Transport Police Authority,29/10/2010,COMMS DATA,TECHNOLOGY GROUP,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,223173,"97,584.88"
Department for Transport,British Transport Police Authority,29/10/2010,TELEPHONE CALLS,TECHNOLOGY GROUP,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,223176,"41,846.16"
Department for Transport,British Transport Police Authority,29/10/2010,COMMS DATA,TECHNOLOGY GROUP,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,223177,"24,334.23"
Department for Transport,British Transport Police Authority,29/10/2010,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,ATKINS LIMITED,223262,"26,670.00"
Department for Transport,British Transport Police Authority,29/10/2010,IT SOFTWARE MAINTENANCE,TECHNOLOGY GROUP,Software Box Ltd,223986,"55,204.37"
Department for Transport,British Transport Police Authority,29/10/2010,PRIVILEGED TRAVEL,HR POLICY AND STRATEGY,RAIL STAFF TRAVEL LIMITED,224221,"54,637.64"
Department for Transport,British Transport Police Authority,29/10/2010,INTERNAL AUDIT FEES,FHQ POLICE AUTHORITY,Tribal Consortium (Tribal Consulting Ltd),224455,"46,600.00"
Department for Transport,British Transport Police Authority,29/10/2010,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,OVERBURY PLC,224599,"445,892.76"
Department for Transport,British Transport Police Authority,29/10/2010,TELEPHONE CALLS,TECHNOLOGY GROUP,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,224608,"-30,000.00"
Department for Transport,British Transport Police Authority,29/10/2010,TELEPHONE CALLS,TECHNOLOGY GROUP,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,224609,"-36,000.00"
Department for Transport,British Transport Police Authority,29/10/2010,IMPROVEMENT WORKS (NON CAP),FIN ESTATES,ADT FIRE & SECURITY PLC,224613,"23,612.50"
Department for Transport,British Transport Police Authority,29/10/2010,SERVICE CHARGES,Sc Police Station North Sector,NETWORK RAIL,224747,"21,768.00"
Department for Transport,British Transport Police Authority,29/10/2010,SELF DEVELOPMENT - ALL STAFF,H.R TRAINING,Linbert Spencer Consultancy Ltd,224758,"30,000.00"
Department for Transport,British Transport Police Authority,29/10/2010,VEHICLE SERVICING- PLANNED,FIN VEHICLE FLEET,BT FLEET LIMITED,224826,"50,628.64"
Department for Transport,Department for Transport,01/10/2010,Management Consultancy,Rail Technical & Professional,AMTEC CONSULTING PLC,2000002284,"49,025.00"
Department for Transport,Department for Transport,01/10/2010,Management Consultancy,Projects,JACOBS ENGINEERING U.K. LTD,2000002285,917.12
Department for Transport,Department for Transport,01/10/2010,Management Consultancy,Projects,JACOBS ENGINEERING U.K. LTD,2000002285,"114,159.35"
Department for Transport,Department for Transport,01/10/2010,Agency Staff Costs,Finance & Planning,MICHAEL PAGE INTERNATIONAL,2000002286,"2,203.13"
Department for Transport,Department for Transport,01/10/2010,Agency Staff Costs,Finance & Planning,MICHAEL PAGE INTERNATIONAL,2000002286,"2,614.32"
Department for Transport,Department for Transport,01/10/2010,Management Consultancy,Projects,BOVIS LEND LEASE CONSULTING LTD,2000002287,"9,382.50"
Department for Transport,Department for Transport,01/10/2010,Agents Fees,Finance & Planning,EXEL PLC,2000002288,"440,000.00"
Department for Transport,Department for Transport,01/10/2010,Transport Consultancy,Projects,LONDON & CONTINENTAL RAILWAYS LTD,2000002289,"63,074.53"
Department for Transport,Department for Transport,01/10/2010,Stationery (Non-stock),Finance & Estates ,BANNER BUSINESS SERVICES LTD,2000015171,"3,420.88"
Department for Transport,Department for Transport,01/10/2010,Agency Staff Costs,Finance & Estates ,HAYS PERSONNEL SERVICE LTD,2000015172,"1,410.00"
Department for Transport,Department for Transport,01/10/2010,Secondments,Road & Vehicle Safety & Standards,EAST SUSSEX HOSPITALS NHS TRUST,2000015173,"8,604.97"
Department for Transport,Department for Transport,01/10/2010,Small Software,Information Management Directorate,INSIGHT DIRECT (UK) LTD,2000015174,"17,086.62"
Department for Transport,Department for Transport,01/10/2010,Car Hire and Leasing,Corporate Support Function,ARVAL,2000015175,730.66
Department for Transport,Department for Transport,01/10/2010,Car Hire and Leasing,Corporate Support Function,ARVAL,2000015175,"9,480.41"
Department for Transport,Department for Transport,01/10/2010,Support Services,Maritime and Dangerous Goods,BMT RELIABILITY CONSULTANTS LTD,2000015176,"36,195.29"
Department for Transport,Department for Transport,01/10/2010,Gas,Finance & Estates ,CORONA ENERGY RETAIL 4 LTD,2000015177,"23,380.06"
Department for Transport,Department for Transport,01/10/2010,Gas,Finance & Estates ,CORONA ENERGY RETAIL 4 LTD,2000015177,"13,942.66"
Department for Transport,Department for Transport,01/10/2010,Agency Staff Costs,Information Management Directorate,ELAN COMPUTING LTD,2000015179,"1,596.18"
Department for Transport,Department for Transport,01/10/2010,Management Consultancy,Finance & Estates ,QUINCEY MASON PRACTICES LTD,2000015182,"2,873.70"
Department for Transport,Department for Transport,01/10/2010,Management Consultancy,Finance & Estates ,QUINCEY MASON PRACTICES LTD,2000015182,"1,592.18"
Department for Transport,Department for Transport,01/10/2010,Research,London and Road Demand Management,TRAFFICMASTER PLC,2000015183,"2,737.50"
Department for Transport,Department for Transport,01/10/2010,Publications for Resale,Transport Security,THE STATIONERY OFFICE LTD,2000015184,500
Department for Transport,Department for Transport,01/10/2010,Subsidies to Private Sector,Transform Licensing Logistics and Sponsorship,D B SHENKER RAIL (UK) LIMITED,2000015185,"11,984.02"
Department for Transport,Department for Transport,01/10/2010,Subsidies to Private Sector,Transform Licensing Logistics and Sponsorship,FREIGHTLINER LTD,2000015186,"5,748.72"
Department for Transport,Department for Transport,01/10/2010,Travel Expenses UK,INE Group ,CARLSON WAGONLIT TRAVEL,2000015187,"1,413.56"
Department for Transport,Department for Transport,01/10/2010,Travel Expenses UK,Regional & Local Transport,CARLSON WAGONLIT TRAVEL,2000015187,"3,029.13"
Department for Transport,Department for Transport,01/10/2010,Travel Expenses UK,Transport Security,CARLSON WAGONLIT TRAVEL,2000015187,"1,321.83"
Department for Transport,Department for Transport,01/10/2010,Data Supply - Transport Direct,Information Management Directorate,TRAFFICLINK (UK) LIMITED,2000015188,"19,583.33"
Department for Transport,Department for Transport,01/10/2010,Agency Staff Costs,Standalone Units,CERTES COMPUTING LTD,2000015190,"10,965.57"
Department for Transport,Department for Transport,01/10/2010,Translation Services,Transport Security,FCO SERVICES,2000015191,"1,305.50"
Department for Transport,Department for Transport,01/10/2010,Capital Grants to NDPBs & CG,London and Road Demand Management,DEPARTMENT FOR CULTURE MEDIA AND SPORT,2000015192,"22,138,589.64"
Department for Transport,Department for Transport,04/10/2010,Eurotunnel Admin Payment,Rail Strategy & Stakeholder Relations,SNCF TRESORERIE ENC RHT VFE,2000002315,"5,469,974.11"
Department for Transport,Department for Transport,04/10/2010,Eurotunnel Admin Payment,Rail Strategy & Stakeholder Relations,SNCF CAISSE GENERALE,2000002316,"4,866,280.65"
Department for Transport,Department for Transport,04/10/2010,Transport Consultancy,Projects,ATKINS LTD (TRANSPORT PLANNING),2000002321,"2,965.98"
Department for Transport,Department for Transport,04/10/2010,Management Consultancy,Projects,MOTT MACDONALD,2000002322,"2,572.50"
Department for Transport,Department for Transport,04/10/2010,Transport Consultancy,Projects,OVE ARUP & PARTNERS,2000002323,"60,631.49"
Department for Transport,Department for Transport,04/10/2010,Room Hire,Rail Technical & Professional,LETCHWORTH GARDEN CITY,2000002324,"8,814.58"
Department for Transport,Department for Transport,04/10/2010,Eurotunnel Admin Payment,Rail Strategy & Stakeholder Relations,EUROTUNNEL,2000002325,"4,257,796.53"
Department for Transport,Department for Transport,04/10/2010,Eurotunnel Admin Payment,Rail Strategy & Stakeholder Relations,EUROTUNNEL (EURO PAYMENTS),2000002326,"4,861,603.74"
Department for Transport,Department for Transport,04/10/2010,Rent - L&B (non-PFI),Projects,SHOOSMITHS EUROSTAR ESCROW ACCOUNT,2000002327,"945,593.38"
Department for Transport,Department for Transport,04/10/2010,Agency Staff Costs,Finance & Estates ,ALLEN LANE FINANCIAL RECRUITMENT,2000015246,"2,546.23"
Department for Transport,Department for Transport,04/10/2010,Agency Staff Costs,Finance & Estates ,ALLEN LANE FINANCIAL RECRUITMENT,2000015246,"2,129.57"
Department for Transport,Department for Transport,04/10/2010,Management Consultancy,Road & Vehicle Safety & Standards,ATKINS LTD (MANAGEMENT CONSULTANTS),2000015247,"8,592.55"
Department for Transport,Department for Transport,04/10/2010,Management Consultancy,Road & Vehicle Safety & Standards,ATKINS LTD (MANAGEMENT CONSULTANTS),2000015247,"14,326.21"
Department for Transport,Department for Transport,04/10/2010,Transport Consultancy,Road & Vehicle Safety & Standards,ATKINS LTD (MANAGEMENT CONSULTANTS),2000015247,"7,383.02"
Department for Transport,Department for Transport,04/10/2010,Research,Road & Vehicle Safety & Standards,AECOM LIMITED,2000015248,"4,595.64"
Department for Transport,Department for Transport,04/10/2010,Transport Consultancy,Regional & Local Transport,HALCROW GROUP LTD,2000015249,"10,211.13"
Department for Transport,Department for Transport,04/10/2010,Agency Staff Costs,Transport Security,JOSEPHINE SAMMONS LTD,2000015250,"1,255.71"
Department for Transport,Department for Transport,04/10/2010,Agency Staff Costs,Finance & Estates ,KELLY SERVICES (UK) LTD,2000015251,661.88
Department for Transport,Department for Transport,04/10/2010,Agency Staff Costs,Finance & Estates ,KELLY SERVICES (UK) LTD,2000015251,956.58
Department for Transport,Department for Transport,04/10/2010,Printing,Accident Investigating Branches,MWL PRINT GROUP LTD,2000015252,"5,070.00"
Department for Transport,Department for Transport,04/10/2010,Books,Legal Services Directorate ,THE STATIONERY OFFICE LTD,2000015254,"5,400.00"
Department for Transport,Department for Transport,04/10/2010,Curr Grant to Priv Sect-Persons & NPISH,Maritime and Dangerous Goods,I O DESIGN LTD,2000015255,"3,566.48"
Department for Transport,Department for Transport,04/10/2010,Curr Grant to Priv Sect-Persons & NPISH,Maritime and Dangerous Goods,LEDINGHAM CHALMERS LLP,2000015256,"19,512.62"
Department for Transport,Department for Transport,04/10/2010,Current Grants to LAs within AEF/AEG,London and Road Demand Management,GREATER LONDON AUTHORITY,2000015257,"72,082,000.00"
Department for Transport,Department for Transport,04/10/2010,Further Education Leading to Qualifications,INE Group ,NATIONAL SCHOOL OF GOVERNMENT,2000015258,"2,280.00"
Department for Transport,Department for Transport,04/10/2010,Traffic Survey & Counting Equipment,London and Road Demand Management,HIGHWAYS AGENCY (14272),2000015259,"5,375.70"
Department for Transport,Department for Transport,04/10/2010,Eurocontrol Contributions,Aviation,EUROCONTROL,2000015295,"10,750,253.75"
Department for Transport,Department for Transport,05/10/2010,Financial Consultancy,Finance & Planning,KPMG,2000002340,"12,220.76"
Department for Transport,Department for Transport,05/10/2010,Agency Staff Costs,Finance & Planning,MICHAEL PAGE INTERNATIONAL,2000002341,"1,586.25"
Department for Transport,Department for Transport,05/10/2010,Management Consultancy,Finance & Planning,BOVIS LEND LEASE CONSULTING LTD,2000002342,"8,100.00"
Department for Transport,Department for Transport,05/10/2010,Travel Expenses Overseas,Finance & Planning,CAPITA BUSINESS TRAVEL,2000002343,"2,388.11"
Department for Transport,Department for Transport,05/10/2010,Agency Staff Costs,Procurement,CAPITA RESOURCING LTD,2000002344,"8,264.94"
Department for Transport,Department for Transport,05/10/2010,Programme and Project Management Consultancy,Rail Technical & Professional,CAPITA RESOURCING LTD,2000002344,"14,399.63"
Department for Transport,Department for Transport,05/10/2010,Management Consultancy,Projects,INTERFLEET TECHNOLOGY LTD,2000002345,"5,499.00"
Department for Transport,Department for Transport,05/10/2010,Legal Consultancy,Transport Security,TREASURY SOLICITOR,2000015318,"4,851.06"
Department for Transport,Department for Transport,05/10/2010,Area Based Grants,Regional & Local Transport,COMMUNITIES AND LOCAL GOVERNMENT,2000015319,"745,859.00"
Department for Transport,Department for Transport,05/10/2010,Area Based Grants,Regional & Local Transport,COMMUNITIES AND LOCAL GOVERNMENT,2000015319,"3,000,000.00"
Department for Transport,Department for Transport,05/10/2010,Agency Staff Costs,Finance & Estates ,HAYS PERSONNEL SERVICE LTD,2000015321,"1,410.00"
Department for Transport,Department for Transport,05/10/2010,Support Services,Aviation,BAE SYSTEMS (OPERATIONS) LTD,2000015324,"27,916.24"
Department for Transport,Department for Transport,05/10/2010,Contract Cleaning,Accident Investigating Branches,CLIENTCARE CLEANING LTD,2000015326,448
Department for Transport,Department for Transport,05/10/2010,Research,Regional & Local Transport,AECOM LIMITED,2000015327,"9,981.00"
Department for Transport,Department for Transport,05/10/2010,Rent - L&B (non-PFI),Maritime and Dangerous Goods,INT OIL POLLUTION COMPENSATION FUND,2000015328,"95,300.00"
Department for Transport,Department for Transport,05/10/2010,Data Supply - Transport Direct,Information Management Directorate,OAG WORLDWIDE LTD,2000015330,"2,062.13"
Department for Transport,Department for Transport,05/10/2010,Data Supply - Transport Direct,Information Management Directorate,RAIL SETTLEMENT PLAN,2000015331,"2,350.00"
Department for Transport,Department for Transport,05/10/2010,Publications for Resale,Road & Vehicle Safety & Standards,THE STATIONERY OFFICE LTD,2000015332,"1,610.00"
Department for Transport,Department for Transport,05/10/2010,Support Services,Aviation,NATIONAL AIR TRAFFIC SERV (ENROUTE),2000015336,"44,405.22"
Department for Transport,Department for Transport,05/10/2010,Travel Expenses Overseas,Corporate Support Function,CAPITA BUSINESS TRAVEL,2000015337,"1,602.60"
Department for Transport,Department for Transport,05/10/2010,Travel Expenses Overseas,Transform Licensing Logistics and Sponsorship,CAPITA BUSINESS TRAVEL,2000015337,"1,804.94"
Department for Transport,Department for Transport,06/10/2010,Agency Staff Costs,Finance & Planning,HAYS PERSONNEL SERVICE LTD,2000002359,"2,491.00"
Department for Transport,Department for Transport,06/10/2010,Agency Staff Costs,Procurement,HAYS PERSONNEL SERVICE LTD,2000002359,652.6
Department for Transport,Department for Transport,06/10/2010,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000002360,"1,822.88"
Department for Transport,Department for Transport,06/10/2010,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000002360,"2,604.08"
Department for Transport,Department for Transport,06/10/2010,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000002360,"-1,822.88"
Department for Transport,Department for Transport,06/10/2010,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000002360,"1,822.88"
Department for Transport,Department for Transport,06/10/2010,Management Consultancy,Strategic Roads and National Networks,MOTT MACDONALD,2000002361,"15,771.00"
Department for Transport,Department for Transport,06/10/2010,Curr Grant to Priv Sect-Persons & NPISH,Projects,TRANSPORT FOR LONDON,2000002362,"1,794,528.00"
Department for Transport,Department for Transport,06/10/2010,Travel Expenses UK,Finance & Planning,CARLSON WAGONLIT TRAVEL,2000002364,627.16
Department for Transport,Department for Transport,06/10/2010,Secondments,Rail Technical & Professional,ALSTOM TRANSPORT,2000002365,"79,679.26"
Department for Transport,Department for Transport,06/10/2010,Management Consultancy,Projects,VIRGIN RAIL PROJECTS LTD,2000002366,"8,385.95"
Department for Transport,Department for Transport,06/10/2010,Training,Accident Investigating Branches,ALAN MANN HELICOPTERS LTD,2000015496,900
Department for Transport,Department for Transport,06/10/2010,Training,Transport Security,B F B S (CONSULTANTS) LTD,2000015497,"5,170.00"
Department for Transport,Department for Transport,06/10/2010,Management Consultancy,Environment and International,EXPERIAN LTD,2000015502,"4,755.00"
Department for Transport,Department for Transport,06/10/2010,Newspapers,Communication Directorate ,JONES YARRELL & CO LTD,2000015504,511.35
Department for Transport,Department for Transport,06/10/2010,Agency Staff Costs,Finance & Estates ,KELLY SERVICES (UK) LTD,2000015505,792.6
Department for Transport,Department for Transport,06/10/2010,Infrastructure Maintenance,Road & Vehicle Safety & Standards,NATIONAL POLICING,2000015509,"10,729.25"
Department for Transport,Department for Transport,06/10/2010,Research,London and Road Demand Management,TRANSPORT RESEARCH LABORATORY,2000015512,"29,507.50"
Department for Transport,Department for Transport,06/10/2010,Research,Road & Vehicle Safety & Standards,TRANSPORT RESEARCH LABORATORY,2000015512,"9,878.39"
Department for Transport,Department for Transport,06/10/2010,Research,Road & Vehicle Safety & Standards,TRANSPORT RESEARCH LABORATORY,2000015512,"6,275.65"
Department for Transport,Department for Transport,06/10/2010,Research,Transport Security,TRANSPORT RESEARCH LABORATORY,2000015512,"6,063.20"
Department for Transport,Department for Transport,06/10/2010,Agency Staff Costs,Finance & Estates ,BROOK STREET BUREAU,2000015513,700.59
Department for Transport,Department for Transport,06/10/2010,Curr Grant to Priv Sect-Persons & NPISH,Environment and International,ENERGY SAVING TRUST,2000015514,"233,649.00"
Department for Transport,Department for Transport,06/10/2010,Travel Expenses UK,Corporate Support Function,CARLSON WAGONLIT TRAVEL,2000015515,"2,183.25"
Department for Transport,Department for Transport,06/10/2010,Travel Expenses UK,Transform Licensing Logistics and Sponsorship,CARLSON WAGONLIT TRAVEL,2000015515,"1,621.29"
Department for Transport,Department for Transport,06/10/2010,Capital Grants to Local Authorities,Regional & Local Transport,CHESHIRE EAST BOROUGH COUNCIL,2000015517,"5,031,590.05"
Department for Transport,Department for Transport,06/10/2010,Agency Staff Costs,Standalone Units,CERTES COMPUTING LTD,2000015518,"9,399.06"
Department for Transport,Department for Transport,06/10/2010,Land & Buildings (excl Dwellings) Capital Cost,Finance & Estates ,KIER REGIONAL LTD,2000015520,"401,159.29"
Department for Transport,Department for Transport,07/10/2010,Financial Consultancy,Finance & Planning,KPMG,2000002371,"13,573.76"
Department for Transport,Department for Transport,07/10/2010,Agency Staff Costs,Projects,REED SPECIALIST RECRUITMENT LTD,2000002372,563.69
Department for Transport,Department for Transport,07/10/2010,Minor Developments,Information Management Directorate,MICROSOFT LTD,2000015558,"53,300.00"
Department for Transport,Department for Transport,07/10/2010,Agency Staff Costs,Information Management Directorate,NES IT LTD,2000015559,"23,555.81"
Department for Transport,Department for Transport,07/10/2010,Data Supply - Transport Direct,Information Management Directorate,ATKINS LTD (TRANSPORT PLAN),2000015560,"9,147.38"
Department for Transport,Department for Transport,07/10/2010,Agency Staff Costs,Human Resources,BADENOCH & CLARK,2000015561,"2,937.50"
Department for Transport,Department for Transport,07/10/2010,Training,Finance & Estates ,C I P F A,2000015562,"1,520.00"
Department for Transport,Department for Transport,07/10/2010,Electricity,Finance & Estates ,EDF ENERGY,2000015563,"5,332.78"
Department for Transport,Department for Transport,07/10/2010,Electricity,Finance & Estates ,EDF ENERGY,2000015563,"47,315.97"
Department for Transport,Department for Transport,07/10/2010,Electricity,Finance & Estates ,EDF ENERGY,2000015563,"5,109.97"
Department for Transport,Department for Transport,07/10/2010,Agency Staff Costs,Information Management Directorate,ELAN COMPUTING LTD,2000015564,"1,596.18"
Department for Transport,Department for Transport,07/10/2010,IT Services  Running Costs,Transport Analysis and Economics,HARTLEY MCMASTER LTD,2000015566,975
Department for Transport,Department for Transport,07/10/2010,Data Supply - Transport Direct,Information Management Directorate,LANDMARK INFORMATION GROUP LTD,2000015567,"9,429.38"
Department for Transport,Department for Transport,07/10/2010,Traffic Survey & Counting Equipment,London and Road Demand Management,NORFOLK COUNTY COUNCIL,2000015568,"2,292.00"
Department for Transport,Department for Transport,07/10/2010,Management Consultancy,London and Road Demand Management,TDC SYSTEMS LIMITED,2000015570,"4,000.87"
Department for Transport,Department for Transport,07/10/2010,Transport Consultancy,Information Management Directorate,TRANSPORT & TRAVEL RESEARCH LTD,2000015571,"16,197.38"
Department for Transport,Department for Transport,07/10/2010,Research,Regional & Local Transport,TRANSPORT RESEARCH LABORATORY,2000015572,"11,952.91"
Department for Transport,Department for Transport,07/10/2010,Subsidies to Private Sector,Transform Licensing Logistics and Sponsorship,DIRECT RAIL SERVICES LTD,2000015573,"69,564.00"
Department for Transport,Department for Transport,07/10/2010,Subsidies to Private Sector,Transform Licensing Logistics and Sponsorship,D B SHENKER RAIL (UK) LIMITED,2000015574,"3,291.08"
Department for Transport,Department for Transport,07/10/2010,Subsidies to Private Sector,Transform Licensing Logistics and Sponsorship,D B SHENKER RAIL (UK) LIMITED,2000015574,"199,969.45"
Department for Transport,Department for Transport,07/10/2010,Travel Expenses Overseas,INE Group ,CAPITA BUSINESS TRAVEL,2000015575,"2,425.52"
Department for Transport,Department for Transport,07/10/2010,Travel Expenses Overseas,INE Group ,CAPITA BUSINESS TRAVEL,2000015575,"14,594.24"
Department for Transport,Department for Transport,07/10/2010,Travel Expenses Overseas,Transport Security,CAPITA BUSINESS TRAVEL,2000015575,"23,813.81"
Department for Transport,Department for Transport,07/10/2010,Travel Expenses UK,INE Group ,CARLSON WAGONLIT TRAVEL,2000015576,"1,998.46"
Department for Transport,Department for Transport,07/10/2010,Travel Expenses UK,Transport Security,CARLSON WAGONLIT TRAVEL,2000015576,"1,127.15"
Department for Transport,Department for Transport,07/10/2010,Financial Consultancy,Finance & Estates ,LARGESS INTERNATIONAL LTD,2000015577,"2,390.90"
Department for Transport,Department for Transport,07/10/2010,Financial Consultancy,Finance & Estates ,LARGESS INTERNATIONAL LTD,2000015577,"17,250.00"
