Department Family,Entity,Date,Expense Type,Expense Area ,Supplier,Transaction No,Sum of Amount,Item Text,Postal Code
Department for Transport,Department for Transport,03/05/2013,Agency Staff Costs,Rail Accident Investigation Branch,SPRING TECHNOLOGY LTD  ALSO T/A,2000002629,762.48,#,B37 7YE
Department for Transport,Department for Transport,03/05/2013,Agency Staff Costs,DASH,CAPITA RESOURCING LTD,2000002624,11865.18,#,DL1 9HN
Department for Transport,Department for Transport,03/05/2013,Agency Staff Costs,Group Finance,PARITY RESOURCES LTD,2000002623,17280,#,SW19 3RU
Department for Transport,Department for Transport,03/05/2013,Agency Staff Costs,Refran Prog Off,NETWORKERS INTERNATIONAL (UK) PLC,2000002628,883.92,#,BR1 1HP
Department for Transport,Department for Transport,03/05/2013,Audit Fees (cash),Group Internal Audit,PRICEWATERHOUSECOOPERS LLP,2000002615,33223.75,#,E14 9SQ
Department for Transport,Department for Transport,03/05/2013,Audit Fees (cash),Rail Commercial Contracts,PRICEWATERHOUSECOOPERS LLP,2000002615,33831.15,#,E14 9SQ
Department for Transport,Department for Transport,03/05/2013,Cap Grt Pri Sec-Cos.,DASH,EVERSHEDS LLP,2000002635,305000,#,CF10 5BT
Department for Transport,Department for Transport,03/05/2013,Cap Grt Pri Sec-Cos.,DASH,EVERSHEDS LLP,2000002635,562500,#,CF10 5BT
Department for Transport,Department for Transport,03/05/2013,Cap Grt Pri Sec-Cos.,Greener Transport & International,ASHWOODS AUTOMOTIVE LTD,2000002642,30950,LCVPPP 12th Payment 9 Veh + #80 from 11th Payment,EX4 8DS
Department for Transport,Department for Transport,03/05/2013,Computer Consumables,Business Transformation,XMA LIMITED GOSC,2000002645,532.58,#,NG11 7EP
Department for Transport,Department for Transport,03/05/2013,Eurotunnel Admin Pay,Rail Commercial Contracts,SNCF CAISSE GENERALE,2000002569,5541086.93,MPL SNCF GBP PAY APRIL,#
Department for Transport,Department for Transport,03/05/2013,Eurotunnel Admin Pay,Rail Commercial Contracts,SNCF TRESORERIE ENC RHT VFE,2000002568,6018969.84,MPL SNCF EURO PAY APR,#
Department for Transport,Department for Transport,03/05/2013,Financial Consultanc,Maritime,KPMG,2000002612,8870.4,#,WD17 1DE
Department for Transport,Department for Transport,03/05/2013,IT Ser Running Costs,Business Transformation,CENTERPRISE INTERNATIONAL LIMITED,2000002637,2632.45,#,RG24 8GQ
Department for Transport,Department for Transport,03/05/2013,IT Ser Running Costs,Business Transformation,CENTERPRISE INTERNATIONAL LIMITED,2000002637,1091.66,#,RG24 8GQ
Department for Transport,Department for Transport,03/05/2013,IT Ser Running Costs,Business Transformation,COMPUTACENTER,2000002619,9099.96,#,AL10 9TW
Department for Transport,Department for Transport,03/05/2013,IT Ser Running Costs,Rail Accident Investigation Branch,EPIC PERFORMANCE IMPROVEMENT LTD,2000002607,21721.2,#,BN1 1NH
Department for Transport,Department for Transport,03/05/2013,IT Ser Running Costs,Greener Transport & International,EVOLVE BUSINESS CONSULTANCY LTD,2000002608,8640,#,GU10 1DW
Department for Transport,Department for Transport,03/05/2013,Legal Consultancy,Rail and Road Projects,FRESHFIELDS,2000002626,512750.36,#,EC4Y 1HS
Department for Transport,Department for Transport,03/05/2013,Legal Consultancy,Rail,BURGES SALMON,2000002602,28000,#,BS1 4AH
Department for Transport,Department for Transport,03/05/2013,Legal Consultancy,Rail,BURGES SALMON,2000002602,5856.58,#,BS1 4AH
Department for Transport,Department for Transport,03/05/2013,Legal Consultancy,DASH,DLA PIPER UK LLP,2000002605,3068.76,#,M2 3DL
Department for Transport,Department for Transport,03/05/2013,Legal Consultancy,Maritime,FIELD FISHER WATERHOUSE LLP,2000002627,37080.98,#,EC3N 2AA
Department for Transport,Department for Transport,03/05/2013,Medical Examinations,Air Accident Investigation Branch,DEFENCE SCIENCE & TECHNOLOGY,2000002606,995.5,#,PO14 9HL
Department for Transport,Department for Transport,03/05/2013,Other Advertising,Local,PENNA COMMUNICATIONS,2000002630,1405.16,#,EC4M 7RD
Department for Transport,Department for Transport,03/05/2013,Postage,Air Accident Investigation Branch,PITNEY BOWES LTD,2000002614,731.58,PITNEY BOWES INK CARTRIDGES 04/04/13,CM20 2GZ
Department for Transport,Department for Transport,03/05/2013,Printing,Air Accident Investigation Branch,WILLIAMS LEA LIMITED,2000002639,2453.4,#,NR3 1PD
Department for Transport,Department for Transport,03/05/2013,Rates,Air Accident Investigation Branch,VODAFONE LTD,2000002622,1739.14,#,RG14 5FF
Department for Transport,Department for Transport,03/05/2013,Recruitment,Group HR,PAUL ROSCORLA ASSOCIATES LTD,2000002634,759.6,#,GU7 1DP
Department for Transport,Department for Transport,03/05/2013,Recruitment Fees,Roads,CAPITA RESOURCING LTD T/A,2000002599,7170,#,DL1 9HN
Department for Transport,Department for Transport,03/05/2013,Research,Marine Accident Investigation Branch,TEST HOUSE (CAMBRIDGE) LTD,2000002617,1620,#,CB21 6AL
Department for Transport,Department for Transport,03/05/2013,Research,Greener Transport & International,HALCROW GROUP LTD,2000002609,16673,#,W6 7BY
Department for Transport,Department for Transport,03/05/2013,Research,Greener Transport & International,HALCROW GROUP LTD,2000002609,32812,#,W6 7BY
Department for Transport,Department for Transport,03/05/2013,Research,Greener Transport & International,HALCROW GROUP LTD,2000002609,-6800,#,W6 7BY
Department for Transport,Department for Transport,03/05/2013,Research,Greener Transport & International,HALCROW GROUP LTD,2000002609,6800,#,W6 7BY
Department for Transport,Department for Transport,03/05/2013,Small Software,Transport Direct and Travel information,JOURNEYPLAN LTD,2000002611,66000,#,KY12 7NT
Department for Transport,Department for Transport,03/05/2013,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000002603,20106,#,RH10 0YR
Department for Transport,Department for Transport,03/05/2013,Support Services,Group Finance,DD ACCRAILWAY PENS TRUSTEE,2000002625,1006.5,#,DL3 6XR
Department for Transport,Department for Transport,03/05/2013,Support Services,High Speed 2,DCLG,2000002631,8252.02,#,HP2 4XN
Department for Transport,Department for Transport,03/05/2013,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000002610,7036,#,G2 7HX
Department for Transport,Department for Transport,03/05/2013,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000002610,6900,#,G2 7HX
Department for Transport,Department for Transport,03/05/2013,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000002610,6765,#,G2 7HX
Department for Transport,Department for Transport,03/05/2013,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000002610,10390,#,G2 7HX
Department for Transport,Department for Transport,03/05/2013,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000002610,6374,#,G2 7HX
Department for Transport,Department for Transport,03/05/2013,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000002610,9400,#,G2 7HX
Department for Transport,Department for Transport,03/05/2013,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000002610,10722,#,G2 7HX
Department for Transport,Department for Transport,03/05/2013,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000002610,8151,#,G2 7HX
Department for Transport,Department for Transport,03/05/2013,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000002610,5657,#,G2 7HX
Department for Transport,Department for Transport,03/05/2013,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000002610,5598,#,G2 7HX
Department for Transport,Department for Transport,03/05/2013,Traffic Survey & Cou,Roads,SKY HIGH PLC,2000002636,6859,#,LS24 9AB
Department for Transport,Department for Transport,03/05/2013,Traffic Survey & Cou,Roads,SKY HIGH PLC,2000002636,4521,#,LS24 9AB
Department for Transport,Department for Transport,03/05/2013,Traffic Survey & Cou,Roads,SKY HIGH PLC,2000002636,7132,#,LS24 9AB
Department for Transport,Department for Transport,03/05/2013,Traffic Survey & Cou,Roads,SKY HIGH PLC,2000002636,6502,#,LS24 9AB
Department for Transport,Department for Transport,03/05/2013,Traffic Survey & Cou,Roads,SKY HIGH PLC,2000002636,7601,#,LS24 9AB
Department for Transport,Department for Transport,03/05/2013,Training,Air Accident Investigation Branch,TAA UK LTD,2000002643,713.51,#,UB9 5DF
Department for Transport,Department for Transport,03/05/2013,Training,Local,THRESHOLDS LTD,2000002618,1500,#,BS7 9QP
Department for Transport,Department for Transport,07/05/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000002710,3210,#,SL1 3SA
Department for Transport,Department for Transport,07/05/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000002710,2568,#,SL1 3SA
Department for Transport,Department for Transport,07/05/2013,Agency Staff Costs,Rail Commercial Contracts,MORGAN HUNT UK LTD,2000002706,-2433.6,#,EC4M 7EG
Department for Transport,Department for Transport,07/05/2013,Agency Staff Costs,Rail Commercial Contracts,MORGAN HUNT UK LTD,2000002706,3852,#,EC4M 7EG
Department for Transport,Department for Transport,07/05/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000002710,2958,#,SL1 3SA
Department for Transport,Department for Transport,07/05/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000002710,660,#,SL1 3SA
Department for Transport,Department for Transport,07/05/2013,Electricity,Air Accident Investigation Branch,MINISTRY OF DEFENCE,2000002711,1729.91,MOD - AAIB -28.02.2013 - 31.03.2013,L2 3YL
Department for Transport,Department for Transport,07/05/2013,Eurotunnel Admin Pay,Rail Commercial Contracts,EUROTUNNEL,2000002668,4837640.83,#,CT18 8XY
Department for Transport,Department for Transport,07/05/2013,Eurotunnel Admin Pay,Rail Commercial Contracts,EUROTUNNEL (EURO PAYMENTS),2000002667,5422655.71,#,CT18 8X
Department for Transport,Department for Transport,07/05/2013,IT Ser Running Costs,General Counsel's Office,ACTICA CONSULTING LIMITED,2000002713,17340,#,GU2 7YF
Department for Transport,Department for Transport,07/05/2013,Legal Consultancy,Group HR,TREASURY SOLICITOR,2000002723,6349,#,WC2B 4TS
Department for Transport,Department for Transport,07/05/2013,Printing,Air Accident Investigation Branch,WILLIAMS LEA LIMITED,2000002717,1949.08,#,NR3 1PD
Department for Transport,Department for Transport,07/05/2013,Printing,Roads,WILLIAMS LEA LIMITED,2000002717,1772.64,#,NR3 1PD
Department for Transport,Department for Transport,07/05/2013,Purchasing Card Char,Group Finance,BARCLAYS BANK PLC,2000002704,2603.02,#,NN4 7SG
Department for Transport,Department for Transport,07/05/2013,Purchasing Card Char,Group Finance,BARCLAYS BANK PLC,2000002704,2603.69,DFT R&S May 13,NN4 7SG
Department for Transport,Department for Transport,07/05/2013,Purchasing Card Char,Group Finance,BARCLAYS BANK PLC,2000002704,42217.78,DFT R&S May 13,NN4 7SG
Department for Transport,Department for Transport,07/05/2013,Purchasing Card Char,Group Finance,BARCLAYS BANK PLC,2000002704,4832.3,DFT/ RT & L May 13,NN4 7SG
Department for Transport,Department for Transport,07/05/2013,Rates,Business Transformation,DTZ,2000002703,69695.1,Rates - 55 Victoria Street,EH3 9QG
Department for Transport,Department for Transport,07/05/2013,Recruitment Fees,Group HR,GATENBY SANDERSON LTD,2000002714,12405,#,LS1 2HL
Department for Transport,Department for Transport,07/05/2013,Services prov by OGD,Roads,DRIVING STANDARDS AGENCY,2000002724,686214.24,#,NG1 6LP
Department for Transport,Department for Transport,07/05/2013,Storage & Distributi,Business Transformation,WILLIAMS LEA LIMITED,2000002717,4477.13,#,NR3 1PD
Department for Transport,Department for Transport,07/05/2013,Traffic Survey & Cou,Roads,PARSONS BRINCKERHOFF LTD,2000002707,8427,#,NE4 7YQ
Department for Transport,Department for Transport,07/05/2013,Traffic Survey & Cou,Roads,PARSONS BRINCKERHOFF LTD,2000002707,10049,#,NE4 7YQ
Department for Transport,Department for Transport,07/05/2013,Transport  Consult,Rail and Road Projects,JACOBS UK LTD,2000002705,155146.2,#,G2 7HX
Department for Transport,Department for Transport,07/05/2013,Travel Expenses UK,Group Finance,RAIL STAFF TRAVEL LTD,2000002712,2816.85,#,WC1N 1BY
Department for Transport,Department for Transport,08/05/2013,Agency Staff Costs,Group HR,HAYS PERSONNEL SERVICE LTD,2000002778,4154.1,#,KT3 4JQ
Department for Transport,Department for Transport,08/05/2013,Agency Staff Costs,Group Finance,BADENOCH & CLARK,2000002782,3632.75,#,EC4V 4BG
Department for Transport,Department for Transport,08/05/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000002800,4384.8,#,SL1 3SA
Department for Transport,Department for Transport,08/05/2013,Agency Staff Costs,Local,SPRING TECHNOLOGY LTD  ALSO T/A,2000002805,765.9,#,B37 7YE
Department for Transport,Department for Transport,08/05/2013,Agency Staff Costs,Rail Commercial Contracts,EXPERIS LTD,2000002786,4766.76,#,EC1R 3DR
Department for Transport,Department for Transport,08/05/2013,Agency Staff Costs,Rail Commercial Contracts,EXPERIS LTD,2000002786,1607.1,#,EC1R 3DR
Department for Transport,Department for Transport,08/05/2013,Agency Staff Costs,Local,BADENOCH & CLARK,2000002782,1699.2,#,EC4V 4BG
Department for Transport,Department for Transport,08/05/2013,Agency Staff Costs,Local,BADENOCH & CLARK,2000002782,1699.2,#,EC4V 4BG
Department for Transport,Department for Transport,08/05/2013,Agency Staff Costs,DASH,ADVANTAGE RESOURCING UK LTD,2000002817,8860.99,#,RG21 4FF
Department for Transport,Department for Transport,08/05/2013,Agency Staff Costs,High Speed 2,BADENOCH & CLARK,2000002782,1404.53,#,EC4V 4BG
Department for Transport,Department for Transport,08/05/2013,Agency Staff Costs,Refran Prog Off,CAPITA RESOURCING LTD,2000002801,4181.4,#,DL1 9HN
Department for Transport,Department for Transport,08/05/2013,Agency Staff Costs,Refran Prog Off,CAPITA RESOURCING LTD,2000002801,16236.61,#,DL1 9HN
Department for Transport,Department for Transport,08/05/2013,Agency Staff Costs,Refran Prog Off,METHODS CONSULTING LTD,2000002796,12216.96,#,WC2H 8AD
Department for Transport,Department for Transport,08/05/2013,Agency Staff Costs,Refran Prog Off,SPRING TECHNOLOGY LTD  ALSO T/A,2000002805,1267.42,#,B37 7YE
Department for Transport,Department for Transport,08/05/2013,Agency Staff Costs,Refran Prog Off,SPRING TECHNOLOGY LTD  ALSO T/A,2000002805,3802.25,#,B37 7YE
Department for Transport,Department for Transport,08/05/2013,Agency Staff Costs,Refran Prog Off,SPRING TECHNOLOGY LTD  ALSO T/A,2000002805,3168.54,#,B37 7YE
Department for Transport,Department for Transport,08/05/2013,Agency Staff Costs,Refran Prog Off,SPRING TECHNOLOGY LTD  ALSO T/A,2000002805,1901.12,#,B37 7YE
Department for Transport,Department for Transport,08/05/2013,Agency Staff Costs,Refran Prog Off,SPRING TECHNOLOGY LTD  ALSO T/A,2000002805,2534.83,#,B37 7YE
Department for Transport,Department for Transport,08/05/2013,Agency Staff Costs,Refran Prog Off,SPRING TECHNOLOGY LTD  ALSO T/A,2000002805,2534.83,#,B37 7YE
Department for Transport,Department for Transport,08/05/2013,Agency Staff Costs,Aviation,NETWORKERS INTERNATIONAL (UK) PLC,2000002803,838.2,#,BR1 1HP
Department for Transport,Department for Transport,08/05/2013,Agents Fees,Roads,GROUPM UK LIMITED,2000002816,50.91,#,WC1X 8RX
Department for Transport,Department for Transport,08/05/2013,Agents Fees,Roads,GROUPM UK LIMITED,2000002816,101.76,#,WC1X 8RX
Department for Transport,Department for Transport,08/05/2013,Air Travel,Air Accident Investigation Branch,REDFERN TRAVEL LTD,2000002809,1134.58,#,BD1 3AZ
Department for Transport,Department for Transport,08/05/2013,Cars Maintenance,Motoring Services,Goodyear Dunlop Tyres UK Ltd,2000002819,447.4,#,B24 9HY
Department for Transport,Department for Transport,08/05/2013,Cars Maintenance,Motoring Services,Goodyear Dunlop Tyres UK Ltd,2000002819,432.44,#,B24 9HY
Department for Transport,Department for Transport,08/05/2013,Childcare Voucher Co,Group HR,COMPUTERSHARE VOUCHER SERVICES,1500000003,-965.63,#,WS13 8SX
Department for Transport,Department for Transport,08/05/2013,Computer Consumables,Permanent Secretary,XMA LIMITED GOSC,2000002818,815.06,#,NG11 7EP
Department for Transport,Department for Transport,08/05/2013,Data Supply - TD,Transport Direct and Travel information,INRIX MEDIA LTD,2000002804,18499.2,#,WA14 1EP
Department for Transport,Department for Transport,08/05/2013,Electricity,Air Accident Investigation Branch,HARVEST ENERGY LTD,2000002808,5434.02,#,W1G 0PU
Department for Transport,Department for Transport,08/05/2013,Electricity,Business Transformation,SAVILLS COMMERCIAL LTD,2000002799,9857.47,Accommodation Chrg @ Southside - 1/4/12-30/6/12,EC2M 7EE
Department for Transport,Department for Transport,08/05/2013,Electricity,Business Transformation,SAVILLS COMMERCIAL LTD,2000002799,2849.57,Accommodation Chrg @ Southside - 1/1/13 - 31/3/13,EC2M 7EE
Department for Transport,Department for Transport,08/05/2013,Financial Consultanc,Refran Prog Off,PRICEWATERHOUSECOOPERS LLP,2000002797,57173.76,#,E14 9SQ
Department for Transport,Department for Transport,08/05/2013,Hospitality,Business Transformation,AMEY COMMUNITY LIMITED,2000002781,6231.66,Hospitality March 13,OX4 4DQ
Department for Transport,Department for Transport,08/05/2013,Hotel&Accom Costs,Air Accident Investigation Branch,REDFERN TRAVEL LTD,2000002809,833.12,Redfern - April 2013,BD1 3AZ
Department for Transport,Department for Transport,08/05/2013,HR Consultancy,Group HR,BENEFEX LIMITED,2000002806,40078.5,#,SO15 2JU
Department for Transport,Department for Transport,08/05/2013,HR Consultancy,Group HR,EMPLOYEE ADVISORY RESOURCE LTD,2000002787,1074.25,#,W4 5YB
Department for Transport,Department for Transport,08/05/2013,Insurance,Group HR,MARSH LTD,2000002795,11925,#,SG6 3TT
Department for Transport,Department for Transport,08/05/2013,Medical Examinations,Air Accident Investigation Branch,#,2000002811,593.08,#,#
Department for Transport,Department for Transport,08/05/2013,Publicity,Roads,ABBOTT MEAD VICKERS BBDO LTD,2000002779,5236.23,#,NW1 5QE
Department for Transport,Department for Transport,08/05/2013,Publicity,Roads,ABBOTT MEAD VICKERS BBDO LTD,2000002779,870,#,NW1 5QE
Department for Transport,Department for Transport,08/05/2013,Publicity,Roads,ABBOTT MEAD VICKERS BBDO LTD,2000002779,1500,#,NW1 5QE
Department for Transport,Department for Transport,08/05/2013,Publicity,Roads,ABBOTT MEAD VICKERS BBDO LTD,2000002779,5302.24,#,NW1 5QE
Department for Transport,Department for Transport,08/05/2013,Publicity,Roads,ABBOTT MEAD VICKERS BBDO LTD,2000002779,11686.54,#,NW1 5QE
Department for Transport,Department for Transport,08/05/2013,Publicity,Roads,ABBOTT MEAD VICKERS BBDO LTD,2000002779,5700,#,NW1 5QE
Department for Transport,Department for Transport,08/05/2013,Publicity,Roads,ABBOTT MEAD VICKERS BBDO LTD,2000002779,5368.29,#,NW1 5QE
Department for Transport,Department for Transport,08/05/2013,Publicity,Roads,ABBOTT MEAD VICKERS BBDO LTD,2000002779,9445.32,#,NW1 5QE
Department for Transport,Department for Transport,08/05/2013,Publicity,Roads,ABBOTT MEAD VICKERS BBDO LTD,2000002779,3236.4,#,NW1 5QE
Department for Transport,Department for Transport,08/05/2013,Publicity,Roads,GROUPM UK LIMITED,2000002816,61153.66,#,WC1X 8RX
Department for Transport,Department for Transport,08/05/2013,Publicity,Roads,GROUPM UK LIMITED,2000002816,122113.97,#,WC1X 8RX
Department for Transport,Department for Transport,08/05/2013,Publicity,Transport Security Strategy,INTOUCHUK.COM LTD,2000002790,3603.01,#,SW19 2RR
Department for Transport,Department for Transport,08/05/2013,Recruitment,Group HR,GATENBY SANDERSON LTD,2000002807,4750,#,LS1 2HL
Department for Transport,Department for Transport,08/05/2013,Recruitment,Group HR,GATENBY SANDERSON LTD,2000002807,8750,#,LS1 2HL
Department for Transport,Department for Transport,08/05/2013,Recruitment,Group HR,HOGGETT BOWERS,2000002789,750,#,EC4A 1DR
Department for Transport,Department for Transport,08/05/2013,Rent - L&B (non-PFI),Business Transformation,GVA GRIMLEY,2000002788,66308.84,#,B1 2JB
Department for Transport,Department for Transport,08/05/2013,Research,Aviation,INTERNATIONAL AIR TRANSPORT,2000002826,19322.83,"Manual Payment - $30,000",H4Z 1M1
Department for Transport,Department for Transport,08/05/2013,Small Software,Local,"MELITTA, BART & PAUL BERRINO",2000002812,2520,#,IG8 0HQ
Department for Transport,Department for Transport,08/05/2013,Storage & Distributi,Business Transformation,WILLIAMS LEA LIMITED,2000002815,9732.47,#,NR3 1PD
Department for Transport,Department for Transport,08/05/2013,Support Services,Aviation,BAE SYSTEMS (OPERATIONS) LTD,2000002783,29632.8,#,NP15 1XL
Department for Transport,Department for Transport,08/05/2013,Support Services,General Counsel's Office,CABINET OFFICE,2000002824,107746,#,CF14 3UW
Department for Transport,Department for Transport,08/05/2013,Traffic Survey & Cou,Roads,HIGHWAYS AGENCY (14272),2000002825,3962.32,#,HP2 4XW
Department for Transport,Department for Transport,08/05/2013,Traffic Survey & Cou,Roads,SKY HIGH PLC,2000002813,10712,SRF2 enumeration -  - March 2013,LS24 9AB
Department for Transport,Department for Transport,08/05/2013,Traffic Survey & Cou,Roads,SKY HIGH PLC,2000002813,-10712,CREDIT FOR INVOICE 0000014282,LS24 9AB
Department for Transport,Department for Transport,08/05/2013,Traffic Survey & Cou,Roads,SKY HIGH PLC,2000002813,10572,#,LS24 9AB
Department for Transport,Department for Transport,08/05/2013,Training,Local,THE EMMANUEL CENTRE,2000002802,3775,#,SW1P 3DW
Department for Transport,Department for Transport,08/05/2013,Transport  Consult,Rail and Road Projects,JACOBS UK LTD,2000002791,16903.72,#,G2 7HX
Department for Transport,Department for Transport,08/05/2013,Travel Booking Costs,Air Accident Investigation Branch,REDFERN TRAVEL LTD,2000002809,20.42,Redfern - April 2013,BD1 3AZ
Department for Transport,Department for Transport,09/05/2013,Agency Staff Costs,Business Transformation,BADENOCH & CLARK,2000002872,991.44,#,EC4V 4BG
Department for Transport,Department for Transport,09/05/2013,Agency Staff Costs,Business Transformation,BADENOCH & CLARK,2000002872,991.44,#,EC4V 4BG
Department for Transport,Department for Transport,09/05/2013,Agency Staff Costs,Business Transformation,BADENOCH & CLARK,2000002872,1239.3,#,EC4V 4BG
Department for Transport,Department for Transport,09/05/2013,Agency Staff Costs,Business Transformation,BADENOCH & CLARK,2000002872,1239.3,#,EC4V 4BG
Department for Transport,Department for Transport,09/05/2013,Agency Staff Costs,Business Transformation,NETWORKERS INTERNATIONAL (UK) PLC,2000002887,5640.58,#,BR1 1HP
Department for Transport,Department for Transport,09/05/2013,Agency Staff Costs,Permanent Secretary,NETWORKERS INTERNATIONAL (UK) PLC,2000002887,662.94,#,BR1 1HP
Department for Transport,Department for Transport,09/05/2013,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000002871,4036.38,#,BN11 2BW
Department for Transport,Department for Transport,09/05/2013,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000002871,4036.38,#,BN11 2BW
Department for Transport,Department for Transport,09/05/2013,Agency Staff Costs,Group Finance,BADENOCH & CLARK,2000002872,2893.44,#,EC4V 4BG
Department for Transport,Department for Transport,09/05/2013,Agency Staff Costs,Group Finance,BADENOCH & CLARK,2000002872,2893.44,#,EC4V 4BG
Department for Transport,Department for Transport,09/05/2013,Agency Staff Costs,Group Finance,BADENOCH & CLARK,2000002872,741,#,EC4V 4BG
Department for Transport,Department for Transport,09/05/2013,Agency Staff Costs,Group Finance,BADENOCH & CLARK,2000002872,3616.8,#,EC4V 4BG
Department for Transport,Department for Transport,09/05/2013,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,2000002887,3408.78,#,BR1 1HP
Department for Transport,Department for Transport,09/05/2013,Agency Staff Costs,Local,SPRING TECHNOLOGY LTD  ALSO T/A,2000002888,765.9,#,B37 7YE
Department for Transport,Department for Transport,09/05/2013,Agency Staff Costs,Rail and Road Projects,EXPERIS LTD,2000002875,5835.78,#,EC1R 3DR
Department for Transport,Department for Transport,09/05/2013,Agency Staff Costs,Rail and Road Projects,EXPERIS LTD,2000002875,914.88,#,EC1R 3DR
