Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount
Department for Transport,Department for Transport,04/01/2011,Research,Transform Licensing Logistics and Sponsorship,AEA TECHNOLOGY PLC,2000022324,"10,225.00"
Department for Transport,Department for Transport,07/01/2011,Research,Aviation,AEA TECHNOLOGY PLC,2000022540,"20,289.03"
Department for Transport,Department for Transport,11/01/2011,Research,Aviation,AEA TECHNOLOGY PLC,2000022681,"10,865.78"
Department for Transport,Department for Transport,17/01/2011,Other Professional Fees,Maritime and Dangerous Goods,AEA TECHNOLOGY PLC,2000023257,"12,405.65"
Department for Transport,Department for Transport,18/01/2011,Research,Environment and International,AEA TECHNOLOGY PLC,2000023338,"23,002.00"
Department for Transport,Department for Transport,25/01/2011,Research,Transform Licensing Logistics and Sponsorship,AEA TECHNOLOGY PLC,2000023732,"12,220.00"
Department for Transport,Department for Transport,27/01/2011,Research,Aviation,AEA TECHNOLOGY PLC,2000024022,"18,224.58"
Department for Transport,Department for Transport,06/01/2011,Transport Consultancy,Rail Technical & Professional,AECOM LIMITED,2000003385,"9,615.00"
Department for Transport,Department for Transport,04/01/2011,Research,Road & Vehicle Safety & Standards,AECOM LIMITED,2000022334,"32,754.68"
Department for Transport,Department for Transport,04/01/2011,Research,Regional & Local Transport,AECOM LIMITED,2000022334,"4,991.04"
Department for Transport,Department for Transport,07/01/2011,Traffic Survey & Counting Equipment,Regional & Local Transport,AECOM LIMITED,2000022546,"7,087.50"
Department for Transport,Department for Transport,07/01/2011,Traffic Survey & Counting Equipment,Regional & Local Transport,AECOM LIMITED,2000022546,"62,475.00"
Department for Transport,Department for Transport,07/01/2011,Traffic Survey & Counting Equipment,Regional & Local Transport,AECOM LIMITED,2000022546,"3,038.70"
Department for Transport,Department for Transport,07/01/2011,Traffic Survey & Counting Equipment,Regional & Local Transport,AECOM LIMITED,2000022546,"3,580.50"
Department for Transport,Department for Transport,17/01/2011,Research,Road & Vehicle Safety & Standards,AECOM LIMITED,2000023265,"31,791.75"
Department for Transport,Department for Transport,20/01/2011,Research,Road & Vehicle Safety & Standards,AECOM LIMITED,2000023493,"11,396.00"
Department for Transport,Department for Transport,21/01/2011,Research,Transform Licensing Logistics and Sponsorship,AECOM LIMITED,2000023566,"6,750.00"
Department for Transport,Department for Transport,21/01/2011,Transport Consultancy,Transform Licensing Logistics and Sponsorship,AECOM LIMITED,2000023566,"58,608.00"
Department for Transport,Department for Transport,27/01/2011,Subsidies to Private Sector,Regional & Local Transport,AGE CONCERN BARNET,2000023856,"1,431.26"
Department for Transport,Department for Transport,27/01/2011,Subsidies to Private Sector,Regional & Local Transport,AGE CONCERN CALDERDALE,2000023857,"2,774.34"
Department for Transport,Department for Transport,27/01/2011,Subsidies to Private Sector,Regional & Local Transport,AGE CONCERN FAKENHAM,2000023859,801.77
Department for Transport,Department for Transport,27/01/2011,Subsidies to Private Sector,Regional & Local Transport,AGE CONCERN FELTHAM HANWORTH & BED,2000023860,501.18
Department for Transport,Department for Transport,27/01/2011,Subsidies to Private Sector,Regional & Local Transport,AGE CONCERN SHEPPEY,2000023864,"1,139.81"
Department for Transport,Department for Transport,04/01/2011,Training,Accident Investigating Branches,ALAN MANN HELICOPTERS LTD,2000022325,757.9
Department for Transport,Department for Transport,04/01/2011,Training,Accident Investigating Branches,ALAN MANN HELICOPTERS LTD,2000022325,438.95
Department for Transport,Department for Transport,13/01/2011,Subsidies to Private Sector,Regional & Local Transport,ALANSWAY COACHES LTD,2000022801,"29,194.09"
Department for Transport,Department for Transport,10/01/2011,Programme and Project Management Consultancy,Rail Technical & Professional,ALBANY SMITH MANAGEMENT LTD,2000003431,"12,690.00"
Department for Transport,Department for Transport,26/01/2011,Programme and Project Management Consultancy,Rail Technical & Professional,ALBANY SMITH MANAGEMENT LTD,2000003566,"12,960.00"
Department for Transport,Department for Transport,04/01/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003333,"3,255.10"
Department for Transport,Department for Transport,10/01/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003422,977.86
Department for Transport,Department for Transport,10/01/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003422,"2,009.25"
Department for Transport,Department for Transport,10/01/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003422,"1,004.63"
Department for Transport,Department for Transport,13/01/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003468,"3,102.78"
Department for Transport,Department for Transport,13/01/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003468,"3,102.78"
Department for Transport,Department for Transport,14/01/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003476,"1,861.67"
Department for Transport,Department for Transport,21/01/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003533,"1,026.00"
Department for Transport,Department for Transport,21/01/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003533,"1,004.63"
Department for Transport,Department for Transport,24/01/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003544,"1,539.00"
Department for Transport,Department for Transport,20/01/2011,Agency Staff Costs,Finance & Estates ,ALLEN LANE FINANCIAL RECRUITMENT,2000023486,"3,196.00"
Department for Transport,Department for Transport,21/01/2011,Agency Staff Costs,Finance & Estates ,ALLEN LANE FINANCIAL RECRUITMENT,2000023555,"1,574.03"
Department for Transport,Department for Transport,21/01/2011,Agency Staff Costs,Finance & Estates ,ALLEN LANE FINANCIAL RECRUITMENT,2000023555,"1,574.03"
Department for Transport,Department for Transport,21/01/2011,Agency Staff Costs,Finance & Estates ,ALLEN LANE FINANCIAL RECRUITMENT,2000023555,"1,950.30"
Department for Transport,Department for Transport,21/01/2011,Agency Staff Costs,Finance & Estates ,ALLEN LANE FINANCIAL RECRUITMENT,2000023555,"3,264.00"
Department for Transport,Department for Transport,21/01/2011,Agency Staff Costs,Finance & Estates ,ALLEN LANE FINANCIAL RECRUITMENT,2000023555,"2,033.04"
Department for Transport,Department for Transport,21/01/2011,Agency Staff Costs,Finance & Estates ,ALLEN LANE FINANCIAL RECRUITMENT,2000023555,"1,840.23"
Department for Transport,Department for Transport,24/01/2011,Agency Staff Costs,Finance & Estates ,ALLEN LANE FINANCIAL RECRUITMENT,2000023665,815.58
Department for Transport,Department for Transport,24/01/2011,Agency Staff Costs,Finance & Estates ,ALLEN LANE FINANCIAL RECRUITMENT,2000023665,"4,080.00"
Department for Transport,Department for Transport,27/01/2011,Subsidies to Private Sector,Regional & Local Transport,ALS COACHES,2000023865,"10,015.38"
Department for Transport,Department for Transport,21/01/2011,Telephone charges,Accident Investigating Branches,ALTERNATIVE NETWORKS PLC,2000023589,"1,128.00"
Department for Transport,Department for Transport,27/01/2011,Hospitality,Finance & Planning,AMEY BUSINESS SERVICES LTD,2000003574,"1,332.74"
Department for Transport,Department for Transport,04/01/2011,Hospitality,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000022326,"7,124.32"
Department for Transport,Department for Transport,14/01/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000023182,"36,297.12"
Department for Transport,Department for Transport,14/01/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000023182,"248,738.75"
Department for Transport,Department for Transport,14/01/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000023182,"30,153.42"
Department for Transport,Department for Transport,18/01/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000023384,829.13
Department for Transport,Department for Transport,19/01/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000023450,533.84
Department for Transport,Department for Transport,19/01/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000023450,"14,924.33"
Department for Transport,Department for Transport,19/01/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000023450,"14,924.33"
Department for Transport,Department for Transport,19/01/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000023450,"1,809.17"
Department for Transport,Department for Transport,19/01/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000023450,"2,177.83"
Department for Transport,Department for Transport,19/01/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000023450,"1,809.17"
Department for Transport,Department for Transport,19/01/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000023450,"2,177.83"
Department for Transport,Department for Transport,26/01/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000023794,"4,037.60"
Department for Transport,Department for Transport,27/01/2011,Hospitality,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000024023,"3,572.65"
Department for Transport,Department for Transport,24/01/2011,Printing,Road & Vehicle Safety & Standards,ANCIENT HOUSE PRINTING GROUP,2000023666,"15,900.00"
Department for Transport,Department for Transport,13/01/2011,Subsidies to Private Sector,Regional & Local Transport,AQUARIUS TRAVEL,2000022802,"1,302.61"
Department for Transport,Department for Transport,21/01/2011,IT Services  Running Costs,Road & Vehicle Safety & Standards,ARKITEC SOFTWARE LIMITED,2000023586,720
Department for Transport,Department for Transport,13/01/2011,Subsidies to Private Sector,Regional & Local Transport,ARRIVA LONDON NORTH LTD,2000022803,"5,639,426.16"
Department for Transport,Department for Transport,27/01/2011,Subsidies to Private Sector,Regional & Local Transport,ARRIVA THE SHIRES LTD,2000023866,"13,313.10"
Department for Transport,Department for Transport,13/01/2011,Subsidies to Private Sector,Regional & Local Transport,ARROWEBROOK COACHES LTD,2000022804,"3,040.74"
Department for Transport,Department for Transport,07/01/2011,Cars Fuel,Corporate Support Function,ARVAL,2000022541,"16,059.35"
Department for Transport,Department for Transport,12/01/2011,Travel Expenses UK,Accident Investigating Branches,ARVAL,2000022744,949.95
Department for Transport,Department for Transport,27/01/2011,Subsidies to Private Sector,Regional & Local Transport,ASHBOURNE COMMUNITY TRANSPORT,2000023868,"9,992.57"
Department for Transport,Department for Transport,13/01/2011,Subsidies to Private Sector,Regional & Local Transport,ASTLEY PRIVATE HIRE,2000022805,"4,320.71"
Department for Transport,Department for Transport,05/01/2011,Research,Regional & Local Transport,ATKINS LTD (MANAGEMENT CONSULTANTS),2000022395,"13,348.00"
Department for Transport,Department for Transport,07/01/2011,Transport Consultancy,Regional & Local Transport,ATKINS LTD (MANAGEMENT CONSULTANTS),2000022542,"14,716.95"
Department for Transport,Department for Transport,18/01/2011,Research,Regional & Local Transport,ATKINS LTD (MANAGEMENT CONSULTANTS),2000023339,"275,823.04"
Department for Transport,Department for Transport,18/01/2011,Transport Consultancy,Regional & Local Transport,ATKINS LTD (MANAGEMENT CONSULTANTS),2000023339,"14,067.32"
Department for Transport,Department for Transport,24/01/2011,Research,Transport Analysis and Economics,ATKINS LTD (MANAGEMENT CONSULTANTS),2000023668,"32,650.00"
Department for Transport,Department for Transport,28/01/2011,Transport Consultancy,Aviation,ATKINS LTD (MANAGEMENT CONSULTANTS),2000024093,"14,748.01"
Department for Transport,Department for Transport,07/01/2011,Data Supply - Transport Direct,Information Management Directorate,ATKINS LTD (TRANSPORT PLAN),2000022543,"7,958.47"
Department for Transport,Department for Transport,11/01/2011,Data Supply - Transport Direct,Information Management Directorate,ATKINS LTD (TRANSPORT PLAN),2000022682,"1,462.88"
Department for Transport,Department for Transport,18/01/2011,Management Consultancy,Rail Technical & Professional,ATKINS LTD (TRANSPORT PLANNING),2000003501,"29,997.50"
Department for Transport,Department for Transport,18/01/2011,Transport Consultancy,Rail Technical & Professional,ATKINS LTD (TRANSPORT PLANNING),2000003501,"22,500.00"
Department for Transport,Department for Transport,26/01/2011,Transport Consultancy,Projects,ATKINS LTD (TRANSPORT PLANNING),2000003563,"1,681.20"
Department for Transport,Department for Transport,11/01/2011,Management Consultancy,Transport Security,ATLANTIC GROUP ASSOCIATES,2000022720,"13,242.94"
Department for Transport,Department for Transport,24/01/2011,IT Consultancy,Rail Service Delivery,ATOS ORIGIN IT SERVICES UK LTD,2000003545,"14,736.20"
Department for Transport,Department for Transport,05/01/2011,IT Services  Running Costs,Information Management Directorate,ATOS ORIGIN IT SERVICES UK LTD,2000022396,"138,118.90"
Department for Transport,Department for Transport,05/01/2011,Small Software,Information Management Directorate,ATOS ORIGIN IT SERVICES UK LTD,2000022396,"5,306.83"
Department for Transport,Department for Transport,05/01/2011,Transport Consultancy,Information Management Directorate,ATOS ORIGIN IT SERVICES UK LTD,2000022396,"10,607.90"
Department for Transport,Department for Transport,05/01/2011,Transport Consultancy,Information Management Directorate,ATOS ORIGIN IT SERVICES UK LTD,2000022396,"8,957.61"
Department for Transport,Department for Transport,05/01/2011,Transport Consultancy,Information Management Directorate,ATOS ORIGIN IT SERVICES UK LTD,2000022396,"2,587.94"
Department for Transport,Department for Transport,04/01/2011,Property Maintenance,Accident Investigating Branches,AUORA SYSTEMS,2000022328,"4,181.86"
Department for Transport,Department for Transport,05/01/2011,Property Maintenance,Accident Investigating Branches,AUORA SYSTEMS,2000022397,"2,757.22"
Department for Transport,Department for Transport,21/01/2011,Property Maintenance,Accident Investigating Branches,AUORA SYSTEMS,2000023556,"1,692.03"
Department for Transport,Department for Transport,21/01/2011,Property Maintenance,Accident Investigating Branches,AUORA SYSTEMS,2000023556,"3,283.76"
Department for Transport,Department for Transport,27/01/2011,Subsidies to Private Sector,Regional & Local Transport,AXE VALLEY & W DORSET RING & RIDE,2000023870,"1,497.82"
Department for Transport,Department for Transport,13/01/2011,Subsidies to Private Sector,Regional & Local Transport,AXE VALLEY MINI TRAVEL,2000022806,"7,845.17"
Department for Transport,Department for Transport,13/01/2011,Subsidies to Private Sector,Regional & Local Transport,B & N COACHES,2000022807,"1,291.02"
Department for Transport,Department for Transport,24/01/2011,Agency Staff Costs,Procurement,BADENOCH & CLARK,2000003546,"2,625.71"
Department for Transport,Department for Transport,14/01/2011,Agency Staff Costs,Transport Security,BADENOCH & CLARK,2000023155,"2,820.00"
Department for Transport,Department for Transport,14/01/2011,Agency Staff Costs,Transport Security,BADENOCH & CLARK,2000023155,"1,692.00"
Department for Transport,Department for Transport,14/01/2011,Agency Staff Costs,Transport Security,BADENOCH & CLARK,2000023155,"2,820.00"
Department for Transport,Department for Transport,21/01/2011,Agency Staff Costs,Transport Security,BADENOCH & CLARK,2000023558,"2,820.00"
Department for Transport,Department for Transport,21/01/2011,Agency Staff Costs,Transport Security,BADENOCH & CLARK,2000023558,"2,256.00"
Department for Transport,Department for Transport,21/01/2011,Agency Staff Costs,Transport Security,BADENOCH & CLARK,2000023558,"2,256.00"
Department for Transport,Department for Transport,21/01/2011,Agency Staff Costs,Transport Security,BADENOCH & CLARK,2000023558,"2,820.00"
Department for Transport,Department for Transport,24/01/2011,Agency Staff Costs,Human Resources,BADENOCH & CLARK,2000023670,"3,753.48"
Department for Transport,Department for Transport,24/01/2011,Agency Staff Costs,Human Resources,BADENOCH & CLARK,2000023670,"3,753.48"
Department for Transport,Department for Transport,24/01/2011,Agency Staff Costs,Human Resources,BADENOCH & CLARK,2000023670,"3,753.48"
Department for Transport,Department for Transport,24/01/2011,Agency Staff Costs,Human Resources,BADENOCH & CLARK,2000023670,"3,378.14"
Department for Transport,Department for Transport,24/01/2011,Agency Staff Costs,Human Resources,BADENOCH & CLARK,2000023670,"3,002.78"
Department for Transport,Department for Transport,24/01/2011,Agency Staff Costs,Human Resources,BADENOCH & CLARK,2000023670,"3,753.48"
Department for Transport,Department for Transport,25/01/2011,Agency Staff Costs,Human Resources,BADENOCH & CLARK,2000023733,"3,753.48"
Department for Transport,Department for Transport,25/01/2011,Agency Staff Costs,Human Resources,BADENOCH & CLARK,2000023733,"3,002.78"
Department for Transport,Department for Transport,25/01/2011,Agency Staff Costs,Human Resources,BADENOCH & CLARK,2000023733,"3,753.48"
Department for Transport,Department for Transport,25/01/2011,Agency Staff Costs,Human Resources,BADENOCH & CLARK,2000023733,"3,002.78"
Department for Transport,Department for Transport,25/01/2011,Agency Staff Costs,Human Resources,BADENOCH & CLARK,2000023733,"3,753.48"
Department for Transport,Department for Transport,04/01/2011,Support Services,Aviation,BAE SYSTEMS (AVIATION SERVICES)LTD,2000022353,"16,809.26"
Department for Transport,Department for Transport,13/01/2011,Subsidies to Private Sector,Regional & Local Transport,BAKERS COACHES,2000022808,"82,302.51"
Department for Transport,Department for Transport,13/01/2011,Subsidies to Private Sector,Regional & Local Transport,BAKERS DOLPHIN,2000022809,"5,855.00"
Department for Transport,Department for Transport,27/01/2011,Subsidies to Private Sector,Regional & Local Transport,BAKEWELL & EYAM COMM TRANSPORT,2000023871,"8,204.63"
Department for Transport,Department for Transport,27/01/2011,Subsidies to Private Sector,Regional & Local Transport,BANK HOUSE DAY CENTRE,2000023872,"1,121.43"
Department for Transport,Department for Transport,05/01/2011,Stationery (Non-stock),Projects,BANNER BUSINESS SERVICES LTD,2000003349,713.58
Department for Transport,Department for Transport,06/01/2011,Stationery (Non-stock),Human Resources,BANNER BUSINESS SERVICES LTD,2000022479,"2,204.50"
Department for Transport,Department for Transport,17/01/2011,Stationery (Non-stock),Transport Security,BANNER BUSINESS SERVICES LTD,2000023256,"2,751.27"
Department for Transport,Department for Transport,17/01/2011,Stationery (Non-stock),Finance & Estates ,BANNER BUSINESS SERVICES LTD,2000023256,602.26
Department for Transport,Department for Transport,21/01/2011,Stationery (Non-stock),Standalone Units,BANNER BUSINESS SERVICES LTD,2000023551,"1,682.60"
Department for Transport,Department for Transport,21/01/2011,Stationery (Non-stock),Regional & Local Transport,BANNER BUSINESS SERVICES LTD,2000023551,"1,326.62"
Department for Transport,Department for Transport,27/01/2011,Stationery (Non-stock),Human Resources,BANNER BUSINESS SERVICES LTD,2000024019,550.44
Department for Transport,Department for Transport,28/01/2011,Stationery (Non-stock),Aviation,BANNER BUSINESS SERVICES LTD,2000024090,"1,041.39"
Department for Transport,Department for Transport,28/01/2011,Stationery (Non-stock),Legal Services Directorate ,BANNER BUSINESS SERVICES LTD,2000024090,"1,186.32"
Department for Transport,Department for Transport,28/01/2011,Stationery (Non-stock),Aviation,BANNER BUSINESS SERVICES LTD,2000024090,"1,905.02"
Department for Transport,Department for Transport,28/01/2011,Stationery (Non-stock),Legal Services Directorate ,BANNER BUSINESS SERVICES LTD,2000024090,"1,724.95"
Department for Transport,Department for Transport,31/01/2011,Stationery (Non-stock),Transform Licensing Logistics and Sponsorship,BANNER BUSINESS SERVICES LTD,2000024182,848.95
