Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount,Text,Postcode
Department for Transport,Department for Transport,40872,Training,Air Accident Investigation Branch,FAST HELICOPTERS LIMITED,2000017437,490.92,MD 04.11.2011 Training,BN43 5FF
Department for Transport,Department for Transport,40863,Training,Air Accident Investigation Branch,HELIFLIGHT (UK) LTD,2000016864,1599.26,HELIFLIGHT NGB TRAINING SCHOOL,DY7 5DY
Department for Transport,Department for Transport,40872,Training,Air Accident Investigation Branch,NATIONAL SCHOOL OF GOVERNMENT,2000017464,740,Negotiation skills - AC - 31.10 - 01.11.2011,SL5 0QE
Department for Transport,Department for Transport,40849,Training,Air Accident Investigation Branch,SYNERGY AVIATION LTD,2000015674,1737.78,synergy ngb training firth 13-14aug 2011,GU24 8HX
Department for Transport,Department for Transport,40865,Training,Air Accident Investigation Branch,SYNERGY AVIATION LTD,2000017038,1592,SYNERGY NGB TRAINING TJA 21-231011,GU24 8HX
Department for Transport,Department for Transport,40872,Computer Consumables,Analysis/Science,SUPPLIES TEAM,2000017426,666.08,,S9 1XU
Department for Transport,Department for Transport,40875,Machinery Rental,Analysis/Science,CANON (UK) LTD,2000017823,266.54,Rental of CANON iR6880Ci MFD,RH2 8BF
Department for Transport,Department for Transport,40875,Machinery Rental,Analysis/Science,CANON (UK) LTD,2000017823,266.54,Rental of CANON iR6880Ci MFD,RH2 8BF
Department for Transport,Department for Transport,40876,Training,Analysis/Science,NATIONAL SCHOOL OF GOVERNMENT,2000017916,740,17-18 Nov-Communicating Complex Info in Writing SS,SL5 0QE
Department for Transport,Department for Transport,40862,Training,Analysis/Science,OPERATIONAL RESEARCH SOCIETY,2000016776,720,Data Mining Course,B1 2RX
Department for Transport,Department for Transport,40857,Computer Consumables,Aviation,SUPPLIES TEAM,2000016183,1480.38,,S9 1XU
Department for Transport,Department for Transport,40872,Conferences / Seminars,Aviation,AIRPORT OPERATOR ASSOCIATION LTD,2000017457,600,AOA Conference 2011,SW1H 9JJ
Department for Transport,Department for Transport,40857,Recruitment Fees,Aviation,FOREIGN & COMMONWEALTH OFFICE,2000016208,4094.14,,MK10 1PX
Department for Transport,Department for Transport,40851,Research,Aviation,AEA TECHNOLOGY PLC,2000015830,22103.33,Contract 4/6/61,OX11 0QR
Department for Transport,Department for Transport,40848,Research,Aviation,CIVIL AVIATION AUTHORITY,2000015592,69845,Costs September 2011 ERCD,RH10 0YR
Department for Transport,Department for Transport,40856,Research,Aviation,INSTITUTE OF OCCUPATIONAL MEDICINE,2000016129,4888.8,IOM-Cabin Air Residue Study,EH14 4AP
Department for Transport,Department for Transport,40856,Support Services,Aviation,BAE SYSTEMS (OPERATIONS) LTD,2000016098,29137.5,BAE Systems Warton LARS FY 11/12,PR4 1AX
Department for Transport,Department for Transport,40854,Support Services,Aviation,CARDIFF INTNL AIRPORT LTD,2000015914,23805.9,DFS LARS 01.07.11 - 30.09.2011,CF62 3BD
Department for Transport,Department for Transport,40858,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000016275,257500,CAA Aviation Reg Enforcement Costs Oct-Dec11,RH10 0YR
Department for Transport,Department for Transport,40870,Translation Services,Aviation,FCO SERVICES,2000017290,600,Cuba ASA Translation,MK19 7BH
Department for Transport,Department for Transport,40855,Agency Staff Costs,Business Transformation,ELAN COMPUTING LTD,2000015965,1630.14,"VA, W/e 30.10.11",EC1R 3DR
Department for Transport,Department for Transport,40863,Agency Staff Costs,Business Transformation,ELAN COMPUTING LTD,2000016859,1630.14,,EC1R 3DR
Department for Transport,Department for Transport,40863,Agency Staff Costs,Business Transformation,ELAN COMPUTING LTD,2000016859,3260.28,,EC1R 3DR
Department for Transport,Department for Transport,40863,Agency Staff Costs,Business Transformation,ELAN COMPUTING LTD,2000016859,3260.28,,EC1R 3DR
Department for Transport,Department for Transport,40863,Agency Staff Costs,Business Transformation,ELAN COMPUTING LTD,2000016859,1630.14,,EC1R 3DR
Department for Transport,Department for Transport,40865,Agency Staff Costs,Business Transformation,MONARCH RECRUITMENT LTD,2000017044,7680,,B2 4UW
Department for Transport,Department for Transport,40854,Agency Staff Costs,Business Transformation,MORGAN HUNT UK LTD,2000015923,1054.44,,WC2B 5QR
Department for Transport,Department for Transport,40855,Agency Staff Costs,Business Transformation,MORGAN HUNT UK LTD,2000015967,843.55,,WC2B 5QR
Department for Transport,Department for Transport,40855,Agency Staff Costs,Business Transformation,MORGAN HUNT UK LTD,2000015967,1054.44,,WC2B 5QR
Department for Transport,Department for Transport,40855,Agency Staff Costs,Business Transformation,MORGAN HUNT UK LTD,2000015967,1054.44,,WC2B 5QR
Department for Transport,Department for Transport,40855,Agency Staff Costs,Business Transformation,MORGAN HUNT UK LTD,2000015967,1054.44,W/E 28/8/11,WC2B 5QR
Department for Transport,Department for Transport,40855,Agency Staff Costs,Business Transformation,MORGAN HUNT UK LTD,2000015967,1054.44,WE 11/9/11,WC2B 5QR
Department for Transport,Department for Transport,40855,Agency Staff Costs,Business Transformation,MORGAN HUNT UK LTD,2000015967,1054.44,WE 18/9/11,WC2B 5QR
Department for Transport,Department for Transport,40855,Agency Staff Costs,Business Transformation,MORGAN HUNT UK LTD,2000015967,632.66,WE 25/9/11,WC2B 5QR
Department for Transport,Department for Transport,40858,Agency Staff Costs,Business Transformation,MORGAN HUNT UK LTD,2000016278,1054.44,,WC2B 5QR
Department for Transport,Department for Transport,40861,Agency Staff Costs,Business Transformation,MORGAN HUNT UK LTD,2000016355,1054.44,,WC2B 5QR
Department for Transport,Department for Transport,40869,Agency Staff Costs,Business Transformation,MORGAN HUNT UK LTD,2000017215,1054.44,W/E 13/11/11,WC2B 5QR
Department for Transport,Department for Transport,40872,Agency Staff Costs,Business Transformation,MORGAN HUNT UK LTD,2000017441,843.55,W/E 20.11.2011,WC2B 5QR
Department for Transport,Department for Transport,40875,Agency Staff Costs,Business Transformation,SAND RESOURCES LTD,2000017833,8841.12,30.10.2011 NB,TN1 1DJ
Department for Transport,Department for Transport,40851,Building Service Charges,Business Transformation,AMEY COMMUNITY LTD,2000015855,37373.66,Amey fixed 55VS Oct 11,OX4 4DQ
Department for Transport,Department for Transport,40851,Building Service Charges,Business Transformation,AMEY COMMUNITY LTD,2000015855,28842.99,Amey fixed Southside Oct 11,OX4 4DQ
Department for Transport,Department for Transport,40851,Building Service Charges,Business Transformation,AMEY COMMUNITY LTD,2000015855,256090.66,Amey GMH fixed Oct 11,OX4 4DQ
Department for Transport,Department for Transport,40865,Building Service Charges,Business Transformation,AMEY COMMUNITY LTD,2000017053,98448.19,Amey variables Sept 11,OX4 4DQ
Department for Transport,Department for Transport,40868,Building Service Charges,Business Transformation,AMEY COMMUNITY LTD,2000017129,99100.6,GMH East Closure Project/Amey application 160,OX4 4DQ
Department for Transport,Department for Transport,40863,Computer equipment,Business Transformation,CREATIVE VIDEO PRODUCTIONS LIMITED,2000016882,2713.2,Sony PDW-U1 (PDWU1) XDCAM ext USB drive,TW8 9EX
Department for Transport,Department for Transport,40851,Computer equipment,Business Transformation,EQUANET,2000015834,928.76,1xDell Notebook ,BL9 7BJ
Department for Transport,Department for Transport,40851,Computer equipment,Business Transformation,EQUANET,2000015834,2316.26,Belkin USB Cble Ext E5420 Ltps,BL9 7BJ
Department for Transport,Department for Transport,40854,Computer equipment,Business Transformation,EQUANET,2000015916,1987.77,Equanet order ,BL9 7BJ
Department for Transport,Department for Transport,40857,Computer equipment,Business Transformation,EQUANET,2000016194,6938.88,,BL9 7BJ
Department for Transport,Department for Transport,40876,Computer equipment,Business Transformation,EQUANET,2000017926,2326.22,,BL9 7BJ
Department for Transport,Department for Transport,40851,Computer equipment,Business Transformation,Probrand Ltd,2000015828,503.79,8 & 16GB Safesticks,B1 3BP
Department for Transport,Department for Transport,40862,Computer equipment,Business Transformation,Probrand Ltd,2000016768,2786.41,,B1 3BP
Department for Transport,Department for Transport,40848,Electricity,Business Transformation,SAVILLS COMMERCIAL LTD,2000015605,19824.08,Elec @ Southside 5h Fl 01/07/11-30/9/11 D209087,EC2M 7EE
Department for Transport,Department for Transport,40848,Electricity,Business Transformation,SAVILLS COMMERCIAL LTD,2000015605,1665.7,Elec @ Southside 9th Fl 01/07/11-30/9/11 D209091,EC2M 7EE
Department for Transport,Department for Transport,40862,IT Services  Running Costs,Business Transformation,CENTERPRISE INTERNATIONAL LIMITED,2000016789,3966.96,Centerprise Nov hosting,RG24 8GQ
Department for Transport,Department for Transport,40863,IT Services  Running Costs,Business Transformation,CENTERPRISE INTERNATIONAL LIMITED,2000016895,1635.17,CI October usage,RG24 8GQ
Department for Transport,Department for Transport,40869,IT Services  Running Costs,Business Transformation,CENTRAL OFFICE OF INFORMATION,2000017212,3456,COI Bang Nov 11,SE1 7DU
Department for Transport,Department for Transport,40875,IT Services  Running Costs,Business Transformation,CENTRAL OFFICE OF INFORMATION,2000017824,39598.5,Corporate website development  11-12,SE1 7DU
Department for Transport,Department for Transport,40861,IT Services  Running Costs,Business Transformation,DELIB LIMITED,2000016366,648,DELIB OCTOBER,BS1 4DZ
Department for Transport,Department for Transport,40857,IT Services  Running Costs,Business Transformation,SPECIALIST COMPUTER CENTRES PLC,2000016207,3528,DfT Corporate Website App Support,B11 2LE
Department for Transport,Department for Transport,40865,Management Consultancy,Business Transformation,QUINCEY MASON PRACTICES LTD,2000017036,8050.98,QMP building consultancy 01.10.-28.10.2011,NN6 9DS
Department for Transport,Department for Transport,40865,Management Consultancy,Business Transformation,QUINCEY MASON PRACTICES LTD,2000017036,4203.96,QMP building consultancy 01.10.-28.10.2011,NN6 9DS
Department for Transport,Department for Transport,40865,Management Consultancy,Business Transformation,QUINCEY MASON PRACTICES LTD,2000017036,4838.52,QMP building consultancy 01.10-28.10.2011,NN6 9DS
Department for Transport,Department for Transport,40857,Media & Press,Business Transformation,DURRANTS LTD,2000016210,4128.29,DfT Press Cuttings,EC1Y 8QE
Department for Transport,Department for Transport,40851,Newspapers,Business Transformation,JONES YARRELL LEADENHALL,2000015838,612.13,Oct-11,E3 3JH
Department for Transport,Department for Transport,40858,Postage,Business Transformation,GOVERNMENT CAR & DESPATCH AGENCY,2000016269,2992.8,November Costs,SW8 5AX
Department for Transport,Department for Transport,40858,Postage,Business Transformation,GOVERNMENT CAR & DESPATCH AGENCY,2000016269,668,November Costs,SW8 5AX
Department for Transport,Department for Transport,40850,Property Consultancy,Business Transformation,DRIVERS JONAS DELOITTE,2000015764,11400,Southside - Fifth Floor Assignment,MK9 1FD
Department for Transport,Department for Transport,40849,Publications for Resale,Business Transformation,TEMPO GRAPHIC DESIGN LTD,2000015675,535,DfT Organisation Chart - October,SE15 6NJ
Department for Transport,Department for Transport,40869,Publicity,Business Transformation,CENTRAL OFFICE OF INFORMATION,2000017212,6928.97,DfT COI Regional News & PR Q2 11/12,SE1 7DU
Department for Transport,Department for Transport,40849,Publicity,Business Transformation,TEMPO GRAPHIC DESIGN LTD,2000015675,1490,Design of GMH lift lobby panels,SE15 6NJ
Department for Transport,Department for Transport,40856,Rent - L&B (non-PFI),Business Transformation,DEPARTMENT FOR WORK & PENSIONS,2000016115,66232.49,Accommodation Charges Oct 11@ Ashdown House,FY5 3TA
Department for Transport,Department for Transport,40875,Rent - L&B (non-PFI),Business Transformation,EVERSHEDS LLP,2000017847,2009999.23,"Assignment monies - 5th Floor, Southside (Nov 11)",CF10 5BT
Department for Transport,Department for Transport,40851,Rent - L&B (non-PFI),Business Transformation,GVA GRIMLEY,2000015836,66308.84,Rent & SC @ 249 WGS 28/11/11-27/02/12,B1 2JB
Department for Transport,Department for Transport,40869,Room Hire,Business Transformation,THE EMMANUEL CENTRE,2000017222,1290,Venue hire Emmanuel Centre 15 November,SW1P 3DW
Department for Transport,Department for Transport,40856,Small Software,Business Transformation,THE PRESS ASSOCIATION LTD,2000016120,808.19,PA NOV FOR DEC,SW1V 1A
Department for Transport,Department for Transport,40861,Storage & Distribution,Business Transformation,CAMBERTOWN LIMITED,2000016365,12084.97,Storage and Fufilment Oct 2011,S63 9BL
Department for Transport,Department for Transport,40856,Telephone Line Rental,Business Transformation,DAISY COMMUNICATIONS LIMITED,2000016107,580.57,Press Office Duty Home Phone Lines,BB9 5SR
Department for Transport,Department for Transport,40870,Telephone Line Rental,Business Transformation,DAISY COMMUNICATIONS LIMITED,2000017281,578.75,calls & service 01/11/11 to 30/11/11,BB9 5SR
Department for Transport,Department for Transport,40871,Training,Business Transformation,PAXTON WEB SERVICES LTD,2000017395,1016,PDF accessibility training 11-12 Nov 11,GU21 5TS
Department for Transport,Department for Transport,40869,Transport Consultancy,Business Transformation,CENTRAL OFFICE OF INFORMATION,2000017212,36480,Travel and Transport June & July 11,SE1 7DU
Department for Transport,Department for Transport,40864,Legal Consultancy,Centrally held prog,ALLEN & OVERY,2000016964,29239.58,ALLEN & OVERY-NATS,E1 6AO
Department for Transport,Department for Transport,40851,Mobile Phone charges,Centrally held prog,VODAFONE LTD,2000015841,4605.2,Vodafone 229 mobiles up to 31.08.11,RG14 5FF
Department for Transport,Department for Transport,40855,Mobile Phone charges,Centrally held prog,VODAFONE LTD,2000015971,552,Vodafone - Oct 11,RG14 5FF
Department for Transport,Department for Transport,40851,Purchasing Card Charges,Centrally held prog,BARCLAYS BANK PLC,2000015831,31664.07,Barclaycard INE August 2011,TS17 6YG
Department for Transport,Department for Transport,40851,Purchasing Card Charges,Centrally held prog,BARCLAYS BANK PLC,2000015831,2724.17,Barclaycard INECC August 2011,TS17 6YG
Department for Transport,Department for Transport,40851,Purchasing Card Charges,Centrally held prog,BARCLAYS BANK PLC,2000015831,3132.74,BARCLAYS  - ISE - OCT 2011,TS17 6YG
Department for Transport,Department for Transport,40851,Purchasing Card Charges,Centrally held prog,BARCLAYS BANK PLC,2000015831,26474.14,BARCLAYS  - ISE- OCT 2011,TS17 6YG
Department for Transport,Department for Transport,40851,Purchasing Card Charges,Centrally held prog,BARCLAYS BANK PLC,2000015831,1454.69,Barclays - [DfT ISE] - Sept 11,TS17 6YG
Department for Transport,Department for Transport,40851,Purchasing Card Charges,Centrally held prog,BARCLAYS BANK PLC,2000015831,22648.34,Barclays - [DfT ISE] - Sept 11,TS17 6YG
Department for Transport,Department for Transport,40868,Purchasing Card Charges,Centrally held prog,BARCLAYS BANK PLC,2000017112,2821,Barclays - DFT/ISE - November 2011,TS17 6YG
Department for Transport,Department for Transport,40868,Purchasing Card Charges,Centrally held prog,BARCLAYS BANK PLC,2000017112,30816.96,Barclays - DFT/ISE - November 2011,TS17 6YG
Department for Transport,Department for Transport,40854,Travel Expenses Overseas,Centrally held prog,CAPITA BUSINESS TRAVEL,2000015934,10636.25,Capita AAIB November 2011,DE21 6BF
Department for Transport,Department for Transport,40854,Travel Expenses Overseas,Centrally held prog,CAPITA BUSINESS TRAVEL,2000015934,29717.77,Capita INE November 2011,DE21 6BF
Department for Transport,Department for Transport,40851,Travel Expenses UK,Centrally held prog,CARLSON WAGONLIT TRAVEL,2000015848,2330.28,CWT - INE - Oct 11,EN6 5RF
Department for Transport,Department for Transport,40851,Travel Expenses UK,Centrally held prog,CARLSON WAGONLIT TRAVEL,2000015848,3493.7,Expenses Period ending 21/10,EN6 5RF
Department for Transport,Department for Transport,40863,Travel Expenses UK,Centrally held prog,CARLSON WAGONLIT TRAVEL,2000016889,4400.99,CWT - ISE - P/E 04/11/11,EN6 5RF
Department for Transport,Department for Transport,40868,Travel Expenses UK,Centrally held prog,CARLSON WAGONLIT TRAVEL,2000017125,2755.17,CW - INE - November 2011,EN6 5RF
Department for Transport,Department for Transport,40850,Agency Staff Costs,Commercial & Technical Services,CAMBRIDGE ECONOMIC POLICY ASSOC LTD,2000015765,6598.8,Inward secondment of RH August - September,WC2A 3LJ
Department for Transport,Department for Transport,40871,Agency Staff Costs,Commercial & Technical Services,CAMBRIDGE ECONOMIC POLICY ASSOC LTD,2000017376,6598.8,18.09.11-17.10.11 Inward secondment of RH to CTSD,WC2A 3LJ
Department for Transport,Department for Transport,40863,Agency Staff Costs,Commercial & Technical Services,PRICEWATERHOUSECOOPERS LLP,2000016870,10812.8,Sep-11,E14 9SQ
Department for Transport,Department for Transport,40864,Agency Staff Costs,Commercial & Technical Services,PRICEWATERHOUSECOOPERS LLP,2000016956,10812.8,Aug-11,E14 9SQ
Department for Transport,Department for Transport,40871,Agency Staff Costs,Commercial & Technical Services,PRICEWATERHOUSECOOPERS LLP,2000017384,10812.8,Oct-11,E14 9SQ
Department for Transport,Department for Transport,40863,Computer Consumables,Commercial & Technical Services,SUPPLIES TEAM,2000016840,1933.37,Toners,S9 1XU
Department for Transport,Department for Transport,40863,Legal Consultancy,Commercial & Technical Services,EVERSHEDS LLP,2000016861,4686,Eversheds Legal Advice Greater Anglia,LS11 5DR
Department for Transport,Department for Transport,40863,Legal Consultancy,Commercial & Technical Services,EVERSHEDS LLP,2000016861,16336.2,INV90996784 TFA 26SEP11 to 22OCT11,LS11 5DR
Department for Transport,Department for Transport,40863,Legal Consultancy,Commercial & Technical Services,EVERSHEDS LLP,2000016861,48042.07,Legal advice GA,LS11 5DR
Department for Transport,Department for Transport,40851,Management Consultancy,Commercial & Technical Services,FIRST ECONOMICS LIMITED,2000015835,5000,Sep-11,E14 8RL
Department for Transport,Department for Transport,40868,Management Consultancy,Commercial & Technical Services,FIRST ECONOMICS LIMITED,2000017116,2000,Oct-11,E14 8RL
Department for Transport,Department for Transport,40863,Minor Developments,Commercial & Technical Services,CONNECT INTERNET SOLUTIONS LTD,2000016856,1350,hosting thameslink oct 2011,L2 6SG
Department for Transport,Department for Transport,40865,Minor Developments,Commercial & Technical Services,CONNECT INTERNET SOLUTIONS LTD,2000017027,1350,Connect Internet Solutions -Data site,L2 6SG
Department for Transport,Department for Transport,40865,Minor Developments,Commercial & Technical Services,CONNECT INTERNET SOLUTIONS LTD,2000017027,2550,Connect Internet Solutions -Data site,L2 6SG
Department for Transport,Department for Transport,40865,Minor Developments,Commercial & Technical Services,CONNECT INTERNET SOLUTIONS LTD,2000017027,2550,greater anglia data site,L2 6SG
Department for Transport,Department for Transport,40865,Other Professional Fees,Commercial & Technical Services,BLOOMBERG LP,2000017058,4510.67,,EC2A 1PQ
Department for Transport,Department for Transport,40864,Research,Commercial & Technical Services,RICARDO CONSULTING ENGINEERS LTD,2000016957,11700,Engine Efficiency Improvements,BN43 5FG
Department for Transport,Department for Transport,40848,Secondments,Commercial & Technical Services,MINISTRY OF DEFENCE,2000015606,22752.71,Secondment fees Aug & Sep 2011,L2 3YL
Department for Transport,Department for Transport,40851,Computer Consumables,DASH,SUPPLIES TEAM,2000015827,721.79,,S9 1XU
Department for Transport,Department for Transport,40871,Support Services,DASH,ENVIRONMENTAL SCIENTIFICS GROUP LTD,2000017372,4464,joint de brief mtg 04.10. & prep for 27.10.2011,DE15 0YZ
Department for Transport,Department for Transport,40871,Support Services,DASH,ENVIRONMENTAL SCIENTIFICS GROUP LTD,2000017372,4462.13,Veh Tec Mtg 6-7.10.2011,DE15 0YZ
Department for Transport,Department for Transport,40849,Agents Fees,Domestic DG's Office,DD ACCRAILWAY PENS TRUSTEE,2000015677,1178.77,Pension Payments to Former Employees,DL3 6XR
Department for Transport,Department for Transport,40869,Agents Fees,Domestic DG's Office,DD ACCRAILWAY PENS TRUSTEE,2000017221,3650.84,Pension Payments to Former Employees,DL3 6XR
Department for Transport,Department for Transport,40871,Agents Fees,Domestic DG's Office,DD ACCRAILWAY PENS TRUSTEE,2000017391,3088.64,Pension Payments to Former Employees,DL3 6XR
Department for Transport,Department for Transport,40871,Agents Fees,Domestic DG's Office,DD ACCRAILWAY PENS TRUSTEE,2000017391,899.72,Pension Scheme Contrib - Employer X007,DL3 6XR
Department for Transport,Department for Transport,40875,Agents Fees,Domestic DG's Office,DD ACCRAILWAY PENS TRUSTEE,2000017838,3888.9,November 11 Pension Scheme,DL3 6XR
Department for Transport,Department for Transport,40850,Agents Fees,Domestic DG's Office,EXEL PLC,2000015779,400000,Inv DfT0014 Nov 11,MK40 2UB
Department for Transport,Department for Transport,40875,Agents Fees,Domestic DG's Office,EXEL PLC,2000017815,400000,NFC Pensions December 2011,MK40 2UB
Department for Transport,Department for Transport,40849,Agents Fees,Domestic DG's Office,RAILWAYS PENSION MANAGEMENT LT,2000015678,1250000,Government Support,DL3 6EH
Department for Transport,Department for Transport,40855,Rates,Domestic DG's Office,RAILWAYS PENSION MANAGEMENT LT,2000015975,159229.24,RPMI - VAT only 2010-11,DL3 6EH
Department for Transport,Department for Transport,40870,Computer Consumables,General Counsel's Office,SUPPLIES TEAM,2000017264,1571.93,,S9 1XU
Department for Transport,Department for Transport,40863,Conferences / Seminars,General Counsel's Office,JESUS COLLEGE,2000016867,3356.28,,OX1 3DW
Department for Transport,Department for Transport,40851,Management Consultancy,General Counsel's Office,ARCHWAY RESILIENCE LIMITED,2000015853,3000,BC Management Workshop for ExCo,SP1 2PH
Department for Transport,Department for Transport,40851,Personal Development,General Counsel's Office,NATIONAL SCHOOL OF GOVERNMENT,2000015823,500,NSG 4007353 Blanket Order,SL5 0QE
Department for Transport,Department for Transport,40855,Storage & Distribution charges,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000015978,37426.86,corporate charges july 11,SW1E 5DU
Department for Transport,Department for Transport,40855,Storage & Distribution charges,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000015978,26292.64,corporate charges sept,SW1E 5DU
Department for Transport,Department for Transport,40855,Storage & Distribution charges,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000015978,41286.41,Group Charges for Aug,SW1E 5DU
Department for Transport,Department for Transport,40855,Storage & Distribution charges,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000015978,42145.69,Group Charges for July,SW1E 5DU
Department for Transport,Department for Transport,40855,Storage & Distribution charges,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000015978,41462.85,Group Charges for Sept,SW1E 5DU
Department for Transport,Department for Transport,40855,Storage & Distribution charges,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000015978,14802.37,overhead charges,SW1E 5DU
Department for Transport,Department for Transport,40855,Storage & Distribution charges,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000015978,14802.37,overhead charges sept,SW1E 5DU
Department for Transport,Department for Transport,40856,Storage & Distribution charges,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000016119,6181.09,Corporate charges for August,SW1E 5DU
Department for Transport,Department for Transport,40856,Storage & Distribution charges,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000016119,14802.37,Overhead charges for August,SW1E 5DU
Department for Transport,Department for Transport,40863,Treasury Solicitors,General Counsel's Office,TREASURY SOLICITOR,2000016876,22107.95,to 31.10.2011,WC2B 4TS
Department for Transport,Department for Transport,40862,Machinery Rental,Greener Transport & International,DANWOOD GROUP LTD,2000016772,445.19,Quarterly rental Nov - Feb,LN6 3DG
Department for Transport,Department for Transport,40877,Programme and Project Management Consultancy,Greener Transport & International,MOORHOUSE CONSULTING LIMITED,2000018010,19850.4,Oct-11,EC1N 2TD
Department for Transport,Department for Transport,40877,Programme and Project Management Consultancy,Greener Transport & International,MOORHOUSE CONSULTING LIMITED,2000018010,18974.4,Oct-11,EC1N 2TD
Department for Transport,Department for Transport,40876,Training,Greener Transport & International,THE KNOWLEDGE ACADEMY LTD,2000017946,678,Prince 2 BW 28/11 to 02/12,SL4 4RU
Department for Transport,Department for Transport,40855,Transport Consultancy,Greener Transport & International,ECOFYS UK LTD,2000015977,47935.2,Support C & S Reporting Jul - Sep 11,E1 8DE
Department for Transport,Department for Transport,40855,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000015973,-1306.87,Credit for 17.9.11,SL1 3SA
