Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount
Department for Transport,British Transport Police,04/07/2011,CLAIM  - HANDLING FEE,CORPORATE RISK TEAM,MARIEL IRVINE SOLICITORS,244410,"6,496.20"
Department for Transport,British Transport Police,04/07/2011,CLAIM - EMPLOYER LIABILITY,CORPORATE RISK TEAM,MARIEL IRVINE SOLICITORS,244414,"2,332.80"
Department for Transport,British Transport Police,04/07/2011,CLAIM - EMPLOYMENT TRIBUNALS,FHQ LEGAL ADVISORY SUPPORT,MR ADAM OHRINGER,23449,"1,020.00"
Department for Transport,British Transport Police,04/07/2011,CLAIM - MOTOR VEH LIABILITY,CORPORATE RISK TEAM,SOUTH YORKSHIRE POLICE,23432,617.47
Department for Transport,British Transport Police,04/07/2011,CLAIM - PUBLIC LIABILITY,CORPORATE RISK TEAM,MARIEL IRVINE SOLICITORS,244413,"3,191.40"
Department for Transport,British Transport Police,04/07/2011,CLAIM - PUBLIC LIABILITY,CORPORATE RISK TEAM,MARIEL IRVINE SOLICITORS,244416,"2,025.00"
Department for Transport,British Transport Police,04/07/2011,CLAIM - PUBLIC LIABILITY,CORPORATE RISK TEAM,MARIEL IRVINE SOLICITORS,244419,"3,045.60"
Department for Transport,British Transport Police,04/07/2011,CLAIM - PUBLIC LIABILITY,CORPORATE RISK TEAM,HJA,23359,"3,000.00"
Department for Transport,British Transport Police,04/07/2011,CLEANING CONTRACT- BUILDINGS,FHQ FACILITIES,Ocs Group Uk Ltd,244157,"7,639.85"
Department for Transport,British Transport Police,04/07/2011,CLEANING CONTRACT- BUILDINGS,FHQ SCIENTIFIC SUPPORT,Ocs Group Uk Ltd,244156,"1,263.65"
Department for Transport,British Transport Police,04/07/2011,CLEANING CONTRACT- BUILDINGS,BLUNDELL STREET,Ocs Group Uk Ltd,244154,"2,967.49"
Department for Transport,British Transport Police,04/07/2011,CLEANING CONTRACT- BUILDINGS,SPRING HOUSE,Ocs Group Uk Ltd,244153,"4,287.04"
Department for Transport,British Transport Police,04/07/2011,CLEANING CONTRACT- BUILDINGS,EBURY BRIDGE,Ocs Group Uk Ltd,244152,"3,319.92"
Department for Transport,British Transport Police,04/07/2011,COMMS DATA,FHQ TECHNOLOGY MANAGER,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,240874,"113,343.42"
Department for Transport,British Transport Police,04/07/2011,COMMS DATA,FHQ TECHNOLOGY MANAGER,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,244241,"-32,401.65"
Department for Transport,British Transport Police,04/07/2011,COMMS DATA,PS COVERT INVESTIGATIONS UNIT,PANOPTECH,244515,"1,630.08"
Department for Transport,British Transport Police,04/07/2011,CONFERENCE FEES,CONFERENCE FEES (DCC),EPS TRAINING & EVENTS LTD,245289,582
Department for Transport,British Transport Police,04/07/2011,CYCLE PLUS DEDUCTIONS,FORCE BALANCE SHEET (EXCL.FAR),P&MM LIMITED,23488,"22,800.00"
Department for Transport,British Transport Police,04/07/2011,ELECTRICITY,FHQ SCIENTIFIC SUPPORT,BRITISH GAS BUSINESS,244925,"-2,188.76"
Department for Transport,British Transport Police,04/07/2011,ELECTRICITY,BLUNDELL STREET,BRITISH GAS BUSINESS,244928,"-1,530.16"
Department for Transport,British Transport Police,04/07/2011,ELECTRICITY,FHQ SCIENTIFIC SUPPORT,BRITISH GAS BUSINESS,244926,"-2,179.07"
Department for Transport,British Transport Police,04/07/2011,ELECTRICITY,SPRING HOUSE,BRITISH GAS BUSINESS,243751,"1,471.69"
Department for Transport,British Transport Police,04/07/2011,ELECTRICITY,FHQ SCIENTIFIC SUPPORT,BRITISH GAS BUSINESS,244927,"5,249.90"
Department for Transport,British Transport Police,04/07/2011,ELECTRICITY,BLUNDELL STREET,BRITISH GAS BUSINESS,243753,"2,504.59"
Department for Transport,British Transport Police,04/07/2011,ELECTRICITY,FHQ FACILITIES,BRITISH GAS BUSINESS,244207,700.72
Department for Transport,British Transport Police,04/07/2011,ELECTRICITY,FHQ FACILITIES,BRITISH GAS BUSINESS,244211,587.41
Department for Transport,British Transport Police,04/07/2011,ELECTRICITY,FHQ FACILITIES,BRITISH GAS BUSINESS,244214,630.43
Department for Transport,British Transport Police,04/07/2011,ELECTRICITY,FHQ SCIENTIFIC SUPPORT,BRITISH GAS BUSINESS,244923,"2,349.38"
Department for Transport,British Transport Police,04/07/2011,ELECTRICITY,SPRING HOUSE,BRITISH GAS BUSINESS,244215,"1,484.39"
Department for Transport,British Transport Police,04/07/2011,ELECTRICITY,FHQ FACILITIES,BRITISH GAS BUSINESS,244216,724.84
Department for Transport,British Transport Police,04/07/2011,ELECTRICITY,SC EDINBURGH STAFF COSTS,ENTECH BUREAU (HOTELS) LTD,245075,848.98
Department for Transport,British Transport Police,04/07/2011,ELECTRICITY,SC GLASGOW STAFF COSTS,SCOTTISH POWER Plc,245071,"3,792.32"
Department for Transport,British Transport Police,04/07/2011,EQUIP PURCH  NON POL  (NONCAP),CRIME RECORDING CENTRE,ADT FIRE & SECURITY PLC,244876,651.84
Department for Transport,British Transport Police,04/07/2011,EQUIP PURCH  NON POL  (NONCAP),FHQ AXIS FACILITIES,DOLPHIN MEDIA & DESIGN LTD,244619,649.08
Department for Transport,British Transport Police,04/07/2011,EQUIP PURCH - POLICE  (NONCAP),N/West Custody Suites,Neal Sales,244980,"1,500.00"
Department for Transport,British Transport Police,04/07/2011,EQUIP PURCH - POLICE  (NONCAP),PS COVERT INVESTIGATIONS UNIT,SONIC COMMUNICATIONS (INT) LTD,244478,675.6
Department for Transport,British Transport Police,04/07/2011,EQUIP PURCH - POLICE  (NONCAP),LN WCML MOTORCYCLE TEAM,SONIC COMMUNICATIONS (INT) LTD,244526,"1,310.40"
Department for Transport,British Transport Police,04/07/2011,EXTERNAL ARCHIVING,PS MIU,SARGENTS TRADING  LTD,244995,600.23
Department for Transport,British Transport Police,04/07/2011,FIRE SAFETY MAINTENANCE,FHQ FACILITIES,Siemens Plc,244184,"1,833.30"
Department for Transport,British Transport Police,04/07/2011,FORENSIC SERVICES,FHQ SCIENTIFIC SUPPORT,TMP (UK) Ltd,241077,"2,891.88"
Department for Transport,British Transport Police,04/07/2011,GAS,SPRING HOUSE,FOLGATE ESTATES LTD,243798,"6,882.88"
Department for Transport,British Transport Police,04/07/2011,HIRE OF CONSULTANTS,CIVIL CONTINGENCY UNIT,G4S Policing Solutions Ltd,239992,"1,863.00"
Department for Transport,British Transport Police,04/07/2011,HIRE OF NON POLICE EQUIPMENT,FHQ FACILITIES,LONDON BOROUGH OF CAMDEN (AR),244879,78.2
Department for Transport,British Transport Police,04/07/2011,HIRE OF POLICE EQUIPMENT,PS FHQ MAJOR INCIDENT SUPPORT,LIBERATA UK LTD,245179,"5,460.00"
Department for Transport,British Transport Police,04/07/2011,HIRE OF ROOMS (EXTERNAL),WN BANGOR STAFF COSTS,MAES GLAS,244970,838.4
Department for Transport,British Transport Police,04/07/2011,I.D. PARADES EXPENSES,LS CUSTODY,Capita Secure Information System,240889,954
Department for Transport,British Transport Police,04/07/2011,IMPROVEMENT WORKS (NON CAP),FORCEWIDE MAINTENANCE,STRATEGIC TEAM GROUP CO LTD,244613,"4,677.60"
Department for Transport,British Transport Police,04/07/2011,IMPROVEMENT WORKS (NON CAP),SC AREA COMMAND,VOLERO CONTRACT LTD,241778,"8,924.39"
Department for Transport,British Transport Police,04/07/2011,INSURANCE - PREMIUMS,CORPORATE RISK TEAM,HEATH LAMBERT,23360,979.17
Department for Transport,British Transport Police,04/07/2011,INTANG ASSETS SOFTWARE - ADD,CAPITAL CONTROL ACCOUNT,LIBERATA UK LTD,234067,"6,325.00"
Department for Transport,British Transport Police,04/07/2011,INTANG ASSETS SOFTWARE - ADD,CAPITAL CONTROL ACCOUNT,LIBERATA UK LTD,234066,"-6,325.00"
Department for Transport,British Transport Police,04/07/2011,INTELLEGANCE GATHERING,PS MIU,EXPERIAN,244991,"1,482.42"
Department for Transport,British Transport Police,04/07/2011,INTERPRETERS FEES,LN CUSTODY,LANGUAGE LINE SERVICES,243961,534.72
Department for Transport,British Transport Police,04/07/2011,INVENTORIES -ADDITIONS-FORCE,FORCE BALANCE SHEET (EXCL.FAR),Dimension Clothing Limited,244994,"6,084.00"
Department for Transport,British Transport Police,04/07/2011,INVENTORIES -ADDITIONS-FORCE,FORCE BALANCE SHEET (EXCL.FAR),HAWK PROTECTION LTD,244190,"4,121.05"
Department for Transport,British Transport Police,04/07/2011,INVENTORIES -ADDITIONS-FORCE,FORCE BALANCE SHEET (EXCL.FAR),HAWK PROTECTION LTD,244187,"2,928.80"
Department for Transport,British Transport Police,04/07/2011,INVENTORIES -ADDITIONS-FORCE,FORCE BALANCE SHEET (EXCL.FAR),ROOCROFT AND WRIGHT LTD,244998,752.85
Department for Transport,British Transport Police,04/07/2011,INVENTORIES -ADDITIONS-FORCE,FORCE BALANCE SHEET (EXCL.FAR),ST JOHN AMBULANCE SUPPLIES,245006,"1,310.40"
Department for Transport,British Transport Police,04/07/2011,INVENTORIES -ADDITIONS-FORCE,FORCE BALANCE SHEET (EXCL.FAR),WILLIAM SUGDEN & SONS LTD,244966,602.64
Department for Transport,British Transport Police,04/07/2011,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,ADT FIRE & SECURITY PLC,240846,"9,330.00"
Department for Transport,British Transport Police,04/07/2011,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,ANALYSIS MASON,245167,"14,238.00"
Department for Transport,British Transport Police,04/07/2011,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,Optilan Uk Ltd,245072,"2,230.46"
Department for Transport,British Transport Police,04/07/2011,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,TEW PLUS LTD,244484,"22,762.80"
Department for Transport,British Transport Police,04/07/2011,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,TEW PLUS LTD,244489,"11,617.20"
Department for Transport,British Transport Police,04/07/2011,IT HARDWARE MAINTENANCE,IMPACT TECHNOLOGY,AVENTE LTD,243698,"1,116.00"
Department for Transport,British Transport Police,04/07/2011,IT HARDWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,AVENTE LTD,243696,"3,585.60"
Department for Transport,British Transport Police,04/07/2011,IT HARDWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,AVENTE LTD,243756,"5,026.80"
Department for Transport,British Transport Police,04/07/2011,IT HARDWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,AVENTE LTD,243456,"1,518.00"
Department for Transport,British Transport Police,04/07/2011,IT HARDWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,AVENTE LTD,244892,"2,828.40"
Department for Transport,British Transport Police,04/07/2011,IT HARDWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,AVENTE LTD,244871,"3,728.40"
Department for Transport,British Transport Police,04/07/2011,IT HARDWARE PURCH (NONCAP),FHQ TECHNOLOGY MANAGER,AVENTE LTD,232980,686.4
Department for Transport,British Transport Police,04/07/2011,IT HARDWARE PURCH (NONCAP),FHQ TECHNOLOGY MANAGER,AVENTE LTD,243694,718.8
Department for Transport,British Transport Police,04/07/2011,IT HARDWARE PURCH (NONCAP),FHQ TECHNOLOGY MANAGER,AVENTE LTD,243693,"2,440.80"
Department for Transport,British Transport Police,04/07/2011,IT HARDWARE PURCH (NONCAP),FHQ TECHNOLOGY MANAGER,AVENTE LTD,243697,"3,162.00"
Department for Transport,British Transport Police,04/07/2011,IT HARDWARE PURCH (NONCAP),FHQ TECHNOLOGY MANAGER,AVENTE LTD,243755,"2,674.80"
Department for Transport,British Transport Police,04/07/2011,IT HARDWARE PURCH (NONCAP),FHQ TECHNOLOGY MANAGER,AVENTE LTD,244891,780
Department for Transport,British Transport Police,04/07/2011,IT HARDWARE PURCH (NONCAP),IMPACT TECHNOLOGY,AVENTE LTD,244895,972
Department for Transport,British Transport Police,04/07/2011,IT HARDWARE PURCH (NONCAP),WN A.I.B,Dtp Group Ltd,238128,"2,718.85"
Department for Transport,British Transport Police,04/07/2011,IT HARDWARE PURCH (NONCAP),FHQ TECHNOLOGY MANAGER,HEWLETT PACKARD,244616,811.69
Department for Transport,British Transport Police,04/07/2011,IT HARDWARE PURCH (NONCAP),LS TRAVELSAFE,MTI TECHNOLOGY,242665,804
Department for Transport,British Transport Police,04/07/2011,IT SOFTWARE MAINTENANCE,FHQ FINANCE,Advanced Business Solutions,243132,"4,186.78"
Department for Transport,British Transport Police,04/07/2011,IT SOFTWARE MAINTENANCE,PROCUREMENT,Advanced Business Solutions,243131,"10,466.98"
Department for Transport,British Transport Police,04/07/2011,IT SOFTWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,Cedar Hr Software Ltd,241666,"8,461.15"
Department for Transport,British Transport Police,04/07/2011,IT SOFTWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,Gsa Ltd,232228,"1,684.80"
Department for Transport,British Transport Police,04/07/2011,IT SOFTWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,Gsa Ltd,236209,"8,143.20"
Department for Transport,British Transport Police,04/07/2011,IT SOFTWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,Gsa Ltd,243761,798.72
Department for Transport,British Transport Police,04/07/2011,IT SOFTWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,NORTHGATE INFORMATION SOLUTIONS LTD,244148,"35,722.20"
Department for Transport,British Transport Police,04/07/2011,IT SOFTWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,SERVERWARE GROUP PLC,244520,"33,840.00"
Department for Transport,British Transport Police,04/07/2011,IT SOFTWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,Siemens Plc,232426,"3,150.05"
Department for Transport,British Transport Police,04/07/2011,IT SOFTWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,Siemens Plc,232427,"-3,150.05"
Department for Transport,British Transport Police,04/07/2011,IT SOFTWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,Siemens Plc,240790,-844.44
Department for Transport,British Transport Police,04/07/2011,IT SOFTWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,TRAKA LIMITED,244525,"2,584.80"
Department for Transport,British Transport Police,04/07/2011,IT SOFTWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,UNISYS LIMITED,244436,"4,320.00"
Department for Transport,British Transport Police,04/07/2011,KENNELS FEES,NW DOGS,KAEDE MANAGEMENT LTD T/A GREENFIELD KENNELS,23303,558
Department for Transport,British Transport Police,04/07/2011,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,SARAX LTD,245029,"11,880.00"
Department for Transport,British Transport Police,04/07/2011,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,SARAX LTD,245030,"7,956.00"
Department for Transport,British Transport Police,04/07/2011,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,SARAX LTD,245031,"3,681.60"
Department for Transport,British Transport Police,04/07/2011,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,VOLERO CONTRACT LTD,241778,"11,850.23"
Department for Transport,British Transport Police,04/07/2011,MANAGEMENT FEE- UNIFORMS,LN FINANCE,IOMA CLOTHING CO LTD,243077,"6,014.74"
Department for Transport,British Transport Police,04/07/2011,MANAGEMENT FEE- UNIFORMS,HR RECRUITMENT BC BIRMINGHAM,IOMA CLOTHING CO LTD,244880,"1,391.04"
Department for Transport,British Transport Police,04/07/2011,MEDICAL FEES- OPERATIONAL,LN CUSTODY,Metropolitan Police,243986,"2,683.18"
Department for Transport,British Transport Police,04/07/2011,MEDICAL FEES- OPERATIONAL,LS CUSTODY,Metropolitan Police,243986,"2,683.18"
Department for Transport,British Transport Police,04/07/2011,MEDICAL FEES- OPERATIONAL,LU NON STAFF RECHARGE,Metropolitan Police,243986,"6,299.64"
Department for Transport,British Transport Police,04/07/2011,MTCE OF NON POLICE EQUIP,FHQ SCIENTIFIC SUPPORT,ACO Electronics Limited,244866,960
Department for Transport,British Transport Police,04/07/2011,MTCE OF NON POLICE EQUIP,SC EDINBURGH STAFF COSTS,Incom Business System Ltd,244988,698.4
Department for Transport,British Transport Police,04/07/2011,MTCE OF NON POLICE EQUIP,SC GLASGOW STAFF COSTS,Incom Business System Ltd,244987,799.2
Department for Transport,British Transport Police,04/07/2011,OCCUPATIONAL HEALTH COSTS,LS HEALTH SAFETY AND WELFARE,SANTIA HEALTH AND SAFETY LIMITED,245105,684
Department for Transport,British Transport Police,04/07/2011,PARKING SPACE RENTAL,WN CARDIFF STAFF COSTS,S A BRAIN & COMPANY LIMITED,244973,780
Department for Transport,British Transport Police,04/07/2011,PHYSIOTHRPY / MUSCULR SKEL,WELLBEING,Health Response Uk Ltd,241037,577.2
Department for Transport,British Transport Police,04/07/2011,PLANNED MTCE- BUILD (NONCAP),FORCEWIDE MAINTENANCE,COFELY LIMITED,245328,"4,421.81"
Department for Transport,British Transport Police,04/07/2011,PLANNED MTCE- BUILD (NONCAP),FORCEWIDE MAINTENANCE,COFELY LIMITED,245329,"4,421.81"
Department for Transport,British Transport Police,04/07/2011,PLANNED MTCE- BUILD (NONCAP),FORCEWIDE MAINTENANCE,COFELY LIMITED,245330,"4,421.81"
Department for Transport,British Transport Police,04/07/2011,PLANNED MTCE- BUILD (NONCAP),FORCEWIDE MAINTENANCE,COFELY LIMITED,245325,"4,421.81"
Department for Transport,British Transport Police,04/07/2011,PLANNED MTCE- BUILD (NONCAP),FORCEWIDE MAINTENANCE,COFELY LIMITED,245326,"4,421.81"
Department for Transport,British Transport Police,04/07/2011,PLANNED MTCE- BUILD (NONCAP),FORCEWIDE MAINTENANCE,COFELY LIMITED,245327,"4,421.81"
Department for Transport,British Transport Police,04/07/2011,PLANNED MTCE- BUILD (NONCAP),FORCEWIDE MAINTENANCE,GEAGROUP,231329,"2,121.65"
Department for Transport,British Transport Police,04/07/2011,PLANNED MTCE- BUILD (NONCAP),FORCEWIDE MAINTENANCE,GEAGROUP,235705,"1,367.50"
Department for Transport,British Transport Police,04/07/2011,PLANNED MTCE- BUILD (NONCAP),FORCEWIDE MAINTENANCE,GEAGROUP,244164,"1,367.50"
Department for Transport,British Transport Police,04/07/2011,PLANNED MTCE- BUILD (NONCAP),FORCEWIDE MAINTENANCE,Zip Heaters (Uk) Limited,245163,"2,159.42"
Department for Transport,British Transport Police,04/07/2011,POLICE EQUIP DOGS- MTCE,FHQ EXPLOSIVE DOGS,R G COLLINS,245174,708.96
Department for Transport,British Transport Police,04/07/2011,PRINTING,MARKETING,STEPHEN AUSTIN & SONS LTD,244997,"1,422.03"
Department for Transport,British Transport Police,04/07/2011,PURCH FURNITURE (NONCAP),LN PADDINGTON STAFF COSTS,BOWYER'S OFFICE EQUIPMENT,244976,"1,066.32"
Department for Transport,British Transport Police,04/07/2011,PURCH FURNITURE (NONCAP),LS CUSTODY,THE OFFICE FURNITURE CO LTD,244578,525.6
Department for Transport,British Transport Police,04/07/2011,PURCHASE UNIFORM,NE AREA COMMAND,IOMA CLOTHING CO LTD,243323,"2,989.56"
Department for Transport,British Transport Police,04/07/2011,REFUSE COLLECTION,FHQ FACILITIES,LONDON BOROUGH OF CAMDEN (AR),244879,968.76
Department for Transport,British Transport Police,04/07/2011,REFUSE COLLECTION,BLUNDELL STREET,M ROBERTS,244147,312
Department for Transport,British Transport Police,04/07/2011,REFUSE COLLECTION,FHQ FACILITIES,M ROBERTS,244147,744
Department for Transport,British Transport Police,04/07/2011,SEASON TICKET LOAN,FORCE BALANCE SHEET (EXCL.FAR),ATOC RAIL TRAVEL ACCOUNT,244201,"3,795.15"
Department for Transport,British Transport Police,04/07/2011,SEASON TICKET LOAN,FORCE BALANCE SHEET (EXCL.FAR),ATOC RAIL TRAVEL ACCOUNT,244142,"5,338.00"
Department for Transport,British Transport Police,04/07/2011,SECONDED IN COSTS,L&D OPERATIONS & TRAINING,WARWICKSHIRE POLICE AUTHORITY,244468,"6,027.10"
Department for Transport,British Transport Police,04/07/2011,SECONDED IN COSTS,L&D OPERATIONS & TRAINING,WARWICKSHIRE POLICE AUTHORITY,244551,"6,053.45"
Department for Transport,British Transport Police,04/07/2011,SECURITY SYSTEM MAINTENANCE,CRIME RECORDING CENTRE,ADT FIRE & SECURITY PLC,244876,626.52
Department for Transport,British Transport Police,04/07/2011,SECURITY SYSTEM MAINTENANCE,CRIME RECORDING CENTRE,Bellard Electronics Limited,235794,960
Department for Transport,British Transport Police,04/07/2011,SERVICE CHARGES,LS ASHFORD STAFF COSTS,GVA GRIMLEY,245156,"3,064.80"
Department for Transport,British Transport Police,04/07/2011,SERVICE CHARGES,LS ASHFORD STAFF COSTS,GVA GRIMLEY,245157,"3,064.80"
Department for Transport,British Transport Police,04/07/2011,SERVICE CHARGES,LS ASHFORD STAFF COSTS,GVA GRIMLEY,245154,"6,252.05"
Department for Transport,British Transport Police,04/07/2011,SERVICE CHARGES,LS ASHFORD STAFF COSTS,GVA GRIMLEY,245158,"2,659.88"
Department for Transport,British Transport Police,04/07/2011,SERVICE CHARGES,FHQ AXIS FACILITIES,JONES LANG LASALLE,244365,"15,654.00"
Department for Transport,British Transport Police,04/07/2011,SERVICE CHARGES,FHQ AXIS FACILITIES,JONES LANG LASALLE,244363,"25,681.50"
Department for Transport,British Transport Police,04/07/2011,SOCO EQUIP,LN CUSTODY,Tetra Scene Of Crime Ltd,244524,509.4
Department for Transport,British Transport Police,04/07/2011,SOLICITORS FEES,PROFESSIONAL STANDARDS,MARIEL IRVINE SOLICITORS,244859,518.4
Department for Transport,British Transport Police,04/07/2011,SOLICITORS FEES,PROFESSIONAL STANDARDS,MARIEL IRVINE SOLICITORS,244864,"3,224.70"
Department for Transport,British Transport Police,04/07/2011,SOLICITORS FEES,PROFESSIONAL STANDARDS,MARIEL IRVINE SOLICITORS,244860,"4,440.00"
Department for Transport,British Transport Police,04/07/2011,SOLICITORS FEES,PROFESSIONAL STANDARDS,MARIEL IRVINE SOLICITORS,245285,"3,970.80"
Department for Transport,British Transport Police,04/07/2011,SOLICITORS FEES,LN POCA UNIT,QEB HOLLIS WHITEMAN CHAMBERS,244844,828.26
Department for Transport,British Transport Police,04/07/2011,SOLICITORS FEES,LN POCA UNIT,QEB HOLLIS WHITEMAN CHAMBERS,244977,960
Department for Transport,British Transport Police,04/07/2011,SOLICITORS FEES,LN POCA UNIT,QEB HOLLIS WHITEMAN CHAMBERS,244978,780
Department for Transport,British Transport Police,04/07/2011,SOLICITORS FEES,FHQ POLICE AUTHORITY,SIMONS MUIRHEAD & BURTON,245002,"4,200.00"
