Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum of Amount,Text,Postcode
Department for Transport,Department for Transport,01.10.2012,Computer Consumables,Rail Commercial Contracts,SUPPLIES TEAM,2000013092,£ 154.03,ST HP LASER TONER CART 5500 YELLOW,S9 1XU
Department for Transport,Department for Transport,01.10.2012,Medical Advisory Ser,Group HR,HEALTH MANAGEMENT LTD,2000013100,"£ 1,981.00",#,BN8 5NN
Department for Transport,Department for Transport,01.10.2012,Legal Consultancy,Refran Prog Off,EVERSHEDS LLP,2000013098,"£ 19,479.86",#,LS11 5DR
Department for Transport,Department for Transport,01.10.2012,Legal Consultancy,Refran Prog Off,EVERSHEDS LLP,2000013098,"£ 53,472.40",#,LS11 5DR
Department for Transport,Department for Transport,01.10.2012,Legal Consultancy,Refran Prog Off,EVERSHEDS LLP,2000013098,"£ 6,450.60",#,LS11 5DR
Department for Transport,Department for Transport,01.10.2012,Legal Consultancy,Refran Prog Off,,2000013118,"£ 12,869.97",#,WC1R 5NR
Department for Transport,Department for Transport,01.10.2012,Legal Consultancy,Refran Prog Off,,2000013123,"£ 2,450.00",#,WC1R 5NR
Department for Transport,Department for Transport,01.10.2012,Financial Consultanc,Local,CLARKE WILLMOTT LLP,2000013112,£ 543.30,#,TA1 2PG
Department for Transport,Department for Transport,01.10.2012,Publicity,Transport Security,INTOUCHUK.COM LTD,2000013101,"£ 5,322.02",#,SW19 2RR
Department for Transport,Department for Transport,01.10.2012,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000013103,"£ 2,950.00",#,G2 7HX
Department for Transport,Department for Transport,01.10.2012,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000013103,"£ 2,765.00",#,G2 7HX
Department for Transport,Department for Transport,01.10.2012,Traffic Survey & Cou,Roads,JACOBS UK LTD,2000013103,"£ 3,785.00",#,G2 7HX
Department for Transport,Department for Transport,01.10.2012,Support Services,Air Accident Investigation Branch,ITS TESTING SERVICES (UK) LTD,2000013102,£ 762.00,#,RM20 3NL
Department for Transport,Department for Transport,01.10.2012,Support Services,Local,CLARKE WILLMOTT LLP,2000013112,£ 240.00,#,TA1 2PG
Department for Transport,Department for Transport,01.10.2012,Support Services,Aviation,BIS,2000013115,"£ 2,026.40",#,NP19 7AA
Department for Transport,Department for Transport,01.10.2012,Training,Air Accident Investigation Branch,OTTERSHAW AVIATION LTD,2000013121,£ 720.00,#,KT16 0HD
Department for Transport,Department for Transport,01.10.2012,Training,Marine Accident Investigation Branch,,2000013111,"£ 3,300.00",#,
Department for Transport,Department for Transport,01.10.2012,Conferences / Semina,Roads,TRAINING FOR TRANSPORTATION,2000013124,£ 805.00,#,B95 5AW
Department for Transport,Department for Transport,01.10.2012,Audit Fees (cash),Group Internal Audit,PRICEWATERHOUSECOOPERS LLP,2000013107,"£ 6,354.64",#,E14 9SQ
Department for Transport,Department for Transport,01.10.2012,Audit Fees (cash),Group Internal Audit,PRICEWATERHOUSECOOPERS LLP,2000013107,"£ 57,773.57",#,E14 9SQ
Department for Transport,Department for Transport,01.10.2012,Audit Fees (cash),Group Internal Audit,PRICEWATERHOUSECOOPERS LLP,2000013107,"£ 4,017.86",#,E14 9SQ
Department for Transport,Department for Transport,01.10.2012,Audit Fees (cash),Group Internal Audit,PRICEWATERHOUSECOOPERS LLP,2000013107,"£ 40,330.54",#,E14 9SQ
Department for Transport,Department for Transport,02.10.2012,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000013198,"£ 4,036.38",#,BN11 2BW
Department for Transport,Department for Transport,02.10.2012,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000013198,"£ 2,421.83",#,BN11 2BW
Department for Transport,Department for Transport,02.10.2012,Agency Staff Costs,Group Finance,BADENOCH & CLARK,2000013200,"£ 4,036.38",#,W1T 5AE
Department for Transport,Department for Transport,02.10.2012,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,2000013216,"£ 3,408.78",#,BR1 1HP
Department for Transport,Department for Transport,02.10.2012,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,2000013216,"£ 2,897.46",#,BR1 1HP
Department for Transport,Department for Transport,02.10.2012,Agency Staff Costs,Rail and Road Projects,EXPERIS LTD,2000013201,"£ 17,507.34",#,EC1R 3DR
Department for Transport,Department for Transport,02.10.2012,Agency Staff Costs,Rail and Road Projects,BOVIS LEND LEASE CONSULTING LTD,2000013215,"£ 18,630.00",#,HA2 0EE
Department for Transport,Department for Transport,02.10.2012,Agency Staff Costs,Rail Commercial Contracts,BOVIS LEND LEASE CONSULTING LTD,2000013215,"£ 6,420.00",#,HA2 0EE
Department for Transport,Department for Transport,02.10.2012,Agency Staff Costs,Refran Prog Off,LA INTERNATIONAL COMPUTER,2000013203,"£ 2,681.32",#,ST1 5UB
Department for Transport,Department for Transport,02.10.2012,Car Hire and Leasing,Permanent Secretary,GOVERNMENT CAR & DESPATCH AGENCY,2000013221,"£ 6,666.66",#,SW8 5AX
Department for Transport,Department for Transport,02.10.2012,Property Maintenance,Air Accident Investigation Branch,TEAM Q MAINTENANCE LIMITED,2000013199,£ 770.50,#,SG13 7AX
Department for Transport,Department for Transport,02.10.2012,Property Maintenance,Air Accident Investigation Branch,TRIANGLE LIFT SERVICES LTD,2000013213,£ 443.44,#,BS21 6SR
Department for Transport,Department for Transport,02.10.2012,Contract Cleaning,Marine Accident Investigation Branch,PROGRESS CLEANING SERVICES,2000013195,£ 702.00,#,SO14 6GH
Department for Transport,Department for Transport,02.10.2012,Eurotunnel Admin Pay,Rail Commercial Contracts,EUROTUNNEL,2000013191,"£ 4,622,527.73",Opex and Usage Charges - Sept 12,CT18 8XY
Department for Transport,Department for Transport,02.10.2012,Eurotunnel Admin Pay,Rail Commercial Contracts,EUROTUNNEL (EURO PAYMENTS),2000013190,"£ 4,797,107.35",Opex and Usage Charges - Sept 12,CT18 8X
Department for Transport,Department for Transport,02.10.2012,Eurotunnel Admin Pay,Rail Commercial Contracts,SNCF TRESORERIE ENC RHT VFE,2000013132,"£ 5,337,726.07",SNCF Funds - September 12 - Euro Exchange plus TVA,75014
Department for Transport,Department for Transport,02.10.2012,Eurotunnel Admin Pay,Rail Commercial Contracts,SNCF CAISSE GENERALE,2000013133,"£ 5,270,506.17",SNCF Funds - September 12 - GBP Exchange plus TVA,75008
Department for Transport,Department for Transport,02.10.2012,Services prov by OGD,Transport Security,FCO SERVICES,2000013220,"£ 28,384.80",#,MK19 7BH
Department for Transport,Department for Transport,02.10.2012,Data Supply - TD,Transport Direct and Travel information,LANDMARK INFORMATION GROUP LTD,2000013204,"£ 10,593.60",#,EX2 7HY
Department for Transport,Department for Transport,02.10.2012,Data Supply - TD,Transport Direct and Travel information,LANDMARK INFORMATION GROUP LTD,2000013204,"£ 15,490.80",#,EX2 7HY
Department for Transport,Department for Transport,02.10.2012,Data Supply - TD,Transport Direct and Travel information,OAG WORLDWIDE LTD,2000013209,"£ 2,200.74",#,TN9 1YT
Department for Transport,Department for Transport,02.10.2012,Printing,Air Accident Investigation Branch,WILLIAMS LEA LIMITED,2000013218,"£ 3,999.09",#,NR3 1PD
Department for Transport,Department for Transport,02.10.2012,Telecom Equipment,Rail Accident Investigation Branch,MAIN-TEL,2000013205,£ 828.00,#,TS17 0AQ
Department for Transport,Department for Transport,02.10.2012,Transport Consult,Local,SUSTRANS LTD,2000013214,"£ 17,310.00",#,BS1 5DD
Department for Transport,Department for Transport,02.10.2012,Transport Consult,Refran Prog Off,STEER DAVIES & GLEAVE LTD,2000013211,"£ 28,986.00",#,SE1 9PD
Department for Transport,Department for Transport,02.10.2012,Transport Consult,Refran Prog Off,STEER DAVIES & GLEAVE LTD,2000013211,"£ 50,000.00",#,SE1 9PD
Department for Transport,Department for Transport,02.10.2012,Transport Consult,Refran Prog Off,STEER DAVIES & GLEAVE LTD,2000013211,"£ 5,250.00",#,SE1 9PD
Department for Transport,Department for Transport,02.10.2012,Other Advertising,Local,PENNA COMMUNICATIONS,2000013217,"£ 1,430.29",#,EC4M 7RD
Department for Transport,Department for Transport,02.10.2012,Research,Local,NATIONAL CENTRE FOR SOCIAL RESEARCH,2000013208,"£ 57,250.00",#,EC1V 0AX
Department for Transport,Department for Transport,02.10.2012,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000013212,"£ 1,728.00",#,BS24 9BP
Department for Transport,Department for Transport,02.10.2012,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000013212,"£ 3,205.50",#,BS24 9BP
Department for Transport,Department for Transport,02.10.2012,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000013212,£ 486.00,#,BS24 9BP
Department for Transport,Department for Transport,02.10.2012,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000013212,£ 486.00,#,BS24 9BP
Department for Transport,Department for Transport,02.10.2012,Training,Air Accident Investigation Branch,OTTERSHAW AVIATION LTD,2000013219,£ 546.00,#,KT16 0HD
Department for Transport,Department for Transport,02.10.2012,Books,General Counsel's Office,SWETS INFORMATION SERVICES,2000013193,-£ 783.44,#,OX14 1UQ
Department for Transport,Department for Transport,02.10.2012,Books,General Counsel's Office,SWETS INFORMATION SERVICES,2000013193,"£ 2,111.42",#,OX14 1UQ
Department for Transport,Department for Transport,02.10.2012,CurrGrt Las in AEF/A,London and Olympics,GREATER LONDON AUTHORITY,2000013192,"£ 108,807,000.00",GLA Grant Payment - No: 14,SE1 2UT
Department for Transport,Department for Transport,03.10.2012,Agency Staff Costs,Business Transformation,MORGAN HUNT UK LTD,2000013324,"£ 3,040.14",#,EC4M 7EG
Department for Transport,Department for Transport,03.10.2012,Agency Staff Costs,Business Transformation,MORGAN HUNT UK LTD,2000013324,"£ 2,432.11",#,EC4M 7EG
Department for Transport,Department for Transport,03.10.2012,Agency Staff Costs,Business Transformation,MORGAN HUNT UK LTD,2000013324,"£ 3,040.14",#,EC4M 7EG
Department for Transport,Department for Transport,03.10.2012,Agency Staff Costs,Business Transformation,MORGAN HUNT UK LTD,2000013324,"£ 3,040.14",#,EC4M 7EG
Department for Transport,Department for Transport,03.10.2012,Agency Staff Costs,Business Transformation,MORGAN HUNT UK LTD,2000013324,"£ 3,040.14",#,EC4M 7EG
Department for Transport,Department for Transport,03.10.2012,Agency Staff Costs,Business Transformation,MICHAEL PAGE INTERNATIONAL,2000013333,"£ 1,765.50",#,SL1 3SA
Department for Transport,Department for Transport,03.10.2012,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000013333,"£ 2,568.00",#,SL1 3SA
Department for Transport,Department for Transport,03.10.2012,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000013333,"£ 3,210.00",#,SL1 3SA
Department for Transport,Department for Transport,03.10.2012,Agency Staff Costs,Group Finance,EXPERIS LTD,2000013320,"£ 2,393.75",#,EC1R 3DR
Department for Transport,Department for Transport,03.10.2012,Agency Staff Costs,Group Finance,METHODS CONSULTING LTD,2000013323,"£ 3,122.11",#,WC2H 8AD
Department for Transport,Department for Transport,03.10.2012,Agency Staff Costs,Local,VEHICLE & OPERATOR SERVICES AGENCY,2000013348,"£ 13,693.65",#,SA1 8AN
Department for Transport,Department for Transport,03.10.2012,Agency Staff Costs,Local,VEHICLE & OPERATOR SERVICES AGENCY,2000013348,"£ 116,321.09",#,SA1 8AN
Department for Transport,Department for Transport,03.10.2012,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000013333,"£ 3,514.80",#,SL1 3SA
Department for Transport,Department for Transport,03.10.2012,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000013333,£ 660.00,#,SL1 3SA
Department for Transport,Department for Transport,03.10.2012,Secondments,Group HR,DEPARTMENT FOR ENVIRONMENT,1500000016,-£ 744.88,#,YO1 7PX
Department for Transport,Department for Transport,03.10.2012,Travel Exp Overseas,Corporate Group,CAPITA BUSINESS TRAVEL,2000013334,"£ 47,762.96",Capita DFT Transec Offiline September,DE21 6BF
Department for Transport,Department for Transport,03.10.2012,Car Hire and Leasing,Permanent Secretary,GOVERNMENT CAR & DESPATCH AGENCY,2000013346,"£ 6,954.66",#,SW8 5AX
Department for Transport,Department for Transport,03.10.2012,Estate Legal Advisor,Local,ROYAL MAIL,2000013327,"£ 1,073.53",#,PE4 5PG
Department for Transport,Department for Transport,03.10.2012,Services prov by OGD,Managing Director Motoring Services,MARITIME & COASTGUARD AGENCY,2000013347,"£ 36,253.56",#,SO15 1EG
Department for Transport,Department for Transport,03.10.2012,IT Ser Running Costs,Transport Direct and Travel information,TRAPEZE GROUP (UK) LTD,2000013330,"£ 16,196.40",#,BA14 6PH
Department for Transport,Department for Transport,03.10.2012,IT Ser Running Costs,Business Transformation,COMPUTACENTER,2000013332,"£ 6,159.98",#,AL10 9TW
Department for Transport,Department for Transport,03.10.2012,IT Ser Running Costs,Transport Security - Security Compliance Division ,CACI INFORMATION SOLUTIONS LTD,2000013318,"£ 16,617.49",#,W14 8TS
Department for Transport,Department for Transport,03.10.2012,IT Ser Running Costs,Transport Security - Security Compliance Division ,CACI INFORMATION SOLUTIONS LTD,2000013318,"£ 2,160.00",#,W14 8TS
Department for Transport,Department for Transport,03.10.2012,IT Ser Running Costs,Transport Security - Security Compliance Division ,CACI INFORMATION SOLUTIONS LTD,2000013318,"£ 10,080.00",#,W14 8TS
Department for Transport,Department for Transport,03.10.2012,Data Supply - TD,Transport Direct and Travel information,INRIX MEDIA LTD,2000013337,"£ 18,499.20",#,WA14 1EP
Department for Transport,Department for Transport,03.10.2012,Data Supply - TD,Transport Direct and Travel information,BASEMAP LIMITED,2000013343,"£ 2,110.80",#,GU2 7YG
Department for Transport,Department for Transport,03.10.2012,Legal Consultancy,Refran Prog Off,EVERSHEDS LLP,2000013321,"£ 56,712.48",#,LS11 5DR
Department for Transport,Department for Transport,03.10.2012,Legal Consultancy,Refran Prog Off,EVERSHEDS LLP,2000013321,"£ 16,623.00",#,LS11 5DR
Department for Transport,Department for Transport,03.10.2012,Transport Consult,Rail and Road Projects,JACOBS UK LTD,2000013322,"£ 155,146.20",#,G2 7HX
Department for Transport,Department for Transport,03.10.2012,Transport Consult,Rail and Road Projects,MOTT MACDONALD,2000013325,"£ 63,492.97",#,CR9 2UL
Department for Transport,Department for Transport,03.10.2012,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000013329,"£ 2,020.50",#,BS24 9BP
Department for Transport,Department for Transport,03.10.2012,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000013329,"£ 5,898.00",#,BS24 9BP
Department for Transport,Department for Transport,03.10.2012,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000013329,£ 486.00,#,BS24 9BP
Department for Transport,Department for Transport,03.10.2012,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000013329,"£ 4,741.50",#,BS24 9BP
Department for Transport,Department for Transport,03.10.2012,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000013329,£ 486.00,#,BS24 9BP
Department for Transport,Department for Transport,03.10.2012,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000013329,"£ 2,512.50",#,BS24 9BP
Department for Transport,Department for Transport,03.10.2012,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000013329,"£ 2,538.00",#,BS24 9BP
Department for Transport,Department for Transport,03.10.2012,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000013329,"£ 2,555.50",#,BS24 9BP
Department for Transport,Department for Transport,03.10.2012,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000013329,"£ 2,850.00",#,BS24 9BP
Department for Transport,Department for Transport,03.10.2012,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000013329,"£ 3,934.50",#,BS24 9BP
Department for Transport,Department for Transport,03.10.2012,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000013329,£ 729.00,#,BS24 9BP
Department for Transport,Department for Transport,03.10.2012,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000013329,£ 486.00,#,BS24 9BP
Department for Transport,Department for Transport,03.10.2012,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000013329,"£ 4,765.50",#,BS24 9BP
Department for Transport,Department for Transport,03.10.2012,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000013329,"£ 5,098.00",#,BS24 9BP
Department for Transport,Department for Transport,03.10.2012,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000013329,"£ 1,728.00",#,BS24 9BP
Department for Transport,Department for Transport,03.10.2012,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000013329,£ 486.00,#,BS24 9BP
Department for Transport,Department for Transport,03.10.2012,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000013329,"£ 8,743.00",#,BS24 9BP
Department for Transport,Department for Transport,03.10.2012,Traffic Survey & Cou,Roads,HIGHWAYS AGENCY (14272),2000013349,"£ 4,902.94",#,HP2 4XW
Department for Transport,Department for Transport,03.10.2012,Support Services,Group Finance,DD ACCRAILWAY PENS TRUSTEE,2000013335,"£ 3,456.37",#,DL3 6XR
Department for Transport,Department for Transport,03.10.2012,Support Services,Group Finance,DD ACCRAILWAY PENS TRUSTEE,2000013335,£ 502.48,#,DL3 6XR
Department for Transport,Department for Transport,03.10.2012,Support Services,Group Finance,DD ACCRAILWAY PENS TRUSTEE,2000013335,"£ 1,211.69",#,DL3 6XR
Department for Transport,Department for Transport,03.10.2012,Support Services,Group Finance,EXEL PLC,2000013313,"£ 430,000.00",#,MK40 2UB
Department for Transport,Department for Transport,03.10.2012,Support Services,Group Finance,RAILWAYS PENSION MANAGEMENT LT,2000013336,"£ 1,160,000.00",#,DL3 6EH
Department for Transport,Department for Transport,03.10.2012,Training,Group HR,DFT ONE TIME VENDOR,2000013312,"£ 1,380.00",Senior Management Training - Manual Payment,SW1P 4DR
Department for Transport,Department for Transport,03.10.2012,Cap Grt Loc Auth,London and Olympics,GREATER LONDON AUTHORITY,2000013311,"£ 176,000,000.00",#,SE1 2UT
Department for Transport,Department for Transport,03.10.2012,Cap Grt Pri Sec-Cos.,Greener Transport & International,ASHWOODS AUTOMOTIVE LTD,2000013344,"£ 82,320.00",Ashwood's LCVPPP 5th Payment #82k (24 vehicles),EX4 8DS
Department for Transport,Department for Transport,03.10.2012,CurrGrtPriSec-P&NPIS,Roads,SUSTRANS (RESEARCH FUNDING),2000013339,"£ 1,550.00",CASE studentship cycle counts Jul-Sept 12,BS1 5DD
Department for Transport,Department for Transport,03.10.2012,CurrGrtPriSec-P&NPIS,Greener Transport & International,LOW CARBON VEHICLE PARTNERSHIP,2000013338,"£ 45,000.00",Low Carbon VP OCT 2012 #45k,SW1H 9JJ
Department for Transport,Department for Transport,03.10.2012,Subsidies Private Se,Roads,MSRS FREIGHT GRANT,2000013341,£ 796.45,MSRS FREIGHT GRANT,
Department for Transport,Department for Transport,04.10.2012,Output tax -ESA,DFT/Not assigned,MENTZ DATENVERARBEITUNG GMBH,2000013417,"-£ 1,727.10",#,81675
Department for Transport,Department for Transport,04.10.2012,Agency Staff Costs,Rail Commercial Contracts,BOVIS LEND LEASE CONSULTING LTD,2000013406,"£ 8,910.00",#,HA2 0EE
Department for Transport,Department for Transport,04.10.2012,Agency Staff Costs,Rail Commercial Contracts,BOVIS LEND LEASE CONSULTING LTD,2000013406,"£ 1,560.00",#,HA2 0EE
Department for Transport,Department for Transport,04.10.2012,Agency Staff Costs,Rail,CAPITA RESOURCING LTD,2000013407,"£ 9,059.76",#,DL1 9HN
Department for Transport,Department for Transport,04.10.2012,Car Hire and Leasing,Permanent Secretary,GOVERNMENT CAR & DESPATCH AGENCY,2000013414,"£ 6,954.66",#,SW8 5AX
Department for Transport,Department for Transport,04.10.2012,IT Ser Running Costs,Transport Direct and Travel information,MENTZ DATENVERARBEITUNG GMBH,2000013417,"£ 10,362.60",#,81675
Department for Transport,Department for Transport,04.10.2012,IT Ser Running Costs,Rail Commercial Contracts,METHODS CONSULTING LTD,2000013402,"£ 95,304.60",#,WC2H 8AD
Department for Transport,Department for Transport,04.10.2012,Web Design Services,Roads,1 SPATIAL GROUP LIMITED,2000013396,"£ 2,466.41",#,CB4 0WZ
Department for Transport,Department for Transport,04.10.2012,Telephone Line Rent,Business Transformation,COLT TELECOMMUNICATIONS,2000013400,"£ 3,825.00",COLT - DATA SERVICE CHARGES - OCT - DEC 12,EC3A 7QN
Department for Transport,Department for Transport,04.10.2012,Legal Consultancy,DASH,WINCKWORTH SHERWOOD,2000013404,"£ 80,840.40",#,SE1 9BB
Department for Transport,Department for Transport,04.10.2012,Traffic Survey & Cou,Roads,TRAFFICMASTER PLC,2000013403,"£ 70,791.68",#,MK43 0TR
Department for Transport,Department for Transport,04.10.2012,Support Services,Local,PLANNING INSPECTORATE,2000013415,"£ 3,804.02",#,BS1 6PN
Department for Transport,Department for Transport,04.10.2012,Support Services,Aviation,BRISTOL INTERNATIONAL AIRPORT,2000013399,"£ 29,632.80",#,BS48 3DY
Department for Transport,Department for Transport,04.10.2012,Support Services,Aviation,NATIONAL AIR TRAFFIC SERV (ENROUTE),2000013405,"£ 114,689.00",#,EH4 1PU
Department for Transport,Department for Transport,04.10.2012,Training,Rail Accident Investigation Branch,AP WEBB PLANT HIRE LTD,2000013409,"£ 1,375.00",#,ST16 3DQ
Department for Transport,Department for Transport,04.10.2012,Cap Grt Loc Auth,Local,HERTFORDSHIRE CC,2000013394,"£ 77,400.36",Final Payment - Baldock Bypass,SG13 8TN
Department for Transport,Department for Transport,04.10.2012,CurrGrt Las in AEF/A,Rail,TFL GROUP TREASURY,2000013408,"£ 2,054,018.06",TfL LOROL Grant October 2012 Claim,SW1H 0TL
Department for Transport,Department for Transport,04.10.2012,CurrGrtOth to NDPBs,Group Finance,CTRL SECTION 1 FINANCE PLC,2000013410,"£ 27,514,657.49",CTRL Oct 12- TSS/SFS/CTRL Sec 1 Finance,NW1 1AY
Department for Transport,Department for Transport,04.10.2012,Eurocontrol Contr,Aviation,EUROCONTROL,2000013416,"£ 9,253,296.81",#,1130
Department for Transport,Department for Transport,05.10.2012,Agency Staff Costs,Marine Accident Investigation Branch,BROOK STREET BUREAU,2000013485,£ 692.42,#,AL1 4JB
Department for Transport,Department for Transport,05.10.2012,Agency Staff Costs,Refran Prog Off,METHODS CONSULTING LTD,2000013482,"£ 14,660.35",#,WC2H 8AD
Department for Transport,Department for Transport,05.10.2012,Grant Payments,Rail Commercial Contracts,GREATER MANCHESTER PTA,2000013489,"£ 4,778,807.48",1307 Wk3 PTE SUBSIDY INCL. INDEXATION 2012-13_Pd13,M1 3BG
Department for Transport,Department for Transport,05.10.2012,Grant Payments,Rail Commercial Contracts,MERSEYTRAVEL,2000013486,"£ 1,035,800.64",1307 Wk3 PTE SUBSIDY INCL. INDEXATION 2012-13_Pd 1,L3 2AN
Department for Transport,Department for Transport,05.10.2012,Grant Payments,Rail Commercial Contracts,NEXUS (TYNE & WEAR),2000013487,"£ 282,491.08",1307 Wk3 PTE SUBSIDY & INDEXATION 2012-13_Pd1307 -,NE1 4AX
