Department Family,Entity,Date,Expense Type,Expense Area Rev,Supplier,Transaction Number,Amount,Description,Supplier Postcode
Department for Transport,Department for Transport,01/10/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",FreeWatt Ltd,2000013519,8997.05,FREEWATT JULY 2014 #8997.05,LN1 2AJ
Department for Transport,Department for Transport,01/10/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",GEI Installers Ltd,2000013515,140955.5,GEI Installers July 2014 #140955.50,B12 0RT
Department for Transport,Department for Transport,01/10/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Sakhara Ltd,2000013518,8979.84,SAKHARA JULY 2014 #8979.84,BD7 2DF
Department for Transport,Department for Transport,01/10/2014,Computer equipment,Air Accident Investigation Branch,INSIGHT DIRECT (UK) LTD,2000013495,1309.99,INSIGHT NON ETHOS 2 EATON 12/09/14,UB8 1PH
Department for Transport,Department for Transport,01/10/2014,Conferences / Semina,Maritime,DFT ONE TIME VENDOR,2000013520,3024,Trinity House Skills Reception - DFT Hire Venue,SW1P 4DR
Department for Transport,Department for Transport,01/10/2014,Contract Cleaning,Rail Accident Investigation Branch,OFFICE CARE LTD,2000013511,1303.52,#,DE24 8AN
Department for Transport,Department for Transport,01/10/2014,CurrGrt Las in AEF/A,Major Projects & Growth,SOUTH YORKSHIRE PTE,2000013509,5096.2,4012311 SOUTH YORKSHIRE PTE,S1 2BQ
Department for Transport,Department for Transport,01/10/2014,Data Supply - TD,Transport Direct&Travel,INRIX MEDIA LTD,2000013508,18501.6,#,WA14 1EP
Department for Transport,Department for Transport,01/10/2014,Electricity,Air Accident Investigation Branch,MINISTRY OF DEFENCE,2000013506,2448.05,MOD - AAIB - F-Boro 31.7 to 31.8.14,L2 3YL
Department for Transport,Department for Transport,01/10/2014,Further Educ Cost,Rail Strategy & Funding,Birkbeck University of London,2000013516,3975,#,WC1E 7HX
Department for Transport,Department for Transport,01/10/2014,IT Ser Running Costs,Transport Direct&Travel,TRAPEZE GROUP (UK) LTD,2000013501,19146.71,#,BA14 6PH
Department for Transport,Department for Transport,01/10/2014,IT Ser Running Costs,Transport Direct&Travel,TRAPEZE GROUP (UK) LTD,2000013501,19146.71,#,BA14 6PH
Department for Transport,Department for Transport,01/10/2014,Legal Consultancy,Rail Franchising,DLA PIPER UK LLP,2000013499,26239.93,#,M2 3DL
Department for Transport,Department for Transport,01/10/2014,Legal Consultancy,"Policy, Legislation and Funding",xxxxxx,100015987,10464,#,xxxxxx
Department for Transport,Department for Transport,01/10/2014,Legal Consultancy,"Policy, Legislation and Funding",xxxxxx,100015987,10296,#,xxxxxx
Department for Transport,Department for Transport,01/10/2014,Legal Consultancy,"Policy, Legislation and Funding",xxxxxx,100015987,-10464,#,xxxxxx
Department for Transport,Department for Transport,01/10/2014,Legal Consultancy,"Policy, Legislation and Funding",xxxxxx,100015987,-10296,#,xxxxxx
Department for Transport,Department for Transport,01/10/2014,Legal Consultancy,"Policy, Legislation and Funding",WINCKWORTH SHERWOOD,2000013502,258783.24,#,SE1 9BB
Department for Transport,Department for Transport,01/10/2014,Publications for Res,Group Human Resource,CREATIVE CHOICE CIC,2000013512,890,#,SW1H 0DJ
Department for Transport,Department for Transport,01/10/2014,Publications for Res,Portfolio Office,CREATIVE CHOICE CIC,2000013512,480,#,SW1H 0DJ
Department for Transport,Department for Transport,01/10/2014,Recruitment Fees,Group Human Resource,Green Park Interim & Executive Ltd,2000013503,6000,#,W1B 1PT
Department for Transport,Department for Transport,01/10/2014,Research,Strategic Roads & Smart Ticketing,OFFICE OF RAIL REGULATION,2000013521,63064.84,#,WC2B 4AN
Department for Transport,Department for Transport,01/10/2014,Small Software,Transport Direct&Travel,TRAPEZE GROUP (UK) LTD,2000013501,17777.41,#,BA14 6PH
Department for Transport,Department for Transport,01/10/2014,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000013498,381358,#,RH10 0YR
Department for Transport,Department for Transport,01/10/2014,Support Services,Aviation,CAA INTERNATIONAL LTD,2000013497,4250,#,RH6 0YR
Department for Transport,Department for Transport,01/10/2014,Support Services,Aviation,CAA INTERNATIONAL LTD,2000013497,24000,#,RH6 0YR
Department for Transport,Department for Transport,01/10/2014,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000013498,65800,#,RH10 0YR
Department for Transport,Department for Transport,01/10/2014,Support Services,Group Finance,DD ACCRAILWAY PENS TRUSTEE,2000013505,1153.44,#,DL3 6XR
Department for Transport,Department for Transport,01/10/2014,Support Services,General Counsel's Office,Irwin Mitchell,2000013514,49173.8,Industrial Injury Claim BRB059309,S3 8DT
Department for Transport,Department for Transport,01/10/2014,Support Services,General Counsel's Office,Slater & Gordon (UK),2000013517,50000,Industrial Injury Claim BRB059446,WC2A 1LS
Department for Transport,Department for Transport,01/10/2014,Waste disposal/Refus,Group Procurement & Estate,Banner Business Services Ltd,2000013513,698.75,#,NR3 1QU
Department for Transport,Department for Transport,02/10/2014,Agency Staff Costs,Corporate Governance,Badenoch & Clark c/o Lauren Rogers,2000013572,3753.36,#,B37 7YE
Department for Transport,Department for Transport,02/10/2014,Agency Staff Costs,Corporate Governance,Badenoch & Clark c/o Lauren Rogers,2000013572,2252.02,#,B37 7YE
Department for Transport,Department for Transport,02/10/2014,Agency Staff Costs,Corporate Governance,Badenoch & Clark c/o Lauren Rogers,2000013572,3917.14,#,B37 7YE
Department for Transport,Department for Transport,02/10/2014,Agency Staff Costs,Corporate Governance,Badenoch & Clark c/o Lauren Rogers,2000013572,3002.69,#,B37 7YE
Department for Transport,Department for Transport,02/10/2014,Agency Staff Costs,Group Human Resource,REED SPECIALIST RECRUITMENT LTD,2000013580,715.2,#,SW20 0BA
Department for Transport,Department for Transport,02/10/2014,Agency Staff Costs,Major Projects & Growth,Badenoch & Clark c/o Lauren Rogers,2000013572,2978.16,#,B37 7YE
Department for Transport,Department for Transport,02/10/2014,Agency Staff Costs,Rail Commercial & Programme Office,BROOK STREET (UK) LIMITED,2000013586,1084.93,#,AL1 4JB
Department for Transport,Department for Transport,02/10/2014,Agency Staff Costs,Rail Commercial & Programme Office,MORGAN HUNT UK LTD,2000013576,4311.38,#,EC4M 7EG
Department for Transport,Department for Transport,02/10/2014,Agency Staff Costs,Rail Strategy & Funding,CAPITA RESOURCING LTD,2000013588,1610.4,#,DL1 9HN
Department for Transport,Department for Transport,02/10/2014,Agency Staff Costs,Rail Franchising,Experis Ltd,2000013573,2682.43,#,EC2M 2RB
Department for Transport,Department for Transport,02/10/2014,Agency Staff Costs,Group Finance,Experis Ltd,2000013573,1540.13,#,EC2M 2RB
Department for Transport,Department for Transport,02/10/2014,Agency Staff Costs,Rail Franchising,Experis Ltd,2000013573,11053.44,#,EC2M 2RB
Department for Transport,Department for Transport,02/10/2014,Agency Staff Costs,Rail Commercial & Programme Office,MICHAEL PAGE INTERNATIONAL,2000013587,2610,OV Timesheet - p/e 22.06.2014,SL1 3SA
Department for Transport,Department for Transport,02/10/2014,Agency Staff Costs,Rail Commercial & Programme Office,MICHAEL PAGE INTERNATIONAL,2000013587,2088,PO 8000131242,SL1 3SA
Department for Transport,Department for Transport,02/10/2014,Agency Staff Costs,Rail Commercial & Programme Office,MICHAEL PAGE INTERNATIONAL,2000013587,-2610,Credit OV p/e 22/6/14,SL1 3SA
Department for Transport,Department for Transport,02/10/2014,Agency Staff Costs,Rail Commercial & Programme Office,MICHAEL PAGE INTERNATIONAL,2000013587,-2088,PO 8000131242,SL1 3SA
Department for Transport,Department for Transport,02/10/2014,Agency Staff Costs,Rail Commercial & Programme Office,MICHAEL PAGE INTERNATIONAL,2000013587,723.9,#,SL1 3SA
Department for Transport,Department for Transport,02/10/2014,Cap Grt Pri Sec-Cos.,"Policy, Legislation and Funding",Eversheds LLP,2000013593,577450.18,THEBARN/PEARCEN,CF10 5BT
Department for Transport,Department for Transport,02/10/2014,Contract Cleaning,Marine Accident Investigation Branch,PROGRESS CLEANING SERVICES,2000013571,702,#,SO30 2FQ
Department for Transport,Department for Transport,02/10/2014,Eurotunnel Admin Pay,Rail Commercial & Programme Office,SNCF Caisse Generale,2000013530,5586062.88,MPL SNCF GBP,93633
Department for Transport,Department for Transport,02/10/2014,Eurotunnel Admin Pay,Rail Commercial & Programme Office,SNCF TRESORERIE ENC RHT VFE,2000013529,5417712.22,MPL SNCF EURO PAY,75014
Department for Transport,Department for Transport,02/10/2014,IT Ser Running Costs,Transport Direct&Travel,TRAPEZE GROUP (UK) LTD,2000013584,19146.71,#,BA14 6PH
Department for Transport,Department for Transport,02/10/2014,Legal Consultancy,Group Procurement & Estate,Field Fisher Waterhouse LLP,2000013589,4444.2,Legal Services,EC4R 3TT
Department for Transport,Department for Transport,02/10/2014,Legal Consultancy,Group Procurement & Estate,Field Fisher Waterhouse LLP,2000013589,-4444.2,CREDIT FOR INV 631560,EC4R 3TT
Department for Transport,Department for Transport,02/10/2014,Legal Consultancy,Group Procurement & Estate,Field Fisher Waterhouse LLP,2000013589,4441.2,#,EC4R 3TT
Department for Transport,Department for Transport,02/10/2014,Legal Consultancy,Rail Franchising,Eversheds LLP,2000013591,11788.44,#,EC2V 7WS
Department for Transport,Department for Transport,02/10/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000013581,2750,#,BS24 9BP
Department for Transport,Department for Transport,02/10/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000013581,2860,#,BS24 9BP
Department for Transport,Department for Transport,02/10/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000013581,480,#,BS24 9BP
Department for Transport,Department for Transport,02/10/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000013581,759.6,#,BS24 9BP
Department for Transport,Department for Transport,02/10/2014,Maintenance Other,Principal Priv. Secretary & Head of Private Office,Keltec Ltd,2000013594,2550,#,RG12 1NF
Department for Transport,Department for Transport,02/10/2014,Medical Advisory Ser,Group Human Resource,HEALTH MANAGEMENT LTD,2000013574,2491.98,#,BN8 5NN
Department for Transport,Department for Transport,02/10/2014,Occup Health Scheme,Group Human Resource,HEALTH MANAGEMENT LTD,2000013574,1332,#,BN8 5NN
Department for Transport,Department for Transport,02/10/2014,Recruitment,Portfolio Office,PENNA PLC,2000013578,3298,#,EC4M 7RD
Department for Transport,Department for Transport,02/10/2014,Recruitment,Portfolio Office,PENNA PLC,2000013578,7450,#,EC4M 7RD
Department for Transport,Department for Transport,02/10/2014,Recruitment,Portfolio Office,PENNA PLC,2000013578,10197.5,#,EC4M 7RD
Department for Transport,Department for Transport,02/10/2014,Recruitment,Portfolio Office,PENNA PLC,2000013578,1575,#,EC4M 7RD
Department for Transport,Department for Transport,02/10/2014,Recruitment,Portfolio Office,PENNA PLC,2000013578,3732.5,#,EC4M 7RD
Department for Transport,Department for Transport,02/10/2014,Research,"Energy, Technology and International",TRANSPORT RESEARCH LABORATORY,2000013583,145957.22,#,RG40 3GA
Department for Transport,Department for Transport,02/10/2014,Small Software,Transport Direct&Travel,TRAPEZE GROUP (UK) LTD,2000013584,17777.41,#,BA14 6PH
Department for Transport,Department for Transport,02/10/2014,Subscriptions to Pro,Motoring Services,Zoho Corporation Private Limited,2000013595,1445,#,600 089
Department for Transport,Department for Transport,02/10/2014,Support Services,Marine Accident Investigation Branch,TEST HOUSE (CAMBRIDGE) LTD,2000013582,5839,#,CB21 6AL
Department for Transport,Department for Transport,02/10/2014,Support Services,Transport Security Strategy,HIGHWAYS AGENCY,2000013570,1089.67,#,B1 1RN
Department for Transport,Department for Transport,02/10/2014,Transport  Consult,Major Projects & Growth,JACOBS UK LTD,2000013575,178298.32,#,G2 7HX
Department for Transport,Department for Transport,02/10/2014,Transport  Consult,Rail Commercial & Programme Office,Directly Operated Railways Ltd,2000013590,6423.3,#,EC4A 1BL
Department for Transport,Department for Transport,02/10/2014,Transport  Consult,Rail Strategy & Funding,PARSONS BRINCKERHOFF LTD,2000013577,7254.93,#,NE4 7YQ
Department for Transport,Department for Transport,02/10/2014,Transport  Consult,Rail Franchising,TRANSPORT RESEARCH LABORATORY,2000013583,136109.87,#,RG40 3GA
Department for Transport,Department for Transport,03/10/2014,Agency Staff Costs,Group Human Resource,HAYS PERSONNEL SERVICE LTD,2000013679,4147.2,#,KT3 4JQ
Department for Transport,Department for Transport,03/10/2014,Agency Staff Costs,Major Projects & Growth,CAPITA RESOURCING LTD,2000013703,2282.4,#,DL1 9HN
Department for Transport,Department for Transport,03/10/2014,Agency Staff Costs,Major Projects & Growth,Badenoch & Clark c/o Lauren Rogers,2000013683,2382.53,#,B37 7YE
Department for Transport,Department for Transport,03/10/2014,Agency Staff Costs,Major Projects & Growth,Badenoch & Clark c/o Lauren Rogers,2000013683,2382.53,#,B37 7YE
Department for Transport,Department for Transport,03/10/2014,Agency Staff Costs,Group Finance,Badenoch & Clark c/o Lauren Rogers,2000013683,2386.68,#,B37 7YE
Department for Transport,Department for Transport,03/10/2014,Agency Staff Costs,Group Finance,CAPITA BUSINESS SERVICES LTD,2000013680,7504.39,#,DL1 9HN
Department for Transport,Department for Transport,03/10/2014,Audit Fees (cash),Aviation,Pricewaterhouse Coopers LLP,2000013694,15000,#,SE1 2RD
Department for Transport,Department for Transport,03/10/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Baird Electrical,2000013729,64978.68,Baird Electrical Ltd  July 2014 #64978.68,BT42 1EL
Department for Transport,Department for Transport,03/10/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",EV Charging Solutions Ltd,2000013727,19993,EV Charging Solutions Ltd JULY #19993,NG14 7ES
Department for Transport,Department for Transport,03/10/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",FreeWatt Ltd,2000013739,17994.1,FREEWATT May 2014 #17994.10,LN1 2AJ
Department for Transport,Department for Transport,03/10/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Horizon Systems Ltd,2000013735,5000,HORIZON SYS July 2014 #5000,RM15 6RU
Department for Transport,Department for Transport,03/10/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Powerplus Electrical,2000013730,49983.6,Powerplus July 2014 #49983.60,NG2 6EN
Department for Transport,Department for Transport,03/10/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",SOL Electrical Ltd,2000013724,11996.06,SOL ELECTRICAL JULY 2014 #11996.06,EX15 3EE
Department for Transport,Department for Transport,03/10/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",The Energy Experts (NE) Ltd,2000013731,14000,EXERGY EXP July 2014 #14000,DH4 5QY
Department for Transport,Department for Transport,03/10/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Wise Electricals,2000013737,999.67,#999.67 JUNE WISE ELECTRICAL,GU46 6NL
Department for Transport,Department for Transport,03/10/2014,CurrGrtOth to NDPBs,Group Finance,CTRL SECTION 1 FINANCE PLC,2000013714,19699070.86,CTRL Section 1 Finance plc Payment October 2014,NW1 1AY
Department for Transport,Department for Transport,03/10/2014,Data Supply - TD,Transport Direct&Travel,BASEMAP LIMITED,2000013715,2936.8,#,GU2 7YG
Department for Transport,Department for Transport,03/10/2014,Data Supply - TD,Transport Direct&Travel,OAG WORLDWIDE LTD,2000013690,2400,#,LU1 3LU
Department for Transport,Department for Transport,03/10/2014,Data Supply - TD,Transport Direct&Travel,TRAINTAXI LIMITED,2000013698,824.4,#,PE2 6QH
Department for Transport,Department for Transport,03/10/2014,Eurotunnel Admin Pay,Rail Commercial & Programme Office,EUROTUNNEL,2000013600,4866802.4,OPEX AND  USAGE CHARGES SEPT 14,CT18 8XY
Department for Transport,Department for Transport,03/10/2014,Eurotunnel Admin Pay,Rail Commercial & Programme Office,EUROTUNNEL (EURO PAYMENTS),2000013601,4910900.78,OPEX AND  USAGE CHARGES SEPT 14,CT18 8X
Department for Transport,Department for Transport,03/10/2014,Grant Payments,Rail Commercial & Programme Office,GREATER MANCHESTER PTA,2000013709,3556514.8,1507 Wk3 Northern IFA - Franchise Payment Incl Ind,M1 3BG
Department for Transport,Department for Transport,03/10/2014,Grant Payments,Rail Commercial & Programme Office,MERSEYTRAVEL,2000013706,705097.23,1507 Wk3 Northern IFA - Franchise Payment 14-15 -,L3 2AN
Department for Transport,Department for Transport,03/10/2014,Grant Payments,Rail Commercial & Programme Office,NEXUS (TYNE & WEAR),2000013707,210237.33,1507 Wk3 Northern IFA - Franchise Payments 14-15 -,NE1 4AX
Department for Transport,Department for Transport,03/10/2014,Grant Payments,Rail Commercial & Programme Office,SOUTH YORKSHIRE PTE,2000013708,1349022.86,1507 Wk3 Northern IFA - Franchise Payment Incl Ind,S2 5YT
Department for Transport,Department for Transport,03/10/2014,Grant Payments,Rail Commercial & Programme Office,WEST YORKSHIRE PTA,2000013710,3241158.81,1507 Wk3 Northern IFA - Franchise Payment Incl Ind,LS1 2DE
Department for Transport,Department for Transport,03/10/2014,Investigation Servic,Motoring Services,Procordia Ltd,2000013725,559,#,TN39 4SR
Department for Transport,Department for Transport,03/10/2014,IT Consultancy,Rail Strategy & Funding,IWEB LTD,2000013705,5382.86,#,RH13 6AA
Department for Transport,Department for Transport,03/10/2014,Legal Consultancy,Transport Security Strategy,PHELPS DUNBAR LLP,2000013650,20600.94,#,70130
Department for Transport,Department for Transport,03/10/2014,Legal Consultancy,"Policy, Legislation and Funding",xxxxxx,2000013697,6696,#,xxxxxx
Department for Transport,Department for Transport,03/10/2014,MAA Proceeds Paid,Group Finance,HM TREASURY-CFER,2000013651,18290.75,#,SW1A 2H
Department for Transport,Department for Transport,03/10/2014,Machinery Rental,Marine Accident Investigation Branch,CANON (UK) LTD,2000013685,1356.67,#,RH2 8BF
Department for Transport,Department for Transport,03/10/2014,Maintenance Other,Principal Priv. Secretary & Head of Private Office,Keltec Ltd,2000013736,3825,#,RG12 1NF
Department for Transport,Department for Transport,03/10/2014,Other Advertising,Local,PENNA COMMUNICATIONS,2000013712,7189.23,#,EC4M 7RD
Department for Transport,Department for Transport,03/10/2014,Property Maintenance,Air Accident Investigation Branch,TRIANGLE LIFT SERVICES LTD,2000013699,463.3,#,BS21 6SR
Department for Transport,Department for Transport,03/10/2014,Pte Cost Of Servs Ch,Rail Commercial & Programme Office,GREATER MANCHESTER PTA,2000013709,115531.71,1507 Wk3 Admin Grant 14-15 - Transport for Greater,M1 3BG
Department for Transport,Department for Transport,03/10/2014,Pte Cost Of Servs Ch,Rail Commercial & Programme Office,NEXUS (TYNE & WEAR),2000013707,19702.28,1507 Wk3 Admin Grant 14-15 - Nexus,NE1 4AX
Department for Transport,Department for Transport,03/10/2014,Pte Cost Of Servs Ch,Rail Commercial & Programme Office,SOUTH YORKSHIRE PTE,2000013708,95004.21,1507 Wk3 Admin Grant 14-15 - South Yorkshire PTE,S2 5YT
Department for Transport,Department for Transport,03/10/2014,Pte Cost Of Servs Ch,Rail Commercial & Programme Office,WEST YORKSHIRE PTA,2000013710,69215.87,1507 Wk3 Admin Grant 14-15 - West Yorkshire PTE,LS1 2DE
Department for Transport,Department for Transport,03/10/2014,Purchasing Card Char,RTL DG's Office,BARCLAYS BANK PLC,2000013684,14202.1,Barclays - DFT RT&L- Oct 14,NN4 7SG
Department for Transport,Department for Transport,03/10/2014,Purchasing Card Char,RTL DG's Office,BARCLAYS BANK PLC,2000013684,2099.37,Barclays - DfT / RT&L - Oct 14,NN4 7SG
Department for Transport,Department for Transport,03/10/2014,Purchasing Card Char,Centrally held prog-NATs,BARCLAYS BANK PLC,2000013684,24733.84,Barclays - DfT / ISE - Oct 14,NN4 7SG
Department for Transport,Department for Transport,03/10/2014,Purchasing Card Char,Centrally held prog-NATs,BARCLAYS BANK PLC,2000013684,28968.58,Barclays - DfT / ISE - Oct 14,NN4 7SG
Department for Transport,Department for Transport,03/10/2014,Purchasing Card Char,Group Finance,BARCLAYS BANK PLC,2000013684,51151.46,Barclays - DfT / R&S - Oct 14,NN4 7SG
Department for Transport,Department for Transport,03/10/2014,Purchasing Card Char,Group Finance,BARCLAYS BANK PLC,2000013684,5846.19,Barclays - DFT R&S - October 2014,NN4 7SG
Department for Transport,Department for Transport,03/10/2014,Research,Major Projects & Growth,PARSONS BRINCKERHOFF LTD,2000013693,5440.41,#,NE4 7YQ
Department for Transport,Department for Transport,03/10/2014,Research,Major Projects & Growth,PARSONS BRINCKERHOFF LTD,2000013693,9017.26,#,NE4 7YQ
Department for Transport,Department for Transport,03/10/2014,Research,Local,DEREK HALDEN CONSULTANCY LTD,2000013711,1000,#,EH49 6AQ
Department for Transport,Department for Transport,03/10/2014,Support Services,"Motoring, Freight & London",HIGHWAYS AGENCY,2000013649,6040.14,#,B1 1RN
Department for Transport,Department for Transport,03/10/2014,Support Services,"Energy, Technology and International",VEHICLE CERTIFICATION AGENCY,2000013700,44317.11,#,BS5 6XX
Department for Transport,Department for Transport,03/10/2014,Training,Air Accident Investigation Branch,Cae Training & Services UK Ltd,2000013692,962.5,#,RH10 9UH
Department for Transport,Department for Transport,03/10/2014,Training,Air Accident Investigation Branch,MONARCH AIRLINES LTD,2000013687,5762,#,LU2 9NU
Department for Transport,Department for Transport,03/10/2014,Training,Rail Strategy & Funding,Institution of Railway Operators,2000013704,5900,#,ST16 2EZ
Department for Transport,Department for Transport,03/10/2014,Transport  Consult,Major Projects & Growth,OVE ARUP & PARTNERS,2000013691,81621.77,#,NE1 3PL
Department for Transport,Department for Transport,03/10/2014,Transport  Consult,Major Projects & Growth,MOTT MACDONALD,2000013688,139579.97,#,CR9 2UL
Department for Transport,Department for Transport,03/10/2014,Transport  Consult,Transport Security Strategy,QinetiQ Processing Centre,2000013695,31920,#,GU14 0LX
Department for Transport,Department for Transport,03/10/2014,Transport  Consult,Local,ATKINS LTD (TRANSPORT PLANNING),2000013682,5585,#,WR5 1TX
Department for Transport,Department for Transport,03/10/2014,Transport  Consult,Group Finance,Pricewaterhouse Coopers LLP,2000013694,3360,#,SE1 2RD
Department for Transport,Department for Transport,03/10/2014,Transport  Consult,Aviation,,2000013726,1225,#,xxxxxx
Department for Transport,Department for Transport,03/10/2014,Transport  Consult,Aviation,JACOBS UK LTD,2000013686,189269.51,#,G2 7HX
Department for Transport,Department for Transport,03/10/2014,Transport  Consult,Rail Franchising,PARSONS BRINCKERHOFF LTD,2000013693,72803.35,#,NE4 7YQ
Department for Transport,Department for Transport,03/10/2014,Transport  Consult,Rail Franchising,PARSONS BRINCKERHOFF LTD,2000013693,42758.58,#,NE4 7YQ
Department for Transport,Department for Transport,03/10/2014,Transport  Consult,Rail Franchising,PARSONS BRINCKERHOFF LTD,2000013693,92383.06,#,NE4 7YQ
Department for Transport,Department for Transport,03/10/2014,Transport  Consult,Rail Franchising,PARSONS BRINCKERHOFF LTD,2000013693,69638.69,#,NE4 7YQ
Department for Transport,Department for Transport,06/10/2014,Agency Staff Costs,Air Accident Investigation Branch,HAYS PERSONNEL SERVICE LTD,2000013794,739.68,#,KT3 4JQ
Department for Transport,Department for Transport,06/10/2014,Agency Staff Costs,Rail Commercial & Programme Office,CAPITA BUSINESS SERVICES LTD,2000013796,3379.26,#,DL1 9HN
Department for Transport,Department for Transport,06/10/2014,Agency Staff Costs,Rail Commercial & Programme Office,CAPITA BUSINESS SERVICES LTD,2000013796,2355.36,#,DL1 9HN
Department for Transport,Department for Transport,06/10/2014,Agency Staff Costs,Rail Commercial & Programme Office,CAPITA BUSINESS SERVICES LTD,2000013796,3297.12,#,DL1 9HN
Department for Transport,Department for Transport,06/10/2014,Agency Staff Costs,Rail Commercial & Programme Office,CAPITA BUSINESS SERVICES LTD,2000013796,4284.36,#,DL1 9HN
Department for Transport,Department for Transport,06/10/2014,Agency Staff Costs,Rail Commercial & Programme Office,Experis Ltd,2000013800,2739.12,#,EC2M 2RB
Department for Transport,Department for Transport,06/10/2014,Agency Staff Costs,Rail Strategy & Funding,Experis Ltd,2000013800,2999.7,#,EC2M 2RB
Department for Transport,Department for Transport,06/10/2014,Agency Staff Costs,Group Finance,CAPITA BUSINESS SERVICES LTD,2000013796,2680.14,#,DL1 9HN
Department for Transport,Department for Transport,06/10/2014,Agency Staff Costs,Group Finance,CAPITA BUSINESS SERVICES LTD,2000013796,1835.76,#,DL1 9HN
Department for Transport,Department for Transport,06/10/2014,Agency Staff Costs,Rail Strategy & Funding,CAPITA BUSINESS SERVICES LTD,2000013796,5254.14,#,DL1 9HN
Department for Transport,Department for Transport,06/10/2014,Agency Staff Costs,Rail Strategy & Funding,CAPITA BUSINESS SERVICES LTD,2000013796,4510.62,#,DL1 9HN
Department for Transport,Department for Transport,06/10/2014,Agency Staff Costs,Highspeed 2,Experis Ltd,2000013800,3732.96,#,EC2M 2RB
Department for Transport,Department for Transport,06/10/2014,Agency Staff Costs,Highspeed 2,Experis Ltd,2000013800,4108.68,#,EC2M 2RB
Department for Transport,Department for Transport,06/10/2014,Agency Staff Costs,Highspeed 2,Experis Ltd,2000013800,1643.47,#,EC2M 2RB
Department for Transport,Department for Transport,06/10/2014,Agency Staff Costs,Rail Franchising,METHODS PROFESSIONAL SERVICE LTD,2000013805,13318.67,#,WC2H 8AD
Department for Transport,Department for Transport,06/10/2014,Agency Staff Costs,Highspeed 2,METHODS PROFESSIONAL SERVICE LTD,2000013805,17714.59,#,WC2H 8AD
