Account Name,Posted Date,Billing Amount,Merchant Name,Comments
DFT/RAIL GROUP,17/12/2015,"1,200.00",BEST STL,1 day training for 1 person
DFT/RAIL GROUP,18/12/2015,780.00,WWP TRAINING LTD,1 day training for 4 people
DFT/RAIL GROUP,22/12/2015,642.76,ABBEY COMMUNITY SERVIC,Room Hire
DFT/RAIL GROUP,22/12/2015,"1,600.00",WWW.LEEDS.AC.UK,Training for 4 people
DFT/RAIL GROUP,24/12/2015,"1,549.45",CHURCH HOUSE CONF,Staff Event 1 day for 55 people
DFT/RAIL GROUP,30/12/2015,539.46,AMAZON UK MARKETPLACE,Office Supplies
DFT/RT&L,09/12/2015,"2,717.68",WOOD END GARAGE,Vehicle Maintenance and Repairs
DFT/RT&L,16/12/2015,"£4,869.00",LIVEGROUP.CO.UK,9 attendees Audit Conference
DVSA,02/12/2015,£596.00,MAJESTIC HOTEL,Attendance at conference for 26 staff for 1 day
DVSA,02/12/2015,"£1,000.00",MAJESTIC HOTEL,Attendance at conference for 26 staff for 1 day.
DVSA,02/12/2015,"£1,000.00",MAJESTIC HOTEL,Attendance at conference for 26 staff for 1 day.
DVSA,02/12/2015,"£1,000.00",MAJESTIC HOTEL,Attendance at conference for 26 staff for 1 day.
DVSA,03/12/2015,£552.95,VOLVO GROUP,Tachograph device investigation regarding possible suspect device hidden inside
DVSA,04/12/2015,£541.37,J & G VEHICLE REPAIRS LT,Vehicle repair
DVSA,07/12/2015,£567.94,PREMIER INN44533685,Hotel accommodation for 1 staff for 3 nights.
DVSA,07/12/2015,£525.00,DOUBLETREE BY HILTON,Hotel accommodation for 1 staff for 5 nights.
DVSA,07/12/2015,£525.00,DOUBLETREE BY HILTON,Hotel accommodation for 1 staff for 5 nights.
DVSA,07/12/2015,"£1,679.10",Amazon UK Marketplace,IT hardware
DVSA,10/12/2015,£812.00,MERCURE KIDDERMINS,Hotel accommodation for 8 staff for 1 night.
DVSA,11/12/2015,£627.14,Thrifty Car Rental 104358,Car hire
DVSA,21/12/2015,£605.62,PREMIER INN44017905,Hotel accommodation for 13 staff for 1 night - part payment.
DVSA,21/12/2015,£880.00,GAINSBOROUGH HOUSE HOTEL,Hotel accommodation for 7 staff for 2 nights. 
DVSA,21/12/2015,£783.11,RAKUTEN UK,IT hardware
HIGHWAYS AGENCY,01/12/2015,£834.00,THE HEALTH & SAFETY P LT,Training x1 delegate
HIGHWAYS AGENCY,02/12/2015,"£1,421.00",WWW.PARTNERSHIPSBULLET,Subscription
HIGHWAYS AGENCY,03/12/2015,"£2,197.20",PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,03/12/2015,£704.43,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,03/12/2015,£688.17,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,03/12/2015,£653.54,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,03/12/2015,£526.69,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,04/12/2015,£741.60,BACKCARE SOLUTIONS LTD,DSE Equipment
HIGHWAYS AGENCY,07/12/2015,"£1,197.00",SP  NRGIT,IT Hardware
HIGHWAYS AGENCY,07/12/2015,£642.43,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,08/12/2015,"£1,556.35",PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,08/12/2015,£508.70,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,08/12/2015,"£1,260.00",WWW.CERTSURE.COM,Training Course 
HIGHWAYS AGENCY,10/12/2015,£870.81,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,10/12/2015,£691.24,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,10/12/2015,£635.13,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,10/12/2015,£600.72,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,10/12/2015,£547.46,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,10/12/2015,£534.43,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,10/12/2015,£525.25,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,10/12/2015,£501.28,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,14/12/2015,"£1,259.25",PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,14/12/2015,£657.10,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,14/12/2015,£575.29,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,14/12/2015,£534.43,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,14/12/2015,£520.64,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,16/12/2015,"£2,462.54",PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,16/12/2015,"£1,906.23",PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,16/12/2015,"£1,395.49",PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,16/12/2015,£540.15,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,16/12/2015,£501.61,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,17/12/2015,£913.04,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,17/12/2015,£898.20,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,17/12/2015,£821.73,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,17/12/2015,£678.64,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,17/12/2015,£584.41,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,18/12/2015,£993.45,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,18/12/2015,£921.14,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,21/12/2015,"£1,590.98",PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,21/12/2015,"£1,147.95",PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,21/12/2015,"£1,124.59",PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,21/12/2015,£945.25,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,21/12/2015,£748.59,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,21/12/2015,£713.78,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,21/12/2015,£691.24,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,21/12/2015,£551.46,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,21/12/2015,£519.46,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,21/12/2015,£513.93,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,21/12/2015,£509.60,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,21/12/2015,£508.10,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,22/12/2015,"£2,096.44",PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,22/12/2015,"£1,204.22",PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,22/12/2015,"£1,058.83",PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,22/12/2015,£508.70,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,22/12/2015,£508.70,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,23/12/2015,£508.98,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,23/12/2015,£508.98,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,23/12/2015,£501.28,PENNA PLC,Statutory Advertising for work undertaken on HA road network
HIGHWAYS AGENCY,28/12/2015,£657.10,PENNA PLC,Statutory Advertising for work undertaken on HA road network
