Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum of Amount,Text,Postcode
Department for Transport,Department for Transport,02.11.2012,Grant Payments,Rail Commercial Contracts,WEST YORKSHIRE PTA,2000015562,4355070.86,1308 Wk3 PTE SUBSIDY & INDEXATION 2012-13_Pd1308 -,LS1 2DE
Department for Transport,Department for Transport,02.11.2012,Pte Cost Of Servs Ch,Rail Commercial Contracts,GREATER MANCHESTER PTA,2000015561,107697.18,1308 Wk3 ADMIN GRANT & INDEXATION_P1308 - Transpor,M1 3BG
Department for Transport,Department for Transport,02.11.2012,Pte Cost Of Servs Ch,Rail Commercial Contracts,NEXUS (TYNE & WEAR),2000015559,18366.22,1308 Wk3 ADMIN GRANT & INDEXATION_P1308 - Nexus,NE1 4AX
Department for Transport,Department for Transport,02.11.2012,Pte Cost Of Servs Ch,Rail Commercial Contracts,SOUTH YORKSHIRE PTE,2000015560,88561.7,1308 Wk3 ADMIN GRANT & INDEXATION_P1308 - South Yo,S2 5YT
Department for Transport,Department for Transport,02.11.2012,Pte Cost Of Servs Ch,Rail Commercial Contracts,WEST YORKSHIRE PTA,2000015562,64522.15,1308 Wk3 ADMIN GRANT & INDEXATION_P1308 - West Yor,LS1 2DE
Department for Transport,Department for Transport,02.11.2012,Other Pte Costs,Rail Commercial Contracts,GREATER MANCHESTER PTA,2000015561,46.03,1308 Wk3 LLOYDS DATABASE CONNECTION_P1308 - Transp,M1 3BG
Department for Transport,Department for Transport,02.11.2012,Other Pte Costs,Rail Commercial Contracts,MERSEYTRAVEL,2000015558,46.03,1308 Wk3 LLOYDS DATABASE CONNECTION_P1308 - Mersey,L3 2AN
Department for Transport,Department for Transport,02.11.2012,Other Pte Costs,Rail Commercial Contracts,NEXUS (TYNE & WEAR),2000015559,46.03,1308 Wk3 LLOYDS DATABASE CONNECTION_P1308 - Nexus,NE1 4AX
Department for Transport,Department for Transport,02.11.2012,Other Pte Costs,Rail Commercial Contracts,SOUTH YORKSHIRE PTE,2000015560,46.03,1308 Wk3 LLOYDS DATABASE CONNECTION_P1308 - South,S2 5YT
Department for Transport,Department for Transport,02.11.2012,Other Pte Costs,Rail Commercial Contracts,WEST YORKSHIRE PTA,2000015562,46.03,1308 Wk3 LLOYDS DATABASE CONNECTION_P1308 - West Y,LS1 2DE
Department for Transport,Department for Transport,02.11.2012,Electricity,Business Transformation,GVA GRIMLEY,2000015553,2382.77,#,B1 2JB
Department for Transport,Department for Transport,02.11.2012,Rent - L&B (non-PFI),Business Transformation,GVA GRIMLEY,2000015553,30980.48,#,B1 2JB
Department for Transport,Department for Transport,02.11.2012,Building Service Cha,Business Transformation,AMEY COMMUNITY LTD,2000015567,227994.58,#,OX4 4DQ
Department for Transport,Department for Transport,02.11.2012,Estate Legal Advisor,Local,ROYAL MAIL,2000015555,792.53,#,PE4 5PG
Department for Transport,Department for Transport,02.11.2012,Eurotunnel Admin Pay,Rail Commercial Contracts,SNCF TRESORERIE ENC RHT VFE,2000015511,5583488.85,#,75014
Department for Transport,Department for Transport,02.11.2012,Eurotunnel Admin Pay,Rail Commercial Contracts,SNCF CAISSE GENERALE,2000015512,5540636.3,#,75008
Department for Transport,Department for Transport,02.11.2012,Services prov by OGD,Corporate Director's Officer,COMMUNITIES AND LOCAL GOVERNMENT,2000015547,1366.56,#,HP2 4XN
Department for Transport,Department for Transport,02.11.2012,Computer Consumables,Business Transformation,SUPPLIES TEAM,2000015550,98.12,HP CLJ5500 SRS LASER TONER CART BLK,S9 1XU
Department for Transport,Department for Transport,02.11.2012,Computer Consumables,Business Transformation,SUPPLIES TEAM,2000015550,137.7,HP CLJ5500 SRS LASER TONER CART CYAN,S9 1XU
Department for Transport,Department for Transport,02.11.2012,Computer Consumables,Business Transformation,SUPPLIES TEAM,2000015550,137.7,HP CLJ5500 SRS LASER TONER CART MAG,S9 1XU
Department for Transport,Department for Transport,02.11.2012,Computer Consumables,Business Transformation,SUPPLIES TEAM,2000015550,137.7,HP CLJ5500 SRS LASER TONER CART YLW,S9 1XU
Department for Transport,Department for Transport,02.11.2012,Computer Consumables,Business Transformation,SUPPLIES TEAM,2000015550,464.84,HP FUSER UNIT 220V COLOR LJET 5550,S9 1XU
Department for Transport,Department for Transport,02.11.2012,Legal Consultancy,Managing Director Motoring Services,FIELD FISHER WATERHOUSE LLP,2000015563,-24870.49,PO 8000085420,EC3N 2AA
Department for Transport,Department for Transport,02.11.2012,Legal Consultancy,Managing Director Motoring Services,FIELD FISHER WATERHOUSE LLP,2000015563,24870.49,PO 8000085420,EC3N 2AA
Department for Transport,Department for Transport,02.11.2012,Legal Consultancy,Managing Director Motoring Services,FIELD FISHER WATERHOUSE LLP,2000015563,-27552,#,EC3N 2AA
Department for Transport,Department for Transport,02.11.2012,Legal Consultancy,Managing Director Motoring Services,FIELD FISHER WATERHOUSE LLP,2000015563,29949.6,#,EC3N 2AA
Department for Transport,Department for Transport,02.11.2012,Transport Consult,DASH,SINCLAIR KNIGHT MERZ (EUROPE) LTD,2000015566,3325,#,M5 3NN
Department for Transport,Department for Transport,02.11.2012,Research,Greener Transport & International,NETFUNDI LTD,2000015554,586,#,LA1 1SQ
Department for Transport,Department for Transport,02.11.2012,Support Services,Group Finance,EXEL PLC,2000015546,430000,#,MK40 2UB
Department for Transport,Department for Transport,02.11.2012,Training,Group Finance,ELIESHA TRAINING,2000015549,5155.9,#,NE4 7YB
Department for Transport,Department for Transport,02.11.2012,MAA Proceeds Paid,Group Finance,HM TREASURY-CFER,2000015548,291003.7,#,SW1A 2H
Department for Transport,Department for Transport,05.11.2012,Agency Staff Costs,Rail Commercial Contracts,MORGAN HUNT UK LTD,2000015644,4056,#,EC4M 7EG
Department for Transport,Department for Transport,05.11.2012,Eurotunnel Admin Pay,Rail Commercial Contracts,EUROTUNNEL,2000015631,4848389.05,Opex & Usage Charges (GBP Payment) - October,CT18 8XY
Department for Transport,Department for Transport,05.11.2012,Eurotunnel Admin Pay,Rail Commercial Contracts,EUROTUNNEL (EURO PAYMENTS),2000015634,5029356.74,Opex & Usage Charges (Euro Payment) - October,CT18 8X
Department for Transport,Department for Transport,05.11.2012,Services prov by OGD,Transport Security - Security Compliance Division ,VEHICLE & OPERATOR SERVICES AGENCY,2000015633,112414.72,#,SA1 8AN
Department for Transport,Department for Transport,05.11.2012,Services prov by OGD,Transport Security - Security Compliance Division ,VEHICLE & OPERATOR SERVICES AGENCY,2000015633,69807.12,#,SA1 8AN
Department for Transport,Department for Transport,05.11.2012,Computer Consumables,Commercial & Technical Services,SUPPLIES TEAM,2000015642,1441.5,#,S9 1XU
Department for Transport,Department for Transport,05.11.2012,Transport Consult,Local,ALPINE RESOURCING LTD,2000015649,799.99,#,EC4A 2A
Department for Transport,Department for Transport,05.11.2012,Transport Consult,Analysis/Science,OVE ARUP & PARTNERS,2000015645,1817.27,#,NE1 3PL
Department for Transport,Department for Transport,05.11.2012,Research,Transport Security Strategy,HOME OFFICE,2000015632,24278.93,#,NP20 9BB
Department for Transport,Department for Transport,05.11.2012,Research,Transport Security Strategy,HOME OFFICE,2000015632,28930.82,#,NP20 9BB
Department for Transport,Department for Transport,05.11.2012,Research,Managing Director Motoring Services,PRICEWATERHOUSECOOPERS LLP,2000015646,17839.5,#,E14 9SQ
Department for Transport,Department for Transport,05.11.2012,Training,Rail Accident Investigation Branch,INTERFLEET TECHNOLOGY LTD,2000015648,500,#,DE24 8HX
Department for Transport,Department for Transport,05.11.2012,Newspapers,Business Transformation,JONES YARRELL LEADENHALL,2000015643,564.78,CD Serials & Periodicals Apr12-Mar13,E3 3JH
Department for Transport,Department for Transport,06.11.2012,Agency Staff Costs,Permanent Secretary,NETWORKERS INTERNATIONAL (UK) PLC,2000015703,883.92,#,BR1 1HP
Department for Transport,Department for Transport,06.11.2012,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,2000015703,2897.46,#,BR1 1HP
Department for Transport,Department for Transport,06.11.2012,Agency Staff Costs,Managing Director Motoring Services,NETWORKERS INTERNATIONAL (UK) PLC,2000015703,3939.6,#,BR1 1HP
Department for Transport,Department for Transport,06.11.2012,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000015700,3510,#,SL1 3SA
Department for Transport,Department for Transport,06.11.2012,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000015700,3510,#,SL1 3SA
Department for Transport,Department for Transport,06.11.2012,Agency Staff Costs,Group Finance,PARITY RESOURCES LTD,2000015701,14280,#,SW19 3RU
Department for Transport,Department for Transport,06.11.2012,Agency Staff Costs,Group Finance,PARITY RESOURCES LTD,2000015701,11880,#,SW19 3RU
Department for Transport,Department for Transport,06.11.2012,Agency Staff Costs,Refran Prog Off,PARITY RESOURCES LTD,2000015701,10281.6,#,SW19 3RU
Department for Transport,Department for Transport,06.11.2012,Data Supply - TD,Transport Direct and Travel information,INRIX MEDIA LTD,2000015704,18499.2,#,WA14 1EP
Department for Transport,Department for Transport,06.11.2012,Data Supply - TD,Transport Direct and Travel information,BASEMAP LIMITED,2000015707,2110.8,#,GU2 7YG
Department for Transport,Department for Transport,06.11.2012,Data Supply - TD,Transport Direct and Travel information,BASEMAP LIMITED,2000015707,1170,#,GU2 7YG
Department for Transport,Department for Transport,06.11.2012,Web Design Services,Roads,1 SPATIAL GROUP LIMITED,2000015694,2466.41,#,CB4 0WZ
Department for Transport,Department for Transport,06.11.2012,Computer Consumables,Permanent Secretary,SUPPLIES TEAM,2000015693,196.25,HP CLJ5500 SRS LASER TONER CART BLK,S9 1XU
Department for Transport,Department for Transport,06.11.2012,Computer Consumables,Permanent Secretary,SUPPLIES TEAM,2000015693,275.4,HP CLJ5500 SRS LASER TONER CART CYAN,S9 1XU
Department for Transport,Department for Transport,06.11.2012,Computer Consumables,Permanent Secretary,SUPPLIES TEAM,2000015693,137.7,HP CLJ5500 SRS LASER TONER CART MAG,S9 1XU
Department for Transport,Department for Transport,06.11.2012,Computer Consumables,Permanent Secretary,SUPPLIES TEAM,2000015693,275.4,HP CLJ5500 SRS LASER TONER CART YLW,S9 1XU
Department for Transport,Department for Transport,06.11.2012,Computer Consumables,Permanent Secretary,SUPPLIES TEAM,2000015693,150.65,HP COL LSRJET 5500/5550 TRANSFER KIT,S9 1XU
Department for Transport,Department for Transport,06.11.2012,Computer Consumables,Permanent Secretary,SUPPLIES TEAM,2000015693,464.84,HP FUSER UNIT 220V COLOR LJET 5550,S9 1XU
Department for Transport,Department for Transport,06.11.2012,Computer Consumables,Permanent Secretary,SUPPLIES TEAM,2000015693,137.28,SUPP.TEAM CLJ 4700 TNR CART BLACK,S9 1XU
Department for Transport,Department for Transport,06.11.2012,Computer Consumables,Permanent Secretary,SUPPLIES TEAM,2000015693,70.42,SUPP.TEAM CLJ 4700 TNR CART CYAN,S9 1XU
Department for Transport,Department for Transport,06.11.2012,Computer Consumables,Permanent Secretary,SUPPLIES TEAM,2000015693,140.83,SUPP.TEAM CLJ 4700 TNR CART MAGNTA,S9 1XU
Department for Transport,Department for Transport,06.11.2012,Transport Consult,Rail and Road Projects,JACOBS UK LTD,2000015696,155146.2,#,G2 7HX
Department for Transport,Department for Transport,06.11.2012,Other Advertising,Local,PENNA COMMUNICATIONS,2000015705,8227.21,#,EC4M 7RD
Department for Transport,Department for Transport,06.11.2012,Traffic Survey & Cou,Roads,HIGHWAYS AGENCY (14272),2000015690,5104.45,#,HP2 4XW
Department for Transport,Department for Transport,06.11.2012,Support Services,General Counsel's Office,HOME OFFICE,2000015689,2943.91,#,NP20 9BB
Department for Transport,Department for Transport,06.11.2012,Transport Survey,Group Finance,QA-IQ LTD,1500000019,1296,Match to 5105926530,SLI 1SG
Department for Transport,Department for Transport,06.11.2012,Transport Survey,Group Finance,QA-IQ LTD,1500000019,-1296,Match to 5105941502,SLI 1SG
Department for Transport,Department for Transport,06.11.2012,Training,Group Finance,QA-IQ LTD,1500000019,1620,Match to 5105926529,SLI 1SG
Department for Transport,Department for Transport,06.11.2012,Training,Group Finance,QA-IQ LTD,1500000019,1080,Match to 5105926589,SLI 1SG
Department for Transport,Department for Transport,06.11.2012,Training,Group Finance,QA-IQ LTD,1500000019,-1620,Match to 5105941503,SLI 1SG
Department for Transport,Department for Transport,06.11.2012,Training,Group Finance,QA-IQ LTD,1500000019,-1080,Match to ICE162880,SLI 1SG
Department for Transport,Department for Transport,06.11.2012,CurrGrtOth to NDPBs,Rail,MERSEY TRAVEL,2000015702,5857991.29,Mersey Travel Grant Claim 8th payment,L3 2AN
Department for Transport,Department for Transport,07.11.2012,Agency Staff Costs,Business Transformation,BADENOCH & CLARK,2000015753,1239.3,#,W1T 5AE
Department for Transport,Department for Transport,07.11.2012,Agency Staff Costs,Business Transformation,BADENOCH & CLARK,2000015753,991.44,#,W1T 5AE
Department for Transport,Department for Transport,07.11.2012,Agency Staff Costs,Group Finance,BADENOCH & CLARK,2000015753,3616.8,#,W1T 5AE
Department for Transport,Department for Transport,07.11.2012,Agency Staff Costs,Group Finance,BADENOCH & CLARK,2000015753,4036.38,#,W1T 5AE
Department for Transport,Department for Transport,07.11.2012,Agency Staff Costs,Rail Commercial Contracts,CAPITA RESOURCING LTD,2000015768,3732.96,#,DL1 9HN
Department for Transport,Department for Transport,07.11.2012,Agency Staff Costs,Local,BADENOCH & CLARK,2000015753,1699.2,#,W1T 5AE
Department for Transport,Department for Transport,07.11.2012,Agency Staff Costs,Local,BADENOCH & CLARK,2000015753,1699.2,#,W1T 5AE
Department for Transport,Department for Transport,07.11.2012,Agency Staff Costs,Local,BADENOCH & CLARK,2000015753,2548.8,#,W1T 5AE
Department for Transport,Department for Transport,07.11.2012,Agency Staff Costs,Refran Prog Off,BADENOCH & CLARK,2000015753,3270.3,#,W1T 5AE
Department for Transport,Department for Transport,07.11.2012,Agency Staff Costs,Refran Prog Off,BADENOCH & CLARK,2000015753,3270.3,#,W1T 5AE
Department for Transport,Department for Transport,07.11.2012,Agency Staff Costs,Refran Prog Off,BADENOCH & CLARK,2000015753,2340.9,#,W1T 5AE
Department for Transport,Department for Transport,07.11.2012,Agency Staff Costs,Group Finance,PARITY RESOURCES LTD,2000015766,5940,#,SW19 3RU
Department for Transport,Department for Transport,07.11.2012,Agency Staff Costs,Group Finance,PARITY RESOURCES LTD,2000015766,9180,#,SW19 3RU
Department for Transport,Department for Transport,07.11.2012,Agency Staff Costs,Group Finance,PARITY RESOURCES LTD,2000015766,19890,#,SW19 3RU
Department for Transport,Department for Transport,07.11.2012,Agency Staff Costs,Refran Prog Off,CAPITA RESOURCING LTD,2000015768,3345.12,#,DL1 9HN
Department for Transport,Department for Transport,07.11.2012,Agency Staff Costs,Refran Prog Off,CAPITA RESOURCING LTD,2000015768,8014.32,#,DL1 9HN
Department for Transport,Department for Transport,07.11.2012,Secondments,Aviation,FCO FOREIGN & COMMONWEALTH OFFICE,2000015784,3458.49,#,MK10 1PX
Department for Transport,Department for Transport,07.11.2012,Basic Franchise Pay,Rail Commercial Contracts,CHILTERN RAILWAYS,2000015769,46269.84,1308 Wk3 BIOX Subsidy payment P1308 - The Chiltern,HP20 2RX
Department for Transport,Department for Transport,07.11.2012,Basic Franchise Pay,Rail Commercial Contracts,CHILTERN RAILWAYS,2000015769,-499721.58,1308 Wk3 Basic Franchise Payment - The Chiltern Ra,HP20 2RX
Department for Transport,Department for Transport,07.11.2012,Basic Franchise Pay,Rail Commercial Contracts,CHILTERN RAILWAYS,2000015769,-19971.76,1308 Wk3 Saturday Services Clawback - p1308 - The,HP20 2RX
Department for Transport,Department for Transport,07.11.2012,Basic Franchise Pay,Rail Commercial Contracts,LONDON MIDLAND RAILWAY,2000015772,4236376,1308 Wk3 LOM Basic Franchise Payments Pd 1308 - Lo,B2 4JB
Department for Transport,Department for Transport,07.11.2012,Basic Franchise Pay,Rail Commercial Contracts,NORTHERN RAIL LTD,2000015771,9590821.55,1308 Wk3 Franchise Subsidy based on V12 of Fin. Mo,YO1 6HT
Department for Transport,Department for Transport,07.11.2012,Basic Franchise Pay,Rail Commercial Contracts,NORTHERN RAIL LTD,2000015771,305293.05,1308 Wk3 HLOS 2 Franchise subsidy based on V12_P13,YO1 6HT
Department for Transport,Department for Transport,07.11.2012,Basic Franchise Pay,Rail Commercial Contracts,NORTHERN RAIL LTD,2000015771,302786.94,1308 Wk3 HLOS 3 Franchise subsidy based on V12_P13,YO1 6HT
Department for Transport,Department for Transport,07.11.2012,Basic Franchise Pay,Rail Commercial Contracts,NORTHERN RAIL LTD,2000015771,90608.97,1308 Wk3 HLOS PHASE 1A PAYMENT 2012-13_P1308 - Nor,YO1 6HT
Department for Transport,Department for Transport,07.11.2012,Basic Franchise Pay,Rail Commercial Contracts,NORTHERN RAIL LTD,2000015771,188005.51,1308 Wk3 HLOS PHASE 1B SUBSIDY 2012-13_P1308 - Nor,YO1 6HT
Department for Transport,Department for Transport,07.11.2012,Basic Franchise Pay,Rail Commercial Contracts,FIRST KEOLIS TRANSPENNINE,2000015770,4276229.12,1308 Wk3 Basic Franchise Payment - 2012-13_P1308 -,M1 6LT
Department for Transport,Department for Transport,07.11.2012,Sprs Indexation Pay-,Rail Commercial Contracts,CHILTERN RAILWAYS,2000015769,-186819.88,1308 Wk3 Basic Franchise Indexation - The Chiltern,HP20 2RX
Department for Transport,Department for Transport,07.11.2012,Sprs Indexation Pay-,Rail Commercial Contracts,LONDON MIDLAND RAILWAY,2000015772,152266,1308 Wk3 LOM Franchise Payment Indexation Pd1308 -,B2 4JB
Department for Transport,Department for Transport,07.11.2012,Sprs Indexation Pay-,Rail Commercial Contracts,NORTHERN RAIL LTD,2000015771,60060.56,1308 Wk3 HLOS 2 Franchise Indexation based on V12_,YO1 6HT
Department for Transport,Department for Transport,07.11.2012,Sprs Indexation Pay-,Rail Commercial Contracts,NORTHERN RAIL LTD,2000015771,72117.94,1308 Wk3 HLOS 3 Franchise Indexation based on V12_,YO1 6HT
Department for Transport,Department for Transport,07.11.2012,Sprs Indexation Pay-,Rail Commercial Contracts,NORTHERN RAIL LTD,2000015771,2412458.44,1308 Wk3 Subsidy Indexation based on v12 of Fin. M,YO1 6HT
Department for Transport,Department for Transport,07.11.2012,Sprs Indexation Pay-,Rail Commercial Contracts,FIRST KEOLIS TRANSPENNINE,2000015770,78474.25,1308 Wk3 Indexation on Basic Franchise payment 201,M1 6LT
Department for Transport,Department for Transport,07.11.2012,Deed Of Amendment -,Rail Commercial Contracts,LONDON MIDLAND RAILWAY,2000015772,4639.47,1308 Wk3 LOM HLOS Combined Bromgrove & 110 mph Sch,B2 4JB
Department for Transport,Department for Transport,07.11.2012,Deed Of Amendment -,Rail Commercial Contracts,LONDON MIDLAND RAILWAY,2000015772,100627.36,1308 Wk3 LOM Phase 3 Adjustment Pd 1308 - London M,B2 4JB
Department for Transport,Department for Transport,07.11.2012,Ltcs -Toc Is Sfo - P,Rail Commercial Contracts,CHILTERN RAILWAYS,2000015769,30151,1308 Wk3 CP4 Stations Adjustment - The Chiltern Ra,HP20 2RX
Department for Transport,Department for Transport,07.11.2012,Cp3 Sch4 Fixed - Pto,Rail Commercial Contracts,CHILTERN RAILWAYS,2000015769,115954,1308 Wk3 CP4 ACS Schedule 4 Adjustment - The Chilt,HP20 2RX
Department for Transport,Department for Transport,07.11.2012,Cp3 Fixed Track Acce,Rail Commercial Contracts,CHILTERN RAILWAYS,2000015769,167965,1308 Wk3 CP4 FTAC adjustment - The Chiltern Railwa,HP20 2RX
Department for Transport,Department for Transport,07.11.2012,Variable Mileage - P,Rail Commercial Contracts,CHILTERN RAILWAYS,2000015769,-115993,1308 Wk3 CP4 VTAC Adjustment - The Chiltern Railwa,HP20 2RX
Department for Transport,Department for Transport,07.11.2012,Capacity Charge 18.1,Rail Commercial Contracts,CHILTERN RAILWAYS,2000015769,176694.88,1308 Wk3 Capacity Charge_P1307 - The Chiltern Rail,HP20 2RX
Department for Transport,Department for Transport,07.11.2012,Pip - Ptoc,Rail Commercial Contracts,CHILTERN RAILWAYS,2000015769,36304.69,1308 Wk3 PIP_P1307 - The Chiltern Railway Company,HP20 2RX
Department for Transport,Department for Transport,07.11.2012,Sfip - Ptoc,Rail Commercial Contracts,CHILTERN RAILWAYS,2000015769,-4473.53,1308 Wk3 SFIP_P1307 - The Chiltern Railway Company,HP20 2RX
Department for Transport,Department for Transport,07.11.2012,Sch8 Variable Perf -,Rail Commercial Contracts,CHILTERN RAILWAYS,2000015769,-31620.96,1308 Wk3 CP2SR_P1307 - The Chiltern Railway Compan,HP20 2RX
Department for Transport,Department for Transport,07.11.2012,Sch8 Variable Perf -,Rail Commercial Contracts,CHILTERN RAILWAYS,2000015769,-4900.05,1308 Wk3 RTMRE_P1307 - The Chiltern Railway Compan,HP20 2RX
Department for Transport,Department for Transport,07.11.2012,Sch8 Variable Perf -,Rail Commercial Contracts,CHILTERN RAILWAYS,2000015769,8515.41,1308 Wk3 TS8A_P1307 - The Chiltern Railway Company,HP20 2RX
Department for Transport,Department for Transport,07.11.2012,Sch8 Fixed Perf - Pt,Rail Commercial Contracts,CHILTERN RAILWAYS,2000015769,-8253,1308 Wk3 CP4 ACS Schedule 8 Adjustment - The Chilt,HP20 2RX
Department for Transport,Department for Transport,07.11.2012,IT Ser Running Costs,Transport Direct and Travel information,JOURNEYPLAN LTD,2000015760,3228,#,KY12 7NT
