Department Family,Entity,Date,Expense Type,Expense Area ,Supplier,Transaction No,Sum of Amount,Item Text,Postal Code
Department for Transport,Department for Transport,02/04/2013,IT Equip Cap Cost,Commercial and Technical Services Research,Probrand Ltd,2000000053,5897.72,Portege Z930 i5,B1 3BP
Department for Transport,Department for Transport,02/04/2013,IT Equip Cap Cost,Commercial and Technical Services Research,Probrand Ltd,2000000053,6,Shipping Charge,B1 3BP
Department for Transport,Department for Transport,02/04/2013,IT Ser Running Costs,Transport Direct and Travel information,MENTZ DATENVERARBEITUNG GMBH,2000000092,3132,#,81675
Department for Transport,Department for Transport,02/04/2013,Legal Consultancy,Rail,BURGES SALMON,2000000056,63565.63,#,BS1 4AH
Department for Transport,Department for Transport,02/04/2013,Legal Consultancy,DASH,#,2000000091,2400,#,#
Department for Transport,Department for Transport,02/04/2013,Legal Consultancy,DASH,#,2000000087,4906.8,#,#
Department for Transport,Department for Transport,02/04/2013,Legal Consultancy,DASH,#,2000000089,672,#,#
Department for Transport,Department for Transport,02/04/2013,Legal Consultancy,DASH,#,2000000070,5832,#,#
Department for Transport,Department for Transport,02/04/2013,Manual Handling Equi,Rail Accident Investigation Branch,PARK CAMERAS LTD,2000000079,38,Olympus CLA T01,RH15 9TT
Department for Transport,Department for Transport,02/04/2013,Manual Handling Equi,Rail Accident Investigation Branch,PARK CAMERAS LTD,2000000079,69.98,Olympus F 3AC,RH15 9TT
Department for Transport,Department for Transport,02/04/2013,Manual Handling Equi,Rail Accident Investigation Branch,PARK CAMERAS LTD,2000000079,239.98,Olympus FCON T01,RH15 9TT
Department for Transport,Department for Transport,02/04/2013,Manual Handling Equi,Rail Accident Investigation Branch,PARK CAMERAS LTD,2000000079,959.76,Olympus Li90B,RH15 9TT
Department for Transport,Department for Transport,02/04/2013,Manual Handling Equi,Rail Accident Investigation Branch,PARK CAMERAS LTD,2000000079,239.98,Olympus TCON T01,RH15 9TT
Department for Transport,Department for Transport,02/04/2013,Manual Handling Equi,Rail Accident Investigation Branch,PARK CAMERAS LTD,2000000079,7176,Olympus TG 2,RH15 9TT
Department for Transport,Department for Transport,02/04/2013,Manual Handling Equi,Rail Accident Investigation Branch,PARK CAMERAS LTD,2000000079,420,Olyumpus TRHLC Case,RH15 9TT
Department for Transport,Department for Transport,02/04/2013,Manual Handling Equi,Rail Accident Investigation Branch,PARK CAMERAS LTD,2000000079,720,Scandisk 16 GB,RH15 9TT
Department for Transport,Department for Transport,02/04/2013,Medical Advisory Ser,Group HR,HEALTH MANAGEMENT LTD,2000000061,2333.5,#,BN8 5NN
Department for Transport,Department for Transport,02/04/2013,Other Comms Charges,Business Transformation,PAGE ONE COMMUNICATIONS LTD,2000000050,892.44,Flare Inform Package - 15.3.13-14.4.13,TW8 9DF
Department for Transport,Department for Transport,02/04/2013,Property Consultancy,Business Transformation,DRIVERS JONAS DELOITTE,2000000052,6418.06,#,MK9 1FD
Department for Transport,Department for Transport,02/04/2013,Publications for Res,Aviation,CREATIVE CHOICE CIC,2000000083,1624.48,#,SW1H 0DJ
Department for Transport,Department for Transport,02/04/2013,Publicity,Business Transformation,CREATIVE CHOICE CIC,2000000083,3216.72,#,SW1H 0DJ
Department for Transport,Department for Transport,02/04/2013,Publicity,Roads,ABBOTT MEAD VICKERS BBDO LTD,2000000054,17445,#,NW1 5QE
Department for Transport,Department for Transport,02/04/2013,Rent - L&B (non-PFI),Rail Commercial Contracts,EUROSTAR (UK) LTD,1700000006,-7052606.74,#,SE1 8SE
Department for Transport,Department for Transport,02/04/2013,Rent - L&B (non-PFI),Rail Commercial Contracts,EUROSTAR (UK) LTD,1700000006,7052606.74,#,SE1 8SE
Department for Transport,Department for Transport,02/04/2013,Research,Local,AECOM LIMITED,2000000059,212030,#,WA14 4DZ
Department for Transport,Department for Transport,02/04/2013,Research,Transport Security Strategy,DEFENCE SCIENCE & TECHNOLOGY,2000000058,254990,DSTL research costs Oct-Dec Q3 2012-13,PO14 9HL
Department for Transport,Department for Transport,02/04/2013,Research,Transport Security Strategy,DEFENCE SCIENCE & TECHNOLOGY,2000000058,156058.8,#,PO14 9HL
Department for Transport,Department for Transport,02/04/2013,Research,Transport Security Strategy,DEFENCE SCIENCE & TECHNOLOGY,2000000058,254990,#,PO14 9HL
Department for Transport,Department for Transport,02/04/2013,Research,Transport Security Strategy,DEFENCE SCIENCE & TECHNOLOGY,2000000058,311650,#,PO14 9HL
Department for Transport,Department for Transport,02/04/2013,Research,Transport Security Strategy,DEFENCE SCIENCE & TECHNOLOGY,2000000058,224611,#,PO14 9HL
Department for Transport,Department for Transport,02/04/2013,Research,Transport Security Strategy,SECURITY SERVICE,2000000068,15000,#,EC1A 1AH
Department for Transport,Department for Transport,02/04/2013,Research,Analysis/Science,HALCROW GROUP LTD,2000000060,34616.74,#,W6 7BY
Department for Transport,Department for Transport,02/04/2013,Research,Local,TRANSPORT RESEARCH LABORATORY,2000000071,5645.1,#,RG40 3GA
Department for Transport,Department for Transport,02/04/2013,Security,General Counsel's Office,FCO SERVICES,2000000086,3414,#,MK19 7BH
Department for Transport,Department for Transport,02/04/2013,Services prov by OGD,Roads,VEHICLE & OPERATOR SERVICES AGENCY,2000000090,4358000,#,SA1 8AN
Department for Transport,Department for Transport,02/04/2013,Services prov by OGD,Roads,VEHICLE CERTIFICATION AGENCY,2000000072,84575,#,BS5 6XX
Department for Transport,Department for Transport,02/04/2013,Telephone charges,Air Accident Investigation Branch,ALTERNATIVE NETWORKS PLC,2000000080,3945.6,#,SW11 3UL
Department for Transport,Department for Transport,02/04/2013,Telephone charges,Air Accident Investigation Branch,ALTERNATIVE NETWORKS PLC,2000000080,1972.8,#,SW11 3UL
Department for Transport,Department for Transport,02/04/2013,Telephone charges,Air Accident Investigation Branch,ALTERNATIVE NETWORKS PLC,2000000080,657.6,#,SW11 3UL
Department for Transport,Department for Transport,02/04/2013,Telephone charges,Business Transformation,SIEMENS ENTERPRISE COMMUNICATIONS L,2000000069,-88125,CREDIT FOR INVOICE 6000842640,MK15 ODJ
Department for Transport,Department for Transport,02/04/2013,Telephone charges,Business Transformation,SIEMENS ENTERPRISE COMMUNICATIONS L,2000000069,-29375,CREDIT FOR INVOICE 6000842639,MK15 ODJ
Department for Transport,Department for Transport,02/04/2013,Telephone charges,Business Transformation,SIEMENS ENTERPRISE COMMUNICATIONS L,2000000069,30000,S428-ITSD MANAGED,MK15 ODJ
Department for Transport,Department for Transport,02/04/2013,Telephone charges,Business Transformation,SIEMENS ENTERPRISE COMMUNICATIONS L,2000000069,90000,S428-ITSD MANAGED,MK15 ODJ
Department for Transport,Department for Transport,02/04/2013,Training,Air Accident Investigation Branch,BLINK LTD,2000000081,3600,#,UB3 4AZ
Department for Transport,Department for Transport,02/04/2013,Training,Air Accident Investigation Branch,HELI AIR LIMITED,2000000084,687.5,#,CV35 9EU
Department for Transport,Department for Transport,02/04/2013,Transport  Consult,Rail and Road Projects,TRANSPORT RESEARCH LABORATORY,2000000071,7395.9,#,RG40 3GA
Department for Transport,Department for Transport,02/04/2013,Transport  Consult,Rail and Road Projects,OVE ARUP & PARTNERS,2000000065,29360.66,#,NE1 3PL
Department for Transport,Department for Transport,02/04/2013,Transport  Consult,Rail and Road Projects,OVE ARUP & PARTNERS,2000000065,26600.48,#,NE1 3PL
Department for Transport,Department for Transport,02/04/2013,Transport  Consult,Rail and Road Projects,OVE ARUP & PARTNERS,2000000065,20796.76,#,NE1 3PL
Department for Transport,Department for Transport,02/04/2013,Transport  Consult,Transport Security Strategy,QINETIQ LTD,2000000067,54720,#,PO12 2AG
Department for Transport,Department for Transport,02/04/2013,Transport  Consult,Rail Commercial Contracts,TRANSPORT RESEARCH LABORATORY,2000000071,1359.01,#,RG40 3GA
Department for Transport,Department for Transport,02/04/2013,Transport  Consult,Greener Transport & International,OVE ARUP & PARTNERS,2000000065,7925.81,#,NE1 3PL
Department for Transport,Department for Transport,02/04/2013,Transport  Consult,Aviation,RED SCIENTIFIC LTD,2000000051,14416.1,#,GU34 2YT
Department for Transport,Department for Transport,02/04/2013,Travel Expenses UK,Marine Accident Investigation Branch,CLYDE TRAVEL,2000000057,9512.12,CLYDE - MARCH 2013 - MAIB,G51 1HJ
Department for Transport,Department for Transport,02/04/2013,security,facilities, ETDE FM,80299,29416.9,security ponton road, BN1 1HG
Department for Transport,Department for Transport,03/04/2013,Agency Staff Costs,Business Transformation,MICHAEL PAGE INTERNATIONAL,2000000162,5855.64,#,SL1 3SA
Department for Transport,Department for Transport,03/04/2013,Agency Staff Costs,Business Transformation,MICHAEL PAGE INTERNATIONAL,2000000162,5562.86,#,SL1 3SA
Department for Transport,Department for Transport,03/04/2013,Agency Staff Costs,Permanent Secretary,NETWORKERS INTERNATIONAL (UK) PLC,2000000165,883.92,#,BR1 1HP
Department for Transport,Department for Transport,03/04/2013,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,2000000165,3408.78,#,BR1 1HP
Department for Transport,Department for Transport,03/04/2013,Agency Staff Costs,Rail Commercial Contracts,MORGAN HUNT UK LTD,2000000158,3852,#,EC4M 7EG
Department for Transport,Department for Transport,03/04/2013,Agency Staff Costs,Local,EXPERIS LTD,2000000157,2235.3,#,EC1R 3DR
Department for Transport,Department for Transport,03/04/2013,Agency Staff Costs,Refran Prog Off,NETWORKERS INTERNATIONAL (UK) PLC,2000000165,883.92,#,BR1 1HP
Department for Transport,Department for Transport,03/04/2013,Agency Staff Costs,Refran Prog Off,SPRING TECHNOLOGY LTD  ALSO T/A,2000000166,3168.54,#,B37 7YE
Department for Transport,Department for Transport,03/04/2013,Computer equipment,Air Accident Investigation Branch,SOFTWARE BOX LTD,2000000142,8976,SOFTWARE BOX NON ETHOS ACCELION LICENCE,YO61 1ET
Department for Transport,Department for Transport,03/04/2013,Conferences / Semina,Aviation Security ,HOTEL CONFERENCE SUPPLIER,2000000152,40800,#,
Department for Transport,Department for Transport,03/04/2013,Contract Cleaning,Marine Accident Investigation Branch,PROGRESS CLEANING SERVICES,2000000143,702,#,SO30 2FQ
Department for Transport,Department for Transport,03/04/2013,Electricity,Air Accident Investigation Branch,FLOGAS UK LIMITED,2000000174,2387.98,#,LE7 1PF
Department for Transport,Department for Transport,03/04/2013,Eurotunnel Admin Pay,Rail Commercial Contracts,SNCF CAISSE GENERALE,2000000115,5398712.91,#,75008
Department for Transport,Department for Transport,03/04/2013,Eurotunnel Admin Pay,Rail Commercial Contracts,SNCF TRESORERIE ENC RHT VFE,2000000114,5815622.24,#,75014
Department for Transport,Department for Transport,03/04/2013,Furniture & Fittings,Rail Accident Investigation Branch,DERBY OFFICE MACHINES LTD,2000000155,1751.52,Chrome multi purpose chairs,DE1 3QB
Department for Transport,Department for Transport,03/04/2013,Furniture & Fittings,Rail Accident Investigation Branch,DERBY OFFICE MACHINES LTD,2000000155,65.99,Stacking chair trolley,DE1 3QB
Department for Transport,Department for Transport,03/04/2013,Grt Aid to NDPBs,DASH,HS2,2000000167,15000000,HS2 April Grant 2013,SW1E 5DU
Department for Transport,Department for Transport,03/04/2013,IT Consultancy,Marine Accident Investigation Branch,AVENCA LTD,2000000147,570,#,SP5 3PJ
Department for Transport,Department for Transport,03/04/2013,IT Consultancy,Marine Accident Investigation Branch,AVENCA LTD,2000000147,900,#,SP5 3PJ
Department for Transport,Department for Transport,03/04/2013,IT Ser Running Costs,Marine Accident Investigation Branch,VEGA CONSULTING SERVICES LTD,2000000168,1172.4,CLAS Accreditation Support,BS16 1EJ
Department for Transport,Department for Transport,03/04/2013,IT Ser Running Costs,Marine Accident Investigation Branch,VEGA CONSULTING SERVICES LTD,2000000168,-1172.4,CREDIT FOR INVOICE 6100124,BS16 1EJ
Department for Transport,Department for Transport,03/04/2013,IT Ser Running Costs,Marine Accident Investigation Branch,VEGA CONSULTING SERVICES LTD,2000000168,17586,#,BS16 1EJ
Department for Transport,Department for Transport,03/04/2013,L&B Excl Dwellings,Business Transformation,KIER REGIONAL LTD,2000000177,99176.57,#,IG10 3SD
Department for Transport,Department for Transport,03/04/2013,Legal Consultancy,DASH,DLA PIPER UK LLP,2000000156,5214,#,M2 3DL
Department for Transport,Department for Transport,03/04/2013,Management Consultan,Greener Transport & International,EURO NCAP,2000000180,8384.17,#,1050
Department for Transport,Department for Transport,03/04/2013,Non Stock Machine Co,Rail Commercial Contracts,SUPPLIES TEAM,2000000145,260.33,CB381A Cyan Cart for HP LJ CP6015,S9 1XU
Department for Transport,Department for Transport,03/04/2013,Non Stock Machine Co,Rail Commercial Contracts,SUPPLIES TEAM,2000000145,260.33,CB382A Yellow Cart for HP LJ CP6015,S9 1XU
Department for Transport,Department for Transport,03/04/2013,Property Maintenance,Rail Accident Investigation Branch,DARKE & TAYLOR LTD,2000000153,631.45,#,OX5 1LH
Department for Transport,Department for Transport,03/04/2013,Publications for Res,Refran Prog Off,CREATIVE CHOICE CIC,2000000169,2196,#,SW1H 0DJ
Department for Transport,Department for Transport,03/04/2013,Research,Greener Transport & International,TRL LTD,2000000144,84681.28,#,RG40 3GA
Department for Transport,Department for Transport,03/04/2013,Research,Transport Security Strategy,HOME OFFICE SHARED SERVICE CENTRE,2000000181,80000.69,#,NP20 9BB
Department for Transport,Department for Transport,03/04/2013,Research,Analysis/Science,OFFICE FOR NATIONAL STATISTICS,2000000182,19366.25,#,NP10 8XG
Department for Transport,Department for Transport,03/04/2013,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000000151,51276.5,#,RH10 0YR
Department for Transport,Department for Transport,03/04/2013,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000000151,16633,#,RH10 0YR
Department for Transport,Department for Transport,03/04/2013,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000000151,736.5,#,RH10 0YR
Department for Transport,Department for Transport,03/04/2013,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000000151,32485,#,RH10 0YR
Department for Transport,Department for Transport,03/04/2013,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000000151,276864.8,#,RH10 0YR
Department for Transport,Department for Transport,03/04/2013,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000000151,32272.98,#,RH10 0YR
Department for Transport,Department for Transport,03/04/2013,Support Services,Group Finance,DWP SHARED SERVICES,2000000178,787.96,#,CF14 3UW
Department for Transport,Department for Transport,03/04/2013,Support Services,Aviation,MINISTRY OF DEFENCE,2000000163,278170.2,#,L2 3YL
Department for Transport,Department for Transport,03/04/2013,Support Services,Aviation,MINISTRY OF DEFENCE,2000000163,278170.2,#,L2 3YL
Department for Transport,Department for Transport,03/04/2013,Support Services,Aviation,CAA INTERNATIONAL LTD,2000000150,7678,#,RH6 0YR
Department for Transport,Department for Transport,03/04/2013,Support Services,Aviation,CAA INTERNATIONAL LTD,2000000150,23000,#,RH6 0YR
Department for Transport,Department for Transport,03/04/2013,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000000151,50000,#,RH10 0YR
Department for Transport,Department for Transport,03/04/2013,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000000151,32500,#,RH10 0YR
Department for Transport,Department for Transport,03/04/2013,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000000151,50000,#,RH10 0YR
Department for Transport,Department for Transport,03/04/2013,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000000151,5000,#,RH10 0YR
Department for Transport,Department for Transport,03/04/2013,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000000151,15000,#,RH10 0YR
Department for Transport,Department for Transport,03/04/2013,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000000151,62500,#,RH10 0YR
Department for Transport,Department for Transport,03/04/2013,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000000151,2500,#,RH10 0YR
Department for Transport,Department for Transport,03/04/2013,Support Services,Group Finance,DRIVING STANDARDS AGENCY,2000000179,1637471.19,#,NG1 6LP
Department for Transport,Department for Transport,03/04/2013,Support Services,Aviation Security ,CIVIL AVIATION AUTHORITY,2000000151,93710.99,#,RH10 0YR
Department for Transport,Department for Transport,03/04/2013,Support Services,Greener Transport & International,BMT RELIABILITY CONSULTANTS LTD,2000000148,37708.5,#,PO15 5SU
Department for Transport,Department for Transport,03/04/2013,Traffic Survey & Cou,Roads,HIGHWAYS AGENCY (14272),2000000184,5912.68,#,HP2 4XW
Department for Transport,Department for Transport,03/04/2013,Training,Analysis/Science,EML LEARNING LTD,2000000173,540,#,SG5 2DJ
Department for Transport,Department for Transport,03/04/2013,Training,Rail Accident Investigation Branch,MS A P COLES,2000000160,2162.4,#,N19 4PT
Department for Transport,Department for Transport,03/04/2013,Training,Greener Transport & International,SYSTEMATIX LTD,2000000176,2502,#,SL8 5XP
Department for Transport,Department for Transport,03/04/2013,Transport  Consult,Rail and Road Projects,FIRST GREATER WESTERN,2000000164,72569.54,#,SN1 1HL
Department for Transport,Department for Transport,03/04/2013,Transport  Consult,Refran Prog Off,OVE ARUP & PARTNERS,2000000161,16197.5,#,NE1 3PL
Department for Transport,Department for Transport,03/04/2013,Web Design Services,Roads,1 SPATIAL GROUP LIMITED,2000000146,2846.51,#,CB4 0WZ
Department for Transport,Department for Transport,03/04/2013,vehicle maintenance,w/shops, Beadles (Sidcup),80300,1009.68,monthly orders, DA14 6PB
Department for Transport,Department for Transport,03/04/2013,vehicle maintenance,w/shops, Bristol Street Bromley,80301,1269.84,monthly orders, BR2 9HS
Department for Transport,Department for Transport,03/04/2013,vehicle maintenance,w/shops, Goodyear Dunlop Tyres UK Ltd,80304,3892.31,monthly orders, B24 9HY
Department for Transport,Department for Transport,03/04/2013,vehicle maintenance,w/shops, R A Creamer & Son Ltd,80309,1609.14,monthly orders, W8 4LY
Department for Transport,Department for Transport,03/04/2013,vehicle maintenance,w/shops,grange jaguar,80311,805.12,monthly orders,#N/A
Department for Transport,Department for Transport,03/04/2013,vehicle maintenance,w/shops, ARVAL PHH Business Solutions,80313,13366.05,monthly orders, SN5 6PE
Department for Transport,Department for Transport,03/04/2013,lease charges,w/shops, The Colt Car Company Ltd,80315,1409.6,monthly orders, GL7 1LF
Department for Transport,Department for Transport,03/04/2013,vehicle maintenance,w/shops, ARVAL PHH Business Solutions,80316,4073.31,monthly orders, SN5 6PE
Department for Transport,Department for Transport,03/04/2013,Fuel,w/shops, Allstar Business Solutions,80321,15099.25,fuel bill, SN5 6PS
Department for Transport,Department for Transport,03/04/2013,Fuel,w/shops, Allstar Business Solutions,80322,11119.88,fuel bill, SN5 6PS
Department for Transport,Department for Transport,03/04/2013,IT Licences,IT, Logica IT Services UK Limited,80274,911.16,Licences for jan 13, CF31 9AP
Department for Transport,Department for Transport,03/04/2013,epayfact jan 13,IT, Logica IT Services UK Limited,80272,970.2,epayfact for jan 2013, CF31 9AP
Department for Transport,Department for Transport,03/04/2013,Licences for feb 13,IT, Logica IT Services UK Limited,80270,911.16,Licences for feb 13, CF31 9AP
Department for Transport,Department for Transport,03/04/2013,epayfact for feb 13,IT, Logica IT Services UK Limited,80269,660.12,epayfact for feb 13, CF31 9AP
Department for Transport,Department for Transport,03/04/2013,consultancy,IT, Logica IT Services UK Limited,80271,3517.92,consultancy for feb 13, CF31 9AP
Department for Transport,Department for Transport,03/04/2013,pension admin,fINANCE, Cabinet Office,80312,5809.3,Pension admin, RG21 4HG
Department for Transport,Department for Transport,03/04/2013,phone bil,IT, Vodaphone Corporate Ltd,80233,3251.79,phone bill, RG14 2FN
Department for Transport,Department for Transport,03/04/2013,epayfact march 13,IT, Logica IT Services UK Limited,80329,696.57,epayfact march 13, CF31 9AP
Department for Transport,Department for Transport,03/04/2013,licences for march 13,IT, Logica IT Services UK Limited,80328,911.16,licences for march 13, CF31 9AP
Department for Transport,Department for Transport,03/04/2013,Building maintenance,facilities, DMA Maintenance,80330,3538.59,site maintenance ponton road, ME8 0NZ
Department for Transport,Department for Transport,03/04/2013,Building maintenance,facilities, DMA Maintenance,80332,505.93,site maintenance ponton road, ME8 0NZ
Department for Transport,Department for Transport,03/04/2013,Building maintenance,facilities, DMA Maintenance,80333,696,site maintenance ponton road, ME8 0NZ
Department for Transport,Department for Transport,04/04/2013,Agency Staff Costs,Business Transformation,MICHAEL PAGE INTERNATIONAL,2000000255,1463.92,#,SL1 3SA
Department for Transport,Department for Transport,04/04/2013,Agency Staff Costs,Permanent Secretary,NETWORKERS INTERNATIONAL (UK) PLC,2000000258,1104.9,#,BR1 1HP
Department for Transport,Department for Transport,04/04/2013,Agency Staff Costs,Group Finance,BADENOCH & CLARK,2000000233,4036.38,#,EC4V 4BG
Department for Transport,Department for Transport,04/04/2013,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,2000000258,3408.78,#,BR1 1HP
Department for Transport,Department for Transport,04/04/2013,Agency Staff Costs,Rail Commercial Contracts,MICHAEL PAGE INTERNATIONAL,2000000255,1814.4,#,SL1 3SA
Department for Transport,Department for Transport,04/04/2013,Agency Staff Costs,Rail Commercial Contracts,MICHAEL PAGE INTERNATIONAL,2000000255,1814.4,#,SL1 3SA
Department for Transport,Department for Transport,04/04/2013,Agency Staff Costs,Rail Commercial Contracts,MICHAEL PAGE INTERNATIONAL,2000000255,3540.24,#,SL1 3SA
Department for Transport,Department for Transport,04/04/2013,Agency Staff Costs,Rail Commercial Contracts,MORGAN HUNT UK LTD,2000000245,2311.2,#,EC4M 7EG
Department for Transport,Department for Transport,04/04/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000000255,2958,#,SL1 3SA
Department for Transport,Department for Transport,04/04/2013,Agency Staff Costs,DASH,BADENOCH & CLARK,2000000233,1755.66,#,EC4V 4BG
Department for Transport,Department for Transport,04/04/2013,Agency Staff Costs,Refran Prog Off,CAPITA RESOURCING LTD,2000000256,4181.4,#,DL1 9HN
Department for Transport,Department for Transport,04/04/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000000255,2808,#,SL1 3SA
Department for Transport,Department for Transport,04/04/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000000255,3514.8,#,SL1 3SA
Department for Transport,Department for Transport,04/04/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000000255,660,#,SL1 3SA
Department for Transport,Department for Transport,04/04/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000000255,3510,#,SL1 3SA
Department for Transport,Department for Transport,04/04/2013,Agency Staff Costs,Refran Prog Off,NETWORKERS INTERNATIONAL (UK) PLC,2000000258,707.14,#,BR1 1HP
Department for Transport,Department for Transport,04/04/2013,Audit Fees (cash),Rail Commercial Contracts,PRICEWATERHOUSECOOPERS LLP,2000000249,168686,#,E14 9SQ
Department for Transport,Department for Transport,04/04/2013,Cap Grt Loc Auth,Greener Transport & International,MILTON KEYNES BC,2000000281,21537.12,MK Q3 FY 1213 21537.12,MK9 3EE
Department for Transport,Department for Transport,04/04/2013,Computer equipment,Business Transformation,SPECIALIST COMPUTER CENTRES PLC,2000000260,4771.3,#,B11 2LE
Department for Transport,Department for Transport,04/04/2013,Computer equipment,Business Transformation,SPECIALIST COMPUTER CENTRES PLC,2000000260,3478.69,#,B11 2LE
Department for Transport,Department for Transport,04/04/2013,Computer equipment,Business Transformation,SPECIALIST COMPUTER CENTRES PLC,2000000260,2918.69,#,B11 2LE
Department for Transport,Department for Transport,04/04/2013,Computer equipment,Business Transformation,SPECIALIST COMPUTER CENTRES PLC,2000000260,48493.63,#,B11 2LE
Department for Transport,Department for Transport,04/04/2013,Computer equipment,Business Transformation,SPECIALIST COMPUTER CENTRES PLC,2000000260,7619.07,#,B11 2LE
