Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,
Department for Transport,Department for Transport,01/12/2014,Maps & Charts,Portfolio Office,Principal Hayley Ltd T/A Troy,2000018069,13760,#,WC2B 5DA,
Department for Transport,Department for Transport,01/12/2014,Recruitment Fees,Group Human Resource,Green Park Interim & Executive Ltd,2000018073,6000,#,W1B 1PT,
Department for Transport,Department for Transport,01/12/2014,Research,Strategy and Engagement,Independent Transport Commission,2000018078,17000,#,EC1M 6EJ,
Department for Transport,Department for Transport,01/12/2014,Research,Strategy and Engagement,Independent Transport Commission,2000018078,2000,#,EC1M 6EJ,
Department for Transport,Department for Transport,01/12/2014,Security,Group Human Resource,HM REVENUE & CUSTOMS,2000018064,1975,#,BN12 4XH,
Department for Transport,Department for Transport,01/12/2014,Security,Group Human Resource,HM REVENUE & CUSTOMS,2000018064,3050,#,BN12 4XH,
Department for Transport,Department for Transport,01/12/2014,Training,DG's Office,DFT ONE TIME VENDOR,2000018094,2160,Second Part Payment,SW1P 4DR,
Department for Transport,Department for Transport,01/12/2014,Training,Marine Accident Investigation Branch,Eastern Seafish,2000018093,600,#,IP25 7NF,
Department for Transport,Department for Transport,01/12/2014,Transport  Consult,Major Projects & Growth,PARSONS BRINCKERHOFF LTD,2000018071,27194.05,#,NE4 7YQ,
Department for Transport,Department for Transport,01/12/2014,Transport  Consult,Major Projects & Growth,OVE ARUP & PARTNERS,2000018070,25901.36,#,NE1 3PL,
Department for Transport,Department for Transport,01/12/2014,Transport  Consult,Major Projects & Growth,FIRST CLASS PARTNERSHIPS LTD,2000018075,22806,#,YO10 3EB,
Department for Transport,Department for Transport,01/12/2014,Transport  Consult,Major Projects & Growth,PARSONS BRINCKERHOFF LTD,2000018071,3793.16,#,NE4 7YQ,
Department for Transport,Department for Transport,02/12/2014,Agency Staff Costs,Air Accident Investigation Branch,HAYS PERSONNEL SERVICE LTD,2000018168,739.68,#,KT3 4JQ,
Department for Transport,Department for Transport,02/12/2014,Agency Staff Costs,Local,BROOK STREET (UK) LIMITED,2000018192,555.89,#,AL1 4JB,
Department for Transport,Department for Transport,02/12/2014,Agency Staff Costs,Local,BROOK STREET (UK) LIMITED,2000018192,555.89,#,AL1 4JB,
Department for Transport,Department for Transport,02/12/2014,Agency Staff Costs,Local,BROOK STREET (UK) LIMITED,2000018192,555.89,#,AL1 4JB,
Department for Transport,Department for Transport,02/12/2014,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000018194,2880,#,SL1 3SA,
Department for Transport,Department for Transport,02/12/2014,Agency Staff Costs,Major Projects & Growth,SPRING TECHNOLOGY LTD  ALSO T/A,2000018201,1320,#,B37 7YE,
Department for Transport,Department for Transport,02/12/2014,Agency Staff Costs,Major Projects & Growth,Experis Ltd,2000018180,6040.02,#,EC2M 2RB,
Department for Transport,Department for Transport,02/12/2014,Agency Staff Costs,Rail Commercial & Programme Office,BROOK STREET (UK) LIMITED,2000018192,519.74,#,AL1 4JB,
Department for Transport,Department for Transport,02/12/2014,Agency Staff Costs,Rail Commercial & Programme Office,BROOK STREET (UK) LIMITED,2000018192,519.74,#,AL1 4JB,
Department for Transport,Department for Transport,02/12/2014,Agency Staff Costs,Rail Commercial & Programme Office,CAPITA BUSINESS SERVICES LTD,100021869,2615.16,Credit for 5106004025,DL1 9HN,
Department for Transport,Department for Transport,02/12/2014,Agency Staff Costs,Rail Commercial & Programme Office,CAPITA BUSINESS SERVICES LTD,100021869,-2615.16,Credit 5100007351 (Parked Disputed),DL1 9HN,
Department for Transport,Department for Transport,02/12/2014,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,2000018198,1925.7,#,BR1 1HP,
Department for Transport,Department for Transport,02/12/2014,Agency Staff Costs,Rail Franchising,Capita Resourcing Limited,2000018195,7708.32,#,EC4A 1EN,
Department for Transport,Department for Transport,02/12/2014,Agency Staff Costs,Rail Franchising,Capita Resourcing Limited,2000018195,15960,#,EC4A 1EN,
Department for Transport,Department for Transport,02/12/2014,Agency Staff Costs,Rail Franchising,Capita Resourcing Limited,2000018195,18731.27,#,EC4A 1EN,
Department for Transport,Department for Transport,02/12/2014,Agency Staff Costs,Rail Franchising,Capita Resourcing Limited,2000018195,8071.92,#,EC4A 1EN,
Department for Transport,Department for Transport,02/12/2014,Agency Staff Costs,Rail Franchising,Experis Ltd,2000018180,11053.44,#,EC2M 2RB,
Department for Transport,Department for Transport,02/12/2014,Agency Staff Costs,Group Finance,Experis Ltd,2000018180,3850.32,#,EC2M 2RB,
Department for Transport,Department for Transport,02/12/2014,Agency Staff Costs,Highspeed 2,SPRING TECHNOLOGY LTD  ALSO T/A,2000018201,2520,#,B37 7YE,
Department for Transport,Department for Transport,02/12/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",3rd Group Limited,2000018225,3832.08,3RD GROUP APRIL 2014 #3832.08,LN2 4WP,
Department for Transport,Department for Transport,02/12/2014,Cap Grt Pri Sec-Cos.,Network Rail Sponsorship,Network Rail Infstrcture (Treasury),2000018164,300000000,Network Rail Loan Payment UR014,N1 9AG,
Department for Transport,Department for Transport,02/12/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Schneider Electric,2000018219,7560,SCHNIEDER ELEC Dec 2013 #7560,W1W 6XX,
Department for Transport,Department for Transport,02/12/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",W. T. Parker Ltd,2000018218,3000,WT PARKER AUG 2014 #3000,DE14 3SX,
Department for Transport,Department for Transport,02/12/2014,Cars Maintenance,Motoring Services,Goodyear Dunlop Tyres UK Ltd,2000018215,566.72,#,B24 9HY,
Department for Transport,Department for Transport,02/12/2014,Computer equipment,Air Accident Investigation Branch,SOFTWARE BOX LTD,2000018167,3313.54,SBL NON ETHOS EQUALOGIC SUPPORT 06/11/14,YO61 1ET,
Department for Transport,Department for Transport,02/12/2014,Computer equipment,Marine Accident Investigation Branch,Probrand Ltd,2000018173,14.4,Delivery Charges,B1 3BP,
Department for Transport,Department for Transport,02/12/2014,Computer equipment,Marine Accident Investigation Branch,Probrand Ltd,2000018173,533.64,Non-Ethos Hard Drives,B1 3BP,
Department for Transport,Department for Transport,02/12/2014,Conferences / Semina,Maritime,LODGE CATERING LTD,2000018200,2857.75,#,W10 6AU,
Department for Transport,Department for Transport,02/12/2014,Conferences / Semina,Analysis & Strategy,UNIVERSITY COLLEGE LONDON,2000018189,2444.5,#,WC1E 6BT,
Department for Transport,Department for Transport,02/12/2014,Contract Cleaning,Marine Accident Investigation Branch,PROGRESS CLEANING SERVICES,2000018169,702,#,SO30 2FQ,
Department for Transport,Department for Transport,02/12/2014,CurrGrt Las in AEF/A,Rail Strategy & Funding,MERSEY TRAVEL,2000018197,6616146.02,Mersey Travel Grant P9 Payment,L3   2AN,
Department for Transport,Department for Transport,02/12/2014,Data Supply - TD,Transport Direct&Travel,BASEMAP LIMITED,2000018209,2936.8,#,GU2 7YG,
Department for Transport,Department for Transport,02/12/2014,Data Supply - TD,Transport Direct&Travel,LANDMARK INFORMATION GROUP LTD,2000018183,15050.6,#,EX2 7HY,
Department for Transport,Department for Transport,02/12/2014,Data Supply - TD,Transport Direct&Travel,LANDMARK INFORMATION GROUP LTD,2000018183,8629.5,#,EX2 7HY,
Department for Transport,Department for Transport,02/12/2014,Data Supply - TD,Marine Accident Investigation Branch,MET OFFICE,2000018184,880.8,Marine Weather Data,EX1 3PB,
Department for Transport,Department for Transport,02/12/2014,Eurotunnel Admin Pay,Rail Commercial & Programme Office,SNCF Caisse Generale,2000018163,5182865.29,NOVEMBER 2014 FUNDS,93633,
Department for Transport,Department for Transport,02/12/2014,Eurotunnel Admin Pay,Rail Commercial & Programme Office,SNCF TRESORERIE ENC RHT VFE,2000018162,4720629.44,MPL SNCF EURO PAY,75014,
Department for Transport,Department for Transport,02/12/2014,Financial Consultanc,Network Rail Sponsorship,ERNST & YOUNG LLP,2000018181,87439.37,#,SE1 2AF,
Department for Transport,Department for Transport,02/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,2000018179,1149.5,Corona - 1.10.14,WD17 1JW,
Department for Transport,Department for Transport,02/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,2000018179,1386.13,Corona - 01.11.2014,WD17 1JW,
Department for Transport,Department for Transport,02/12/2014,IT Consultancy,Portfolio Office,ATOS IT Services UK Ltd,2000018175,14071.36,#,WV10 6UH,
Department for Transport,Department for Transport,02/12/2014,Legal Consultancy,General Counsel's Office,LANDMARK CHAMBERS,2000018182,930,#,EC4A 2HG,
Department for Transport,Department for Transport,02/12/2014,Legal Consultancy,Rail Franchising,Eversheds LLP,2000018208,54979.01,#,EC2V 7WS,
Department for Transport,Department for Transport,02/12/2014,Legal Consultancy,Rail Franchising,Eversheds LLP,2000018208,34182.6,#,EC2V 7WS,
Department for Transport,Department for Transport,02/12/2014,Legal Consultancy,Rail Franchising,Eversheds LLP,2000018208,30761.2,#,EC2V 7WS,
Department for Transport,Department for Transport,02/12/2014,Legal Consultancy,Rail Franchising,Eversheds LLP,2000018208,826.8,#,EC2V 7WS,
Department for Transport,Department for Transport,02/12/2014,Legal Consultancy,Rail Franchising,Eversheds LLP,2000018208,31931.74,#,EC2V 7WS,
Department for Transport,Department for Transport,02/12/2014,Legal Consultancy,Rail Franchising,Eversheds LLP,2000018208,13684.08,#,EC2V 7WS,
Department for Transport,Department for Transport,02/12/2014,Legal Consultancy,Rail Franchising,NORTON ROSE LLP,2000018199,90992.86,#,SE1 2AQ,
Department for Transport,Department for Transport,02/12/2014,Maintenance Other,Motoring Services,ARVAL,2000018172,4415.01,#,SN5 6PE,
Department for Transport,Department for Transport,02/12/2014,NLF Interest pay,Group Finance,HM TREASURY - NATIONAL LOANS FUND,2000018160,571.42,NLF HA 23.11.14 Laon interest -loan repayemnt,SW1A 2HQ,
Department for Transport,Department for Transport,02/12/2014,NLF Principal Paid,Group Finance,HM TREASURY - NATIONAL LOANS FUND,2000018160,3044.51,NLF HA 23.11.14 Laon Repayment,SW1A 2HQ,
Department for Transport,Department for Transport,02/12/2014,Other Advertising,Local,PENNA COMMUNICATIONS,2000018202,4144.1,#,EC4M 7RD,
Department for Transport,Department for Transport,02/12/2014,Prog&ProjMgmt Consul,Local,ATKINS LTD (TRANSPORT PLANNING),2000018174,13333.33,#,WR5 1TX,
Department for Transport,Department for Transport,02/12/2014,Publicity,Group Communication,FORSTER LAMOND LTD,2000018210,13239,#,SE1 1RU,
Department for Transport,Department for Transport,02/12/2014,Rates,Group Finance,THE FINANCIAL REPORTING COUNCIL,2000018204,7401,#,LN5 5ET,
Department for Transport,Department for Transport,02/12/2014,Recruitment,Group Human Resource,ODGERS RAY & BERNDSTON,2000018186,3960,#,EC4M 6XD,
Department for Transport,Department for Transport,02/12/2014,Rent - L&B (non-PFI),Group Procurement & Estate,Network Rail Infra Ltd (Property),2000018170,330000,Q4 Rent 25/12/2014-24/04/2015 @ Waterloo,M60 3BP,
Department for Transport,Department for Transport,02/12/2014,Rent - L&B (non-PFI),Group Procurement & Estate,GMN No2 Limited,2000018223,1703910,25/12/2014-24/03/2014 @ GMH,W1G 0PN,
Department for Transport,Department for Transport,02/12/2014,Rent - L&B (non-PFI),Group Procurement & Estate,Salisbury Limited Directors,2000018226,23000,Rent Q4 25/12/14-24/03/2015 @ St James Road,W1G 9TB,
Department for Transport,Department for Transport,02/12/2014,Research,Analysis & Strategy,NATURAL ENV RESEARCH COUNCIL,2000018166,23457,#,SN2 1FF,
Department for Transport,Department for Transport,02/12/2014,Research,Local,NATIONAL CENTRE FOR SOCIAL RESEARCH,2000018185,20071,#,EC1V 0AX,
Department for Transport,Department for Transport,02/12/2014,Research,Local,NATIONAL CENTRE FOR SOCIAL RESEARCH,2000018185,135746.6,#,EC1V 0AX,
Department for Transport,Department for Transport,02/12/2014,Services prov by OGD,Motoring Services,TREASURY SOLICITOR,2000018165,7755,#,WC2B 4TS,
Department for Transport,Department for Transport,02/12/2014,Support Services,Aviation,Civil Aviation Authority,2000018178,13097.75,#,RH6 0YR,
Department for Transport,Department for Transport,02/12/2014,Support Services,"Motoring, Freight & London",Environmental Scientifics Group,2000018171,2827.2,#,OX9 3SZ,
Department for Transport,Department for Transport,02/12/2014,Support Services,"Motoring, Freight & London",Environmental Scientifics Group,2000018171,5803.2,#,OX9 3SZ,
Department for Transport,Department for Transport,02/12/2014,Support Services,General Counsel's Office,Armstrong James LLP,2000018227,67000,Industrial Injury Claim,SO17 1AX,
Department for Transport,Department for Transport,02/12/2014,Support Services,General Counsel's Office,Charles Lucas & Marshall,2000018222,129908.5,Industrial Injury Claim,RG14 5EU,
Department for Transport,Department for Transport,02/12/2014,Support Services,Group Finance,DD ACCRAILWAY PENS TRUSTEE,2000018196,3456.92,#,DL3 6XR,
Department for Transport,Department for Transport,02/12/2014,Support Services,General Counsel's Office,Thompsons Solicitors,2000018221,128000,Industrial Injury Claim,HA1 3AP,
Department for Transport,Department for Transport,02/12/2014,Telecom Equipment,Motoring Services,BT IT Services Ltd,2000018206,7501.46,#,OX4 2RW,
Department for Transport,Department for Transport,02/12/2014,Training,Air Accident Investigation Branch,HELI AIR LIMITED,2000018211,571.5,#,CV35 9EU,
Department for Transport,Department for Transport,02/12/2014,Training,Group Communication,C I M HOLDINGS LTD,2000018177,575,#,SL6 9QH,
Department for Transport,Department for Transport,02/12/2014,Transport  Consult,Rail Strategy & Funding,PARSONS BRINCKERHOFF LTD,2000018187,4885.65,#,NE4 7YQ,
Department for Transport,Department for Transport,02/12/2014,Transport  Consult,Rail Commercial & Programme Office,PARSONS BRINCKERHOFF LTD,2000018187,15555.79,#,NE4 7YQ,
Department for Transport,Department for Transport,02/12/2014,Transport  Consult,Rail Commercial & Programme Office,PARSONS BRINCKERHOFF LTD,2000018187,15241.02,#,NE4 7YQ,
Department for Transport,Department for Transport,02/12/2014,Transport  Consult,Rail Commercial & Programme Office,PARSONS BRINCKERHOFF LTD,2000018187,41059.3,#,NE4 7YQ,
Department for Transport,Department for Transport,02/12/2014,Transport  Consult,Rail Franchising,PARSONS BRINCKERHOFF LTD,2000018187,128151.42,#,NE4 7YQ,
Department for Transport,Department for Transport,02/12/2014,Transport  Consult,Rail Commercial & Programme Office,PARSONS BRINCKERHOFF LTD,2000018187,5225.76,#,NE4 7YQ,
Department for Transport,Department for Transport,02/12/2014,Transport  Consult,Rail Commercial & Programme Office,PARSONS BRINCKERHOFF LTD,2000018187,5120.88,#,NE4 7YQ,
