Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount
Department for Transport,British Transport Police Authority,25/11/2010,ELECTRICITY,LS South Western Quadrant,KING STURGE LLP,228789,1762.5
Department for Transport,British Transport Police Authority,25/11/2010,SERVICE CHARGES,LS South Western Quadrant,KING STURGE LLP,228789,8229.7
Department for Transport,British Transport Police Authority,22/12/2010,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,L8 Solutions,229390,64.63
Department for Transport,British Transport Police Authority,22/12/2010,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,L8 Solutions,229390,2995.08
Department for Transport,British Transport Police Authority,22/12/2010,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,L8 Solutions,229390,6462.5
Department for Transport,British Transport Police Authority,22/12/2010,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,L8 Solutions,229390,20962
Department for Transport,British Transport Police Authority,22/12/2010,IT HARDWARE MAINTENANCE,TECHNOLOGY GROUP,L8 Solutions,229390,16544
Department for Transport,British Transport Police Authority,01/12/2010,SERVICE CHARGES,CRIME S.O.C.O,LAMBERT SMITH HAMPTON,227354,68987.19
Department for Transport,British Transport Police Authority,30/11/2010,FORENSIC SERVICES,CRIME S.O.C.O,Lgc Ltd,227581,27824
Department for Transport,British Transport Police Authority,12/08/2010,SOLICITORS FEES,CRIME DETECTIVE CH. SUPER.,MARIEL IRVINE SOLICITORS,225415,11
Department for Transport,British Transport Police Authority,12/08/2010,SOLICITORS FEES,CRIME DETECTIVE CH. SUPER.,MARIEL IRVINE SOLICITORS,225415,3585.51
Department for Transport,British Transport Police Authority,12/08/2010,SOLICITORS FEES,CRIME DETECTIVE CH. SUPER.,MARIEL IRVINE SOLICITORS,225415,11603.13
Department for Transport,British Transport Police Authority,12/08/2010,SOLICITORS FEES,CRIME DETECTIVE CH. SUPER.,MARIEL IRVINE SOLICITORS,225415,12008.08
Department for Transport,British Transport Police Authority,12/08/2010,SOLICITORS FEES,CRIME DETECTIVE CH. SUPER.,MARIEL IRVINE SOLICITORS,225415,24645.63
Department for Transport,British Transport Police Authority,29/11/2010,ANNUAL LICENCES- SOFTWARE,H.R TRAINING,NATIONAL POLICING IMPROVEMENT AGENCY,227471,29253
Department for Transport,British Transport Police Authority,17/11/2010,BUILDING RENTAL,LS Ebury Bridge Police Station,NETWORK RAIL,228200,79440.58
Department for Transport,British Transport Police Authority,29/11/2010,VEHICLE OWNED - ADDIT 3 YEARS,CAPITAL CONTROL ACCOUNT,Nissan Motor (GB) Ltd,227976,27041.02
Department for Transport,British Transport Police Authority,29/11/2010,VEHICLE OWNED - ADDIT 3 YEARS,CAPITAL CONTROL ACCOUNT,Nissan Motor (GB) Ltd,227977,27041.02
Department for Transport,British Transport Police Authority,29/11/2010,VEHICLE OWNED - ADDIT 3 YEARS,CAPITAL CONTROL ACCOUNT,Nissan Motor (GB) Ltd,227978,27041.02
Department for Transport,British Transport Police Authority,29/11/2010,VEHICLE OWNED - ADDIT 3 YEARS,CAPITAL CONTROL ACCOUNT,Nissan Motor (GB) Ltd,227979,27041.02
Department for Transport,British Transport Police Authority,17/11/2010,BUILDING RENTAL,FIN ESTATES,SANDERSON WEATHERALL CLIENT PREMIUM A/C,227611,38694.37
Department for Transport,British Transport Police Authority,17/11/2010,BUILDING RENTAL,FIN ESTATES,SANDERSON WEATHERALL CLIENT PREMIUM A/C,227612,53838.36
Department for Transport,British Transport Police Authority,17/11/2010,SERVICE CHARGES,FIN ESTATES,SANDERSON WEATHERALL CLIENT PREMIUM A/C,227611,15451.25
Department for Transport,British Transport Police Authority,17/11/2010,SERVICE CHARGES,FIN ESTATES,SANDERSON WEATHERALL CLIENT PREMIUM A/C,227612,25359.44
Department for Transport,British Transport Police Authority,02/12/2010,INTANG ASSETS LICENCES - ADD,CAPITAL CONTROL ACCOUNT,Software Box Ltd,228040,-29.38
Department for Transport,British Transport Police Authority,02/12/2010,INTANG ASSETS LICENCES - ADD,CAPITAL CONTROL ACCOUNT,Software Box Ltd,228040,151428.13
Department for Transport,British Transport Police Authority,08/12/2010,IT HARDWARE MAINTENANCE,TECHNOLOGY GROUP,Sungard Public Sector Ltd,228489,189166.79
Department for Transport,British Transport Police Authority,15/12/2010,IT SOFTWARE MAINTENANCE,TECHNOLOGY GROUP,Sungard Public Sector Ltd,229058,165620.36
Department for Transport,British Transport Police Authority,15/12/2010,IT SOFTWARE MAINTENANCE,TECHNOLOGY GROUP,Sungard Public Sector Ltd,229059,60318.92
Department for Transport,British Transport Police Authority,24/11/2010,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,THOMSON SNELL & PASSMORE,227012,30329.63
Department for Transport,British Transport Police Authority,01/10/2010,DATA CHARGES,CRIME - NATIONAL CRIME TEAM,Victim Support,224033,41000
Department for Transport,British Transport Police Authority,22/12/2009,TELEPHONE- MOBILES,TECHNOLOGY GROUP,VODAFONE LTD (CORPORATE),198038,33591.9
Department for Transport,British Transport Police Authority,22/03/2010,TELEPHONE- MOBILES,TECHNOLOGY GROUP,VODAFONE LTD (CORPORATE),206842,-33591.9
Department for Transport,Department for Transport,07/12/2010,Service Charge Computer Expenses,London and Road Demand Management,1 SPATIAL GROUP LIMITED,2000020670,"2,987"
Department for Transport,Department for Transport,15/12/2010,BUS FDR Wales,Regional & Local Transport,1ST CALL SILVERLINE,2000021033,"11,208"
Department for Transport,Department for Transport,15/12/2010,BUS FDR Wales,Regional & Local Transport,A P EXECUTIVE TRAVEL,2000021268,592
Department for Transport,Department for Transport,29/12/2010,Subsidies to Private Sector,Regional & Local Transport,A S D TRANSPORT,2000021716,"12,206"
Department for Transport,Department for Transport,29/12/2010,Subsidies to Private Sector,Regional & Local Transport,A.C MORSE LTD,2000021882,672
Department for Transport,Department for Transport,15/12/2010,Subsidies to Private Sector,Regional & Local Transport,ABBEY TRAVEL COACH HIRE LTD,2000021034,"3,576"
Department for Transport,Department for Transport,15/12/2010,Subsidies to Private Sector,Regional & Local Transport,AD-RAINS PSV,2000021035,"6,024"
Department for Transport,Department for Transport,09/12/2010,Curr Grant to Priv Sect-Persons & NPISH,Regional & Local Transport,AEA TECHNOLOGY - ENVIRONMENT,2000020877,"2,000,000"
Department for Transport,Department for Transport,16/12/2010,Current Grants to LAs within AEF/AEG,Regional & Local Transport,AEA TECHNOLOGY - ENVIRONMENT,2000021423,"3,000,000"
Department for Transport,Department for Transport,09/12/2010,Current Grants to LAs within AEF/AEG,Regional & Local Transport,AEA TECHNOLOGY - ENVIRONMENT,2000020877,"3,250,000"
Department for Transport,Department for Transport,15/12/2010,Subsidies to Private Sector,Maritime and Dangerous Goods,AEA TECHNOLOGY ENVIRONMENT,2000021135,"1,218,929"
Department for Transport,Department for Transport,30/12/2010,Research,Transform Licensing Logistics and Sponsorship,AEA TECHNOLOGY PLC,2000022205,"1,482"
Department for Transport,Department for Transport,07/12/2010,Research,Transform Licensing Logistics and Sponsorship,AEA TECHNOLOGY PLC,2000020671,"1,540"
Department for Transport,Department for Transport,23/12/2010,Transport Consultancy,Regional & Local Transport,AEA TECHNOLOGY PLC,2000022018,"5,210"
Department for Transport,Department for Transport,21/12/2010,Research,Transform Licensing Logistics and Sponsorship,AEA TECHNOLOGY PLC,2000021665,"8,102"
Department for Transport,Department for Transport,16/12/2010,Research,Environment and International,AEA TECHNOLOGY PLC,2000021383,"10,337"
Department for Transport,Department for Transport,07/12/2010,Other Professional Fees,Maritime and Dangerous Goods,AEA TECHNOLOGY PLC,2000020671,"10,843"
Department for Transport,Department for Transport,02/12/2010,Research,Environment and International,AEA TECHNOLOGY PLC,2000020434,"12,670"
Department for Transport,Department for Transport,30/12/2010,Research,Transform Licensing Logistics and Sponsorship,AEA TECHNOLOGY PLC,2000022205,"13,681"
Department for Transport,Department for Transport,22/12/2010,Research,Aviation,AEA TECHNOLOGY PLC,2000021922,"16,344"
Department for Transport,Department for Transport,07/12/2010,Research,Transform Licensing Logistics and Sponsorship,AEA TECHNOLOGY PLC,2000020671,"16,500"
Department for Transport,Department for Transport,30/12/2010,Research,Transform Licensing Logistics and Sponsorship,AEA TECHNOLOGY PLC,2000022205,"16,500"
Department for Transport,Department for Transport,31/12/2010,Research,Environment and International,AEA TECHNOLOGY PLC,2000022248,"19,005"
Department for Transport,Department for Transport,03/12/2010,Research,Aviation,AEA TECHNOLOGY PLC,2000020529,"22,061"
Department for Transport,Department for Transport,21/12/2010,Research,Transform Licensing Logistics and Sponsorship,AEA TECHNOLOGY PLC,2000021665,"25,706"
Department for Transport,Department for Transport,24/12/2010,Research,Transform Licensing Logistics and Sponsorship,AECOM LIMITED,2000022105,"1,748"
Department for Transport,Department for Transport,24/12/2010,Research,Transform Licensing Logistics and Sponsorship,AECOM LIMITED,2000022105,"5,900"
Department for Transport,Department for Transport,07/12/2010,Research,Regional & Local Transport,AECOM LIMITED,2000020679,"9,981"
Department for Transport,Department for Transport,24/12/2010,Research,Road & Vehicle Safety & Standards,AECOM LIMITED,2000022105,"10,015"
Department for Transport,Department for Transport,31/12/2010,Research,Transform Licensing Logistics and Sponsorship,AECOM LIMITED,2000022255,"10,500"
Department for Transport,Department for Transport,30/12/2010,Management Consultancy,Strategic Roads and National Networks,AECOM LIMITED,2000003315,"15,175"
Department for Transport,Department for Transport,22/12/2010,Management Consultancy,Rail Technical & Professional,AECOM LIMITED,2000003247,"16,940"
Department for Transport,Department for Transport,03/12/2010,Research,Transform Licensing Logistics and Sponsorship,AECOM LIMITED,2000020532,"20,052"
Department for Transport,Department for Transport,22/12/2010,Management Consultancy,Strategic Roads and National Networks,AECOM LIMITED,2000003247,"29,714"
Department for Transport,Department for Transport,09/12/2010,Research,Road & Vehicle Safety & Standards,AECOM LIMITED,2000020816,"31,758"
Department for Transport,Department for Transport,30/12/2010,Transport Consultancy,Transform Licensing Logistics and Sponsorship,AECOM LIMITED,2000022212,"76,333"
Department for Transport,Department for Transport,14/12/2010,Research,Regional & Local Transport,AECOM LIMITED,2000020939,"205,300"
Department for Transport,Department for Transport,29/12/2010,Subsidies to Private Sector,Regional & Local Transport,AGE CONCERN HEATHFIELD,2000021721,720
Department for Transport,Department for Transport,29/12/2010,Subsidies to Private Sector,Regional & Local Transport,AGE CONCERN MAIDSTONE,2000021722,"3,253"
Department for Transport,Department for Transport,29/12/2010,Subsidies to Private Sector,Regional & Local Transport,AGE CONCERN NORTHWEST CUMBRIA,2000021723,"5,102"
Department for Transport,Department for Transport,29/12/2010,Subsidies to Private Sector,Regional & Local Transport,AGE CONCERN PENGE & ANERLEY,2000021724,622
Department for Transport,Department for Transport,29/12/2010,Subsidies to Private Sector,Regional & Local Transport,AGE CONCERN SITTINGBOURNE,2000021726,"1,159"
Department for Transport,Department for Transport,29/12/2010,Subsidies to Private Sector,Regional & Local Transport,AGE CONCERN TEESSIDE LTD,2000021727,547
Department for Transport,Department for Transport,06/12/2010,Training,Accident Investigating Branches,ALAN MANN HELICOPTERS LTD,2000020606,740
Department for Transport,Department for Transport,06/12/2010,Programme and Project Management Consultancy,Rail Technical & Professional,ALBANY SMITH MANAGEMENT LTD,2000003096,"12,690"
Department for Transport,Department for Transport,15/12/2010,Subsidies to Private Sector,Regional & Local Transport,ALINE COACHES,2000021036,"2,486"
Department for Transport,Department for Transport,23/12/2010,Agency Staff Costs,Finance & Estates,ALLEN LANE FINANCIAL RECRUITMENT,2000022019,729
Department for Transport,Department for Transport,15/12/2010,Agency Staff Costs,Finance & Estates,ALLEN LANE FINANCIAL RECRUITMENT,2000021088,799
Department for Transport,Department for Transport,01/12/2010,Agency Staff Costs,Finance & Estates,ALLEN LANE FINANCIAL RECRUITMENT,2000020357,"1,343"
Department for Transport,Department for Transport,23/12/2010,Agency Staff Costs,Finance & Estates,ALLEN LANE FINANCIAL RECRUITMENT,2000022019,"1,713"
Department for Transport,Department for Transport,23/12/2010,Agency Staff Costs,Finance & Estates,ALLEN LANE FINANCIAL RECRUITMENT,2000022019,"1,759"
Department for Transport,Department for Transport,23/12/2010,Agency Staff Costs,Finance & Estates,ALLEN LANE FINANCIAL RECRUITMENT,2000022019,"1,794"
Department for Transport,Department for Transport,23/12/2010,Agency Staff Costs,Finance & Estates,ALLEN LANE FINANCIAL RECRUITMENT,2000022019,"1,806"
Department for Transport,Department for Transport,06/12/2010,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003095,"1,823"
Department for Transport,Department for Transport,23/12/2010,Agency Staff Costs,Finance & Estates,ALLEN LANE FINANCIAL RECRUITMENT,2000022019,"1,863"
Department for Transport,Department for Transport,23/12/2010,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003271,"2,009"
Department for Transport,Department for Transport,01/12/2010,Agency Staff Costs,Finance & Estates,ALLEN LANE FINANCIAL RECRUITMENT,2000020357,"2,060"
Department for Transport,Department for Transport,06/12/2010,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003095,"2,431"
Department for Transport,Department for Transport,15/12/2010,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003174,"2,431"
Department for Transport,Department for Transport,01/12/2010,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003026,"2,512"
Department for Transport,Department for Transport,01/12/2010,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003026,"2,512"
Department for Transport,Department for Transport,06/12/2010,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003095,"2,512"
Department for Transport,Department for Transport,23/12/2010,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003271,"2,512"
Department for Transport,Department for Transport,01/12/2010,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003026,"3,260"
Department for Transport,Department for Transport,07/12/2010,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003104,"3,260"
Department for Transport,Department for Transport,23/12/2010,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003271,"3,260"
Department for Transport,Department for Transport,01/12/2010,Agency Staff Costs,Finance & Estates,ALLEN LANE FINANCIAL RECRUITMENT,2000020357,"3,995"
Department for Transport,Department for Transport,07/12/2010,Agency Staff Costs,Finance & Estates,ALLEN LANE FINANCIAL RECRUITMENT,2000020672,"3,995"
Department for Transport,Department for Transport,23/12/2010,Agency Staff Costs,Finance & Estates,ALLEN LANE FINANCIAL RECRUITMENT,2000022019,"3,995"
Department for Transport,Department for Transport,23/12/2010,Agency Staff Costs,Finance & Estates,ALLEN LANE FINANCIAL RECRUITMENT,2000022019,"3,995"
Department for Transport,Department for Transport,23/12/2010,Agency Staff Costs,Finance & Estates,ALLEN LANE FINANCIAL RECRUITMENT,2000022019,"3,995"
Department for Transport,Department for Transport,15/12/2010,Subsidies to Private Sector,Regional & Local Transport,ALS COACHES,2000021037,"26,506"
Department for Transport,Department for Transport,23/12/2010,Secondments,Rail Technical & Professional,ALSTOM TRANSPORT,2000003279,"96,037"
Department for Transport,Department for Transport,24/12/2010,Telephone charges,Accident Investigating Branches,ALTERNATIVE NETWORKS PLC,2000022119,988
Department for Transport,Department for Transport,15/12/2010,Subsidies to Private Sector,Regional & Local Transport,AM PM TRAVEL LIMITED,2000021275,"64,016"
Department for Transport,Department for Transport,22/12/2010,Hospitality,Finance & Planning,AMEY BUSINESS SERVICES LTD,2000003246,933
Department for Transport,Department for Transport,21/12/2010,Estate Management,Finance & Estates,AMEY BUSINESS SERVICES LTD,2000021676,"1,251"
Department for Transport,Department for Transport,14/12/2010,Estate Management,Finance & Estates,AMEY BUSINESS SERVICES LTD,2000020958,"30,153"
Department for Transport,Department for Transport,14/12/2010,Estate Management,Finance & Estates,AMEY BUSINESS SERVICES LTD,2000020958,"36,297"
Department for Transport,Department for Transport,21/12/2010,Estate Management,Finance & Estates,AMEY BUSINESS SERVICES LTD,2000021676,"59,114"
Department for Transport,Department for Transport,14/12/2010,Estate Management,Finance & Estates,AMEY BUSINESS SERVICES LTD,2000020958,"248,739"
Department for Transport,Department for Transport,29/12/2010,Subsidies to Private Sector,Regional & Local Transport,AMK CHAUFFEUR DRIVE LTD,2000021729,"9,857"
Department for Transport,Department for Transport,14/12/2010,Agency Staff Costs,Information Management Directorate,AMTEC CONSULTING PLC,2000020930,"2,350"
Department for Transport,Department for Transport,14/12/2010,Agency Staff Costs,Information Management Directorate,AMTEC CONSULTING PLC,2000020930,"8,533"
Department for Transport,Department for Transport,29/12/2010,Subsidies to Private Sector,Regional & Local Transport,ANDREWS COACHES,2000021884,"2,264"
Department for Transport,Department for Transport,15/12/2010,Subsidies to Private Sector,Regional & Local Transport,APPLEGATES SUPREME COACHES,2000021038,"3,775"
Department for Transport,Department for Transport,23/12/2010,IT Services  Running Costs,Road & Vehicle Safety & Standards,ARKITEC SOFTWARE LIMITED,2000022062,705
Department for Transport,Department for Transport,15/12/2010,Subsidies to Private Sector,Regional & Local Transport,ARRIVA DERBY LTD,2000021039,"245,038"
Department for Transport,Department for Transport,15/12/2010,Subsidies to Private Sector,Regional & Local Transport,ARRIVA SURREY & WEST SUSSEX,2000021040,"194,095"
Department for Transport,Department for Transport,06/12/2010,Veh Hire/Lse st <1yr,Corporate Support Function,ARVAL,2000020607,820
Department for Transport,Department for Transport,22/12/2010,Cars Fuel,Corporate Support Function,ARVAL,2000021923,"1,166"
Department for Transport,Department for Transport,06/12/2010,Veh Hire/Lse st <1yr,Corporate Support Function,ARVAL,2000020607,"20,499"
Department for Transport,Department for Transport,15/12/2010,Subsidies to Private Sector,Regional & Local Transport,ASHFORD & ST PETERS HOSPITALS,2000021041,"3,051"
Department for Transport,Department for Transport,29/12/2010,Curr Grant to Priv Sect-Persons & NPISH,Rail Strategy & Stakeholder Relations,ASSOC OF COMMUNITY RAIL PARTNER,2000003305,"67,000"
Department for Transport,Department for Transport,15/12/2010,Subsidies to Private Sector,Regional & Local Transport,ASTONS COACHES,2000021042,"6,081"
Department for Transport,Department for Transport,16/12/2010,Management Consultancy,Transport Analysis and Economics,ATKINS LTD (MANAGEMENT CONSULTANTS),2000021384,"1,820"
Department for Transport,Department for Transport,07/12/2010,Management Consultancy,Transport Analysis and Economics,ATKINS LTD (MANAGEMENT CONSULTANTS),2000020673,"2,689"
Department for Transport,Department for Transport,06/12/2010,Research,Regional & Local Transport,ATKINS LTD (MANAGEMENT CONSULTANTS),2000020608,"5,351"
Department for Transport,Department for Transport,23/12/2010,Transport Consultancy,Regional & Local Transport,ATKINS LTD (MANAGEMENT CONSULTANTS),2000022021,"9,932"
Department for Transport,Department for Transport,15/12/2010,Transport Consultancy,Regional & Local Transport,ATKINS LTD (MANAGEMENT CONSULTANTS),2000021091,"12,247"
Department for Transport,Department for Transport,23/12/2010,Transport Consultancy,Road & Vehicle Safety & Standards,ATKINS LTD (MANAGEMENT CONSULTANTS),2000022021,"21,381"
Department for Transport,Department for Transport,01/12/2010,Transport Consultancy,Road & Vehicle Safety & Standards,ATKINS LTD (MANAGEMENT CONSULTANTS),2000020359,"21,921"
Department for Transport,Department for Transport,31/12/2010,Transport Consultancy,Road & Vehicle Safety & Standards,ATKINS LTD (MANAGEMENT CONSULTANTS),2000022249,"27,252"
Department for Transport,Department for Transport,15/12/2010,Research,Regional & Local Transport,ATKINS LTD (MANAGEMENT CONSULTANTS),2000021091,"30,298"
Department for Transport,Department for Transport,30/12/2010,Data Supply - Transport Direct,Information Management Directorate,ATKINS LTD (TRANSPORT PLAN),2000022206,587
Department for Transport,Department for Transport,14/12/2010,Data Supply - Transport Direct,Information Management Directorate,ATKINS LTD (TRANSPORT PLAN),2000020931,"6,506"
Department for Transport,Department for Transport,08/12/2010,Data Supply - Transport Direct,Information Management Directorate,ATKINS LTD (TRANSPORT PLAN),2000020769,"9,147"
Department for Transport,Department for Transport,30/12/2010,Data Supply - Transport Direct,Information Management Directorate,ATKINS LTD (TRANSPORT PLAN),2000022206,"9,147"
Department for Transport,Department for Transport,29/12/2010,Management Consultancy,Rail Technical & Professional,ATKINS LTD (TRANSPORT PLANNING),2000003299,"2,600"
Department for Transport,Department for Transport,01/12/2010,Training,Accident Investigating Branches,ATKINS LTD (TRANSPORT PLANNING),2000020360,"5,250"
