Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Rail Franchising,MICHAEL PAGE INTERNATIONAL,2000025918,-10857.6,Credit for Invoice 5105975731,SL1 3SA
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Rail Franchising,MICHAEL PAGE INTERNATIONAL,2000025918,-13572,#,SL1 3SA
Department for Transport,Department for Transport,03/03/2014,Cap Grt Loc Auth,Transport Direct&Travel,British Telecommunications PLC,2000025943,97500,4017413 British Telecommunications PLC,EC1A 7AJ
Department for Transport,Department for Transport,03/03/2014,Cap Grt Pri Sec-Cos.,Rail Strategy & Funding,NETWORK RAIL INFRASTUCTURE LTD,2000025919,268631822.2,Period Network Rail Grant - 13th Payment,N1 9AG
Department for Transport,Department for Transport,03/03/2014,Cars Maintenance,Motoring Services,Bodyshop Repair Network Ltd,2000025933,2130.77,#,TN16 3BW
Department for Transport,Department for Transport,03/03/2014,Cars Maintenance,Motoring Services,Bodyshop Repair Network Ltd,2000025933,433.14,#,TN16 3BW
Department for Transport,Department for Transport,03/03/2014,Cars Maintenance,Motoring Services,Bodyshop Repair Network Ltd,2000025933,1024.24,#,TN16 3BW
Department for Transport,Department for Transport,03/03/2014,Cars Maintenance,Motoring Services,Bodyshop Repair Network Ltd,2000025933,444.95,#,TN16 3BW
Department for Transport,Department for Transport,03/03/2014,CurrGrt LAs out AEF/,Transport Direct&Travel,CAMBRIDGESHIRE COUNTY COUNCIL,2000025916,52500,M105 GB Railfreight MSRS(I) FY13/14 -  P11,CB3 0AP
Department for Transport,Department for Transport,03/03/2014,CurrGrtPriSec-P&NPIS,Local,LIVING STREETS,2000025917,70000,National Cycling - Living Streets 2013-14,SW8 1SJ
Department for Transport,Department for Transport,03/03/2014,IT Consultancy,Rail Strategy & Funding,Lockheed Martin Business,2000025944,5040,#,PA4 9LH
Department for Transport,Department for Transport,03/03/2014,IT Ser Running Costs,Group Communication,CENTERPRISE INTERNATIONAL LIMITED,2000025922,2614.67,#,RG24 8GQ
Department for Transport,Department for Transport,03/03/2014,Legal Consultancy,Strategic Roads & Smart Ticketing,DLA PIPER UK LLP,2000025901,1405.32,#,M2 3DL
Department for Transport,Department for Transport,03/03/2014,Media & Press,Group Communication,"GORKANA GROUP LTD (""GCL"")",2000025924,4236.87,#,EC1Y 8QE
Department for Transport,Department for Transport,03/03/2014,Postage,Air Accident Investigation Branch,ROYAL MAIL,2000025911,930,#,PE4 5PG
Department for Transport,Department for Transport,03/03/2014,Property Maintenance,Air Accident Investigation Branch,HSB HAUGHTON ENGINEERING,2000025903,1500.24,#,OL4 3JA
Department for Transport,Department for Transport,03/03/2014,Publications for Res,Group Communication,CREATIVE CHOICE CIC,2000025925,700,#,SW1H 0DJ
Department for Transport,Department for Transport,03/03/2014,Publicity,Group Communication,LEO BURNETT LTD,2000025905,10000,#,W14 8HQ
Department for Transport,Department for Transport,03/03/2014,Research,Local,NATIONAL CENTRE FOR SOCIAL RESEARCH,2000025907,29625,#,EC1V 0AX
Department for Transport,Department for Transport,03/03/2014,Support Services,General Counsel's Office,Irwin Mitchell,2000025939,29000,INDUSTRIAL INJURY CLAIMS HANDLING,S3 8DT
Department for Transport,Department for Transport,03/03/2014,Support Services,General Counsel's Office,Thompsons Solicitors,2000025940,50000,INDUSTRIAL INJURY CLAIMS HANDLING,HA1 3AP
Department for Transport,Department for Transport,03/03/2014,Support Services,General Counsel's Office,Thompsons Solicitors,2000025940,142700,INDUSTRIAL INJURY CLAIMS HANDLING,HA1 3AP
Department for Transport,Department for Transport,03/03/2014,Support Services,General Counsel's Office,Thompsons Solicitors,2000025940,55750,INDUSTRIAL INJURY CLAIMS HANDLING,HA1 3AP
Department for Transport,Department for Transport,03/03/2014,Telephone charges,Air Accident Investigation Branch,VODAFONE LTD,2000025915,1623.94,#,RG14 5FF
Department for Transport,Department for Transport,03/03/2014,Training,Air Accident Investigation Branch,TAA UK LTD,2000025928,476,#,UB9 5DF
Department for Transport,Department for Transport,03/03/2014,Transport  Consult,Rail Commercial & Programme Office,PARSONS BRINCKERHOFF LTD,2000025909,15563.63,#,NE4 7YQ
Department for Transport,Department for Transport,03/03/2014,Transport  Consult,Local,OVE ARUP & PARTNERS,2000025908,42395.44,#,NE1 3PL
Department for Transport,Department for Transport,03/03/2014,Travel Expenses UK,Local,Bus Users UK Ltd,2000025942,85000,#,TW17 8AS
Department for Transport,Department for Transport,04/03/2014,Agency Staff Costs,Group Communication,NETWORKERS INTERNATIONAL (UK) PLC,2000026018,1013.52,#,BR1 1HP
Department for Transport,Department for Transport,04/03/2014,Agency Staff Costs,Group Procurement & Estate,NETWORKERS INTERNATIONAL (UK) PLC,2000026018,6615.88,#,BR1 1HP
Department for Transport,Department for Transport,04/03/2014,Agency Staff Costs,Group Human Resource,HAYS PERSONNEL SERVICE LTD,2000026000,5352,#,KT3 4JQ
Department for Transport,Department for Transport,04/03/2014,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000026006,2421.83,#,BN11 2BW
Department for Transport,Department for Transport,04/03/2014,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000026006,4843.66,#,BN11 2BW
Department for Transport,Department for Transport,04/03/2014,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000026017,2304,#,SL1 3SA
Department for Transport,Department for Transport,04/03/2014,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,2000026018,3393.6,#,BR1 1HP
Department for Transport,Department for Transport,04/03/2014,Agency Staff Costs,Motoring Services,COMPUTACENTER (UK) LTD,100030831,22300.74,#,AL10 9TW
Department for Transport,Department for Transport,04/03/2014,Agency Staff Costs,Motoring Services,COMPUTACENTER (UK) LTD,100030831,-22300.74,#,AL10 9TW
Department for Transport,Department for Transport,04/03/2014,Agency Staff Costs,Local,SPRING TECHNOLOGY LTD  ALSO T/A,2000026019,762.48,#,B37 7YE
Department for Transport,Department for Transport,04/03/2014,Agency Staff Costs,Rail Commercial & Programme Office,NETWORKERS INTERNATIONAL (UK) PLC,2000026018,4182.54,#,BR1 1HP
Department for Transport,Department for Transport,04/03/2014,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000026006,2217.46,#,BN11 2BW
Department for Transport,Department for Transport,04/03/2014,Agency Staff Costs,Rail Franchising,LA INTERNATIONAL COMPUTER,2000026012,1438.18,#,ST1 5UB
Department for Transport,Department for Transport,04/03/2014,Agency Staff Costs,Rail Franchising,MICHAEL PAGE INTERNATIONAL,2000026017,25116,#,SL1 3SA
Department for Transport,Department for Transport,04/03/2014,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000026017,4608,#,SL1 3SA
Department for Transport,Department for Transport,04/03/2014,Agency Staff Costs,Rail Franchising,NETWORKERS INTERNATIONAL (UK) PLC,2000026018,883.92,#,BR1 1HP
Department for Transport,Department for Transport,04/03/2014,Cap Grt Loc Auth,Aviation,TAG Farnborough Airport Ltd,2000026029,254318.58,Farnborough final payment,GU14 6XA
Department for Transport,Department for Transport,04/03/2014,Cap Grt Pri Sec-Cos.,"Policy, Legislation and Funding",Eversheds LLP,2000026030,627500,PROPERTY PURCHASE,CF10 5BT
Department for Transport,Department for Transport,04/03/2014,Cap Grt Pri Sec-Cos.,"Policy, Legislation and Funding",Eversheds LLP,2000026030,519510.72,PROPERTY PURCHASE,CF10 5BT
Department for Transport,Department for Transport,04/03/2014,Cap Grt Pri Sec-Cos.,"Policy, Legislation and Funding",Eversheds LLP,2000026030,886415.52,PROPERTY PURCHASE,CF10 5BT
Department for Transport,Department for Transport,04/03/2014,Cap Grt Pri Sec-Cos.,"Policy, Legislation and Funding",Eversheds LLP,2000026030,520418.8,PROPERTY PURCHASE,CF10 5BT
Department for Transport,Department for Transport,04/03/2014,Cars Maintenance,Motoring Services,Quarterman Windscreen Ltd,2000026026,1018.5,#,DA1 1JZ
Department for Transport,Department for Transport,04/03/2014,CurrGrt Las in AEF/A,"Motoring, Freight & London",GREATER LONDON AUTHORITY,2000026024,76479000,GLA Grant Payment - Payment No: 25,SE1 2UT
Department for Transport,Department for Transport,04/03/2014,Eurotunnel Admin Pay,Rail Commercial & Programme Office,SNCF Caisse Generale,2000025998,4929535.53,MPL SNCF FEB 2014,93633
Department for Transport,Department for Transport,04/03/2014,Eurotunnel Admin Pay,Rail Commercial & Programme Office,SNCF TRESORERIE ENC RHT VFE,2000025999,5161023.03,SNCF FUNDS FEB 2014,75014
Department for Transport,Department for Transport,04/03/2014,IT Consultancy,Rail Commercial & Programme Office,ATOS IT SERVICES UK LTD,2000026008,14071.36,#,WV10 6UH
Department for Transport,Department for Transport,04/03/2014,IT Ser Running Costs,Analysis & Strategy,NETFUNDI LTD,2000026013,810,#,LA1 1SQ
Department for Transport,Department for Transport,04/03/2014,Legal Consultancy,General Counsel's Office,39 Essex Street LLP PFA,2000026027,10908,#,WC2R 3AT
Department for Transport,Department for Transport,04/03/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000026014,4525,#,BS24 9BP
Department for Transport,Department for Transport,04/03/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000026014,2420,#,BS24 9BP
Department for Transport,Department for Transport,04/03/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000026014,2460,#,BS24 9BP
Department for Transport,Department for Transport,04/03/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000026014,8900,#,BS24 9BP
Department for Transport,Department for Transport,04/03/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000026014,1525,#,BS24 9BP
Department for Transport,Department for Transport,04/03/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000026014,1525,#,BS24 9BP
Department for Transport,Department for Transport,04/03/2014,Rent - L&B (non-PFI),Group Procurement & Estate,NETWORK RAIL,2000026004,330000,Q1 2014-2015 RENT WATERLOO,M60 3BP
Department for Transport,Department for Transport,04/03/2014,Rent - L&B (non-PFI),Group Procurement & Estate,GMN No2 Limited,2000026028,1703910,Q1 2014-2015 RENT GMH NORTH,W1G 0PN
Department for Transport,Department for Transport,04/03/2014,Rent - L&B (non-PFI),Group Procurement & Estate,SAVILLS COMMERCIAL LTD,2000026016,98248.8,Q1 2014-2015 Rent SOUTHSIDE,EC2M 7EE
Department for Transport,Department for Transport,04/03/2014,Rent - L&B (non-PFI),Group Procurement & Estate,SAVILLS COMMERCIAL LTD,2000026016,9944.88,ELECTRICITY 1 APRIL -31 DEC @ SOUTHSIDE,EC2M 7EE
Department for Transport,Department for Transport,04/03/2014,Subscriptions to Pro,Group Human Resource,UBM INFORMATION LTD,2000026005,4320,#,TN9 1YT
Department for Transport,Department for Transport,04/03/2014,Support Services,Air Accident Investigation Branch,TRANSPORT RESEARCH LABORATORY,2000026015,17763.66,#,RG40 3GA
Department for Transport,Department for Transport,04/03/2014,Transport  Consult,Local,ATKINS LTD (TRANSPORT PLANNING),2000026007,19437.38,#,WR5 1TX
Department for Transport,Department for Transport,04/03/2014,Transport  Consult,Rail Franchising,TRANSPORT RESEARCH LABORATORY,2000026015,25405.87,#,RG40 3GA
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Air Accident Investigation Branch,BROOK STREET BUREAU,2000026120,684.9,#,AL1 4JB
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Group Internal Audit,Not assigned,100031262,2341.2,#,#
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Group Internal Audit,Not assigned,100031262,1872.96,#,#
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Group Internal Audit,Not assigned,100031262,2341.2,#,#
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Group Internal Audit,Not assigned,100031262,1872.96,#,#
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Group Internal Audit,Not assigned,100031262,2341.2,#,#
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Group Internal Audit,Not assigned,100031262,2341.2,#,#
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Principal Priv. Secretary & Head of Private Office,Not assigned,100030992,-1104.9,#,#
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Group Finance,BADENOCH & CLARK,2000026105,3347.7,#,EC4V 4BG
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Group Finance,BADENOCH & CLARK,2000026105,4036.38,#,EC4V 4BG
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Major Projects & Growth,LEND LEASE CONSULTING (EMEA) LTD,2000026130,17820,#,NW1 3BF
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Rail Commercial & Programme Office,BADENOCH & CLARK,2000026105,1721.22,#,EC4V 4BG
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Rail Commercial & Programme Office,BADENOCH & CLARK,2000026105,1721.22,#,EC4V 4BG
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Rail Commercial & Programme Office,BADENOCH & CLARK,2000026105,1721.22,#,EC4V 4BG
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Rail Commercial & Programme Office,Not assigned,100031351,-3359.95,#,#
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Rail Commercial & Programme Office,Not assigned,100031351,3355.2,#,#
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Rail Commercial & Programme Office,Not assigned,100031352,4199.94,#,#
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,General Counsel's Office,BADENOCH & CLARK,2000026105,3098.16,#,EC4V 4BG
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,General Counsel's Office,BADENOCH & CLARK,2000026105,3098.16,#,EC4V 4BG
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,General Counsel's Office,BADENOCH & CLARK,2000026105,3098.16,#,EC4V 4BG
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Motoring Services,BADENOCH & CLARK,2000026105,4446,#,EC4V 4BG
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,"Policy, Legislation and Funding",BADENOCH & CLARK,2000026105,3660,#,EC4V 4BG
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Rail Franchising,BADENOCH & CLARK,2000026105,3545.7,#,EC4V 4BG
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Motoring Services,BADENOCH & CLARK,2000026105,3705,#,EC4V 4BG
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,"Policy, Legislation and Funding",BADENOCH & CLARK,2000026105,3660,#,EC4V 4BG
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Rail Franchising,BADENOCH & CLARK,2000026105,4062,#,EC4V 4BG
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Rail Franchising,BADENOCH & CLARK,2000026105,4062,#,EC4V 4BG
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Motoring Services,BADENOCH & CLARK,2000026105,3705,#,EC4V 4BG
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Rail Franchising,CAPITA RESOURCING LTD,2000026131,8290.08,#,DL1 9HN
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Rail Franchising,CAPITA RESOURCING LTD,2000026131,13440,#,DL1 9HN
Department for Transport,Department for Transport,05/03/2014,Agency Staff Costs,Rail Franchising,CAPITA RESOURCING LTD,2000026131,18468,#,DL1 9HN
Department for Transport,Department for Transport,05/03/2014,Audit Fees (cash),Group Internal Audit,PRICEWATERHOUSECOOPERS LLP,2000026115,69013.25,#,E14 9SQ
Department for Transport,Department for Transport,05/03/2014,Audit Fees (cash),Group Internal Audit,PRICEWATERHOUSECOOPERS LLP,2000026115,65281.88,#,E14 9SQ
Department for Transport,Department for Transport,05/03/2014,Audit Fees (cash),Group Internal Audit,PRICEWATERHOUSECOOPERS LLP,2000026115,-69013.25,#,E14 9SQ
Department for Transport,Department for Transport,05/03/2014,Audit Fees (cash),Group Internal Audit,PRICEWATERHOUSECOOPERS LLP,2000026115,64948.25,#,E14 9SQ
Department for Transport,Department for Transport,05/03/2014,Basic Franchise Pay,Rail Commercial & Programme Office,LONDON & SOUTH EASTERN RAILWAY,2000026133,213433.5,1412 Wk4 Professional Fees July - December 2013 -,SE1 8PG
Department for Transport,Department for Transport,05/03/2014,Books,General Counsel's Office,WILDY AND SONS LTD,2000026136,1297,#,WC2A 2JD
Department for Transport,Department for Transport,05/03/2014,Building Service Cha,Rail Accident Investigation Branch,INNES ENGLAND LTD,2000026111,1625,Innes - The Wharf - [date 25/3/14 to 23/6/14],DE1 1BT
Department for Transport,Department for Transport,05/03/2014,Building Service Cha,Rail Accident Investigation Branch,INNES ENGLAND LTD,2000026111,5340,Innes The wharf March to June 2014,DE1 1BT
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Group Finance,"HSBC BANK PLC, LONDON",2000026138,28050000,LCR Finco Payment 7 March -XS0150670551,E14 5HQ
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,BATH & NE SOMERSET DC,2000026186,1015012,Quarter 3 LA Major Transport Grant Payment 13/14,BA1 5AW
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,BIRMINGHAM CITY COUNCIL,2000026121,147602.78,Quarter 3 LA Major Transport Grant Payment 13/14,B1 1BB
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,BLACKBURN WITH DARWEN BC,2000026197,2586326,Quarter 3 LA Major Transport Grant Payment 13/14,BB1 7DY
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,CITY OF YORK COUNCIL,2000026187,5996806.53,Quarter 3 LA Major Transport Grant Payment 13/14,Y01 7WH
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,Cornwall Council,2000026137,2002134.27,Quarter 3 LA Major Transport Grant Payment 13/14,TR1 3AY
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,DERBY CITY COUNCIL,2000026188,845959.34,Quarter 3 LA Major Transport Grant Payment 13/14,DE1 2YL
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,DEVON COUNTY COUNCIL,2000026189,9476899,Quarter 3 LA Major Transport Grant Payment 13/14,EX2 4QJ
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,DONCASTER MBC,2000026122,109926,Quarter 3 LA Major Transport Grant Payment 13/14,DN1 1ER
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,DUDLEY MBC,2000026123,1580,Quarter 3 LA Major Transport Grant Payment 13/14,DY1 1HF
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,EAST RIDING OF YORKSHIRE COUNCIL,2000026124,3051715,Quarter 3 LA Major Transport Grant Payment 13/14,HU17 9BA
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,EAST SUSSEX COUNTY COUNCIL,2000026201,10576902.93,Quarter 3 LA Major Transport Grant Payment 13/14,BN7 1UE
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,HALTON BC,2000026190,514421,Quarter 3 LA Major Transport Grant Payment 13/14,WA8 6NB
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,LANCASHIRE COUNTY COUNCIL,2000026191,9631078,Quarter 3 LA Major Transport Grant Payment 13/14,PR1 0LD
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,LEEDS CITY COUNCIL,2000026125,1097191,Quarter 3 LA Major Transport Grant Payment 13/14,LS2 8JR
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,LEICESTERSHIRE COUNTY COUNCIL,2000026198,1183079.13,Quarter 3 LA Major Transport Grant Payment 13/14,LE3 8RB
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,LUTON BOROUGH COUNCIL,2000026192,2942413,Quarter 3 LA Major Transport Grant Payment 13/14,LU1 2BQ
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,MIDDLESBROUGH BOROUGH COUNCIL,2000026126,1883721.28,Quarter 3 LA Major Transport Grant Payment 13/14,TS1 9GA
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,NORTH SOMERSET COUNCIL,2000026193,1487818.26,Quarter 3 LA Major Transport Grant Payment 13/14,BS23 1UJ
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,NOTTINGHAM CITY COUNCIL,2000026134,773317.02,Quarter 3 LA Major Transport Grant Payment 13/14,NG1 5NT
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,PORTSMOUTH CITY COUNCIL,2000026199,7459769.34,Quarter 3 LA Major Transport Grant Payment 13/14,PO1 2BG
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,SANDWELL MBC,2000026127,1478463.86,Quarter 3 LA Major Transport Grant Payment 13/14,B69 3BS
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,SEFTON MBC,2000026194,1704857,Quarter 3 LA Major Transport Grant Payment 13/14,PR8 1DA
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,SOMERSET COUNTY COUNCIL,2000026195,1642295.58,Quarter 3 LA Major Transport Grant Payment 13/14,TA1 4DY
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,SOUTH YORKS PTE,2000026128,683000,Quarter 3 LA Major Transport Grant Payment 13/14,S2 5YT
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,ST HELENS MBC,2000026196,10461,Quarter 3 LA Major Transport Grant Payment 13/14,WA10 1UQ
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,SUFFOLK COUNTY COUNCIL,2000026202,3198431,Quarter 3 LA Major Transport Grant Payment 13/14,IP1 2DH
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,WEST MIDLANDS ITA,2000026139,7294935,Quarter 3 LA Major Transport Grant Payment 13/14,B19 3SD
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,WOLVERHAMPTON CITY COUNCIL,2000026129,591719.24,Quarter 3 LA Major Transport Grant Payment 13/14,WRV 1RL
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Local,WORCESTERSHIRE COUNTY COUNCIL,2000026200,2253441,Quarter 3 LA Major Transport Grant Payment 13/14,WR5 2NP
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,Aviation,Birmingham Airport Ltd,2000026150,180756,Final payment,B26 3QJ
Department for Transport,Department for Transport,05/03/2014,Cap Grt Loc Auth,"Energy, Technology and International",Rolec Services Limited,2000026147,409000,Rolec Dec 2013   #409k,PE20 1Q
Department for Transport,Department for Transport,05/03/2014,Cap Grt Pri Sec-Cos.,"Policy, Legislation and Funding",Eversheds LLP,2000026151,405000,OAKDENE/PEARCEN,CF10 5BT
Department for Transport,Department for Transport,05/03/2014,Car Hire and Leasing,Principal Priv. Secretary & Head of Private Office,Not assigned,100030919,-866.65,#,#
Department for Transport,Department for Transport,05/03/2014,Car Hire and Leasing,Motoring Services,LEX AUTOLEASE LTD,2000026098,-1950.3,#,BL9 8RT
Department for Transport,Department for Transport,05/03/2014,Car Hire and Leasing,Motoring Services,LEX AUTOLEASE LTD,2000026098,878.8,#,BL9 8RT
Department for Transport,Department for Transport,05/03/2014,Car Hire and Leasing,Motoring Services,LEX AUTOLEASE LTD,2000026098,760.1,#,BL9 8RT
