Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,
Department for Transport,Department for Transport,02/04/2014,Agents Fees,Group Finance,RAILWAYS PENSION MANAGEMENT LT,2000000205,634958.36,#,DL3 6EH,
Department for Transport,Department for Transport,02/04/2014,Audit Fees (cash),Group Internal Audit,PRICEWATERHOUSECOOPERS LLP,2000000194,19950,#,E14 9SQ,
Department for Transport,Department for Transport,02/04/2014,Audit Fees (cash),Group Internal Audit,PRICEWATERHOUSECOOPERS LLP,2000000194,211724.38,#,E14 9SQ,
Department for Transport,Department for Transport,02/04/2014,Basic Franchise Pay,Rail Commercial & Programme Office,CROSS COUNTRY TRAINS LTD,2000000210,24000,1413 Wk4 RPI adjust and Fares Flex cap 2013_14 - A,B5 4HA,
Department for Transport,Department for Transport,02/04/2014,Basic Franchise Rec,Rail Commercial & Programme Office,ARRIVA TRAINS WALES,2000000207,244109.57,1413 Wk4 West Coast TT on A/C Payment P1413 - ARRI,CF10 5DJ,
Department for Transport,Department for Transport,02/04/2014,Basic Franchise Rec,Rail Commercial & Programme Office,C2C RAIL LIMITED,2000000206,9000,1413 Wk4 RPI Adjust and Fares Flex Cap 2013_14 - C,EC1V 9NR,
Department for Transport,Department for Transport,02/04/2014,Cap Grt Pri Sec-Cos.,Major Projects & Growth,LONDON UNDERGROUND,2000000214,184469,"""LUL P6-12, 2013/147""",NW1 2AH,
Department for Transport,Department for Transport,02/04/2014,Cap Grt Pri Sec-Cos.,Major Projects & Growth,NETWORK RAIL INFRASTRUCTURE LTD,2000000213,2297846.53,"""NR WP1,App5""",M60 7WY,
Department for Transport,Department for Transport,02/04/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Athena Electrical,2000000234,1000,Athena Electrical Feb 2014 #1k,E5 8AJ,
Department for Transport,Department for Transport,02/04/2014,Car Hire and Leasing,Principal Priv. Secretary & Head of Private Office,GOVERNMENT CAR & DESPATCH AGENCY,100000247,6972.66,Ministerial Car Pool Service - Car 1 Jan 2014,SW8 5AX,
Department for Transport,Department for Transport,02/04/2014,Car Hire and Leasing,Principal Priv. Secretary & Head of Private Office,GOVERNMENT CAR & DESPATCH AGENCY,100000247,-6972.66,Credit doc 5105978784 (5105984345),SW8 5AX,
Department for Transport,Department for Transport,02/04/2014,Car Hire and Leasing,Motoring Services,LEX AUTOLEASE LTD,2000000167,878.8,#,BL9 8RT,
Department for Transport,Department for Transport,02/04/2014,Car Hire and Leasing,Motoring Services,LEX AUTOLEASE LTD,2000000167,760.1,#,BL9 8RT,
Department for Transport,Department for Transport,02/04/2014,Cars Maintenance,Motoring Services,CAMBRIA AUTOMOBILES SOUTH EAST LTD,2000000231,534.38,#,CR2 6EE,
Department for Transport,Department for Transport,02/04/2014,Cars Maintenance,Motoring Services,CAMBRIA AUTOMOBILES SOUTH EAST LTD,2000000231,1309.56,#,CR2 6EE,
Department for Transport,Department for Transport,02/04/2014,Cars Maintenance,Motoring Services,Professional Auto Centre Ltd,2000000228,1293.48,#,SW8 1RY,
Department for Transport,Department for Transport,02/04/2014,Computer Consumables,Aviation,XMA LIMITED GOSC,2000000225,624.71,INK CARTRIDGES,NG11 7EP,
Department for Transport,Department for Transport,02/04/2014,Computer Consumables,Aviation,XMA LIMITED GOSC,2000000225,-624.72,Credit Against 5105984479,NG11 7EP,
Department for Transport,Department for Transport,02/04/2014,Computer Consumables,Motoring Services,XMA LIMITED GOSC,2000000225,184.61,A33K150 Konica Minolta Black toner,NG11 7EP,
Department for Transport,Department for Transport,02/04/2014,Computer Consumables,Motoring Services,XMA LIMITED GOSC,2000000225,442.46,A33K250 Konica Minolta yellow toner,NG11 7EP,
Department for Transport,Department for Transport,02/04/2014,Computer Consumables,Motoring Services,XMA LIMITED GOSC,2000000225,221.23,A33K350 Konica Minolta Magenta Toner,NG11 7EP,
Department for Transport,Department for Transport,02/04/2014,Computer Consumables,Motoring Services,XMA LIMITED GOSC,2000000225,442.46,A33K450 Konica Minolta Cyan toner,NG11 7EP,
Department for Transport,Department for Transport,02/04/2014,Computer Consumables,Motoring Services,XMA LIMITED GOSC,2000000225,4724.64,A2N0TD Konica Colour Drums C364e,NG11 7EP,
Department for Transport,Department for Transport,02/04/2014,Computer equipment,Air Accident Investigation Branch,SOFTWARE BOX LTD,2000000166,2201.96,#,YO61 1ET,
Department for Transport,Department for Transport,02/04/2014,Conferences / Semina,Maritime,FCO FOREIGN & COMMONWEALTH OFFICE,2000000164,9681.59,#,MK10 1PX,
Department for Transport,Department for Transport,02/04/2014,Contract Cleaning,Air Accident Investigation Branch,INTERSERVE,2000000219,2173.5,#,BS32 4NH,
Department for Transport,Department for Transport,02/04/2014,Contract Cleaning,Marine Accident Investigation Branch,PROGRESS CLEANING SERVICES,2000000170,702,#,SO30 2FQ,
Department for Transport,Department for Transport,02/04/2014,Data Supply - TD,Transport Direct&Travel,LANDMARK INFORMATION GROUP LTD,2000000188,8629.5,#,EX2 7HY,
Department for Transport,Department for Transport,02/04/2014,Data Supply - TD,Transport Direct&Travel,LANDMARK INFORMATION GROUP LTD,2000000188,15050.6,#,EX2 7HY,
Department for Transport,Department for Transport,02/04/2014,Data Supply - TD,"Motoring, Freight & London",TRL LTD,2000000171,3771.6,#,RG40 3GA,
Department for Transport,Department for Transport,02/04/2014,Eurotunnel Admin Pay,Rail Commercial & Programme Office,SNCF Caisse Generale,2000000123,5508602.79,SNCF FUNDS FOR MARCH  2014,93633,
Department for Transport,Department for Transport,02/04/2014,Eurotunnel Admin Pay,Rail Commercial & Programme Office,SNCF TRESORERIE ENC RHT VFE,2000000124,5657818,SNCF FUNDS FOR MARCH  2014,75014,
Department for Transport,Department for Transport,02/04/2014,Financial Consultanc,Major Projects & Growth,PRICEWATERHOUSECOOPERS LLP,2000000194,186137.76,#,E14 9SQ,
Department for Transport,Department for Transport,02/04/2014,Financial Consultanc,Group Finance,RAILWAYS PENSION MANAGEMENT LT,2000000205,972,#,DL3 6EH,
Department for Transport,Department for Transport,02/04/2014,Furniture & Fittings,Air Accident Investigation Branch,SENATOR INTERNATIONAL LTD,2000000197,2729.4,#,BB5 5YE,
Department for Transport,Department for Transport,02/04/2014,HR Consultancy,Group Human Resource,EMPLOYEE ADVISORY RESOURCE LTD,2000000185,1074.25,#,W4 5YB,
Department for Transport,Department for Transport,02/04/2014,Indexation Receipts,Rail Commercial & Programme Office,ARRIVA TRAINS WALES,2000000207,9424.63,1413 Wk4 West Coast TT on A/C Payment Indexation P,CF10 5DJ,
Department for Transport,Department for Transport,02/04/2014,IT Consultancy,Marine Accident Investigation Branch,AVENCA LTD,2000000175,15906,#,SP5 3PJ,
Department for Transport,Department for Transport,02/04/2014,IT Ser Running Costs,Transport Direct&Travel,MENTZ DATENVERARBEITUNG GMBH,2000000163,1320,#,81675,
Department for Transport,Department for Transport,02/04/2014,IT Ser Running Costs,Transport Direct&Travel,MENTZ DATENVERARBEITUNG GMBH,2000000163,-2353.52,#,81675,
Department for Transport,Department for Transport,02/04/2014,IT Ser Running Costs,Aviation,CACI INFORMATION SOLUTIONS LTD,2000000178,3840,#,W14 8TS,
Department for Transport,Department for Transport,02/04/2014,IT Ser Running Costs,Rail Franchising,CONNECT INTERNET SOLUTIONS LTD,2000000180,4240.8,#,L2 6SG,
Department for Transport,Department for Transport,02/04/2014,IT Ser Running Costs,Rail Franchising,CONNECT INTERNET SOLUTIONS LTD,2000000180,2980.8,#,L2 6SG,
Department for Transport,Department for Transport,02/04/2014,Legal Consultancy,Group Human Resource,TREASURY SOLICITOR,2000000160,19332,#,WC2B 4TS,
Department for Transport,Department for Transport,02/04/2014,Legal Consultancy,Group Human Resource,TREASURY SOLICITOR,2000000160,14927.52,#,WC2B 4TS,
Department for Transport,Department for Transport,02/04/2014,Legal Consultancy,Group Human Resource,TREASURY SOLICITOR,2000000160,20090.53,#,WC2B 4TS,
Department for Transport,Department for Transport,02/04/2014,Legal Consultancy,Group Human Resource,TREASURY SOLICITOR,2000000160,5029.08,#,WC2B 4TS,
Department for Transport,Department for Transport,02/04/2014,Machinery Rental,General Counsel's Office,DANWOOD GROUP LTD,2000000182,1219.33,#,LN6 3DG,
Department for Transport,Department for Transport,02/04/2014,Machinery Rental,General Counsel's Office,DANWOOD GROUP LTD,2000000182,1060.32,#,LN6 3DG,
Department for Transport,Department for Transport,02/04/2014,Machinery Rental,General Counsel's Office,DANWOOD GROUP LTD,2000000182,2159.17,#,LN6 3DG,
Department for Transport,Department for Transport,02/04/2014,Other Advertising,Local,PENNA COMMUNICATIONS,2000000216,3367.41,#,EC4M 7RD,
Department for Transport,Department for Transport,02/04/2014,Other Advertising,Local,PENNA COMMUNICATIONS,2000000216,4550.61,#,EC4M 7RD,
Department for Transport,Department for Transport,02/04/2014,Other Professional F,Group Finance,CIPFA Business Ltd,2000000172,11900,#,WC1A 9GR,
Department for Transport,Department for Transport,02/04/2014,Other Sprs - Ptoc,Rail Commercial & Programme Office,LONDON & SOUTH EASTERN RAILWAY,2000000208,694300.87,1413 Wk4 Perpetuum Phase 1 Costs - LONDON  & SOUTH,SE1 8PG,
Department for Transport,Department for Transport,02/04/2014,Printing,"Policy, Legislation and Funding",WILLIAMS LEA LIMITED,2000000222,11343.97,#,NR3 1PD,
Department for Transport,Department for Transport,02/04/2014,Property Maintenance,Air Accident Investigation Branch,INTERSERVE,2000000219,53345.59,#,BS32 4NH,
Department for Transport,Department for Transport,02/04/2014,Publicity,"Motoring, Freight & London",Munro Market Research Limited,2000000233,8101.2,#,HP13 6AE,
Department for Transport,Department for Transport,02/04/2014,Rates,Rail Accident Investigation Branch,DERBY CITY COUNCIL (NNDR),2000000183,2873.1,Derby City - 1.4.14 to 1.4.15,DE1 2XG,
Department for Transport,Department for Transport,02/04/2014,Rent - L&B (non-PFI),Group Procurement & Estate,DWP SHARED SERVICES,2000000161,1073.24,#,CF14 3UW,
Department for Transport,Department for Transport,02/04/2014,Research,Major Projects & Growth,TRANSPORT RESEARCH LABORATORY,2000000198,11979.15,#,RG40 3GA,
Department for Transport,Department for Transport,02/04/2014,Research,Major Projects & Growth,TRANSPORT RESEARCH LABORATORY,2000000198,10997.41,#,RG40 3GA,
Department for Transport,Department for Transport,02/04/2014,Research,Motoring Services,CABINET OFFICE,2000000215,50000,#,CF14 3UW,
Department for Transport,Department for Transport,02/04/2014,Research,Local,TRANSPORT RESEARCH LABORATORY,2000000198,4789.25,#,RG40 3GA,
Department for Transport,Department for Transport,02/04/2014,Schedule 8 Fixed Per,Rail Commercial & Programme Office,ARRIVA TRAINS WALES,2000000207,721116.15,1413 Wk4 CP2SR P1412 - ARRIVA TRAINS WALES LIMITED,CF10 5DJ,
Department for Transport,Department for Transport,02/04/2014,Schedule 8 Fixed Per,Rail Commercial & Programme Office,ARRIVA TRAINS WALES,2000000207,2042.52,1413 Wk4 PIP_Adjustment_P1411 - ARRIVA TRAINS WALE,CF10 5DJ,
Department for Transport,Department for Transport,02/04/2014,Schedule 8 Fixed Per,Rail Commercial & Programme Office,ARRIVA TRAINS WALES,2000000207,-74410.85,1413 Wk4 RTMRE_P1412 - ARRIVA TRAINS WALES LIMITED,CF10 5DJ,
Department for Transport,Department for Transport,02/04/2014,Schedule 8 Fixed Per,Rail Commercial & Programme Office,ARRIVA TRAINS WALES,2000000207,57985.75,1413 Wk4 TS8A_P1412 - ARRIVA TRAINS WALES LIMITED,CF10 5DJ,
Department for Transport,Department for Transport,02/04/2014,Services prov by OGD,"Motoring, Freight & London",VEHICLE & OPERATOR SERVICES AGENCY,2000000162,4339243,#,SA1 8AN,
Department for Transport,Department for Transport,02/04/2014,Services prov by OGD,Transport Security Strategy,DEFENCE BUSINESS SERVICES,2000000220,2164.22,#,YO10 4AS,
Department for Transport,Department for Transport,02/04/2014,Services prov by OGD,Aviation,DEPARTMENT FOR ENVIRONMENT,2000000181,8803.2,#,YO1 7PX,
Department for Transport,Department for Transport,02/04/2014,Software Lic Cap,Transport Direct&Travel,MENTZ DATENVERARBEITUNG GMBH,2000000163,7014,#,81675,
Department for Transport,Department for Transport,02/04/2014,Storage & Distributi,Group Communication,NEAL DISPLAY LTD,2000000192,7500,#,SG13 7BJ,
Department for Transport,Department for Transport,02/04/2014,Support Services,"Motoring, Freight & London",HIGHWAYS AGENCY,2000000165,6796.05,#,B1 1RN,
Department for Transport,Department for Transport,02/04/2014,Support Services,Principal Priv. Secretary & Head of Private Office,FCO FOREIGN & COMMONWEALTH OFFICE,100000246,2626.02,#,MK10 1PX,
Department for Transport,Department for Transport,02/04/2014,Support Services,Principal Priv. Secretary & Head of Private Office,FCO FOREIGN & COMMONWEALTH OFFICE,100000246,-2626.02,#,MK10 1PX,
Department for Transport,Department for Transport,02/04/2014,Support Services,Aviation,ENVIRONMENT AGENCY,2000000212,8500,#,PE2 8YD,
Department for Transport,Department for Transport,02/04/2014,Support Services,Aviation,ENVIRONMENT AGENCY,2000000212,3000,#,PE2 8YD,
Department for Transport,Department for Transport,02/04/2014,Support Services,Aviation,ENVIRONMENT AGENCY,2000000212,11000,#,PE2 8YD,
Department for Transport,Department for Transport,02/04/2014,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000000179,2850,#,RH10 0YR,
Department for Transport,Department for Transport,02/04/2014,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000000179,575175.93,#,RH10 0YR,
Department for Transport,Department for Transport,02/04/2014,Support Services,Environment & International Transport Analysis,BMT RELIABILITY CONSULTANTS LTD,100000248,37708.5,#,PO15 5SU,
Department for Transport,Department for Transport,02/04/2014,Support Services,Environment & International Transport Analysis,BMT RELIABILITY CONSULTANTS LTD,100000248,-37708.5,#,PO15 5SU,
Department for Transport,Department for Transport,02/04/2014,Support Services,Aviation,FCO FOREIGN & COMMONWEALTH OFFICE,2000000164,1187.02,#,MK10 1PX,
Department for Transport,Department for Transport,02/04/2014,Support Services,Group Finance,RAILWAYS PENSION MANAGEMENT LT,2000000205,233735.11,#,DL3 6EH,
Department for Transport,Department for Transport,02/04/2014,Training,Air Accident Investigation Branch,HELI AIR LIMITED,2000000224,508,#,CV35 9EU,
Department for Transport,Department for Transport,02/04/2014,Training,"Motoring, Freight & London",Peter East Associates Ltd,2000000193,470,#,WD6 3FG,
Department for Transport,Department for Transport,02/04/2014,Training,Marine Accident Investigation Branch,KELVIN HUGHES LTD,2000000187,833.33,#,IG6 2UR,
Department for Transport,Department for Transport,02/04/2014,Training,Analysis & Strategy,NATIONAL CENTRE FOR SOCIAL RESEARCH,2000000191,5080,#,EC1V 0AX,
Department for Transport,Department for Transport,02/04/2014,Transport  Consult,Aviation,MANCHESTER METROPOLITAN UNIV,2000000189,81631.2,#,M1 5GD,
Department for Transport,Department for Transport,02/04/2014,Transport  Consult,Aviation,MANCHESTER METROPOLITAN UNIV,2000000189,55314,#,M1 5GD,
Department for Transport,Department for Transport,02/04/2014,Transport  Consult,Major Projects & Growth,FIRST GREATER WESTERN,2000000209,73400.63,#,SN1 1HL,
Department for Transport,Department for Transport,02/04/2014,Transport  Consult,Rail Strategy & Funding,URS INFRASTRUCTURE &,2000000196,2427.8,#,RG21 4JG,
Department for Transport,Department for Transport,02/04/2014,Transport  Consult,Rail Commercial & Programme Office,TRANSPORT RESEARCH LABORATORY,2000000198,26902.99,#,RG40 3GA,
Department for Transport,Department for Transport,02/04/2014,Transport  Consult,Rail Commercial & Programme Office,TRANSPORT RESEARCH LABORATORY,2000000198,33993.67,#,RG40 3GA,
Department for Transport,Department for Transport,02/04/2014,Transport  Consult,Rail Franchising,ATKINS LTD (TRANSPORT PLANNING),2000000174,8046.31,#,WR5 1TX,
Department for Transport,Department for Transport,02/04/2014,Transport  Consult,Maritime,FRAZER-NASH CONSULTANCY LTD,2000000223,25584.82,#,RH4 1HJ,
Department for Transport,Department for Transport,02/04/2014,Travel Expenses UK,Group Human Resource,TREASURY SOLICITOR,2000000160,50,#,WC2B 4TS,
Department for Transport,Department for Transport,02/04/2014,Travel Expenses UK,Group Human Resource,TREASURY SOLICITOR,2000000160,30.6,#,WC2B 4TS,
Department for Transport,Department for Transport,02/04/2014,Waste disposal/Refus,Group Procurement & Estate,Banner Business Services Ltd,100000249,906.75,#,NR3 1QU,
Department for Transport,Department for Transport,02/04/2014,Waste disposal/Refus,Group Procurement & Estate,Banner Business Services Ltd,100000249,-906.75,#,NR3 1QU,
Department for Transport,Department for Transport,03/04/2014,Agency Staff Costs,Motoring Services,COMPUTACENTER (UK) LTD,2000000333,25810.96,#,AL10 9TW,
Department for Transport,Department for Transport,03/04/2014,Agency Staff Costs,Motoring Services,COMPUTACENTER (UK) LTD,2000000333,14976,#,AL10 9TW,
Department for Transport,Department for Transport,03/04/2014,Agency Staff Costs,Motoring Services,COMPUTACENTER (UK) LTD,2000000333,27600,#,AL10 9TW,
Department for Transport,Department for Transport,03/04/2014,Agency Staff Costs,Rail Franchising,CAPITA RESOURCING LTD,2000000350,18468,#,DL1 9HN,
Department for Transport,Department for Transport,03/04/2014,Agency Staff Costs,Strategic Roads & Smart Ticketing,EXPERIS LTD,2000000336,3399.66,#,EC1R 3DR,
Department for Transport,Department for Transport,03/04/2014,Agency Staff Costs,Rail Commercial & Programme Office,MICHAEL PAGE INTERNATIONAL,2000000349,723.9,#,SL1 3SA,
Department for Transport,Department for Transport,03/04/2014,Audit Fees (cash),Group Internal Audit,PRICEWATERHOUSECOOPERS LLP,100001875,212811.88,#,E14 9SQ,
Department for Transport,Department for Transport,03/04/2014,Audit Fees (cash),Group Internal Audit,PRICEWATERHOUSECOOPERS LLP,100001875,-212811.88,#,E14 9SQ,
Department for Transport,Department for Transport,03/04/2014,Cap Grt Loc Auth,Local,Lincolnshire County Council,2000000360,235500,LSTF Payments to LINCOLNSHIRE CC 2013-14 Q3,LN1 1DN,
Department for Transport,Department for Transport,03/04/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Solar Solutions,2000000362,999.67,Solar Solutions Jan 2014 #999.67,NE28 7RP,
Department for Transport,Department for Transport,03/04/2014,CurrGrt Las in AEF/A,"Motoring, Freight & London",GREATER LONDON AUTHORITY,2000000326,134188846,GLA Transport Grant - April 14/15,SE1 2UT,
