Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,31/01/2013,IT/Telecommunications,Finance and CSD,VODAFONE CORPORATE LTD,3245675,"45,154.30",IT Telecommunications
Department of Health,Care Quality Commission,31/01/2013,Intangible Assets,Commission Wide,COMPUTACENTER (UK) LTD,3246567,"28,283.21",Intangible Assets
Department of Health,Care Quality Commission,31/01/2013,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,3265576,"580,992.68",IT Managed Service
Department of Health,Care Quality Commission,31/01/2013,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,3283779,"-604,901.58",IT Managed Service
Department of Health,Care Quality Commission,31/01/2013,Professional Advisory Services,Strategic Marketing & Comms,SERCO CONSULTING,3302108,"25,131.60",Professional Advisory Services
Department of Health,Care Quality Commission,31/01/2013,Lecture Fees,Human Resources,QA LTD,3326209,"27,600.00",Training
Department of Health,Care Quality Commission,31/01/2013,Hotels and Conferences,Commission Wide,EXPOTEL HOTEL RESERVATIONS LTD,3382764,"69,946.34",Hotels and Conferences
Department of Health,Care Quality Commission,31/01/2013,Staff Recruitment/Advertising,Human Resources,PENNA PLC,3386843,"30,000.00",Employment/Recruitment
Department of Health,Care Quality Commission,31/01/2013,Intangible Assets,Commission Wide,SAPIENT LTD,3389124,"75,714.00",Intangible Assets
Department of Health,Care Quality Commission,31/01/2013,Facilities Management,Finance and CSD,DEPARTMENT OF HEALTH,3389270,"76,347.49",Facilities Management
Department of Health,Care Quality Commission,31/01/2013,Facilities Management,Finance and CSD,DEPARTMENT OF HEALTH,3389505,"127,341.90",Facilities Management
Department of Health,Care Quality Commission,31/01/2013,Experts by Experience,Regulatory Development,AGE UK,3390212,"35,880.00",Acting Together - Involvement
Department of Health,Care Quality Commission,31/01/2013,Intangible Assets,Commission Wide,COMPUTACENTER (UK) LTD,3410117,"36,988.39",Intangible Assets
Department of Health,Care Quality Commission,31/01/2013,Intangible Assets,Commission Wide,COMPUTACENTER (UK) LTD,3410123,"48,718.80",Intangible Assets
