Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,31/10/2012,Gas mains,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,2051576,921.60,Utilities
Department of Health,Care Quality Commission,31/10/2012,Rents,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,2051576,"23,757.60",Rent
Department of Health,Care Quality Commission,31/10/2012,Contract Maintenance Grounds Gardens Land,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,2051576,"6,326.42",Service Charge
Department of Health,Care Quality Commission,31/10/2012,Water Mains,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,2051576,172.80,Utilities
Department of Health,Care Quality Commission,31/10/2012,Data Lines,Finance and CSD,CABLE & WIRELESS UK,2074750,"43,454.17",IT Telecommunications
Department of Health,Care Quality Commission,31/10/2012,FM Computer Contracts,Commission Wide,COMPUTACENTER (UK) LTD,2092210,"36,493.58",IT Managed Service
Department of Health,Care Quality Commission,31/10/2012,FM Computer Contracts,Commission Wide,COMPUTACENTER (UK) LTD,2092219,"57,567.00",IT Managed Service
Department of Health,Care Quality Commission,31/10/2012,IT/Telecommunications,Finance and CSD,VODAFONE CORPORATE LTD,2128355,"44,324.33",IT Telecommunications
Department of Health,Care Quality Commission,31/10/2012,Data Lines,Finance and CSD,CABLE & WIRELESS UK,2128400,"35,675.22",IT Telecommunications
Department of Health,Care Quality Commission,31/10/2012,Surveys,Intelligence,PICKER INSTITUTE EUROPE,2129123,"61,142.92",Surveys
Department of Health,Care Quality Commission,31/10/2012,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,2160789,"147,152.93",Agency Staff
Department of Health,Care Quality Commission,31/10/2012,Research Services,Human Resources,CRIMINAL RECORDS BUREAU,2169775,"37,092.00",CRB Checks
Department of Health,Care Quality Commission,31/10/2012,Intangible Assets,Commission Wide,COMPUTACENTER (UK) LTD,2173121,"48,564.00",Intangible Assets
Department of Health,Care Quality Commission,31/10/2012,Intangible Assets,Commission Wide,SAPIENT LTD,2173136,"49,260.00",Intangible Assets
Department of Health,Care Quality Commission,31/10/2012,Intangible Assets,Commission Wide,SAPIENT LTD,2173145,"61,776.00",Intangible Assets
Department of Health,Care Quality Commission,31/10/2012,Intangible Assets,Commission Wide,SAPIENT LTD,2173149,"32,808.00",Intangible Assets
Department of Health,Care Quality Commission,31/10/2012,Intangible Assets,Commission Wide,SAPIENT LTD,2173159,"62,550.00",Intangible Assets
Department of Health,Care Quality Commission,31/10/2012,Intangible Assets,Commission Wide,SAPIENT LTD,2173165,"134,391.00",Intangible Assets
Department of Health,Care Quality Commission,31/10/2012,Intangible Assets,Commission Wide,SAPIENT LTD,2173169,"119,910.00",Intangible Assets
Department of Health,Care Quality Commission,31/10/2012,Intangible Assets,Commission Wide,SAPIENT LTD,2173233,"37,878.00",Intangible Assets
Department of Health,Care Quality Commission,31/10/2012,Inspection Experts by Experience,Regulatory Development,AGE UK,2173493,"47,880.00",Communications
Department of Health,Care Quality Commission,31/10/2012,IT Annual Licences and support,Finance and CSD,PHOENIX SOFTWARE LTD,2173608,"35,756.04",IT Annual Licences
Department of Health,Care Quality Commission,31/10/2012,Intangible Assets,Commission Wide,SAPIENT LTD,2176785,"50,760.00",Intangible Assets
Department of Health,Care Quality Commission,31/10/2012,Redfern Travel Control Account,Commission Wide,REDFERN TRAVEL LTD,2202272,"314,315.48",Travel
Department of Health,Care Quality Commission,31/10/2012,Audit Fees: Statutory,Finance and CSD,NATIONAL AUDIT OFFICE,2218705,"145,000.00",Statutory Audit Fees
Department of Health,Care Quality Commission,31/10/2012,Hire of Rooms Halls & Buildings / Other meeting expenses,Strategic Marketing & Comms,CREATIVE CHOICE,2259297,"25,677.60",Hire of Rooms Halls & Buildings / Other meeting expenses
Department of Health,Care Quality Commission,31/10/2012,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,2269315,"540,585.18",IT Managed Service
Department of Health,Care Quality Commission,31/10/2012,Intangible Assets,Commission Wide,SAPIENT LTD,2269365,"53,544.00",Intangible Assets
Department of Health,Care Quality Commission,31/10/2012,Intangible Assets,Commission Wide,SAPIENT LTD,2269411,"53,568.00",Intangible Assets
Department of Health,Care Quality Commission,31/10/2012,Public Relations Expenses,Strategic Marketing & Comms,FLY ON THE WALL.COM LTD,2269720,"26,106.00",Communications
Department of Health,Care Quality Commission,31/10/2012,Intangible Assets,Commission Wide,SAPIENT LTD,2284593,"33,240.00",Intangible Assets
Department of Health,Care Quality Commission,31/10/2012,Intangible Assets,Commission Wide,SAPIENT LTD,2284605,"48,975.00",Intangible Assets
Department of Health,Care Quality Commission,31/10/2012,Intangible Assets,Commission Wide,SAPIENT LTD,2284628,"49,764.00",Intangible Assets
Department of Health,Care Quality Commission,31/10/2012,Agency Staff,Commission Wide,CARLISLE MANAGED SOLUTIONS,2290758,"72,330.08",Agency Staff
Department of Health,Care Quality Commission,31/10/2012,Agency Staff,Commission Wide,CARLISLE MANAGED SOLUTIONS,2290761,"46,589.09",Agency Staff
Department of Health,Care Quality Commission,31/10/2012,Expotel Control Account,Commission Wide,EXPOTEL HOTEL RESERVATIONS LTD,2301076,"90,687.96",Hotels and Conferences
Department of Health,Care Quality Commission,31/10/2012,Legal / Professional Fees,Governance and Legal ,BEVAN BRITTAN LLP,2302835,"54,272.40",Contracted Lawyers/Legal Fees
Department of Health,Care Quality Commission,31/10/2012,IT Annual Licences and support,Finance and CSD,COMPUTACENTER (UK) LTD,2303691,"373,147.20",IT Annual Licences
Department of Health,Care Quality Commission,31/10/2012,FM Computer Contracts,Finance and CSD,COMPUTACENTER (UK) LTD,2303694,"194,637.60",IT Managed Service
Department of Health,Care Quality Commission,31/10/2012,General Office Expenses,Intelligence,QINETIQ LTD,2313300,"99,808.80",General Office Expenses
Department of Health,Care Quality Commission,31/10/2012,FM Computer Contracts,Strategic Marketing & Comms,DEPARTMENT OF HEALTH,2313331,"11,040.39",IT Managed Service
Department of Health,Care Quality Commission,31/10/2012,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,2319207,"40,517.99",Agency Staff
Department of Health,Care Quality Commission,31/10/2012,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,2319226,"126,877.68",Agency Staff
Department of Health,Care Quality Commission,31/10/2012,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,2319233,"152,735.54",Agency Staff
Department of Health,Care Quality Commission,31/10/2012,Professional Advisory Services,Regulatory Development,MOORHOUSE CONSULTING LTD,2325554,"14,760.00",Professional Advisory Services
Department of Health,Care Quality Commission,31/10/2012,Professional Advisory Services,Strategic Marketing & Comms,MOORHOUSE CONSULTING LTD,2325566,"43,200.00",Professional Advisory Services
Department of Health,Care Quality Commission,31/10/2012,Facilities Management,Finance and CSD,DEPARTMENT OF HEALTH,2325590,"104,412.76",Facilities Management
Department of Health,Care Quality Commission,31/10/2012,Facilities Management,Finance and CSD,DEPARTMENT OF HEALTH,2325602,"127,341.90",Facilities Management
