Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Total
Department of Health,Care Quality Commission,12/01/2011,Contracted Lawyers / Legal Fees,Governance and Legal,Hempsons Solicitors,EFT8001691           ,26412.37
Department of Health,Care Quality Commission,12/01/2011,Stationery and Other General Office Expenses,Regulatory Development,Uclan Business Services Ltd,EFT8001711           ,31333.34
Department of Health,Care Quality Commission,14/01/2011,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8001752           ,52515.44
Department of Health,Care Quality Commission,14/01/2011,Agency,Finance and Corporate Services Directorate,Carlisle Managed Solutions,EFT8001752           ,7663.92
Department of Health,Care Quality Commission,14/01/2011,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT8001752           ,1405.44
Department of Health,Care Quality Commission,14/01/2011,Agency,Operations Delivery,Carlisle Managed Solutions,EFT8001752           ,34098.6
Department of Health,Care Quality Commission,14/01/2011,Agency,Organisational Development and Human Resources Directorate,Carlisle Managed Solutions,EFT8001752           ,4524.94
Department of Health,Care Quality Commission,14/01/2011,Agency,Registration,Carlisle Managed Solutions,EFT8001752           ,12163.04
Department of Health,Care Quality Commission,14/01/2011,Agency,Regulatory Development,Carlisle Managed Solutions,EFT8001752           ,5742
Department of Health,Care Quality Commission,14/01/2011,Agency,Strategic Marketing & Communications Directorate,Carlisle Managed Solutions,EFT8001752           ,13450.84
Department of Health,Care Quality Commission,14/01/2011,Contracted Lawyers / Legal Fees,Transitions,Mills & Reeve,EFT8001767           ,70215.6
Department of Health,Care Quality Commission,14/01/2011,Intangible Assets,Finance and Corporate Services Directorate,Sapient,EFT8001771           ,220811.88
Department of Health,Care Quality Commission,18/01/2011,Contracted Lawyers / Legal Fees,Transitions,Mills & Reeve,EFT8001789           ,77165.91
Department of Health,Care Quality Commission,19/01/2011,IT Telecommunications,Finance and Corporate Services Directorate,Buying Solutions,EFT8001809           ,27017.4
Department of Health,Care Quality Commission,19/01/2011,Intangible Assets,Finance and Corporate Services Directorate,Computacenter UK Limited,EFT8001811           ,52165.96
Department of Health,Care Quality Commission,19/01/2011,Consultation Mechanism,Intelligence Directorate,Picker Institute Europe,EFT8001815           ,61142.92
Department of Health,Care Quality Commission,21/01/2011,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8001854           ,58200.07
Department of Health,Care Quality Commission,21/01/2011,Agency,Finance and Corporate Services Directorate,Carlisle Managed Solutions,EFT8001854           ,10608.17
Department of Health,Care Quality Commission,21/01/2011,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT8001854           ,2694.31
Department of Health,Care Quality Commission,21/01/2011,Agency,Operations Delivery,Carlisle Managed Solutions,EFT8001854           ,51010.51
Department of Health,Care Quality Commission,21/01/2011,Agency,Organisational Development and Human Resources Directorate,Carlisle Managed Solutions,EFT8001854           ,8948.22
Department of Health,Care Quality Commission,21/01/2011,Agency,Registration,Carlisle Managed Solutions,EFT8001854           ,18945.84
Department of Health,Care Quality Commission,21/01/2011,Agency,Regulatory Development,Carlisle Managed Solutions,EFT8001854           ,4216.92
Department of Health,Care Quality Commission,21/01/2011,Agency,Strategic Marketing & Communications Directorate,Carlisle Managed Solutions,EFT8001854           ,12105.96
Department of Health,Care Quality Commission,21/01/2011,IT Annual Licences and Support,Finance and Corporate Services Directorate,Insight Direct (UK) Ltd,EFT8001863           ,27783.05
Department of Health,Care Quality Commission,24/01/2011,Intangible Assets,Finance and Corporate Services Directorate,Computacenter UK Limited,EFT8001873           ,160168.8
Department of Health,Care Quality Commission,26/01/2011,Intangible Assets,Finance and Corporate Services Directorate,CSC Computer Science Ltd,EFT8001890           ,92481.9
Department of Health,Care Quality Commission,26/01/2011,Intangible Assets,Finance and Corporate Services Directorate,Sapient,EFT8001906           ,107895.84
Department of Health,Care Quality Commission,26/01/2011,Training & Development,Organisational Development and Human Resources Directorate,Specialist Computer Centres plc,EFT8001907           ,42358.75
Department of Health,Care Quality Commission,28/01/2011,Contracted Lawyers / Legal Fees,Transitions,Bevan Brittan LLP,EFT8001941           ,46256.54
Department of Health,Care Quality Commission,28/01/2011,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8001945           ,45126.86
Department of Health,Care Quality Commission,28/01/2011,Agency,Finance and Corporate Services Directorate,Carlisle Managed Solutions,EFT8001945           ,17566.56
Department of Health,Care Quality Commission,28/01/2011,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT8001945           ,2399.83
Department of Health,Care Quality Commission,28/01/2011,Agency,Operations Delivery,Carlisle Managed Solutions,EFT8001945           ,55394.32
Department of Health,Care Quality Commission,28/01/2011,Agency,Organisational Development and Human Resources Directorate,Carlisle Managed Solutions,EFT8001945           ,8276.02
Department of Health,Care Quality Commission,28/01/2011,Agency,Registration,Carlisle Managed Solutions,EFT8001945           ,20509.8
Department of Health,Care Quality Commission,28/01/2011,Agency,Regulatory Development,Carlisle Managed Solutions,EFT8001945           ,4948.04
Department of Health,Care Quality Commission,28/01/2011,Agency,Strategic Marketing & Communications Directorate,Carlisle Managed Solutions,EFT8001945           ,20422.44
Department of Health,Care Quality Commission,28/01/2011,Intangible Assets,Finance and Corporate Services Directorate,Computacenter UK Limited,EFT8001947           ,125808.72
Department of Health,Care Quality Commission,28/01/2011,IT Telecommunications,Finance and Corporate Services Directorate,Vodafone Corporate,EFT8001978           ,26153.69
Department of Health,Care Quality Commission,31/01/2011,ICAP,Finance and Corporate Services Directorate,CSC Computer Science Ltd,EFT8001986           ,178869.96
Department of Health,Care Quality Commission,31/01/2011,Intangible Assets,Finance and Corporate Services Directorate,CSC Computer Science Ltd,EFT8001986           ,116253.83
Department of Health,Care Quality Commission,31/01/2011,IT Managed Service,Finance and Corporate Services Directorate,CSC Computer Science Ltd,EFT8001986           ,521691.12
Department of Health,Care Quality Commission,31/01/2011,"Property, Plant and Equipment",Finance and Corporate Services Directorate,CSC Computer Science Ltd,EFT8001986           ,57799.43
Department of Health,Care Quality Commission,31/01/2011,IT Managed Service,Registration,Specialist Computer Centres plc,EFT8002007           ,67041.8
