Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Total
Department of Health,Care Quality Commission,08/06/2011,Agency Non Medical,OD & HR Total,Carlisle Managed Solutions,EFT8003670,7913.11
Department of Health,Care Quality Commission,08/06/2011,Agency Non Medical,Operations Delivery Total,Carlisle Managed Solutions,EFT8003670,51343.06
Department of Health,Care Quality Commission,08/06/2011,Agency Non Medical,Registration Total,Carlisle Managed Solutions,EFT8003670,4071.88
Department of Health,Care Quality Commission,08/06/2011,Agency Non Medical,Regulatory Development Total,Carlisle Managed Solutions,EFT8003670,11444.4
Department of Health,Care Quality Commission,08/06/2011,Agency Non Medical,Strategic Marketing & Comms Total,Carlisle Managed Solutions,EFT8003670,19443.76
Department of Health,Care Quality Commission,08/06/2011,CSC Managed Service,Finance & Corporate Services Directorate,CSC Computer Science Ltd,EFT8003672           ,116692.54
Department of Health,Care Quality Commission,08/06/2011,IT-Int.Dev.SW-Ext.Bus.Sys.Anal,Finance & Corporate Services Directorate,Sapient,EFT8003695           ,46854
Department of Health,Care Quality Commission,08/06/2011,IT-Int.Dev.SW-Software Dev.,Finance & Corporate Services Directorate,Sapient,EFT8003695           ,184890
Department of Health,Care Quality Commission,08/06/2011,Legal Fees-Mid Staff Pub Enq,Governance & Legal,Bevan Brittan LLP,EFT8003667           ,59250.39
Department of Health,Care Quality Commission,08/06/2011,Storage - Fulfilment & Distribution,Strategic Marketing & Communications Directorate,Sterling Solutions,EFT8003697           ,35204
Department of Health,Care Quality Commission,10/06/2011,IT-Int.Dev.SW-Software Dev.,Finance & Corporate Services Directorate,Computacenter UK Limited,EFT8003716           ,192165.6
Department of Health,Care Quality Commission,10/06/2011,Rent,Commission Wide,Rockdell Property Management(Rent),EFT8003752           ,436088.25
Department of Health,Care Quality Commission,10/06/2011,Rent,Finance & Corporate Services Directorate,King Sturge LLP,EFT8003734           ,61050
Department of Health,Care Quality Commission,10/06/2011,Secondments from External Organisations,Commission Wide,Leicester County Council,EFT8003737           ,28322.4
Department of Health,Care Quality Commission,10/06/2011,Service Charges,Finance & Corporate Services Directorate,Rockdell Property Managment(Service Chg),EFT8003754           ,148061.58
Department of Health,Care Quality Commission,10/06/2011,Surveys,Strategic Marketing & Communications Directorate,Ipsos MORI,EFT8003729           ,44640
Department of Health,Care Quality Commission,10/06/2011,Utilities - Electricity,Finance & Corporate Services Directorate,Rockdell Property Managment(Electricity),EFT8003753           ,32854
Department of Health,Care Quality Commission,13/06/2011,IT Website - Redesign,Finance & Corporate Services Directorate,Steria Ltd,EFT8003781           ,69600
Department of Health,Care Quality Commission,15/06/2011,Agency Non Medical,Finance & CSD Total,Carlisle Managed Solutions,EFT8003794,21514.78
Department of Health,Care Quality Commission,15/06/2011,Agency Non Medical,Governance & Legal Total,Carlisle Managed Solutions,EFT8003794,781.39
Department of Health,Care Quality Commission,15/06/2011,Agency Non Medical,Intelligence Total,Carlisle Managed Solutions,EFT8003794,9882.91
Department of Health,Care Quality Commission,15/06/2011,Agency Non Medical,OD & HR Total,Carlisle Managed Solutions,EFT8003794,5351.64
Department of Health,Care Quality Commission,15/06/2011,Agency Non Medical,Operations Delivery Total,Carlisle Managed Solutions,EFT8003794,62298.72
Department of Health,Care Quality Commission,15/06/2011,Agency Non Medical,Registration Total,Carlisle Managed Solutions,EFT8003794,6952.39
Department of Health,Care Quality Commission,15/06/2011,Agency Non Medical,Strategic Marketing & Comms Total,Carlisle Managed Solutions,EFT8003794,18294.75
Department of Health,Care Quality Commission,15/06/2011,Internal Learning and Development,Registration,Catalyst Business Dynamics Limited,EFT8003795           ,34764
Department of Health,Care Quality Commission,15/06/2011,IT-Int.Dev.SW-External PM,Finance & Corporate Services Directorate,Sapient,EFT8003822           ,149928
Department of Health,Care Quality Commission,15/06/2011,IT-Int.Dev.SW-Software Dev.,Finance & Corporate Services Directorate,Sapient,EFT8003822           ,37890
Department of Health,Care Quality Commission,17/06/2011,Data Services,Finance & Corporate Services Directorate,Cable & Wireless,EFT8003842           ,39189.42
Department of Health,Care Quality Commission,17/06/2011,Expotel Control,Commission Wide,Expotel,EFT8003850           ,99084.46
Department of Health,Care Quality Commission,17/06/2011,External Learning and Development,Operations Delivery Directorate,Specialist Computer Centres plc (SCC),EFT8003869           ,34113.6
Department of Health,Care Quality Commission,17/06/2011,IT - Infrastructure Additions,Finance & Corporate Services Directorate,Sapient,EFT8003868           ,38724
Department of Health,Care Quality Commission,17/06/2011,IT-Int.Dev.SW-External PM,Finance & Corporate Services Directorate,Sapient,EFT8003868           ,31746
Department of Health,Care Quality Commission,17/06/2011,IT-Int.Dev.SW-Software Dev.,Finance & Corporate Services Directorate,Sapient,EFT8003868           ,55647
Department of Health,Care Quality Commission,17/06/2011,Rent,Finance & Corporate Services Directorate,Tustin Developments Limited,EFT8003874           ,32782.5
Department of Health,Care Quality Commission,22/06/2011,Agency Non Medical,Finance & CSD Total,Carlisle Managed Solutions,EFT8003910,21548.22
Department of Health,Care Quality Commission,22/06/2011,Agency Non Medical,Intelligence Total,Carlisle Managed Solutions,EFT8003910,15645.82
Department of Health,Care Quality Commission,22/06/2011,Agency Non Medical,OD & HR Total,Carlisle Managed Solutions,EFT8003910,11412.66
Department of Health,Care Quality Commission,22/06/2011,Agency Non Medical,Operations Delivery Total,Carlisle Managed Solutions,EFT8003910,63585.55
Department of Health,Care Quality Commission,22/06/2011,Agency Non Medical,Registration Total,Carlisle Managed Solutions,EFT8003910,44257.21
Department of Health,Care Quality Commission,22/06/2011,Agency Non Medical,Regulatory Development Total,Carlisle Managed Solutions,EFT8003910,1878.66
Department of Health,Care Quality Commission,22/06/2011,Agency Non Medical,Strategic Marketing & Comms Total,Carlisle Managed Solutions,EFT8003910,21814.26
Department of Health,Care Quality Commission,22/06/2011,IT - Internally Developed SW Additions,Intelligence Directorate,QinetiQ Ltd,EFT8003922           ,132000
Department of Health,Care Quality Commission,22/06/2011,Secondments from External Organisations,Operations Delivery Directorate,Specialist Computer Centres plc (SCC),EFT8003926           ,41789.16
Department of Health,Care Quality Commission,24/06/2011,CSC Managed Service,Finance & Corporate Services Directorate,CSC Computer Science Ltd,EFT8003939           ,439262.1
Department of Health,Care Quality Commission,24/06/2011,Internal Communications,Strategic Marketing & Communications Directorate,Nunwood Consulting Ltd,EFT8003948           ,92155.2
Department of Health,Care Quality Commission,27/06/2011,Agency Non Medical,Commission Wide,Veredus (Capita Resourcing Ltd),EFT8003977           ,30208.32
Department of Health,Care Quality Commission,29/06/2011,Agency Non Medical,Finance & CSD Total,Carlisle Managed Solutions,EFT8003985,16384.97
Department of Health,Care Quality Commission,29/06/2011,Agency Non Medical,Governance & Legal Total,Carlisle Managed Solutions,EFT8003985,1660.46
Department of Health,Care Quality Commission,29/06/2011,Agency Non Medical,Intelligence Total,Carlisle Managed Solutions,EFT8003985,12814.82
Department of Health,Care Quality Commission,29/06/2011,Agency Non Medical,OD & HR Total,Carlisle Managed Solutions,EFT8003985,5286
Department of Health,Care Quality Commission,29/06/2011,Agency Non Medical,Operations Delivery Total,Carlisle Managed Solutions,EFT8003985,64111.16
Department of Health,Care Quality Commission,29/06/2011,Agency Non Medical,Registration Total,Carlisle Managed Solutions,EFT8003985,3428.97
Department of Health,Care Quality Commission,29/06/2011,Agency Non Medical,Regulatory Development Total,Carlisle Managed Solutions,EFT8003985,4426.32
Department of Health,Care Quality Commission,29/06/2011,Agency Non Medical,Strategic Marketing & Comms Total,Carlisle Managed Solutions,EFT8003985,23167.38
Department of Health,Care Quality Commission,29/06/2011,CSC Homeworker Charges,Finance & Corporate Services Directorate,CSC Computer Science Ltd,EFT8003987           ,108622.65
Department of Health,Care Quality Commission,29/06/2011,Legal Fees-Mid Staff Pub Enq,Governance & Legal,Mills & Reeve (Norwich),EFT8003995           ,121664.59
Department of Health,Care Quality Commission,29/06/2011,Mobile Running Costs,Finance & Corporate Services Directorate,Vodafone Corporate,EFT8004001           ,25096.43
Department of Health,Care Quality Commission,30/06/2011,Facilities Management,Finance & Corporate Services Directorate,Europa,EFT8004020           ,36776.17
Department of Health,Care Quality Commission,30/06/2011,Rates Control,Commission Wide,Bristol City Council,316258,6424
Department of Health,Care Quality Commission,30/06/2011,Rates Control,Commission Wide,Leeds City Council,316257,8747
Department of Health,Care Quality Commission,30/06/2011,Rates Control,Commission Wide,Preston City Council,326259,4590
