Department Family,Entity,Date,,,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Strategic Marketing & Comms,CARLISLE MANAGED SOLUTIONS,408481,"26,894.22",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Commission Wide,CARLISLE MANAGED SOLUTIONS,408488,"3,559.86",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,408488,"24,520.23",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Governance and Legal,CARLISLE MANAGED SOLUTIONS,408488,"5,703.48",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Intelligence,CARLISLE MANAGED SOLUTIONS,408488,"13,559.96",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,OD & HR,CARLISLE MANAGED SOLUTIONS,408488,"13,211.16",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Operations Delivery,CARLISLE MANAGED SOLUTIONS,408488,"23,985.38",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Regulatory Development ,CARLISLE MANAGED SOLUTIONS,408488,"10,908.91",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Strategic Marketing & Comms,CARLISLE MANAGED SOLUTIONS,408488,"29,021.24",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Consultation Mechanism,Intelligence,PICKER INSTITUTE EUROPE,411277,"61,142.92",Surveys
Department of Health,Care Quality Commission,31/03/2012,Data Lines,Finance and CSD,CABLE & WIRELESS UK,422605,"37,671.20",IT Telecommunications
Department of Health,Care Quality Commission,31/03/2012,Data Lines,Finance and CSD,CABLE & WIRELESS UK,422611,"39,046.70",IT Telecommunications
Department of Health,Care Quality Commission,31/03/2012,Contract Maintenance Grounds Gardens Land,Finance and CSD,JONES LANG LASALLE,424784,"38,934.45",Service Charge
Department of Health,Care Quality Commission,31/03/2012,Insurance Services,Finance and CSD,JONES LANG LASALLE,424784,675,Insurance
Department of Health,Care Quality Commission,31/03/2012,FCM Control Account,Commission Wide,FCM TRAVEL SOLUTIONS,439802,"163,579.08",Travel
Department of Health,Care Quality Commission,31/03/2012,Contract Maintenance Grounds Gardens Land,Finance and CSD,CAPITA SYMONDS LTD,441459,"19,415.93",Service Charge
Department of Health,Care Quality Commission,31/03/2012,Rents,Finance and CSD,CAPITA SYMONDS LTD,441459,"56,954.10",Rent
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,450123,"18,662.39",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Intelligence,CARLISLE MANAGED SOLUTIONS,450123,"10,245.84",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,OD & HR,CARLISLE MANAGED SOLUTIONS,450123,"8,873.56",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Operations Delivery,CARLISLE MANAGED SOLUTIONS,450123,"17,850.80",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Regulatory Development ,CARLISLE MANAGED SOLUTIONS,450123,"6,258.83",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Strategic Marketing & Comms,CARLISLE MANAGED SOLUTIONS,450123,"18,889.99",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,User Involvement,Regulatory Development,CHOICE SUPPORT,451056,"30,521.50",User Involvement
Department of Health,Care Quality Commission,31/03/2012,FM Computer Contracts,Strategic Marketing & Comms,STERIA LTD,455783,"42,911.40",IT Managed Service
Department of Health,Care Quality Commission,31/03/2012,FM Computer Contracts,Strategic Marketing & Comms,STERIA LTD,455788,"95,796.00",IT Managed Service
Department of Health,Care Quality Commission,31/03/2012,FM Computer Contracts,Strategic Marketing & Comms,STERIA LTD,455793,"37,224.00",IT Managed Service
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,486806,"31,980.06",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Governance and Legal,CARLISLE MANAGED SOLUTIONS,486806,"3,000.00",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Intelligence,CARLISLE MANAGED SOLUTIONS,486806,"20,601.37",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,OD & HR,CARLISLE MANAGED SOLUTIONS,486806,"4,077.70",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Operations Delivery,CARLISLE MANAGED SOLUTIONS,486806,"16,319.38",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Regulatory Development ,CARLISLE MANAGED SOLUTIONS,486806,"9,629.86",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Strategic Marketing & Comms,CARLISLE MANAGED SOLUTIONS,486806,"14,762.44",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Expotel Control Account,Commission Wide,EXPOTEL HOTEL RESERVATIONS LTD,494794,"94,869.32",Hotels and Conferences
Department of Health,Care Quality Commission,31/03/2012,Expotel Control Account,Commission Wide,EXPOTEL HOTEL RESERVATIONS LTD,494808,"80,316.71",Hotels and Conferences
Department of Health,Care Quality Commission,31/03/2012,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,497158,"498,233.21",IT Managed Service
Department of Health,Care Quality Commission,31/03/2012,Rents,Finance and CSD,SNOWBALL DEVELOPMENTS LTD,511081,"27,000.00",Rent
Department of Health,Care Quality Commission,31/03/2012,FM Computer Contracts,Strategic Marketing & Comms,STERIA LTD,511458,"25,287.71",IT Managed Service
Department of Health,Care Quality Commission,31/03/2012,Conferences and Seminars,Strategic Marketing & Comms,LEWISLIVE LTD,518577,"76,327.12",Conferences and Seminars
