Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,03/02/2012,Agency Staff,Intelligence,CARLISLE MANAGED SOLUTIONS,210093,"9,974.25",Agency Staff
Department of Health,Care Quality Commission,04/02/2012,Agency Staff,OD & HR,CARLISLE MANAGED SOLUTIONS,210093,"11,070.54",Agency Staff
Department of Health,Care Quality Commission,05/02/2012,Agency Staff,Operations Delivery,CARLISLE MANAGED SOLUTIONS,210093,"24,719.77",Agency Staff
Department of Health,Care Quality Commission,06/02/2012,Agency Staff,Regulatory Development ,CARLISLE MANAGED SOLUTIONS,210093,"3,177.56",Agency Staff
Department of Health,Care Quality Commission,07/02/2012,Agency Staff,Strategic Marketing & Comms,CARLISLE MANAGED SOLUTIONS,210093,"22,908.91",Agency Staff
Department of Health,Care Quality Commission,31/01/2012,Rent,Finance and CSD,SNOWBALL DEVELOPMENTS LTD,210506,"27,000.00",Rent
Department of Health,Care Quality Commission,31/01/2012,Contr Other External,Finance and CSD,PHOENIX SOFTWARE LTD,210666,"34,577.52",IT Services
Department of Health,Care Quality Commission,31/01/2012,Consultation Mechanism,Commission Wide,PICKER INSTITUTE EUROPE,210669,"61,142.92",Surveys
Department of Health,Care Quality Commission,31/01/2012,Agency Staff,Commission Wide,CARLISLE MANAGED SOLUTIONS,217327,"1,224.04",Agency Staff
Department of Health,Care Quality Commission,01/02/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,217327,"12,371.42",Agency Staff
Department of Health,Care Quality Commission,02/02/2012,Agency Staff,Intelligence,CARLISLE MANAGED SOLUTIONS,217327,"2,583.22",Agency Staff
Department of Health,Care Quality Commission,03/02/2012,Agency Staff,OD & HR,CARLISLE MANAGED SOLUTIONS,217327,"3,957.66",Agency Staff
Department of Health,Care Quality Commission,04/02/2012,Agency Staff,Operations Delivery,CARLISLE MANAGED SOLUTIONS,217327,"10,905.08",Agency Staff
Department of Health,Care Quality Commission,05/02/2012,Agency Staff,Regulatory Development ,CARLISLE MANAGED SOLUTIONS,217327,"7,880.12",Agency Staff
Department of Health,Care Quality Commission,06/02/2012,Agency Staff,Strategic Marketing & Comms,CARLISLE MANAGED SOLUTIONS,217327,"8,931.18",Agency Staff
Department of Health,Care Quality Commission,31/01/2012,Professional Services,Finance and CSD,PA CONSULTING SERVICES LTD,217512,"51,840.00",Professional Services
Department of Health,Care Quality Commission,31/01/2012,IT-Int.Dev.SW-Software Dev.,Strategic Marketing & Comms,SAPIENT LTD,217517,"4,203.50",Intangible Assets
Department of Health,Care Quality Commission,31/01/2012,Contr Estate Management,Finance and CSD,DEPARTMENT OF HEALTH,217523,"64,993.39",Service Charge
Department of Health,Care Quality Commission,31/01/2012,Contr Other External,Finance and CSD,TRUSTMARQUE SOLUTIONS LTD,220067,"214,111.20",IT Managed Services
Department of Health,Care Quality Commission,31/01/2012,FCM Control Account,Commission Wide,FCM,770320,"93,625.61",Travel
Department of Health,Care Quality Commission,31/01/2012,IT-Int.Dev.SW-Software Dev.,Strategic Marketing & Comms,SAPIENT LTD,221737,"35,460.00",Intangible Assets
Department of Health,Care Quality Commission,31/01/2012,Rent,Finance and CSD,NB REAL ESTATE,224193,"9,492.35",Rent
Department of Health,Care Quality Commission,31/01/2012,Service Charge,Finance and CSD,NB REAL ESTATE,224193,"3,235.99",Service Charge
Department of Health,Care Quality Commission,31/01/2012,Legal / Prof Fees,Governance and Legal,MILLS & REEVE LLP,224195,"35,954.88",Contracted Lawyers/Legal Fees
Department of Health,Care Quality Commission,31/01/2012,FM Computer Contracts,Finance and CSD,CONTAINCO LTD,224985,"25,748.40",IT Managed Services
Department of Health,Care Quality Commission,31/01/2012,Expotel Control,Commission Wide,Expotel,226849,"44,294.06",Hotels and Conferences
Department of Health,Care Quality Commission,31/01/2012,Expotel Control,Commission Wide,Expotel,226850,"26,721.03",Hotels and Conferences
Department of Health,Care Quality Commission,31/01/2012,Agency Staff,Commission Wide,CARLISLE MANAGED SOLUTIONS,229589,"1,914.41",Agency Staff
Department of Health,Care Quality Commission,01/02/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,229589,"19,627.63",Agency Staff
Department of Health,Care Quality Commission,02/02/2012,Agency Staff,Governance and Legal,CARLISLE MANAGED SOLUTIONS,229589,"1,875.00",Agency Staff
Department of Health,Care Quality Commission,03/02/2012,Agency Staff,Intelligence,CARLISLE MANAGED SOLUTIONS,229589,"11,315.04",Agency Staff
Department of Health,Care Quality Commission,04/02/2012,Agency Staff,OD & HR,CARLISLE MANAGED SOLUTIONS,229589,"2,089.36",Agency Staff
Department of Health,Care Quality Commission,05/02/2012,Agency Staff,Operations Delivery,CARLISLE MANAGED SOLUTIONS,229589,"17,545.35",Agency Staff
Department of Health,Care Quality Commission,06/02/2012,Agency Staff,Regulatory Development ,CARLISLE MANAGED SOLUTIONS,229589,"8,245.91",Agency Staff
Department of Health,Care Quality Commission,07/02/2012,Agency Staff,Strategic Marketing & Comms,CARLISLE MANAGED SOLUTIONS,229589,"18,503.97",Agency Staff
Department of Health,Care Quality Commission,31/01/2012,Consultation Mechanism,Commission Wide,PICKER INSTITUTE EUROPE,230143,"39,333.60",Surveys
Department of Health,Care Quality Commission,31/01/2012,Data Services,Finance and CSD,CABLE & WIRELESS UK,233023,"39,189.42",IT Telecommunications
Department of Health,Care Quality Commission,31/01/2012,CSC Managed Services,Finance and CSD,CSC COMPUTER SCIENCES LTD,233252,"446,863.91",IT Managed Services
Department of Health,Care Quality Commission,31/01/2012,Agency Staff,Commission Wide,CARLISLE MANAGED SOLUTIONS,234710,"3,451.86",Agency Staff
Department of Health,Care Quality Commission,01/02/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,234710,"23,309.30",Agency Staff
Department of Health,Care Quality Commission,02/02/2012,Agency Staff,Governance and Legal,CARLISLE MANAGED SOLUTIONS,234710,"2,281.39",Agency Staff
Department of Health,Care Quality Commission,03/02/2012,Agency Staff,Intelligence,CARLISLE MANAGED SOLUTIONS,234710,"12,812.21",Agency Staff
Department of Health,Care Quality Commission,04/02/2012,Agency Staff,OD & HR,CARLISLE MANAGED SOLUTIONS,234710,"14,598.66",Agency Staff
Department of Health,Care Quality Commission,05/02/2012,Agency Staff,Operations Delivery,CARLISLE MANAGED SOLUTIONS,234710,"25,652.06",Agency Staff
Department of Health,Care Quality Commission,06/02/2012,Agency Staff,Regulatory Development ,CARLISLE MANAGED SOLUTIONS,234710,"4,789.06",Agency Staff
Department of Health,Care Quality Commission,07/02/2012,Agency Staff,Strategic Marketing & Comms,CARLISLE MANAGED SOLUTIONS,234710,"31,356.47",Agency Staff
Department of Health,Care Quality Commission,31/01/2012,FM Computer Contracts,Finance and CSD,NHS SHARED BUSINESS SERVICES LTD,236857,"168,000.00",IT Managed Services
