Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,28/02/2013,Intangible Assets,Commission Wide,SAPIENT LTD,3663569,"119,283.00",Intangible Assets
Department of Health,Care Quality Commission,28/02/2013,Experts by Experience,Regulatory Development,AGE UK,3664677,"80,970.00",Acting Together - Involvement
Department of Health,Care Quality Commission,28/02/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3677613,"158,401.62",Agency Staff
Department of Health,Care Quality Commission,28/02/2013,Intangible Assets,Commission Wide,SAPIENT LTD,3683584,"43,524.00",Intangible Assets
Department of Health,Care Quality Commission,28/02/2013,Intangible Assets,Commission Wide,SAPIENT LTD,3683610,"59,202.00",Intangible Assets
Department of Health,Care Quality Commission,28/02/2013,Intangible Assets,Commission Wide,SAPIENT LTD,3683617,"31,914.00",Intangible Assets
Department of Health,Care Quality Commission,28/02/2013,Intangible Assets,Commission Wide,SAPIENT LTD,3683647,"28,047.00",Intangible Assets
Department of Health,Care Quality Commission,28/02/2013,Intangible Assets,Commission Wide,SAPIENT LTD,3683669,"28,518.00",Intangible Assets
Department of Health,Care Quality Commission,28/02/2013,Intangible Assets,Commission Wide,SAPIENT LTD,3683674,"40,326.00",Intangible Assets
Department of Health,Care Quality Commission,28/02/2013,Intangible Assets,Commission Wide,SAPIENT LTD,3683686,"76,488.00",Intangible Assets
Department of Health,Care Quality Commission,28/02/2013,Hotels and Conferences,Commission Wide,EXPOTEL HOTEL RESERVATIONS LTD,3696926,"110,848.36",Hotels and Conferences
Department of Health,Care Quality Commission,28/02/2013,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,3714408,"623,463.08",IT Managed Service
