Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Year_Period
Ministry of Justice,CAFCASS,17/09/2014,Service Charge,HQ,Irwin Mitchell,PINV/00371059,"14,390.55",SUITE 2/3 BHAM RENT/SERV 24/06-28/09/14,2015/06
Ministry of Justice,CAFCASS,17/09/2014,Service Charge,HQ,Irwin Mitchell,PINVP/00001293,"14,390.55",SUITE 2/3 BHAM RENT/SERV 29/09-24/12/14,2015/06
Ministry of Justice,CAFCASS,19/09/2014,Rent,HQ,Land Registry,PINVP/00001297,"22,005.70",HULL RENT/SERV CHG 01/08/14 - 31/03/15,2015/06
Ministry of Justice,CAFCASS,19/09/2014,Service Charge,HQ,Land Registry,PINVP/00001297,"12,435.70",HULL RENT/SERV CHG 01/08/14 - 31/03/15,2015/06
Ministry of Justice,CAFCASS,22/09/2014,Rent,HQ,University of Warwick Science Park,PINVP/00001299,"29,225.00",NBC RENT/SERV CHG OCT 14,2015/06
Ministry of Justice,CAFCASS,22/09/2014,Service Charge,HQ,University of Warwick Science Park,PINVP/00001299,"3,098.40",NBC RENT/SERV CHG OCT 14,2015/06
Ministry of Justice,CAFCASS,01/10/2014,Mobile Call Charges,HQ,Vodafone,CINV/00000370,374.88,Vodafone September 14,2015/06
Ministry of Justice,CAFCASS,01/10/2014,Mobile Call Charges,Op Service Areas,Vodafone,CINV/00000370,"3,548.96",Vodafone September 14,2015/06
Ministry of Justice,CAFCASS,01/10/2014,Mobile Phone Rental,HQ,Vodafone,CINV/00000370,"2,463.68",Vodafone September 14,2015/06
Ministry of Justice,CAFCASS,01/10/2014,Mobile Phone Rental,Op Service Areas,Vodafone,CINV/00000370,"26,528.23",Vodafone September 14,2015/06
