Dept Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number ,Amount
CLG,FSC,08/04/2010,Relocation - Seconded (NT) ,Human Resources,Julian Fountaine,PIN079201,1615.62
CLG,FSC,08/04/2010,Seconded Salary,Default Cost Centre,Norfolk County Council,PIN079280,12722.28
CLG,FSC,08/04/2010,Fireground Consumables,Ops-Fireground,Thomas Gaden,PIN079220,1000
CLG,FSC,09/04/2010,Maintenance - Consumables ,Prop & Maint Costs,Bio-Lab UK,PIN079483,5.2
CLG,FSC,09/04/2010,Maintenance - Consumables ,Prop & Maint Costs,Bio-Lab UK,PIN079483,11.82
CLG,FSC,09/04/2010,Maintenance - Consumables ,Prop & Maint Costs,Bio-Lab UK,PIN079483,12.24
CLG,FSC,09/04/2010,Maintenance - Consumables ,Prop & Maint Costs,Bio-Lab UK,PIN079483,14.46
CLG,FSC,09/04/2010,Maintenance - Consumables ,Prop & Maint Costs,Bio-Lab UK,PIN079483,22
CLG,FSC,09/04/2010,Maintenance - Consumables ,Prop & Maint Costs,Bio-Lab UK,PIN079483,198.96
CLG,FSC,09/04/2010,Maintenance - Consumables ,Prop & Maint Costs,Bio-Lab UK,PIN079483,226.98
CLG,FSC,09/04/2010,Maintenance - Consumables ,Prop & Maint Costs,Bio-Lab UK,PIN079483,323.6
CLG,FSC,09/04/2010,USAR consumables,USAR,E.C.Hopkins Limited,PIN079724,8.88
CLG,FSC,09/04/2010,USAR consumables,USAR,E.C.Hopkins Limited,PIN079724,625
CLG,FSC,09/04/2010,USAR consumables,USAR,E.C.Hopkins Limited,PIN079724,730.12
CLG,FSC,09/04/2010,USAR consumables,USAR,E.C.Hopkins Limited,PIN079724,1375.34
CLG,FSC,09/04/2010,"Fgnd Eqpt, etc - Purchases",USAR,Lyon Equipment,PIN079375,597.2
CLG,FSC,12/04/2010,Marketing - Exhibitions,Marketing,Central Fire Station,PIN079267,180
CLG,FSC,12/04/2010,Marketing - Exhibitions,Marketing,Central Fire Station,PIN079267,690
CLG,FSC,12/04/2010,Agency Costs (Admin),IT Section,Hays Information Technology,PIN079196,360
CLG,FSC,12/04/2010,Agency Costs (Admin),IT Section,Hays Information Technology,PIN079196,634.5
CLG,FSC,12/04/2010,"Petrol, Oil, Tyres",Ops-Fireground,Pace Fuelcare Ltd,PIN079348,9415.81
CLG,FSC,12/04/2010,"Petrol, Oil, Tyres",Ops-Fireground,Pace Fuelcare Ltd,PIN079349,10214
CLG,FSC,12/04/2010,Travel - Other,Firefighter Training,Robert Rearie,PIN079155,576
CLG,FSC,12/04/2010,Travel - Other,Internat'al Business,SDO John Lowe,PIN079157,877.3
CLG,FSC,12/04/2010,Vehicles - Consumables,Ops-Workshops,Wurth UK Limited,PIN079339,735.36
CLG,FSC,13/04/2010,Admin - Stationery,Facilities Costs,Blenheim Colour Ltd,PIN080196,640
CLG,FSC,13/04/2010,Natural Gas,Facilities Costs,Corona Energy,PIN079296,27078.66
CLG,FSC,13/04/2010,USAR consumables,USAR,G.B Civil Engineering,PIN079256,1888.02
CLG,FSC,13/04/2010,USAR consumables,USAR,G.B Civil Engineering,PIN079256,3470.72
CLG,FSC,13/04/2010,Scrap Vehicles,Ops-Fireground,John Lamb,PIN079198,1800
CLG,FSC,13/04/2010,Retentions,Default Cost Centre,Smith's (Gloucester) Limited,PIN079402,-1784.56
CLG,FSC,13/04/2010,Reactive Maintenance,Capital Costs,Smith's (Gloucester) Limited,PIN079402,35691.16
CLG,FSC,13/04/2010,Legal Fees,Facilities Costs,Veale Wasbrough Vizards,PIN079707,600
CLG,FSC,14/04/2010,Seconded Salary,Default Cost Centre,Bristol City Council,PIN079328,17175.21
CLG,FSC,14/04/2010,Other Professional Fees,Facilities Costs,Cotswold District Council,PIN079268,500
CLG,FSC,14/04/2010,Statutory Maintenance,Prop & Maint Costs,Trent Valley Restoration UK Ltd,PIN079300,2699.9
CLG,FSC,15/04/2010,Seconded Salary,Default Cost Centre,Dumfries & Galloway Council,PIN079329,11083.93
CLG,FSC,15/04/2010,Travel - Course Delivery,Incident Management,Expotel Hotel Reservations Ltd,PIN079291,1.2
CLG,FSC,15/04/2010,Travel - Course Delivery,Incident Management,Expotel Hotel Reservations Ltd,PIN079291,4.23
CLG,FSC,15/04/2010,Travel - Course Delivery,Incident Management,Expotel Hotel Reservations Ltd,PIN079291,1520
CLG,FSC,15/04/2010,Agency Costs (Admin),CSSC - FRS FS Trng,Hays Sales & Marketing,PIN079673,1305
CLG,FSC,15/04/2010,Payroll Fees,Human Resources,Home Office Pay & Pension Service,PIN079227,1092.75
CLG,FSC,15/04/2010,Scrap Vehicles,Ops-Fireground,John Lamb,PIN079357,1800
CLG,FSC,15/04/2010,IT Printers - Consumables & Maintenance,IT Section,Kelway UK Ltd.,PIN079371,119
CLG,FSC,15/04/2010,IT Printers - Consumables & Maintenance,IT Section,Kelway UK Ltd.,PIN079371,209
CLG,FSC,15/04/2010,IT Printers - Consumables & Maintenance,IT Section,Kelway UK Ltd.,PIN079371,525
CLG,FSC,15/04/2010,Books,Library,The Stationery Office Ltd   A/C 853300030,PIN079379,964.06
CLG,FSC,16/04/2010,Reactive Maintenance,Facilities Costs,Mansell Construction Services Ltd,PIN079284,16702.76
CLG,FSC,16/04/2010,Seconded Salary,Default Cost Centre,Merseyside Fire & Rescue Authority,PIN079282,2853.95
CLG,FSC,16/04/2010,Seconded Salary,Default Cost Centre,Merseyside Fire & Rescue Authority,PIN079281,18139.76
CLG,FSC,16/04/2010,Seconded Salary,Default Cost Centre,Norfolk County Council,PCR003874,-12722.28
CLG,FSC,16/04/2010,Seconded Salary,Default Cost Centre,Norfolk County Council,PIN079306,13557.3
CLG,FSC,16/04/2010,"VL,AT,RP Fees",Incident Management,Principea Consulting Ltd,PIN079359,800
CLG,FSC,19/04/2010,USAR consumables,USAR,BMD Fabrications Ltd.,PIN079305,450
CLG,FSC,19/04/2010,USAR consumables,USAR,BMD Fabrications Ltd.,PIN079305,960
CLG,FSC,19/04/2010,"Student - Travel, etc",Transport,ETC Private Hire & Chauffeur Services,PIN079604,1050
CLG,FSC,19/04/2010,Consultancy,National Resilience,Hanover Associates (UK) Ltd,PIN079873,3162.28
CLG,FSC,19/04/2010,Consultancy,National Resilience,Hanover Associates (UK) Ltd,PIN079916,3715.68
CLG,FSC,20/04/2010,"Petrol, Oil, Tyres",Ops-Fireground,BP LPG UK,PIN079692,13.56
CLG,FSC,20/04/2010,"Petrol, Oil, Tyres",Ops-Fireground,BP LPG UK,PIN079692,865.45
CLG,FSC,20/04/2010,Seconded Salary,Default Cost Centre,Devon Fire Authority,PIN079330,32991.96
CLG,FSC,20/04/2010,Core Fixed Costs,Int Facilities Mgmt,Europa Facilities Management Ltd,PCR003922,-81275.33
CLG,FSC,20/04/2010,IT Software - Purchases,Head Policy & Media,PastPerfect Software Inc,PIN079764,32.11
CLG,FSC,20/04/2010,IT Software - Purchases,Head Policy & Media,PastPerfect Software Inc,PIN079764,264.28
CLG,FSC,20/04/2010,IT Software - Purchases,Head Policy & Media,PastPerfect Software Inc,PIN079764,621.42
CLG,FSC,20/04/2010,L&B - WIP,Default Cost Centre,Veale Wasbrough Vizards,PIN079396,708
CLG,FSC,20/04/2010,L&B - WIP,Default Cost Centre,Veale Wasbrough Vizards,PIN079396,708
CLG,FSC,21/04/2010,Agency Costs (Admin),IT Section,Hays Information Technology,PIN079361,900
CLG,FSC,21/04/2010,Agency Costs (Admin),IT Section,Hays Information Technology,PIN079362,900
CLG,FSC,21/04/2010,"Petrol, Oil, Tyres",Ops-Fireground,Pace Fuelcare Ltd,PIN079404,3080.4
CLG,FSC,21/04/2010,Legal Fees,Facilities Costs,Veale Wasbrough Vizards,PIN079766,622
CLG,FSC,22/04/2010,"Student - Travel, etc",Transport,Bakers Commercial Services Ltd.,PIN079608,1050
CLG,FSC,22/04/2010,Rechargeable Costs,Internat'al Business,Fire Protection Association,PIN079983,10
CLG,FSC,22/04/2010,Rechargeable Costs,Internat'al Business,Fire Protection Association,PIN079983,99.5
CLG,FSC,22/04/2010,Rechargeable Costs,Internat'al Business,Fire Protection Association,PIN079983,99.5
CLG,FSC,22/04/2010,Rechargeable Costs,Internat'al Business,Fire Protection Association,PIN079983,99.5
CLG,FSC,22/04/2010,Rechargeable Costs,Internat'al Business,Fire Protection Association,PIN079983,289.95
CLG,FSC,22/04/2010,Agency Costs (Admin),Business Planning,Michael Page International,PIN079463,1200
CLG,FSC,22/04/2010,Agency Costs (Admin),Business Planning,Michael Page International,PIN079464,1200
CLG,FSC,22/04/2010,Agency Costs (Admin),Business Planning,Michael Page International,PIN079631,1200
CLG,FSC,22/04/2010,Agency Costs (Admin),Business Planning,Michael Page International,PIN079630,1600
CLG,FSC,22/04/2010,Agency Costs (Admin),Library,Sue Hill Recruitment & Services Ltd,PIN079509,509.47
CLG,FSC,23/04/2010,Prepayments,IT Section,Dell Corporation Ltd,PIN079441,-500
CLG,FSC,23/04/2010,Prepayments,IT Section,Dell Corporation Ltd,PIN079441,3840
CLG,FSC,23/04/2010,"VL,AT,RP Fees",Incident Management,Fisher Scoggins LLP,PIN079440,851.84
CLG,FSC,23/04/2010,"VL,AT,RP Fees",Hazmats,HazmatLINK Ltd,PIN079403,500
CLG,FSC,23/04/2010,"VL,AT,RP Fees",Hazmats,HazmatLINK Ltd,PIN079403,500
CLG,FSC,23/04/2010,"VL,AT,RP Fees",Hazmats,HazmatLINK Ltd,PIN079403,500
CLG,FSC,23/04/2010,"VL,AT,RP Fees",Hazmats,HazmatLINK Ltd,PIN079403,500
CLG,FSC,23/04/2010,"VL,AT,RP Fees",Hazmats,HazmatLINK Ltd,PIN079403,500
CLG,FSC,26/04/2010,Water Charges,Facilities Costs,ADSM Plc,PIN080144,6466.78
CLG,FSC,26/04/2010,Barclaycard - Travel & Subs,UKFRS RMT,Company Barclaycard Business,PPI004601,19.16
CLG,FSC,26/04/2010,Barclaycard - Travel & Subs,Dir. of Serv. Deliv.,Company Barclaycard Business,PPI004601,31.7
CLG,FSC,26/04/2010,Barclaycard - Travel & Subs,Internat'al Business,Company Barclaycard Business,PPI004601,103.99
CLG,FSC,26/04/2010,Barclaycard - Travel & Subs,Internat'al Business,Company Barclaycard Business,PPI004601,168.6
CLG,FSC,26/04/2010,Barclaycard - Travel & Subs,USAR,Company Barclaycard Business,PPI004601,253.5
CLG,FSC,26/04/2010,Barclaycard - Travel & Subs,Directors,Company Barclaycard Business,PPI004601,546.8
CLG,FSC,26/04/2010,Barclaycard - Travel & Subs,Head Policy & Media,Company Barclaycard Business,PPI004601,634.13
CLG,FSC,26/04/2010,Barclaycard - Travel & Subs,Internat'al Business,Company Barclaycard Business,PPI004601,4041.83
CLG,FSC,26/04/2010,Agency Costs (Admin),Chief Info. Officer,Computer People,PIN079511,13934.5
CLG,FSC,26/04/2010,Seconded Salary,Default Cost Centre,Devon Fire Authority,PCR003876,-907.49
CLG,FSC,26/04/2010,Electricity,Facilities Costs,EDF Electricity (Was London Electricity Plc),PCR003878,-22640.03
CLG,FSC,26/04/2010,Electricity,Facilities Costs,EDF Electricity (Was London Electricity Plc),PIN079456,22484.21
CLG,FSC,26/04/2010,Reactive Maintenance,Prop & Maint Costs,Edmundsons Electrical Ltd,PIN079576,33.2
CLG,FSC,26/04/2010,Reactive Maintenance,Prop & Maint Costs,Edmundsons Electrical Ltd,PIN079576,357.6
CLG,FSC,26/04/2010,Reactive Maintenance,Prop & Maint Costs,Edmundsons Electrical Ltd,PIN079576,390
CLG,FSC,26/04/2010,Membership Fees,Internat'al Business,Fire Industry Association Ltd (FIA),PIN079469,1175
CLG,FSC,26/04/2010,Consultancy,Incident Management,Hanover Associates (UK) Ltd,PIN079520,675
CLG,FSC,26/04/2010,Relocation - Seconded (NT) ,Human Resources,Keith Morrison,PIN079421,2300
CLG,FSC,26/04/2010,IT - WIP,Default Cost Centre,Logicalis UK Limited,PIN079517,815.31
CLG,FSC,26/04/2010,IT - WIP,Default Cost Centre,Logicalis UK Limited,PIN079517,5352.49
CLG,FSC,26/04/2010,"VL,AT,RP Fees",CSSC - FRS FS Trng,NPIA,PIN079416,300
CLG,FSC,26/04/2010,"VL,AT,RP Fees",CSSC - FRS FS Trng,NPIA,PIN079416,2785
CLG,FSC,26/04/2010,"VL,AL,VF Hotels & Meals",CSSC - FRS FS Trng,Paul Harrison Fire Safety Consultancy Ltd,PIN079763,87.2
CLG,FSC,26/04/2010,"VL,AL,VF Hotels & Meals",CSSC - FRS FS Trng,Paul Harrison Fire Safety Consultancy Ltd,PIN079763,423
CLG,FSC,26/04/2010,"VL,AT,RP Fees",CSSC - FRS FS Trng,Paul Harrison Fire Safety Consultancy Ltd,PIN079763,2200
CLG,FSC,27/04/2010,"VL,AT,RP Fees",High Potential Lship,Alison Charlotte Hume,PIN079666,168.05
CLG,FSC,27/04/2010,"VL,AT,RP Fees",High Potential Lship,Alison Charlotte Hume,PIN079666,1500
CLG,FSC,27/04/2010,"Student - Travel, etc",Transport,Bakers Commercial Services Ltd.,PIN079609,525
CLG,FSC,27/04/2010,"VL,AT,RP Fees",Incident Management,CodexR Ltd,PIN079500,11901.6
CLG,FSC,27/04/2010,Agency Costs (Admin),Dir of Sales&Mrkting,Odgersinterim,PIN079590,22500
CLG,FSC,27/04/2010,Consultancy,Director of Finance,Terry Price Associates,PIN079705,668
CLG,FSC,28/04/2010,"Petrol, Oil, Tyres",Ops-Fireground,BP LPG UK,PIN079521,1711.66
CLG,FSC,28/04/2010,"Compressed Air, Cooling & Ventilation",Prop & Maint Costs,Central Compressor Consultants Ltd.,PIN080241,727.14
CLG,FSC,28/04/2010,Audit Fees,Risk & Governance,DCLG,PIN080356,8145.41
CLG,FSC,28/04/2010,Postal Charges,Internat'al Business,DHL Express UK ltd,PIN079484,149.52
CLG,FSC,28/04/2010,Postal Charges,Internat'al Business,DHL Express UK ltd,PIN079484,815.78
CLG,FSC,28/04/2010,Catering - Other,Int Facilities Mgmt,Europa Facilities Management Ltd,PIN079819,4909.89
CLG,FSC,28/04/2010,Catering - Hospitality,Int Facilities Mgmt,Europa Facilities Management Ltd,PIN079819,24879.3
CLG,FSC,28/04/2010,Catering - Meals,Int Facilities Mgmt,Europa Facilities Management Ltd,PIN079819,51038.59
CLG,FSC,28/04/2010,Agency Costs (Admin),IT Section,Hays Information Technology,PIN079459,900
CLG,FSC,28/04/2010,IT - WIP,Default Cost Centre,Logicalis UK Limited,PIN079478,937.5
CLG,FSC,28/04/2010,Agency Costs (Admin),Director of Finance,Odgersinterim,PIN079591,12626.7
CLG,FSC,28/04/2010,Reactive Maintenance,Int Facilities Mgmt,T.W.O. Services Ltd,PIN079637,750
CLG,FSC,28/04/2010,IT - WIP,Default Cost Centre,Viglen Ltd.,PIN079501,23
CLG,FSC,28/04/2010,IT - WIP,Default Cost Centre,Viglen Ltd.,PIN079502,708
CLG,FSC,28/04/2010,IT - WIP,Default Cost Centre,Viglen Ltd.,PIN079501,750
CLG,FSC,28/04/2010,IT - WIP,Default Cost Centre,Viglen Ltd.,PIN079501,1011
CLG,FSC,28/04/2010,IT - WIP,Default Cost Centre,Viglen Ltd.,PIN079501,1025
CLG,FSC,28/04/2010,IT - WIP,Default Cost Centre,Viglen Ltd.,PIN079502,1220
CLG,FSC,28/04/2010,IT - WIP,Default Cost Centre,Viglen Ltd.,PIN079501,1440
CLG,FSC,28/04/2010,IT - WIP,Default Cost Centre,Viglen Ltd.,PIN079501,1784
CLG,FSC,28/04/2010,IT - WIP,Default Cost Centre,Viglen Ltd.,PIN079501,1900
CLG,FSC,28/04/2010,IT - WIP,Default Cost Centre,Viglen Ltd.,PIN079501,1980
CLG,FSC,28/04/2010,IT - WIP,Default Cost Centre,Viglen Ltd.,PIN079501,2100
CLG,FSC,28/04/2010,IT - WIP,Default Cost Centre,Viglen Ltd.,PIN079501,2470
CLG,FSC,28/04/2010,IT - WIP,Default Cost Centre,Viglen Ltd.,PIN079502,3985
CLG,FSC,28/04/2010,IT - WIP,Default Cost Centre,Viglen Ltd.,PIN079502,4230
CLG,FSC,28/04/2010,IT - WIP,Default Cost Centre,Viglen Ltd.,PIN079501,6175
CLG,FSC,28/04/2010,IT - WIP,Default Cost Centre,Viglen Ltd.,PIN079501,6870
CLG,FSC,28/04/2010,IT - WIP,Default Cost Centre,Viglen Ltd.,PIN079501,7350
CLG,FSC,28/04/2010,IT - WIP,Default Cost Centre,Viglen Ltd.,PIN079501,15355
CLG,FSC,29/04/2010,USAR consumables,USAR,Air Products PLC,PIN079556,127.24
CLG,FSC,29/04/2010,USAR consumables,USAR,Air Products PLC,PIN079556,640.34
CLG,FSC,29/04/2010,USAR consumables,USAR,Building and Plumbing Supplies Ltd.,PIN079568,96.93
CLG,FSC,29/04/2010,USAR consumables,USAR,Building and Plumbing Supplies Ltd.,PIN079568,480
CLG,FSC,29/04/2010,USAR consumables,USAR,Building and Plumbing Supplies Ltd.,PIN079568,549.5
CLG,FSC,29/04/2010,USAR consumables,USAR,Building and Plumbing Supplies Ltd.,PIN079568,569.03
CLG,FSC,29/04/2010,USAR consumables,USAR,Building and Plumbing Supplies Ltd.,PIN079568,737.5
CLG,FSC,29/04/2010,"VL,AT,RP Fees",Incident Management,Consultancy Services Ltd.,PIN079919,1371.5
CLG,FSC,29/04/2010,Agency Costs (Admin),CSSC - FRS FS Trng,Hays Sales & Marketing,PIN079672,1450
CLG,FSC,29/04/2010,VAT Payments/Refunds,Default Cost Centre,HM Revenue & Customs,PIN079467,67803.49
CLG,FSC,29/04/2010,Agency Costs (Admin),Director of Finance,Odgersinterim,PIN079592,700
CLG,FSC,29/04/2010,L&B - WIP,Default Cost Centre,Peter Evans Partnership,PIN079727,1275.31
CLG,FSC,29/04/2010,"VL,AT,RP Fees",High Potential Lship,Serco Limited,PIN079780,500
CLG,FSC,29/04/2010,Consultancy,Dir of Sales&Mrkting,Stephen Copley,PCR003888,-1950
CLG,FSC,29/04/2010,Consultancy,Dir of Sales&Mrkting,Stephen Copley,PIN079466,1950
CLG,FSC,29/04/2010,Agency Costs (Admin),Library,Sue Hill Recruitment & Services Ltd,PIN079508,531.05
CLG,FSC,30/04/2010,Other Professional Fees,Cent. For Leadership,ASK Europe,PIN079972,1985.88
CLG,FSC,30/04/2010,L&B - WIP,Default Cost Centre,BRD Environmental Ltd,PIN079490,1320
CLG,FSC,30/04/2010,Statutory Maintenance,Prop & Maint Costs,Cotswold Technical Services,PIN079498,8800
CLG,FSC,30/04/2010,IT Consultancies,Directors,Dbi Consulting,PIN079567,2620
CLG,FSC,30/04/2010,Reactive Maintenance,Prop & Maint Costs,Edmundsons Electrical Ltd,PIN079577,11.16
CLG,FSC,30/04/2010,Reactive Maintenance,Prop & Maint Costs,Edmundsons Electrical Ltd,PIN079577,100.8
CLG,FSC,30/04/2010,Reactive Maintenance,Prop & Maint Costs,Edmundsons Electrical Ltd,PIN079577,160.8
CLG,FSC,30/04/2010,Reactive Maintenance,Prop & Maint Costs,Edmundsons Electrical Ltd,PIN079577,388.8
CLG,FSC,30/04/2010,Core Variable Costs,Int Facilities Mgmt,Europa Facilities Management Ltd,PIN079821,12151.5
CLG,FSC,30/04/2010,Core Fixed Costs,Int Facilities Mgmt,Europa Facilities Management Ltd,PIN079818,69170.49
CLG,FSC,30/04/2010,Rechargeable Costs,Estates Contracts,Expotel Hotel Reservations Ltd,PIN079856,3360.58
CLG,FSC,30/04/2010,Planned Maintenance,Facilities Costs,Hydroflow Ltd,PIN079598,590
CLG,FSC,30/04/2010,External Course/Seminar Delivery,USAR,Mines Rescue Services Ltd,PIN080053,750
CLG,FSC,30/04/2010,"VL,AT,RP Fees",OGA,Mines Rescue Services Ltd,PIN080053,750
CLG,FSC,30/04/2010,Media - Student Stationery,Publications,Office Depot UK Ltd,PIN079731,939.41
CLG,FSC,30/04/2010,Admin - Stationery,Facilities Costs,Office Depot UK Ltd,PIN079699,1408.76
CLG,FSC,30/04/2010,Heating & Hot Water,Prop & Maint Costs,QTS Associates Ltd,PIN079553,1956.24
CLG,FSC,30/04/2010,"Heating Planned, Water Softeners",Prop & Maint Costs,QTS Associates Ltd,PIN079553,1956.24
CLG,FSC,01/05/2010,Prepayments,Business Management,British Quality Foundation,PIN079279,587.5
CLG,FSC,01/05/2010,Electricity,Facilities Costs,EDF Electricity (Was London Electricity Plc),PIN079513,17729.31
CLG,FSC,01/05/2010,Marketing - Exhibitions,Marketing,Emergency Services (MMC) Ltd,PIN079677,2070
CLG,FSC,01/05/2010,Catering - Hospitality,Int Facilities Mgmt,Europa Facilities Management Ltd,PCR003889,-6715
CLG,FSC,01/05/2010,Telephone Charges,IT Section,Kcom,PIN079572,717
CLG,FSC,01/05/2010,IT Hardware - Rental,IT Section,Star Technology Services Ltd.,PIN079747,3779.66
CLG,FSC,01/05/2010,Water Hygiene & Pollution Control,Prop & Maint Costs,WCS Environmental Ltd,PIN079686,1315.95
CLG,FSC,04/05/2010,"VL,AT,RP Fees",Incident Management,KA C&CC,PIN079643,4833.63
CLG,FSC,04/05/2010,Postal Charges,Facilities Costs,Neopost Ltd,PIN079489,500
CLG,FSC,04/05/2010,Postal Charges,Facilities Costs,Neopost Ltd,PIN079489,500
CLG,FSC,04/05/2010,Books,Library,SAI Global,PIN079514,693.34
CLG,FSC,05/05/2010,IT - WIP,Default Cost Centre,Dell Corporation Ltd,PIN079648,2363.6
CLG,FSC,05/05/2010,Non-Fgnd Training - Eqpt Purchases,Estate Support,S P Services (UK) Ltd.,PIN079588,0.04
CLG,FSC,05/05/2010,Non-Fgnd Training - Eqpt Purchases,Estate Support,S P Services (UK) Ltd.,PIN079588,535.8
CLG,FSC,05/05/2010,"Fgnd Eqpt, etc - Rental",USAR,Wiltshire College,PIN079781,684
CLG,FSC,05/05/2010,"VL,AT,RP Fees",USAR,Wiltshire College,PIN079781,9352.51
CLG,FSC,06/05/2010,Sundry low value purchase,Resourcing,Barclays HMG Procurement Card,PPI004615,261.97
