DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|POSTCODE
Department for Transport|Department for Transport|02/08/2013|Car Hire and Leasing|Motoring Services|#|2000009583|904.02|#|SE11 6UL
Department for Transport|Department for Transport|02/08/2013|Cars Maintenance|Motoring Services|CAMBRIA AUTOMOBILES SOUTH EAST LTD|2000009581|534.61|#|CR2 6EE
Department for Transport|Department for Transport|02/08/2013|Computer Consumables|Rail Commercial Contracts|XMA LIMITED GOSC|2000009579|532.58|#|NG11 7EP
Department for Transport|Department for Transport|02/08/2013|Computer Consumables|Rail Commercial Contracts|XMA LIMITED GOSC|2000009579|578.8|#|NG11 7EP
Department for Transport|Department for Transport|02/08/2013|Contract Cleaning|Marine Accident Investigation Branch|PROGRESS CLEANING SERVICES|2000009546|702|#|SO30 2FQ
Department for Transport|Department for Transport|02/08/2013|Data Supply - TD|Transport Direct and Travel information|INRIX MEDIA LTD|2000009571|18499.2|#|WA14 1EP
Department for Transport|Department for Transport|02/08/2013|Data Supply - TD|Transport Direct and Travel information|LANDMARK INFORMATION GROUP LTD|2000009558|10593.6|#|EX2 7HY
Department for Transport|Department for Transport|02/08/2013|Data Supply - TD|Transport Direct and Travel information|ORDNANCE SURVEY|2000009560|3633.28|#|SO16 4XH
Department for Transport|Department for Transport|02/08/2013|Eurotunnel Admin Pay|Rail Commercial Contracts|SNCF CAISSE GENERALE|2000009545|6069306.91|SNCF GBP July13|75008
Department for Transport|Department for Transport|02/08/2013|Eurotunnel Admin Pay|Rail Commercial Contracts|SNCF TRESORERIE ENC RHT VFE|2000009544|6720715.45|SNCF EURO JULY13|75014
Department for Transport|Department for Transport|02/08/2013|IT Ser Running Costs|Business Transformation|CENTERPRISE INTERNATIONAL LIMITED|2000009574|2101.16|#|RG24 8GQ
Department for Transport|Department for Transport|02/08/2013|IT Ser Running Costs|Refran Prog Off|CONNECT INTERNET SOLUTIONS LTD|2000009554|4240.8|#|L2 6SG
Department for Transport|Department for Transport|02/08/2013|IT Ser Running Costs|Refran Prog Off|CONNECT INTERNET SOLUTIONS LTD|2000009554|1620|#|L2 6SG
Department for Transport|Department for Transport|02/08/2013|Legal Consultancy|Rail and Road Projects|C M S CAMERON MCKENNA|2000009551|595.08|#|EC1A 4DD
Department for Transport|Department for Transport|02/08/2013|Legal Consultancy|Rail Commercial Contracts|Eversheds LLP|2000009572|3682.8|#|EC2V 7WS
Department for Transport|Department for Transport|02/08/2013|Office Fur & Equip|Maritime|CAPITA SYMONDS LTD|2000009552|1440|#|DL1 9HN
Department for Transport|Department for Transport|02/08/2013|Printing|Business Transformation|WILLIAMS LEA LIMITED|2000009577|2134.4|#|NR3 1PD
Department for Transport|Department for Transport|02/08/2013|Printing|Business Transformation|WILLIAMS LEA LIMITED|2000009577|4970.6|#|NR3 1PD
Department for Transport|Department for Transport|02/08/2013|Printing|Air Accident Investigation Branch|WILLIAMS LEA LIMITED|2000009577|2739|#|NR3 1PD
Department for Transport|Department for Transport|02/08/2013|Printing|Air Accident Investigation Branch|WILLIAMS LEA LIMITED|2000009577|1993.73|#|NR3 1PD
Department for Transport|Department for Transport|02/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009577|1194.86|#|NR3 1PD
Department for Transport|Department for Transport|02/08/2013|Property Maintenance|Rail Accident Investigation Branch|INTERSERVE|2000009575|766.81|#|BS32 4NH
Department for Transport|Department for Transport|02/08/2013|Publications for Res|Roads|THE STATIONERY OFFICE LTD|2000009567|4256.16|#|NR3 1PD
Department for Transport|Department for Transport|02/08/2013|Publications for Res|DASH|CREATIVE CHOICE CIC|2000009576|1629|#|SW1H 0DJ
Department for Transport|Department for Transport|02/08/2013|Research|Aviation|STEER DAVIES & GLEAVE LTD|2000009565|20225|#|SE1 9PD
Department for Transport|Department for Transport|02/08/2013|Room Hire|Rail|Retro Catering Ltd|2000009563|1680|#|SW1V 3JY
Department for Transport|Department for Transport|02/08/2013|Secondments|Roads|FREIGHT TRANSPORT ASSOCIATION|2000009556|7399.2|#|TN4 9UZ
Department for Transport|Department for Transport|02/08/2013|Secondments|Roads|FREIGHT TRANSPORT ASSOCIATION|2000009556|7399.2|#|TN4 9UZ
Department for Transport|Department for Transport|02/08/2013|Subsidies Private Se|Local|TREASURY SOLICITOR (CLIENT MONIES)|2000009585|8028.01|TSOL (Ref Z1310958/KRR/B5)|WC2B 4TS
Department for Transport|Department for Transport|02/08/2013|Support Services|Aviation|CIVIL AVIATION AUTHORITY|2000009553|424000|#|RH10 0YR
Department for Transport|Department for Transport|02/08/2013|Support Services|DASH|ENVIRONMENTAL SCIENTIFICS GROUP LTD|2000009547|4612.8|#|DE15 0YZ
Department for Transport|Department for Transport|02/08/2013|Support Services|Aviation|BAE SYSTEMS (OPERATIONS) LTD|2000009550|29632.8|#|NP15 1XL
Department for Transport|Department for Transport|02/08/2013|Support Services|Aviation|CIVIL AVIATION AUTHORITY|2000009553|78750|#|RH10 0YR
Department for Transport|Department for Transport|02/08/2013|Support Services|Aviation|CIVIL AVIATION AUTHORITY|2000009553|80000|#|RH10 0YR
Department for Transport|Department for Transport|02/08/2013|Support Services|Aviation|CIVIL AVIATION AUTHORITY|2000009553|40000|#|RH10 0YR
Department for Transport|Department for Transport|02/08/2013|Training|Aviation Security |#|2000009559|507|#|TW9 3HB
Department for Transport|Department for Transport|02/08/2013|Transport  Consult|Rail and Road Projects|PARSONS BRINCKERHOFF LTD|2000009561|90131.15|#|NE4 7YQ
Department for Transport|Department for Transport|02/08/2013|Transport  Consult|Rail and Road Projects|PARSONS BRINCKERHOFF LTD|2000009561|34004.15|#|NE4 7YQ
Department for Transport|Department for Transport|02/08/2013|Transport  Consult|Rail Commercial Contracts|PARSONS BRINCKERHOFF LTD|2000009561|7147.61|#|NE4 7YQ
Department for Transport|Department for Transport|02/08/2013|Transport  Consult|Refran Prog Off|PARSONS BRINCKERHOFF LTD|2000009561|20309.04|#|NE4 7YQ
Department for Transport|Department for Transport|02/08/2013|Travel Exp Overseas|DASH|ENVIRONMENTAL SCIENTIFICS GROUP LTD|2000009547|719.91|#|DE15 0YZ
Department for Transport|Department for Transport|02/08/2013|Treasury Solicitors|General Counsel's Office|TREASURY SOLICITOR|2000009584|16408.8|#|WC2B 4TS
Department for Transport|Department for Transport|02/08/2013|Treasury Solicitors|General Counsel's Office|TREASURY SOLICITOR|2000009584|29763.18|#|WC2B 4TS
Department for Transport|Department for Transport|05/08/2013|Agency Staff Costs|Business Transformation|MICHAEL PAGE INTERNATIONAL|2000009690|2699.89|#|SL1 3SA
Department for Transport|Department for Transport|05/08/2013|Agency Staff Costs|Permanent Secretary|NETWORKERS INTERNATIONAL (UK) PLC|2000009694|-1104.9|#|BR1 1HP
Department for Transport|Department for Transport|05/08/2013|Agency Staff Costs|Permanent Secretary|NETWORKERS INTERNATIONAL (UK) PLC|2000009694|1094.82|#|BR1 1HP
Department for Transport|Department for Transport|05/08/2013|Agency Staff Costs|Rail Commercial Contracts|CAPITA RESOURCING LTD|2000009691|15504|#|DL1 9HN
Department for Transport|Department for Transport|05/08/2013|Agency Staff Costs|Rail Commercial Contracts|CAPITA RESOURCING LTD|2000009691|19416|#|DL1 9HN
Department for Transport|Department for Transport|05/08/2013|Agency Staff Costs|Rail Commercial Contracts|EXPERIS LTD|2000009685|1124.98|#|EC1R 3DR
Department for Transport|Department for Transport|05/08/2013|Agency Staff Costs|Rail Commercial Contracts|MICHAEL PAGE INTERNATIONAL|2000009690|3540.24|#|SL1 3SA
Department for Transport|Department for Transport|05/08/2013|Agency Staff Costs|Local|EXPERIS LTD|2000009685|2235.3|#|EC1R 3DR
Department for Transport|Department for Transport|05/08/2013|Agency Staff Costs|Rail|EXPERIS LTD|2000009685|7700.64|#|EC1R 3DR
Department for Transport|Department for Transport|05/08/2013|Agency Staff Costs|Rail|EXPERIS LTD|2000009685|2383.38|#|EC1R 3DR
Department for Transport|Department for Transport|05/08/2013|Agency Staff Costs|Rail|EXPERIS LTD|2000009685|2695.22|#|EC1R 3DR
Department for Transport|Department for Transport|05/08/2013|Agency Staff Costs|Roads|EXPERIS LTD|2000009685|4687.38|#|EC1R 3DR
Department for Transport|Department for Transport|05/08/2013|Agency Staff Costs|Group Finance|NETWORKERS INTERNATIONAL (UK) PLC|2000009694|868.74|#|BR1 1HP
Department for Transport|Department for Transport|05/08/2013|Agency Staff Costs|DASH|EXPERIS LTD|2000009685|11785.49|#|EC1R 3DR
Department for Transport|Department for Transport|05/08/2013|Agency Staff Costs|Refran Prog Off|CAPITA RESOURCING LTD|2000009691|3763.26|#|DL1 9HN
Department for Transport|Department for Transport|05/08/2013|Agency Staff Costs|Refran Prog Off|CAPITA RESOURCING LTD|2000009691|15785.59|#|DL1 9HN
Department for Transport|Department for Transport|05/08/2013|Agency Staff Costs|Group Finance|EXPERIS LTD|2000009685|4352.58|#|EC1R 3DR
Department for Transport|Department for Transport|05/08/2013|Agency Staff Costs|Refran Prog Off|CAPITA RESOURCING LTD|2000009691|13183.64|#|DL1 9HN
Department for Transport|Department for Transport|05/08/2013|Agency Staff Costs|Refran Prog Off|EXPERIS LTD|2000009685|4470.72|#|EC1R 3DR
Department for Transport|Department for Transport|05/08/2013|Agency Staff Costs|Aviation|NETWORKERS INTERNATIONAL (UK) PLC|2000009694|754.38|#|BR1 1HP
Department for Transport|Department for Transport|05/08/2013|Cap Grt Pri Sec-Cos.|Local|BUSWAYS TRAVEL SERVICES LIMITED|2000009696|305600.5|Green Bus Fund Bus Operator Payment|PH1 5TW
Department for Transport|Department for Transport|05/08/2013|Cap Grt Pri Sec-Cos.|Greener Transport & International|neEnergy LTD|2000009707|1000|neE-EVG-0001 #1k|NE11 9D
Department for Transport|Department for Transport|05/08/2013|Computer equipment|Business Transformation|BT PLC|2000009682|3813.52|#|NE82 6AA
Department for Transport|Department for Transport|05/08/2013|CurrGrt Las in AEF/A|Rail|TRANSPORT FOR LONDON|2000009693|2208700.87|TfL LOROL Grant August 2013 Claim|SW1H 0TL
Department for Transport|Department for Transport|05/08/2013|Eurotunnel Admin Pay|Rail Commercial Contracts|EUROTUNNEL|2000009606|5279296.33|#|CT18 8XY
Department for Transport|Department for Transport|05/08/2013|Eurotunnel Admin Pay|Rail Commercial Contracts|EUROTUNNEL (EURO PAYMENTS)|2000009607|6026034.95|#|CT18 8X
Department for Transport|Department for Transport|05/08/2013|Financial Consultanc|Business Transformation|PRGX UK LIMITED|2000009695|2040|#|LU1 3LU
Department for Transport|Department for Transport|05/08/2013|IT Consultancy|Rail Commercial Contracts|ATOS IT SERVICES UK LTD|2000009681|2189.05|#|WV10 6UH
Department for Transport|Department for Transport|05/08/2013|IT Ser Running Costs|Transport Direct and Travel information|MENTZ DATENVERARBEITUNG GMBH|2000009677|19380|#|81675
Department for Transport|Department for Transport|05/08/2013|Legal Consultancy|Local|LAW COMMISSION|2000009697|25000|#|SW1H 9LJ
Department for Transport|Department for Transport|05/08/2013|Legal Consultancy|Rail and Road Projects|FRESHFIELDS|2000009692|585421.77|#|EC4Y 1HS
Department for Transport|Department for Transport|05/08/2013|Other Sprs - Ptoc|Rail Commercial Contracts|FIRST RAIL HOLDINGS LIMITED|2000009608|409000|FRH ICWC Bidding Costs|W1 1FG
Department for Transport|Department for Transport|05/08/2013|Publications for Res|Business Transformation|CREATIVE CHOICE CIC|2000009698|2185.5|#|SW1H 0DJ
Department for Transport|Department for Transport|05/08/2013|Publications for Res|Rail and Road Projects|THE STATIONERY OFFICE LTD|2000009688|1206.9|#|NR3 1PD
Department for Transport|Department for Transport|05/08/2013|Support Services|Air Accident Investigation Branch|Contego Safety Solutions LLP|2000009708|698.81|#|BN6 9LA
Department for Transport|Department for Transport|05/08/2013|Support Services|Air Accident Investigation Branch|Contego Safety Solutions LLP|2000009708|1375.73|#|BN6 9LA
Department for Transport|Department for Transport|05/08/2013|Support Services|Aviation|CIVIL AVIATION AUTHORITY|2000009684|10000|#|RH10 0YR
Department for Transport|Department for Transport|05/08/2013|Telephone charges|Air Accident Investigation Branch|VODAFONE LTD|2000009689|622.8|#|RG14 5FF
Department for Transport|Department for Transport|05/08/2013|Training|Air Accident Investigation Branch|HELI AIR LIMITED|2000009701|1016|#|CV35 9EU
Department for Transport|Department for Transport|05/08/2013|Training|Air Accident Investigation Branch|HELI AIR LIMITED|2000009701|825.5|#|CV35 9EU
Department for Transport|Department for Transport|05/08/2013|Training|Air Accident Investigation Branch|TAA UK LTD|2000009702|694.63|#|UB9 5DF
Department for Transport|Department for Transport|05/08/2013|Transport  Consult|Local|A F CRUDEN ASSOCIATES|2000009679|3158.4|#|IV1 1QU
Department for Transport|Department for Transport|05/08/2013|Transport  Consult|Rail Commercial Contracts|ATKINS LTD (TRANSPORT PLANNING)|2000009680|23943|#|WR5 1TX
Department for Transport|Department for Transport|06/08/2013|Agency Staff Costs|DASH|ADVANTAGE RESOURCING UK LTD|2000009777|5400|#|RG21 4FF
Department for Transport|Department for Transport|06/08/2013|Agency Staff Costs|DASH|ADVANTAGE RESOURCING UK LTD|2000009777|1080|#|RG21 4FF
Department for Transport|Department for Transport|06/08/2013|Agency Staff Costs|DASH|ADVANTAGE RESOURCING UK LTD|2000009777|1080|#|RG21 4FF
Department for Transport|Department for Transport|06/08/2013|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000009771|-3210|#|SL1 3SA
Department for Transport|Department for Transport|06/08/2013|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000009771|2662.2|#|SL1 3SA
Department for Transport|Department for Transport|06/08/2013|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000009771|4080|#|SL1 3SA
Department for Transport|Department for Transport|06/08/2013|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000009756|3384|#|KT3 4JQ
Department for Transport|Department for Transport|06/08/2013|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000009756|3384|#|KT3 4JQ
Department for Transport|Department for Transport|06/08/2013|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000009756|2707.2|#|KT3 4JQ
Department for Transport|Department for Transport|06/08/2013|Agency Staff Costs|Managing Director Motoring Services|BADENOCH & CLARK|2000009758|3705|#|EC4V 4BG
Department for Transport|Department for Transport|06/08/2013|Agency Staff Costs|Refran Prog Off|MICHAEL PAGE INTERNATIONAL|2000009771|660|#|SL1 3SA
Department for Transport|Department for Transport|06/08/2013|Agency Staff Costs|Rail Commercial Contracts|MICHAEL PAGE INTERNATIONAL|2000009771|2285.7|#|SL1 3SA
Department for Transport|Department for Transport|06/08/2013|Computer Consumables|Group Finance|XMA LIMITED GOSC|2000009781|180.48|CB381AC HP LJCM6040 CYAN|NG11 7EP
Department for Transport|Department for Transport|06/08/2013|Computer Consumables|Group Finance|XMA LIMITED GOSC|2000009781|180.48|CB382AC HP LJCM6040 YELLOW|NG11 7EP
Department for Transport|Department for Transport|06/08/2013|Computer Consumables|Group Finance|XMA LIMITED GOSC|2000009781|180.48|CB383AC HP LJCM6040 MAGENTA|NG11 7EP
Department for Transport|Department for Transport|06/08/2013|Computer Consumables|Group Finance|XMA LIMITED GOSC|2000009781|43.34|CB384A Hp (Cb384A) Or Compatible Black (|NG11 7EP
Department for Transport|Department for Transport|06/08/2013|Computer Consumables|Group Finance|XMA LIMITED GOSC|2000009781|65.42|CB390AC HP LJCM6040 BLACK|NG11 7EP
Department for Transport|Department for Transport|06/08/2013|Computer Consumables|Business Transformation|XMA LIMITED GOSC|2000009781|574.17|#|NG11 7EP
Department for Transport|Department for Transport|06/08/2013|Computer Consumables|Business Transformation|XMA LIMITED GOSC|2000009781|2492.88|#|NG11 7EP
Department for Transport|Department for Transport|06/08/2013|Computer Consumables|General Counsel's Office|XMA LIMITED GOSC|2000009781|579.24|#|NG11 7EP
Department for Transport|Department for Transport|06/08/2013|Computer equipment|Business Transformation|BEAVER SOLUTIONS|2000009759|1680|#|SG12 9PZ
Department for Transport|Department for Transport|06/08/2013|CurrGrt Las in AEF/A|London and Olympics|GREATER LONDON AUTHORITY|2000009755|76479000|#|SE1 2UT
Department for Transport|Department for Transport|06/08/2013|Data Supply - TD|Transport Direct and Travel information|EXPERIAN LTD|2000009763|720|#|NG80 1ZZ
Department for Transport|Department for Transport|06/08/2013|IT Equip Cap Cost|Commercial & Technical Services|Probrand Ltd|2000009757|2340.1|22 TFT Screens|B1 3BP
Department for Transport|Department for Transport|06/08/2013|IT Equip Cap Cost|Commercial & Technical Services|Probrand Ltd|2000009757|6|Shipping Charge|B1 3BP
Department for Transport|Department for Transport|06/08/2013|IT Ser Running Costs|Business Transformation|COMPUTACENTER|2000009770|5479.99|#|AL10 9TW
Department for Transport|Department for Transport|06/08/2013|Medical Advisory Ser|Group HR|HEALTH MANAGEMENT LTD|2000009764|3043.34|#|BN8 5NN
Department for Transport|Department for Transport|06/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009775|5099.42|#|NR3 1PD
Department for Transport|Department for Transport|06/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009775|424.6|#|NR3 1PD
Department for Transport|Department for Transport|06/08/2013|Publications for Res|DASH|CREATIVE CHOICE CIC|2000009774|602.5|#|SW1H 0DJ
Department for Transport|Department for Transport|06/08/2013|Publicity|Roads|TNS UK LTD|2000009768|14850|#|W5 1UA
Department for Transport|Department for Transport|06/08/2013|Services prov by OGD|Roads|VEHICLE CERTIFICATION AGENCY|2000009769|206625|#|BS5 6XX
Department for Transport|Department for Transport|06/08/2013|Small Software|Business Transformation|SOFTWARE BOX LTD|2000009766|144000|#|YO61 1ET
Department for Transport|Department for Transport|06/08/2013|Subsidies Private Se|Maritime|ROSPA ENTERPRISES LTD|2000009568|17504.3|Inland Water Safety Grant - August|B15 1RP
Department for Transport|Department for Transport|06/08/2013|Support Services|Aviation|CORNWALL AIRPORT LTD|2000009773|29988|#|TR8 4RQ
Department for Transport|Department for Transport|06/08/2013|Support Services|Greener Transport & International|BMT RELIABILITY CONSULTANTS LTD|2000009760|37708.5|#|PO15 5SU
Department for Transport|Department for Transport|06/08/2013|Support Services|Group Finance|EXEL UK LIMITED (STAFF TRAVEL)|2000009772|100107|#|RG12 1AN
Department for Transport|Department for Transport|06/08/2013|Training|Air Accident Investigation Branch|TAA UK LTD|2000009778|474.86|#|UB9 5DF
Department for Transport|Department for Transport|06/08/2013|Transport  Consult|Refran Prog Off|PARSONS BRINCKERHOFF LTD|2000009765|4800.51|#|NE4 7YQ
Department for Transport|Department for Transport|07/08/2013|Agency Staff Costs|Rail and Road Projects|EXPERIS LTD|2000009826|5835.78|#|EC1R 3DR
Department for Transport|Department for Transport|07/08/2013|Agency Staff Costs|Rail|EXPERIS LTD|2000009826|-5390.45|#|EC1R 3DR
Department for Transport|Department for Transport|07/08/2013|Agency Staff Costs|Highspeed 2|BADENOCH & CLARK|2000009823|1755.66|#|EC4V 4BG
Department for Transport|Department for Transport|07/08/2013|Agency Staff Costs|Highspeed 2|BADENOCH & CLARK|2000009823|1404.53|#|EC4V 4BG
Department for Transport|Department for Transport|07/08/2013|Agency Staff Costs|Refran Prog Off|MICHAEL PAGE INTERNATIONAL|100012706|2460.36|Match to credit note|SL1 3SA
Department for Transport|Department for Transport|07/08/2013|Agency Staff Costs|Refran Prog Off|MICHAEL PAGE INTERNATIONAL|100012706|-2460.36|Match to invoice|SL1 3SA
Department for Transport|Department for Transport|07/08/2013|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000009829|3942.84|#|SL1 3SA
Department for Transport|Department for Transport|07/08/2013|Other Professional F|Greener Transport & International|RICARDO - AEA LIMITED|2000009835|990|#|OX11 0PQ
Department for Transport|Department for Transport|07/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009834|845.9|#|NR3 1PD
Department for Transport|Department for Transport|07/08/2013|Prog&ProjMgmt Consul|Greener Transport & International|Moorhouse Consulting Limited|2000009833|47572.2|#|EC4V 5BT
Department for Transport|Department for Transport|07/08/2013|Prog&ProjMgmt Consul|DASH|PARSONS BRINCKERHOFF LTD|2000009827|85700.64|#|NE4 7YQ
Department for Transport|Department for Transport|07/08/2013|Prog&ProjMgmt Consul|DASH|PARSONS BRINCKERHOFF LTD|2000009827|88974.98|#|NE4 7YQ
Department for Transport|Department for Transport|07/08/2013|Prog&ProjMgmt Consul|DASH|PARSONS BRINCKERHOFF LTD|2000009827|34825.67|#|NE4 7YQ
Department for Transport|Department for Transport|07/08/2013|Publicity|Roads|TNS UK LTD|2000009828|33148.8|#|W5 1UA
Department for Transport|Department for Transport|07/08/2013|Subsidies Private Se|Local|ROLLING SOLUTIONS LTD|2000009837|49087.96|ROLLING SOLUTIONS T/A STRAWBERRY|ST14 7JD
Department for Transport|Department for Transport|07/08/2013|Support Services|Aviation|HUMBERSIDE INT AIRPORT LTD|2000009831|24210.6|#|DN39 6YH
Department for Transport|Department for Transport|07/08/2013|Support Services|Aviation|HUMBERSIDE INT AIRPORT LTD|2000009831|29988|#|DN39 6YH
Department for Transport|Department for Transport|07/08/2013|Traffic Survey & Cou|Roads|SKY HIGH PLC|100012705|19280|Match to credit note|LS24 9AB
Department for Transport|Department for Transport|07/08/2013|Traffic Survey & Cou|Roads|SKY HIGH PLC|100012705|11708|Match to credit note|LS24 9AB
Department for Transport|Department for Transport|07/08/2013|Traffic Survey & Cou|Roads|SKY HIGH PLC|100012705|27354|Match to credit note|LS24 9AB
Department for Transport|Department for Transport|07/08/2013|Traffic Survey & Cou|Roads|SKY HIGH PLC|100012705|-19280|Invoice 0000014424|LS24 9AB
Department for Transport|Department for Transport|07/08/2013|Traffic Survey & Cou|Roads|SKY HIGH PLC|100012705|-11708|Invoice 0000014426|LS24 9AB
Department for Transport|Department for Transport|07/08/2013|Traffic Survey & Cou|Roads|SKY HIGH PLC|100012705|-27354|Invoice 0000014427|LS24 9AB
