DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIERPOSTCODE
Department for Transport|Department for Transport|01/05/2014|Other Advertising|Local|PENNA COMMUNICATIONS|2000002650|9527.59|#|EC4M 7RD
Department for Transport|Department for Transport|01/05/2014|Other Advertising|Local|PENNA COMMUNICATIONS|2000002650|10557.51|#|EC4M 7RD
Department for Transport|Department for Transport|01/05/2014|Rail Travel|Group Finance|REDFERN TRAVEL LTD|2000002652|13147.43|Travel Statement  - Mar 2014|BD1 3AZ
Department for Transport|Department for Transport|01/05/2014|Recruitment Fees|Group Human Resource|H M TREASURY|2000002623|47520|#|SW1A 2HQ
Department for Transport|Department for Transport|01/05/2014|Research|Motoring, Freight & London|WSP UK Limited T/A WSP Civils|2000002642|75000|#|GL20 8SJ
Department for Transport|Department for Transport|01/05/2014|Research|Transport Security Strategy|DEFENCE SCIENCE & TECHNOLOGY|2000002632|22076.04|#|PO14 9HL
Department for Transport|Department for Transport|01/05/2014|Research|Transport Security Strategy|DEFENCE SCIENCE & TECHNOLOGY|2000002632|23941.2|#|PO14 9HL
Department for Transport|Department for Transport|01/05/2014|Research|Rail Strategy & Funding|ATKINS LTD (TRANSPORT PLANNING)|2000002627|53310|#|WR5 1TX
Department for Transport|Department for Transport|01/05/2014|Research|Rail Strategy & Funding|PARSONS BRINCKERHOFF LTD|2000002639|2682.56|#|NE4 7YQ
Department for Transport|Department for Transport|01/05/2014|Research|Major Projects & Growth|ATKINS LTD (TRANSPORT PLANNING)|2000002627|32990|#|WR5 1TX
Department for Transport|Department for Transport|01/05/2014|Research|Energy, Technology and International|Ricardo UK Ltd|2000002660|54154|#|BN43 5FG
Department for Transport|Department for Transport|01/05/2014|Research|Energy, Technology and International|Ricardo UK Ltd|2000002660|54403|#|BN43 5FG
Department for Transport|Department for Transport|01/05/2014|Services prov by OGD|Motoring, Freight & London|VEHICLE & OPERATOR SERVICES AGENCY|2000002624|150000|PO 8000123138|SA1 8AN
Department for Transport|Department for Transport|01/05/2014|Services prov by OGD|Motoring, Freight & London|VEHICLE & OPERATOR SERVICES AGENCY|2000002624|4457326|#|SA1 8AN
Department for Transport|Department for Transport|01/05/2014|Services prov by OGD|Motoring, Freight & London|VEHICLE & OPERATOR SERVICES AGENCY|2000002624|-150000|PO 8000123138|SA1 8AN
Department for Transport|Department for Transport|01/05/2014|Services prov by OGD|Rail Director's Office|Directly Operated Railways Ltd|2000002651|162638.95|#|EC4A 1BL
Department for Transport|Department for Transport|01/05/2014|Services prov by OGD|Transport Security Strategy|DEFENCE BUSINESS SERVICES|2000002655|2035.1|#|YO10 4AS
Department for Transport|Department for Transport|01/05/2014|Small Software|Transport Direct&Travel|ATOS IT SERVICES UK LTD|2000002628|1066.8|#|WV10 6UH
Department for Transport|Department for Transport|02/04/2014|Support Services|General Counsel's Office|Thomson Snell & Passmore|2000000235|50000|Industrial Injury Claims|TN1 1NX
Department for Transport|Department for Transport|07/04/2014|Support Services|General Counsel's Office|Charles Lucas & Marshall|2000000571|86327.7|Industrial Injury Claims|RG14 5EU
Department for Transport|Department for Transport|10/04/2014|Support Services|General Counsel's Office|Webbers Specialist|2000000955|131771.7|Industrial Injury Claims|W4 4PH
Department for Transport|Department for Transport|24/04/2014|Support Services|General Counsel's Office|Boyes Turner LLP|2000002054|50000|Industrial Injury Claim BRB059170|RG1 3BD
Department for Transport|Department for Transport|24/04/2014|Support Services|General Counsel's Office|Charles Lucas & Marshall|2000002055|50000|Industrial Injury Claim BRB059076|RG14 5EU
Department for Transport|Department for Transport|08/04/2014|Support Services|General Counsel's Office|Slater & Gordon (UK) LLP Pannone|2000000692|61687|REPROCESS OF IND INJURY CLAIM|M3 2BU
Department for Transport|Department for Transport|01/05/2014|Support Services|General Counsel's Office|TREASURY SOLICITOR|2000002622|10.79|#|WC2B 4TS
Department for Transport|Department for Transport|01/05/2014|Support Services|General Counsel's Office|TREASURY SOLICITOR|2000002622|282.4|#|WC2B 4TS
Department for Transport|Department for Transport|01/05/2014|Support Services|Group Finance|EXEL PLC|2000002635|420000|#|MK40 2UB
Department for Transport|Department for Transport|01/05/2014|Support Services|Group Finance|RAILWAYS PENSION MANAGEMENT LT|2000002646|900000|#|DL3 6EH
Department for Transport|Department for Transport|01/05/2014|Support Services|Group Finance|RAILWAYS PENSION MANAGEMENT LT|2000002646|-900000|#|DL3 6EH
Department for Transport|Department for Transport|01/05/2014|Support Services|Group Finance|RAILWAYS PENSION MANAGEMENT LT|2000002646|985000|#|DL3 6EH
Department for Transport|Department for Transport|01/05/2014|Support Services|Policy, Legislation and Funding|TREASURY SOLICITOR|2000002622|300|#|WC2B 4TS
Department for Transport|Department for Transport|01/05/2014|Training|Energy, Technology and International|RICARDO CONSULTING ENGINEERS LTD|2000002640|795|#|BN43 5FG
Department for Transport|Department for Transport|01/05/2014|Transport  Consult|Transport Direct&Travel|ATOS IT SERVICES UK LTD|2000002628|8944.31|#|WV10 6UH
Department for Transport|Department for Transport|01/05/2014|Transport  Consult|Rail Commercial & Programme Office|Directly Operated Railways Ltd|2000002651|3864.98|#|EC4A 1BL
Department for Transport|Department for Transport|01/05/2014|Travel Booking Costs|Group Finance|REDFERN TRAVEL LTD|2000002652|791.85|Travel Statement  - Mar 2014|BD1 3AZ
Department for Transport|Department for Transport|01/05/2014|Treasury Solicitors|General Counsel's Office|TREASURY SOLICITOR|2000002622|2797.32|#|WC2B 4TS
Department for Transport|Department for Transport|01/05/2014|Treasury Solicitors|General Counsel's Office|TREASURY SOLICITOR|2000002622|947.44|#|WC2B 4TS
Department for Transport|Department for Transport|02/05/2014|Agency Staff Costs|Group Communication|MICHAEL PAGE INTERNATIONAL|2000002749|1103.95|#|SL1 3SA
Department for Transport|Department for Transport|02/05/2014|Agency Staff Costs|Group Finance|BADENOCH & CLARK|2000002735|3225.6|#|EC4V 4BG
Department for Transport|Department for Transport|02/05/2014|Agency Staff Costs|Group Finance|BADENOCH & CLARK|2000002735|4032|#|EC4V 4BG
Department for Transport|Department for Transport|02/05/2014|Agency Staff Costs|Group Finance|BADENOCH & CLARK|2000002735|3347.7|#|EC4V 4BG
Department for Transport|Department for Transport|02/05/2014|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000002749|2568|#|SL1 3SA
Department for Transport|Department for Transport|02/05/2014|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000002749|2304|#|SL1 3SA
Department for Transport|Department for Transport|02/05/2014|Agency Staff Costs|Local|EXPERIS LTD|2000002739|1780.42|#|EC1R 3DR
Department for Transport|Department for Transport|02/05/2014|Agency Staff Costs|Motoring Services|SPRING TECHNOLOGY LTD  ALSO T/A|2000002753|2545.92|#|B37 7YE
Department for Transport|Department for Transport|02/05/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000002750|1896|#|DL1 9HN
Department for Transport|Department for Transport|02/05/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000002750|13608|#|DL1 9HN
Department for Transport|Department for Transport|02/05/2014|Cap Grt Pri Sec-Cos.|Major Projects & Growth|CHILTERN RAILWAY|2000002754|104285|Chiltern Railway SSF13/14|HP20 2RX
Department for Transport|Department for Transport|02/05/2014|Car Hire and Leasing|Air Accident Investigation Branch|Victoria Gosden Travel Ltd|2000002761|1340.4|#|GU14 8NP
Department for Transport|Department for Transport|02/05/2014|Computer Consumables|Motoring Services|XMA LIMITED GOSC|2000002760|2263.2|#|NG11 7EP
Department for Transport|Department for Transport|02/05/2014|Computer equipment|Motoring Services|SPECIALIST COMPUTER CENTRES PLC|2000002752|13698.28|#|B11 2LE
Department for Transport|Department for Transport|02/05/2014|CurrGrtPriSec-P&NPIS|Motoring, Freight & London|CHILD ACCIDENT PREVENTION TRUST|2000002747|5865|CAPT QTR4 13-14|SW9 6DE
Department for Transport|Department for Transport|02/05/2014|CurrGrtPriSec-P&NPIS|Energy, Technology and International|ENERGY SAVING TRUST|2000002748|181175|EST Mar  #181,175 |SW1H 9BP
Department for Transport|Department for Transport|02/05/2014|CurrGrtPriSec-P&NPIS|Energy, Technology and International|LOW CARBON VEHICLE PARTNERSHIP|2000002756|33000|LowCVP April Claim #53,000 DfT/OLEV payment|SW1H 9JJ
Department for Transport|Department for Transport|02/05/2014|Data Supply - TD|Transport Direct&Travel|ATOS IT SERVICES UK LTD|2000002734|5528.16|#|WV10 6UH
Department for Transport|Department for Transport|02/05/2014|IT Ser Running Costs|Transport Direct&Travel|ATOS IT SERVICES UK LTD|2000002734|133044|#|WV10 6UH
Department for Transport|Department for Transport|02/05/2014|IT Ser Running Costs|Transport Direct&Travel|ATOS IT SERVICES UK LTD|2000002734|9073.2|#|WV10 6UH
Department for Transport|Department for Transport|02/05/2014|IT Ser Running Costs|Transport Direct&Travel|ATOS IT SERVICES UK LTD|2000002734|7164.1|#|WV10 6UH
Department for Transport|Department for Transport|02/05/2014|IT Ser Running Costs|Transport Direct&Travel|ATOS IT SERVICES UK LTD|2000002734|2660.4|#|WV10 6UH
Department for Transport|Department for Transport|02/05/2014|IT Ser Running Costs|Transport Direct&Travel|ATOS IT SERVICES UK LTD|2000002734|4339.2|#|WV10 6UH
Department for Transport|Department for Transport|02/05/2014|IT Ser Running Costs|Transport Direct&Travel|ATOS IT SERVICES UK LTD|2000002734|126136.8|#|WV10 6UH
Department for Transport|Department for Transport|02/05/2014|IT Ser Running Costs|Transport Direct&Travel|ATOS IT SERVICES UK LTD|2000002734|10418.4|#|WV10 6UH
Department for Transport|Department for Transport|02/05/2014|Legal Consultancy|Group Procurement & Estate|BLAKE LAPTHORN|2000002755|15485.45|Professional Estates fees|SO53 3LG
Department for Transport|Department for Transport|02/05/2014|Legal Consultancy|Rail Franchising|DLA PIPER UK LLP|2000002738|2545.92|#|M2 3DL
Department for Transport|Department for Transport|02/05/2014|Property Maintenance|Air Accident Investigation Branch|INTERSERVE|2000002758|22117.3|#|BS32 4NH
Department for Transport|Department for Transport|02/05/2014|Publications for Res|Aviation|CREATIVE CHOICE CIC|2000002759|1230|#|SW1H 0DJ
Department for Transport|Department for Transport|02/05/2014|Rates|Air Accident Investigation Branch|VODAFONE LTD|2000002746|4452.54|#|RG14 5FF
Department for Transport|Department for Transport|02/05/2014|Recruitment|Group Human Resource|HM REVENUE & CUSTOMS|2000002732|640.46|#|BN12 4XH
Department for Transport|Department for Transport|02/05/2014|Recruitment|Group Human Resource|HM REVENUE & CUSTOMS|2000002732|1148.03|#|BN12 4XH
Department for Transport|Department for Transport|02/05/2014|Recruitment|Group Human Resource|HM REVENUE & CUSTOMS|2000002732|6097.58|#|BN12 4XH
Department for Transport|Department for Transport|02/05/2014|Research|Aviation|CIVIL AVIATION AUTHORITY|2000002736|51175|#|RH10 0YR
Department for Transport|Department for Transport|02/05/2014|Security|Air Accident Investigation Branch|INTERSERVE|2000002758|2173.5|#|BS32 4NH
Department for Transport|Department for Transport|02/05/2014|Small Software|Marine Accident Investigation Branch|TRUSTMARQUE SOLUTIONS LTD|2000002743|641.27|MS Office 2013 MVL License|YO32 9WN
Department for Transport|Department for Transport|02/05/2014|Software Lic Cap|Transport Direct&Travel|ATOS IT SERVICES UK LTD|2000002734|23305.2|#|WV10 6UH
Department for Transport|Department for Transport|02/05/2014|Subsidies Private Se|Energy, Technology and International|LOW CARBON VEHICLE PARTNERSHIP|2000002756|20000|LowCVP April Claim #53,000 DfT/OLEV payment|SW1H 9JJ
Department for Transport|Department for Transport|02/05/2014|Support Services|General Counsel's Office|Asons Solicitors Ltd|2000002762|57000|INDUSTRIAL INJURY CLAIMS|BL1 2AX
Department for Transport|Department for Transport|02/05/2014|Support Services|Group Finance|DD ACCRAILWAY PENS TRUSTEE|2000002751|3290.51|#|DL3 6XR
Department for Transport|Department for Transport|02/05/2014|Support Services|Group Finance|DD ACCRAILWAY PENS TRUSTEE|2000002751|720.9|#|DL3 6XR
Department for Transport|Department for Transport|02/05/2014|Telephone charges|Air Accident Investigation Branch|BT PAYMENT SERVICES LTD|2000002744|3690|#|DH98 1BT
Department for Transport|Department for Transport|02/05/2014|Telephone charges|Air Accident Investigation Branch|VODAFONE LTD|2000002746|-0.01|#|RG14 5FF
Department for Transport|Department for Transport|02/05/2014|Transport  Consult|Transport Direct&Travel|ATOS IT SERVICES UK LTD|2000002734|26860.8|#|WV10 6UH
Department for Transport|Department for Transport|02/05/2014|Transport  Consult|Local|OVE ARUP & PARTNERS|2000002740|8092.28|#|NE1 3PL
Department for Transport|Department for Transport|06/05/2014|Agency Staff Costs|Group Human Resource|HAYS PERSONNEL SERVICE LTD|2000002815|2140.8|#|KT3 4JQ
Department for Transport|Department for Transport|06/05/2014|Agency Staff Costs|Group Finance|BADENOCH & CLARK|2000002819|3347.7|#|EC4V 4BG
Department for Transport|Department for Transport|06/05/2014|Agency Staff Costs|Group Human Resource|REED SPECIALIST RECRUITMENT LTD|2000002824|715.2|#|SW20 0BA
Department for Transport|Department for Transport|06/05/2014|Agency Staff Costs|Rail Commercial & Programme Office|CAPITA RESOURCING LTD|2000002827|10493.93|#|DL1 9HN
Department for Transport|Department for Transport|06/05/2014|Agency Staff Costs|Rail Strategy & Funding|CAPITA RESOURCING LTD|2000002827|3220.8|#|DL1 9HN
Department for Transport|Department for Transport|06/05/2014|Agency Staff Costs|Motoring Services|SPRING TECHNOLOGY LTD  ALSO T/A|100004709|3182.4|#|B37 7YE
Department for Transport|Department for Transport|06/05/2014|Agency Staff Costs|Motoring Services|SPRING TECHNOLOGY LTD  ALSO T/A|100004709|-3182.4|#|B37 7YE
Department for Transport|Department for Transport|06/05/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000002827|5273.28|#|DL1 9HN
Department for Transport|Department for Transport|06/05/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000002827|3792|#|DL1 9HN
Department for Transport|Department for Transport|06/05/2014|Agency Staff Costs|Rail Franchising|MICHAEL PAGE INTERNATIONAL|2000002826|1999.8|#|SL1 3SA
Department for Transport|Department for Transport|06/05/2014|Cap Grt Loc Auth|Local|Wirral Council|2000002832|279000|Additional Highway Maintenance Block for 2014/15|CH41 6BU
Department for Transport|Department for Transport|06/05/2014|Cap Grt Loc Auth|Local|Wirral Council|2000002832|674750|Highway Maintenance Block - 2014/15 Quarter 1|CH41 6BU
Department for Transport|Department for Transport|06/05/2014|Cap Grt Loc Auth|Local|Wirral Council|2000002832|133742|Severe Weather Maintenance - Capital Allocation|CH41 6BU
Department for Transport|Department for Transport|06/05/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Harvey Electrical Services|2000002839|30989.3|Harvey Electrical Services March 2014 #31k|DL1 5TE
Department for Transport|Department for Transport|06/05/2014|Catering|Group Finance|COMPASS GROUP UK & IRELAND|2000002816|580.08|#|B45 9PZ
Department for Transport|Department for Transport|06/05/2014|Conferences / Semina|Rail Franchising|QE II CONFERENCE CENTRE|2000002821|2603.31|#|SW1P 3EE
Department for Transport|Department for Transport|06/05/2014|CurrGrt Las in AEF/A|Local|Wirral Council|2000002841|14536|Wirral Borough Council|CH41 6BU
Department for Transport|Department for Transport|06/05/2014|CurrGrt Las in AEF/A|Local|Wirral Council|2000002832|230705|Severe Weather Maintenance - Revenue Allocation|CH41 6BU
Department for Transport|Department for Transport|06/05/2014|Data Supply - TD|Transport Direct&Travel|INRIX MEDIA LTD|2000002828|18499.2|#|WA14 1EP
Department for Transport|Department for Transport|06/05/2014|Data Supply - TD|Transport Direct&Travel|Rail Settlement Plan|2000002822|1816.98|#|EC1A 4HD
Department for Transport|Department for Transport|06/05/2014|Eurotunnel Admin Pay|Rail Commercial & Programme Office|SNCF Caisse Generale|2000002813|5851531.88|SNCF FUNDS APRIL 2014 GBP|93633
Department for Transport|Department for Transport|06/05/2014|Eurotunnel Admin Pay|Rail Commercial & Programme Office|SNCF TRESORERIE ENC RHT VFE|2000002814|5271030.6|SNCF TRESORERIE ENC RHT VFE|75014
Department for Transport|Department for Transport|06/05/2014|Financial Consultanc|Rail Franchising|PRICEWATERHOUSECOOPERS LLP|2000002820|73551.53|#|E14 9SQ
Department for Transport|Department for Transport|06/05/2014|Investigation Servic|Rail Accident Investigation Branch|OPTICONSULTING LIMITED|2000002833|1014|#|SK23 9TR
Department for Transport|Department for Transport|06/05/2014|Manual Handling Equi|Motoring Services|Gemco Services Limited|2000002836|1725.21|#|HX2 6JB
Department for Transport|Department for Transport|06/05/2014|Publicity|Group Communication|ABBOTT MEAD VICKERS BBDO LTD|100004708|44400|#|NW1 5QE
Department for Transport|Department for Transport|06/05/2014|Publicity|Group Communication|ABBOTT MEAD VICKERS BBDO LTD|100004708|-44400|#|NW1 5QE
Department for Transport|Department for Transport|06/05/2014|Publicity|Strategy and Engagement|Good Relations Ltd|2000002840|61990|#|WC2A 1PQ
Department for Transport|Department for Transport|06/05/2014|Small Software|Motoring Services|INSIGHT DIRECT (UK) LTD|2000002817|598.27|1 x Adobe Photoshop CS6 licence|UB8 1PH
Department for Transport|Department for Transport|06/05/2014|Support Services|Air Accident Investigation Branch|RECOVAIR|2000002823|3652.8|#|GU24 8HU
Department for Transport|Department for Transport|06/05/2014|Training|Group Finance|BPP PROFESSIONAL EDUCATION LTD|100003056|1441.47|INT CREDIT NOTE ST 166501|W12 8AA
Department for Transport|Department for Transport|06/05/2014|Training|Group Finance|BPP PROFESSIONAL EDUCATION LTD|100003056|-1441.47|INT CREDIT NOTE ST 166501|W12 8AA
Department for Transport|Department for Transport|06/05/2014|Transport  Consult|Rail Franchising|ATKINS LTD (TRANSPORT PLANNING)|2000002818|32341.74|#|WR5 1TX
Department for Transport|Department for Transport|07/05/2014|Agency Staff Costs|Group Communication|MICHAEL PAGE INTERNATIONAL|2000002947|10799.55|#|SL1 3SA
Department for Transport|Department for Transport|07/05/2014|Agency Staff Costs|Group Communication|NETWORKERS INTERNATIONAL (UK) PLC|2000002950|810.82|#|BR1 1HP
Department for Transport|Department for Transport|07/05/2014|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000002947|2568|#|SL1 3SA
Department for Transport|Department for Transport|07/05/2014|Agency Staff Costs|Group Finance|NETWORKERS INTERNATIONAL (UK) PLC|2000002950|2714.88|#|BR1 1HP
Department for Transport|Department for Transport|07/05/2014|Agency Staff Costs|Rail Commercial & Programme Office|NETWORKERS INTERNATIONAL (UK) PLC|2000002950|3301.01|#|BR1 1HP
Department for Transport|Department for Transport|07/05/2014|Agency Staff Costs|Rail Strategy & Funding|CAPITA RESOURCING LTD|2000002948|3220.8|#|DL1 9HN
Department for Transport|Department for Transport|07/05/2014|Agency Staff Costs|Group Finance|NETWORKERS INTERNATIONAL (UK) PLC|2000002950|688.8|#|BR1 1HP
Department for Transport|Department for Transport|07/05/2014|Agency Staff Costs|Rail Franchising|METHODS CONSULTING LTD|2000002939|15336.65|#|WC2H 8AD
Department for Transport|Department for Transport|07/05/2014|Agency Staff Costs|Rail Franchising|NETWORKERS INTERNATIONAL (UK) PLC|2000002950|947.14|#|BR1 1HP
Department for Transport|Department for Transport|07/05/2014|Agents Fees|Group Communication|GROUPM UK LIMITED|2000002958|125.29|#|WC1X 8RX
Department for Transport|Department for Transport|07/05/2014|Books|General Counsel's Office|SWETS INFORMATION SERVICES|2000002933|13730|#|OX14 1UQ
Department for Transport|Department for Transport|07/05/2014|Cap Grt Loc Auth|Local|NOTTINGHAMSHIRE CC|2000002946|62310|HMEP 2013/14 Nottingham Correction|NG2 7LA
Department for Transport|Department for Transport|07/05/2014|Cap Grt Pri Sec-Cos.|Policy, Legislation and Funding|Eversheds LLP|2000002968|1086|#|CF10 5BT
Department for Transport|Department for Transport|07/05/2014|Cap Grt Pri Sec-Cos.|Policy, Legislation and Funding|Eversheds LLP|2000002968|2253.12|#|CF10 5BT
Department for Transport|Department for Transport|07/05/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Malones Group|2000002969|8000|Malones Group  March 2014 #8k|NE11 0BQ
Department for Transport|Department for Transport|07/05/2014|Cars Maintenance|Motoring Services|Bodyshop Repair Network Ltd|2000002964|571.82|#|TN16 3BW
Department for Transport|Department for Transport|07/05/2014|Cars Maintenance|Motoring Services|Bodyshop Repair Network Ltd|2000002964|500|#|TN16 3BW
Department for Transport|Department for Transport|07/05/2014|CurrGrtOth to NDPBs|Aviation|OXFORD AVIATION SERVICES LTD|2000002959|139914.86|Oxford final payment|OX5 1RA
Department for Transport|Department for Transport|07/05/2014|Eurotunnel Admin Pay|Rail Commercial & Programme Office|EUROTUNNEL|2000002888|5086526.57|Opex 7 usage charges April 2014|CT18 8XY
Department for Transport|Department for Transport|07/05/2014|Eurotunnel Admin Pay|Rail Commercial & Programme Office|EUROTUNNEL (EURO PAYMENTS)|2000002889|4596933.85|Eurotunnel, Opex&Usage charges April 2014|CT18 8X
Department for Transport|Department for Transport|07/05/2014|IT Equip Cap Cost|Motoring Services|KELWAY LTD|2000002955|134784.72|#|SA1 8PL
Department for Transport|Department for Transport|07/05/2014|IT Ser Running Costs|General Counsel's Office|Actica Consulting Limited|2000002952|15300|#|GU1 4AF
Department for Transport|Department for Transport|07/05/2014|IT Ser Running Costs|Aviation|CACI INFORMATION SOLUTIONS LTD|2000002937|9576|#|W14 8TS
Department for Transport|Department for Transport|07/05/2014|IVR Costs|Motoring Services|CABLE & WIRELESS|2000002936|1198.8| Charges - 01/04/14 - 31/03/15|MK3 5JP
Department for Transport|Department for Transport|07/05/2014|L&B Excl Dwellings|Maritime|Guideline Lift Services Ltd|2000002970|74294.63|#|BR8 7AG
Department for Transport|Department for Transport|07/05/2014|Legal Consultancy|Group Human Resource|TREASURY SOLICITOR|2000002927|15283.49|#|WC2B 4TS
Department for Transport|Department for Transport|07/05/2014|Machinery Rental|Principal Priv. Secretary & Head of Private Office|XEROX FINANCE LTD|2000002943|798.66|#|BN14 8RL
Department for Transport|Department for Transport|07/05/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000002941|4500|#|BS24 9BP
Department for Transport|Department for Transport|07/05/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000002941|480|#|BS24 9BP
Department for Transport|Department for Transport|07/05/2014|Mobile Phone charges|Group Finance|T-MOBILE (UK) LTD|2000002942|655.82|T-Mobile - 43361515  April 2014|AL10 9BW
Department for Transport|Department for Transport|07/05/2014|Other Sprs - Ptoc|Rail Commercial & Programme Office|KEOLIS (UK) LTD|2000002926|690288|#|WC1X 8BP
Department for Transport|Department for Transport|07/05/2014|Publicity|Group Communication|GROUPM UK LIMITED|2000002958|150349.4|#|WC1X 8RX
Department for Transport|Department for Transport|07/05/2014|Purchasing Card Char|RTL DG's Office|BARCLAYS BANK PLC|2000002935|1658.21|DFT Rail Group CC May 2014|NN4 7SG
Department for Transport|Department for Transport|07/05/2014|Purchasing Card Char|Centrally held prog-NATs|BARCLAYS BANK PLC|2000002935|19116.37|DFT ISE CC Group May 2014|NN4 7SG
