DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|POSTCODE
Department for Transport|Department for Transport|01/11/2013|Software Lic Cap|Transport Direct and Travel information|ATOS IT SERVICES UK LTD|2000016317|13447.2|#|WV10 6UH
Department for Transport|Department for Transport|01/11/2013|Subscriptions to Pro|Business Transformation|Zoho Corporation Private Limited|2000016314|1758|#|600 089
Department for Transport|Department for Transport|01/11/2013|Support Services|DASH|Environmental Scientifics Group|2000016316|0|#|DE15 0YZ
Department for Transport|Department for Transport|01/11/2013|Support Services|DASH|Environmental Scientifics Group|2000016316|4910.4|#|OX9 3SZ
Department for Transport|Department for Transport|01/11/2013|Support Services|Group Finance|DD ACCRAILWAY PENS TRUSTEE|2000016327|3565.94|#|DL3 6XR
Department for Transport|Department for Transport|01/11/2013|Support Services|General Counsel's Office|Charles Lucas & Marshall|2000016340|25000|#|RG14 5EU
Department for Transport|Department for Transport|01/11/2013|Transport  Consult|Transport Direct and Travel information|ATOS IT SERVICES UK LTD|2000016317|8256.29|#|WV10 6UH
Department for Transport|Department for Transport|01/11/2013|Transport  Consult|Refran Prog Off|PRICEWATERHOUSECOOPERS LLP|2000016321|43430.4|#|E14 9SQ
Department for Transport|Department for Transport|04/11/2013|Agents Fees|Managing Director Motoring Services|DRIVER & VEHICLE LICENSING AGENCY|2000016389|5136.46|#|SA6 7JL
Department for Transport|Department for Transport|04/11/2013|Agents Fees|Managing Director Motoring Services|DRIVER & VEHICLE LICENSING AGENCY|2000016389|637.5|#|SA6 7JL
Department for Transport|Department for Transport|04/11/2013|Agents Fees|Managing Director Motoring Services|DRIVER & VEHICLE LICENSING AGENCY|2000016389|10994.58|#|SA6 7JL
Department for Transport|Department for Transport|04/11/2013|Conferences / Semina|Group HR|DODS PARLIAMENTARY COMS|2000016396|1500|#|SW1H 9BP
Department for Transport|Department for Transport|04/11/2013|Data Supply - TD|Transport Direct and Travel information|OAG WORLDWIDE LTD|2000016391|2210|#|LU1 3LU
Department for Transport|Department for Transport|04/11/2013|IT Ser Running Costs|Transport Direct and Travel information|ATOS IT SERVICES UK LTD|2000016388|10418.4|#|WV10 6UH
Department for Transport|Department for Transport|04/11/2013|IT Ser Running Costs|Transport Direct and Travel information|ATOS IT SERVICES UK LTD|2000016388|9073.2|#|WV10 6UH
Department for Transport|Department for Transport|04/11/2013|IT Ser Running Costs|Transport Direct and Travel information|ATOS IT SERVICES UK LTD|2000016388|7172.92|#|WV10 6UH
Department for Transport|Department for Transport|04/11/2013|Publicity|Roads|TNS UK LTD|2000016394|20541|#|W5 1UA
Department for Transport|Department for Transport|04/11/2013|Publicity|Roads|TNS UK LTD|2000016394|14850|#|W5 1UA
Department for Transport|Department for Transport|04/11/2013|Research|Rail Commercial Contracts|PARSONS BRINCKERHOFF LTD|2000016392|14024.86|#|NE4 7YQ
Department for Transport|Department for Transport|04/11/2013|Security|General Counsel's Office|FCO SERVICES|2000016399|3198|#|MK19 7BH
Department for Transport|Department for Transport|04/11/2013|Services prov by OGD|Transport Security Strategy|FCO SERVICES|2000016399|12598.8|#|MK19 7BH
Department for Transport|Department for Transport|04/11/2013|Software Lic Cap|Transport Direct and Travel information|ATOS IT SERVICES UK LTD|2000016388|2092.32|#|WV10 6UH
Department for Transport|Department for Transport|04/11/2013|Telecom Equipment|Rail Accident Investigation Branch|MAIN-TEL|2000016390|690|#|TS17 0AQ
Department for Transport|Department for Transport|04/11/2013|Traffic Survey & Cou|Roads|TDC SYSTEMS LIMITED|2000016393|18562.5|#|BS24 9BP
Department for Transport|Department for Transport|04/11/2013|Traffic Survey & Cou|Roads|PARSONS BRINCKERHOFF LTD|2000016392|27710|#|NE4 7YQ
Department for Transport|Department for Transport|04/11/2013|Traffic Survey & Cou|Roads|PARSONS BRINCKERHOFF LTD|2000016392|19132|#|NE4 7YQ
Department for Transport|Department for Transport|04/11/2013|Traffic Survey & Cou|Roads|PARSONS BRINCKERHOFF LTD|2000016392|34044|#|NE4 7YQ
Department for Transport|Department for Transport|04/11/2013|Traffic Survey & Cou|Roads|PARSONS BRINCKERHOFF LTD|2000016392|33148|#|NE4 7YQ
Department for Transport|Department for Transport|04/11/2013|Transport  Consult|Transport Direct and Travel information|ATOS IT SERVICES UK LTD|2000016388|31897.2|#|WV10 6UH
Department for Transport|Department for Transport|05/11/2013|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000016487|4154.1|#|KT3 4JQ
Department for Transport|Department for Transport|05/11/2013|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000016493|4080|#|SL1 3SA
Department for Transport|Department for Transport|05/11/2013|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000016487|3384|#|KT3 4JQ
Department for Transport|Department for Transport|05/11/2013|Agency Staff Costs|Business Transformation|COMPUTACENTER (UK) LTD|2000016489|44310|#|AL10 9TW
Department for Transport|Department for Transport|05/11/2013|Agency Staff Costs|Local|SPRING TECHNOLOGY LTD  ALSO T/A|2000016499|765.9|#|B37 7YE
Department for Transport|Department for Transport|05/11/2013|Agency Staff Costs|Rail and Road Projects|LEND LEASE CONSULTING (EMEA) LTD|2000016495|7290|#|NW1 3BF
Department for Transport|Department for Transport|05/11/2013|Agency Staff Costs|Rail Commercial Contracts|CAPITA RESOURCING LTD|2000016496|19440|#|DL1 9HN
Department for Transport|Department for Transport|05/11/2013|Agency Staff Costs|Group Finance|ALLEN LANE FINANCIAL RECRUITMENT|2000016488|2463.84|#|BN11 2BW
Department for Transport|Department for Transport|05/11/2013|Agency Staff Costs|DASH|CAPITA RESOURCING LTD|2000016496|9159.08|#|DL1 9HN
Department for Transport|Department for Transport|05/11/2013|Agency Staff Costs|Refran Prog Off|CAPITA RESOURCING LTD|2000016496|36081.36|#|DL1 9HN
Department for Transport|Department for Transport|05/11/2013|Agency Staff Costs|Group Finance|PARITY RESOURCES LTD|2000016494|19890|#|SW19 3RU
Department for Transport|Department for Transport|05/11/2013|Agency Staff Costs|Refran Prog Off|CAPITA RESOURCING LTD|2000016496|2370|#|DL1 9HN
Department for Transport|Department for Transport|05/11/2013|Data Supply - TD|Transport Direct and Travel information|LANDMARK INFORMATION GROUP LTD|2000016491|3420|#|EX2 7HY
Department for Transport|Department for Transport|05/11/2013|Eurotunnel Admin Pay|Rail Commercial Contracts|SNCF Caisse Generale|2000016416|0|SNCF Funds - October 2013 GBP Exchange plus TVA|75008
Department for Transport|Department for Transport|05/11/2013|Eurotunnel Admin Pay|Rail Commercial Contracts|SNCF Caisse Generale|2000016416|5487956.65|SNCF Funds - October 2013 GBP Exchange plus TVA|93633
Department for Transport|Department for Transport|05/11/2013|Eurotunnel Admin Pay|Rail Commercial Contracts|SNCF TRESORERIE ENC RHT VFE|2000016415|5368776.71|SNCF Funds - October 13 Euro Exchange plus TVA|75014
Department for Transport|Department for Transport|05/11/2013|Research|Rail Commercial Contracts|PARSONS BRINCKERHOFF LTD|2000016492|2877.94|#|NE4 7YQ
Department for Transport|Department for Transport|05/11/2013|Services prov by OGD|MPL Director's Office|Directly Operated Railways Ltd|2000016500|97502.77|#|EC4A 1BL
Department for Transport|Department for Transport|05/11/2013|Support Services|Roads|HIGHWAYS AGENCY|2000016512|4869.03|#|B1 1RN
Department for Transport|Department for Transport|05/11/2013|Support Services|Group Finance|DD ACCRAILWAY PENS TRUSTEE|2000016497|3507.34|#|DL3 6XR
Department for Transport|Department for Transport|05/11/2013|Support Services|General Counsel's Office|Crawford & Co Adjusters (UK) Ltd|2000016509|527659.55|Nov-13|B2 2PF
Department for Transport|Department for Transport|05/11/2013|Transport  Consult|MPL Director's Office|DELOITTE LLP|2000016490|220467.79|#|MK9 1FD
Department for Transport|Department for Transport|06/11/2013|Agency Staff Costs|Business Transformation|NETWORKERS INTERNATIONAL (UK) PLC|2000016572|6964.08|#|BR1 1HP
Department for Transport|Department for Transport|06/11/2013|Agency Staff Costs|Group Finance|NETWORKERS INTERNATIONAL (UK) PLC|2000016572|3408.78|#|BR1 1HP
Department for Transport|Department for Transport|06/11/2013|Agency Staff Costs|Rail Commercial Contracts|CAPITA RESOURCING LTD|2000016566|17437.5|#|DL1 9HN
Department for Transport|Department for Transport|06/11/2013|Agency Staff Costs|Rail Commercial Contracts|NETWORKERS INTERNATIONAL (UK) PLC|2000016572|4199.94|#|BR1 1HP
Department for Transport|Department for Transport|06/11/2013|Agency Staff Costs|Group Finance|NETWORKERS INTERNATIONAL (UK) PLC|2000016572|868.74|#|BR1 1HP
Department for Transport|Department for Transport|06/11/2013|Agency Staff Costs|Refran Prog Off|CAPITA RESOURCING LTD|2000016566|15102.2|#|DL1 9HN
Department for Transport|Department for Transport|06/11/2013|Agency Staff Costs|Group Finance|PARITY RESOURCES LTD|2000016565|21600|#|SW19 3RU
Department for Transport|Department for Transport|06/11/2013|Agency Staff Costs|Group Finance|PARITY RESOURCES LTD|2000016565|17850|#|SW19 3RU
Department for Transport|Department for Transport|06/11/2013|Agency Staff Costs|Refran Prog Off|MICHAEL PAGE INTERNATIONAL|2000016564|4666.2|#|SL1 3SA
Department for Transport|Department for Transport|06/11/2013|Agency Staff Costs|Refran Prog Off|NETWORKERS INTERNATIONAL (UK) PLC|2000016572|883.92|#|BR1 1HP
Department for Transport|Department for Transport|06/11/2013|Agency Staff Costs|Rail Commercial Contracts|NETWORKERS INTERNATIONAL (UK) PLC|2000016572|3206.94|#|BR1 1HP
Department for Transport|Department for Transport|06/11/2013|Agency Staff Costs|Aviation|NETWORKERS INTERNATIONAL (UK) PLC|2000016572|670.56|#|BR1 1HP
Department for Transport|Department for Transport|06/11/2013|Audit Fees (cash)|Group Internal Audit|PRICEWATERHOUSECOOPERS LLP|2000016560|25338.88|#|E14 9SQ
Department for Transport|Department for Transport|06/11/2013|Eurotunnel Admin Pay|Rail Commercial Contracts|EUROTUNNEL|2000016528|4770717.52|#|CT18 8XY
Department for Transport|Department for Transport|06/11/2013|Eurotunnel Admin Pay|Rail Commercial Contracts|EUROTUNNEL (EURO PAYMENTS)|2000016529|4690584.07|#|CT18 8X
Department for Transport|Department for Transport|06/11/2013|IT Ser Running Costs|Greener Transport & International|SELEX ES LTD|2000016575|3447.6|#|BS16 1EJ
Department for Transport|Department for Transport|06/11/2013|Legal Consultancy|Transport Security|PHELPS DUNBAR LLP|2000016587|6353.93|#|70130
Department for Transport|Department for Transport|06/11/2013|Machinery Rental|Rail Accident Investigation Branch|KONICA MINOLTA BUS. SOLUTIONS  (UK)|2000016554|636.31|#|SS14 3AR
Department for Transport|Department for Transport|06/11/2013|Minor Developments|Greener Transport & International|TRIAD GROUP PLC|2000016561|16087.5|#|GU7 1XE
Department for Transport|Department for Transport|06/11/2013|Prog&ProjMgmt Consul|DASH|PARSONS BRINCKERHOFF LTD|2000016559|18862.05|#|NE4 7YQ
Department for Transport|Department for Transport|06/11/2013|Rent - L&B (non-PFI)|Business Transformation|GVA GRIMLEY|2000016558|66308.84|Rent @ 249 West George St. Glasgow 28/11-27/2/14|B1 2JB
Department for Transport|Department for Transport|06/11/2013|Research|Rail Commercial Contracts|PARSONS BRINCKERHOFF LTD|2000016559|4575.83|#|NE4 7YQ
Department for Transport|Department for Transport|06/11/2013|Subscriptions to Pro|Analysis/Science|H M TREASURY|2000016586|17786|#|SW1A 2HQ
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Charles Lucas & Marshall|2000016582|50000|Industrial Injury Claims|RG14 5EU
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Charles Lucas & Marshall|2000016582|50000|Industrial Injury Claims|RG14 5EU
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Charles Lucas & Marshall|2000016582|31500|Industrial Injury Claims|RG14 5EU
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Field Fisher Waterhouse LLP|2000016583|50000|Industrial Injury Claims|EC3N 2AA
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Irwin Mitchell|2000016580|27750|Industrial Injury Claims|S3 8DT
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Irwin Mitchell|2000016580|50000|Industrial Injury Claims|S3 8DT
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Irwin Mitchell|2000016580|50000|Industrial Injury Claims|S3 8DT
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Pannone LLP|2000016584|89996|Industrial Injury Claims|M3 2BU
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Pannone LLP|2000016584|27051|Industrial Injury Claims|M3 2BU
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Thompsons Solicitors|2000016581|79884|Industrial Injury Claims|HA1 3AP
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Thompsons Solicitors|2000016581|221239|Industrial Injury Claims|HA1 3AP
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Thompsons Solicitors|2000016581|85551.15|Industrial Injury Claim|HA1 3AP
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Thompsons Solicitors|2000016581|50000|Industrial Injury Claims|HA1 3AP
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Thompsons Solicitors|2000016581|50000|#|HA1 3AP
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Thompsons Solicitors|2000016581|83024.2|Industrial Injury Claim|HA1 3AP
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Thompsons Solicitors|2000016581|47334|Industrial Injury Claims|HA1 3AP
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Thompsons Solicitors|2000016581|50000|Industrial Injury Claims|HA1 3AP
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Thompsons Solicitors|2000016581|50000|Industrial Injury Claim|HA1 3AP
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Thompsons Solicitors|2000016581|30000|BRB058300|HA1 3AP
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Thompsons Solicitors|2000016581|50043|Industrial Injury Claim|HA1 3AP
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Thompsons Solicitors|2000016581|50000|Industrial Injury Claims|HA1 3AP
Department for Transport|Department for Transport|06/11/2013|Support Services|General Counsel's Office|Thompsons Solicitors (Scotland)|2000016585|87055|Industrial Injury Claims|EH2 4EQ
Department for Transport|Department for Transport|06/11/2013|Transport  Consult|Rail Commercial Contracts|Directly Operated Railways Ltd|2000016574|137985.37|#|EC4A 1BL
Department for Transport|Department for Transport|06/11/2013|Transport  Consult|Rail Commercial Contracts|Directly Operated Railways Ltd|2000016574|164101.54|#|EC4A 1BL
Department for Transport|Department for Transport|06/11/2013|Travel Exp Overseas|Rail Accident Investigation Branch|A1 RUSHMOOR RADIO TAXIS LTD|2000016576|745|#|GU11 1SJ
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Business Transformation|CAPITA RESOURCING LTD|2000016647|6840|#|DL1 9HN
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Group Finance|BADENOCH & CLARK|2000016634|3347.7|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000016634|2409.72|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000016634|1721.22|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000016634|1721.22|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000016634|1721.22|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000016634|1721.22|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000016634|1927.78|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000016634|1927.78|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000016634|2168.75|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000016634|2409.72|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000016634|2409.72|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000016634|1927.78|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000016634|1927.78|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000016634|1927.78|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000016634|2409.72|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000016634|1686.8|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000016634|1927.78|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000016634|1927.78|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000016634|2409.72|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Rail Commercial Contracts|CAPITA RESOURCING LTD|2000016647|19416|#|DL1 9HN
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Rail Commercial Contracts|MICHAEL PAGE INTERNATIONAL|2000016646|3540|#|SL1 3SA
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Rail Commercial Contracts|MICHAEL PAGE INTERNATIONAL|2000016646|3540|#|SL1 3SA
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Managing Director Motoring Services|SPRING TECHNOLOGY LTD  ALSO T/A|2000016648|3182.4|#|B37 7YE
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|General Counsel's Office|BADENOCH & CLARK|2000016634|3098.16|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|General Counsel's Office|BADENOCH & CLARK|2000016634|3098.16|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|General Counsel's Office|BADENOCH & CLARK|2000016634|3098.16|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|General Counsel's Office|BADENOCH & CLARK|2000016634|3098.16|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|DASH|BADENOCH & CLARK|2000016634|5225.76|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|DASH|BADENOCH & CLARK|2000016634|5225.76|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|DASH|BADENOCH & CLARK|2000016634|5225.76|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|DASH|BADENOCH & CLARK|2000016634|5225.76|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Highspeed 2|BADENOCH & CLARK|2000016634|3660|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Highspeed 2|BADENOCH & CLARK|2000016634|3660|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Highspeed 2|BADENOCH & CLARK|2000016634|3660|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000016646|4608|#|SL1 3SA
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000016634|3545.7|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000016634|3545.7|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000016634|3545.7|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000016634|3545.7|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000016634|3545.7|#|EC4V 4BG
Department for Transport|Department for Transport|07/11/2013|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000016634|3786.66|#|EC4V 4BG
