DEPARTMENTFAMILY|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
Department for Transport|British Transport Police |10/06/2010|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|BT REDCARE|200834|-57170
Department for Transport|British Transport Police |11/06/2010|FUEL & LUBRICANTS|FIN VEHICLE FLEET|ARVAL|213324|45590.92
Department for Transport|British Transport Police |11/06/2010|BUILDING RENTAL|LS South Western Quadrant|BNP Paribas Real Estate Clients Account|213356|18750
Department for Transport|British Transport Police |11/06/2010|SERVICE CHARGES|LS South Western Quadrant|BNP Paribas Real Estate Clients Account|213356|7451.38
Department for Transport|British Transport Police |11/06/2010|BUILDING RENTAL|FIN ESTATES|Deauville Securites Ltd|213209|-0.02
Department for Transport|British Transport Police |11/06/2010|BUILDING RENTAL|FIN ESTATES|Deauville Securites Ltd|213209|183589.39
Department for Transport|British Transport Police |11/06/2010|COMMS DATA|TECHNOLOGY GROUP|GLOBAL CROSSING (UK) TELECOMMUNICATIONS|212101|100195.42
Department for Transport|British Transport Police |11/06/2010|COMMS DATA|TECHNOLOGY GROUP|GLOBAL CROSSING (UK) TELECOMMUNICATIONS|212202|-36000
Department for Transport|British Transport Police |11/06/2010|COMMS DATA|TECHNOLOGY GROUP|GLOBAL CROSSING EUROPE LTD|212102|45398.99
Department for Transport|British Transport Police |11/06/2010|COMMS DATA|TECHNOLOGY GROUP|GLOBAL CROSSING EUROPE LTD|212100|26676.53
Department for Transport|British Transport Police |11/06/2010|SEASON TICKET LOAN|FORCE BALANCE SHEET (EXCL.FAR)|RAIL STAFF TRAVEL LIMITED|213127|57059.68
Department for Transport|British Transport Police |11/06/2010|BUILDING RENTAL|LS Ebury Bridge Police Station|NETWORK RAIL|212741|67609
Department for Transport|British Transport Police |11/06/2010|BUILDING RENTAL|NW Police Station East Sector|NETWORK RAIL|211762|40781.25
Department for Transport|British Transport Police |11/06/2010|BUSINESS RATES|NW Police Station East Sector|NETWORK RAIL|211762|8381.25
Department for Transport|British Transport Police |11/06/2010|SERVICE CHARGES|NW Police Station East Sector|NETWORK RAIL|211762|38208.75
Department for Transport|British Transport Police |11/06/2010|BUILDING RENTAL|NW Police Station West Sector|SANDERSON WEATHERALL CLIENT PREMIUM A/C|212113|14632.25
Department for Transport|British Transport Police |11/06/2010|SERVICE CHARGES|NW Police Station West Sector|SANDERSON WEATHERALL CLIENT PREMIUM A/C|212113|9925
Department for Transport|British Transport Police |11/06/2010|BUILDING RENTAL|NW Police Station West Sector|SANDERSON WEATHERALL CLIENT PREMIUM A/C|212112|11925
Department for Transport|British Transport Police |11/06/2010|SERVICE CHARGES|NW Police Station West Sector|SANDERSON WEATHERALL CLIENT PREMIUM A/C|212112|9842.5
Department for Transport|British Transport Police |11/06/2010|P&M - ADDITIONS|CAPITAL CONTROL ACCOUNT|Sepura Ltd|212878|40800
Department for Transport|British Transport Police |18/06/2010|INTANG ASSETS LICENCES - ADD|CAPITAL CONTROL ACCOUNT|CIVICA SERVICES LTD|213905|35971.71
Department for Transport|British Transport Police |18/06/2010|COMMS DATA|TECHNOLOGY GROUP|GLOBAL CROSSING (UK) TELECOMMUNICATIONS|213371|26676.53
Department for Transport|British Transport Police |18/06/2010|COMMS DATA|TECHNOLOGY GROUP|GLOBAL CROSSING (UK) TELECOMMUNICATIONS|213373|43218.1
Department for Transport|British Transport Police |18/06/2010|HIRE OF CONSULTANTS|FIN FINANCE|Hitachi Consulting (UK) Ltd|212913|6.95
Department for Transport|British Transport Police |18/06/2010|HIRE OF CONSULTANTS|FIN FINANCE|Hitachi Consulting (UK) Ltd|212913|3675
Department for Transport|British Transport Police |18/06/2010|HIRE OF CONSULTANTS|FIN FINANCE|Hitachi Consulting (UK) Ltd|212913|5025
Department for Transport|British Transport Police |18/06/2010|HIRE OF CONSULTANTS|FIN FINANCE|Hitachi Consulting (UK) Ltd|212913|18437.5
Department for Transport|British Transport Police |18/06/2010|HIRE OF CONSULTANTS|TECHNOLOGY GROUP|ANALYSIS MASON|214061|45000
Department for Transport|British Transport Police |18/06/2010|INTANG ASSETS SOFTWARE - ADD|CAPITAL CONTROL ACCOUNT|NORTHGATE INFORMATION SOLUTIONS LTD|207505|9150
Department for Transport|British Transport Police |18/06/2010|INTANG ASSETS SOFTWARE - ADD|CAPITAL CONTROL ACCOUNT|NORTHGATE INFORMATION SOLUTIONS LTD|207505|42700
Department for Transport|British Transport Police |18/06/2010|IT SOFTWARE MAINTENANCE|TECHNOLOGY GROUP|NORTHGATE INFORMATION SOLUTIONS LTD|209734|32427.64
Department for Transport|British Transport Police |18/06/2010|IT SOFTWARE MAINTENANCE|TECHNOLOGY GROUP|Sysop Ltd|207617|1046.45
Department for Transport|British Transport Police |18/06/2010|IT SOFTWARE MAINTENANCE|TECHNOLOGY GROUP|Sysop Ltd|207617|35448
Department for Transport|British Transport Police |18/06/2010|CLAIM - EMPLOYMENT TRIBUNALS|HR POLICY AND STRATEGY|SIMONS MUIRHEAD & BURTON|211602|59733.86
Department for Transport|British Transport Police |25/06/2010|FUEL & LUBRICANTS|FIN VEHICLE FLEET|ARVAL|214510|47386.82
Department for Transport|British Transport Police |25/06/2010|BUILDING RENTAL|WW Police Station West Sector|BNP Paribas Real Estate Clients Account|214212|68135
Department for Transport|British Transport Police |25/06/2010|SERVICE CHARGES|WW Police Station West Sector|BNP Paribas Real Estate Clients Account|214212|19926.23
Department for Transport|British Transport Police |25/06/2010|BUILDING RENTAL|LS Ebury Bridge Police Station|BREANSTAR LIMITED|213355|43750
Department for Transport|British Transport Police |25/06/2010|LH BUILDINGS - ADDITIONS|CAPITAL CONTROL ACCOUNT|BRITSPACE MODULAR BUILDING LIMITED|214440|128597.37
Department for Transport|British Transport Police |25/06/2010|IT SOFTWARE MAINTENANCE|TECHNOLOGY GROUP|Coa Solutions Ltd|212385|299.49
Department for Transport|British Transport Police |25/06/2010|IT SOFTWARE MAINTENANCE|TECHNOLOGY GROUP|Coa Solutions Ltd|212385|1514.98
Department for Transport|British Transport Police |25/06/2010|IT SOFTWARE MAINTENANCE|TECHNOLOGY GROUP|Coa Solutions Ltd|212385|2398.72
Department for Transport|British Transport Police |25/06/2010|IT SOFTWARE MAINTENANCE|TECHNOLOGY GROUP|Coa Solutions Ltd|212385|3714.2
Department for Transport|British Transport Police |25/06/2010|IT SOFTWARE MAINTENANCE|TECHNOLOGY GROUP|Coa Solutions Ltd|212385|3787.47
Department for Transport|British Transport Police |25/06/2010|IT SOFTWARE MAINTENANCE|TECHNOLOGY GROUP|Coa Solutions Ltd|212385|23987.27
Department for Transport|British Transport Police |25/06/2010|BUILDING RENTAL|FIN ESTATES|Elebro Limited|213425|71250
Department for Transport|British Transport Police |25/06/2010|BUILDING RENTAL|LS South Western Quadrant|KING STURGE LLP|212735|18028.5
Department for Transport|British Transport Police |25/06/2010|SERVICE CHARGES|LS South Western Quadrant|KING STURGE LLP|212735|7004
Department for Transport|British Transport Police |25/06/2010|ELECTRICITY|LS South Western Quadrant|KING STURGE LLP|212735|1500
Department for Transport|British Transport Police |25/06/2010|SOLICITORS FEES|FHQ POLICE AUTHORITY|WEIGHTMANS|214217|80978.28
Department for Transport|British Transport Police |25/06/2010|CLAIM - EMPLOYMENT TRIBUNALS|HR POLICY AND STRATEGY|WEBSTER DIXON SOLICITORS|19950|39950
Department for Transport|Department for Transport|01/06/2010|IT Services  Running Costs|Information Management Directorate|MENTZ DATENVERARBEITUNG GMBH|2000005153|6078
Department for Transport|Department for Transport|01/06/2010|Service Charge Computer Expenses|Information Management Directorate|MENTZ DATENVERARBEITUNG GMBH|2000005153|11502.22
Department for Transport|Department for Transport|01/06/2010|Printing|Regional & Local Transport|TAURUS PRINT & DESIGN LTD|2000005154|447
Department for Transport|Department for Transport|01/06/2010|Printing|Road & Vehicle Safety & Standards|TAURUS PRINT & DESIGN LTD|2000005154|880
Department for Transport|Department for Transport|01/06/2010|Transport Consultancy|Transform Licensing Logistics and Sponsorship|AECOM LIMITED|2000005155|58270.6
Department for Transport|Department for Transport|01/06/2010|Traffic Survey & Counting Equipment|London and Road Demand Management|JACOBS ENGINEERING U.K. LTD|2000005156|13009
Department for Transport|Department for Transport|01/06/2010|First Aid|Regional & Local Transport|INTERNATIONAL LEARNING|2000005158|888.3
Department for Transport|Department for Transport|01/06/2010|Recruitment Advertising|Human Resources|THE ECONOMIST NEWSPAPER LTD|2000005159|10235
Department for Transport|Department for Transport|01/06/2010|Childcare Voucher Costs|Human Resources|COMPUTERSHARE VOUCHER SERVICES|2000005189|1252.44
Department for Transport|Department for Transport|01/06/2010|Childcare Voucher Costs|Human Resources|COMPUTERSHARE VOUCHER SERVICES|2000005190|19380.16
Department for Transport|Department for Transport|02/06/2010|Agency Staff Costs|Finance & Planning|HAYS PERSONNEL SERVICE LTD|2000000846|2702.5
Department for Transport|Department for Transport|02/06/2010|Agency Staff Costs|Rail Technical & Professional|HAYS PERSONNEL SERVICE LTD|2000000846|643.34
Department for Transport|Department for Transport|02/06/2010|Agency Staff Costs|Finance & Planning|ALLEN LANE FINANCIAL RECRUITMENT|2000000847|10765.94
Department for Transport|Department for Transport|02/06/2010|Agency Staff Costs|Procurement|ALLEN LANE FINANCIAL RECRUITMENT|2000000847|1128
Department for Transport|Department for Transport|02/06/2010|Financial Consultancy|Rail Strategy & Stakeholder Relations|KPMG|2000000848|1877.65
Department for Transport|Department for Transport|02/06/2010|Agency Staff Costs|Finance & Planning|REED SPECIALIST RECRUITMENT LTD|2000000849|970.55
Department for Transport|Department for Transport|02/06/2010|Agency Staff Costs|Projects|REED SPECIALIST RECRUITMENT LTD|2000000849|594.44
Department for Transport|Department for Transport|02/06/2010|PTOC - PTE Grant Payments|Rail Service Delivery|CENTRO|2000000851|169230.82
Department for Transport|Department for Transport|02/06/2010|Service Charge Computer Expenses|Transport Security|EDUSERV|2000005233|2115
Department for Transport|Department for Transport|02/06/2010|Computer equipment|Accident Investigating Branches|INSIGHT DIRECT (UK) LTD|2000005235|853.95
Department for Transport|Department for Transport|02/06/2010|Car Hire and Leasing|Corporate Support Function|ARVAL|2000005237|867.85
Department for Transport|Department for Transport|02/06/2010|First Aid|Human Resources|ASHBOURNE ASSESSMENT SYSTEMS LTD|2000005238|1706.45
Department for Transport|Department for Transport|02/06/2010|Recruitment Advertising|Human Resources|CENTRAL OFFICE OF INFORMATION|2000005241|5617.38
Department for Transport|Department for Transport|02/06/2010|Training|Aviation|CENTRE FOR PARLIAMENTARY STUDIES|2000005242|860
Department for Transport|Department for Transport|02/06/2010|Support Services|Aviation|CIVIL AVIATION AUTHORITY|2000005244|262500
Department for Transport|Department for Transport|02/06/2010|Machinery Rental|Transport Security|DANWOOD GROUP LTD|2000005245|7019.87
Department for Transport|Department for Transport|02/06/2010|Management Consultancy|Road & Vehicle Safety & Standards|DRIVER & VEHICLE TESTING AGENCY|2000005246|20144
Department for Transport|Department for Transport|02/06/2010|Training|Human Resources|HEMSLEY FRASER LEARNING & DEV|2000005250|2049.4
Department for Transport|Department for Transport|02/06/2010|Minor Developments|Transport Security|INTOUCHUK.COM LTD|2000005251|1305.58
Department for Transport|Department for Transport|02/06/2010|Traffic Survey & Counting Equipment|London and Road Demand Management|JACOBS ENGINEERING U.K. LTD|2000005252|52665
Department for Transport|Department for Transport|02/06/2010|Translation Services|Accident Investigating Branches|K INTERNATIONAL PLC|2000005254|740.04
Department for Transport|Department for Transport|02/06/2010|Agency Staff Costs|Finance & Estates |KELLY SERVICES (UK) LTD|2000005255|983.91
Department for Transport|Department for Transport|02/06/2010|Agency Staff Costs|Transport Security|KELLY SERVICES (UK) LTD|2000005255|1586.18
Department for Transport|Department for Transport|02/06/2010|Printing|Accident Investigating Branches|MWL PRINT GROUP LTD|2000005259|1567.11
Department for Transport|Department for Transport|02/06/2010|Contract Cleaning|Accident Investigating Branches|NETWORK CLEANING SERVICES LTD|2000005260|1790
Department for Transport|Department for Transport|02/06/2010|Management Consultancy|Aviation|QI CONSULTING LTD|2000005261|19075
Department for Transport|Department for Transport|02/06/2010|Traffic Survey & Counting Equipment|London and Road Demand Management|ROY HART MOTORS|2000005262|43569
Department for Transport|Department for Transport|02/06/2010|Transport Consultancy|Transport Security|TRIAD GROUP PLC|2000005264|29624.1
Department for Transport|Department for Transport|02/06/2010|Telephone charges|Information Management Directorate|VERIZON BUSINESS|2000005265|1608.75
Department for Transport|Department for Transport|02/06/2010|Curr Grant to Priv Sect-Persons & NPISH|Regional & Local Transport|SUSTRANS LTD|2000005267|207750
Department for Transport|Department for Transport|02/06/2010|Traffic Survey & Counting Equipment|London and Road Demand Management|NOTTINGHAMSHIRE CC|2000005269|16482
Department for Transport|Department for Transport|02/06/2010|Travel Expenses UK|Regional & Local Transport|CARLSON WAGONLIT TRAVEL|2000005270|9311.25
Department for Transport|Department for Transport|02/06/2010|Curr Grant to Priv Sect-Persons & NPISH|London and Road Demand Management|CARTFORD BRIDGE CO LTD|2000005272|3605.39
Department for Transport|Department for Transport|02/06/2010|Curr Grant to Priv Sect-Persons & NPISH|London and Road Demand Management|DULWICH ESTATE|2000005273|5782.26
Department for Transport|Department for Transport|02/06/2010|Curr Grant to Priv Sect-Persons & NPISH|London and Road Demand Management|DUNHAM BRIDGE CO|2000005275|46104.42
Department for Transport|Department for Transport|02/06/2010|Curr Grant to Priv Sect-Persons & NPISH|London and Road Demand Management|SHREWSBURY (KINGSLAND) BRIDGE CO|2000005276|1557.27
Department for Transport|Department for Transport|02/06/2010|Storage & Distribution|Regional & Local Transport|CAMBERTOWN LIMITED|2000005277|749.32
Department for Transport|Department for Transport|02/06/2010|Estate Management|Finance & Estates |AMEY BUSINESS SERVICES LTD|2000005278|298516.42
Department for Transport|Department for Transport|02/06/2010|Services provided by OGDs|Human Resources|COMMUNITIES AND LOCAL GOVERNMENT|2000005297|1435.99
Department for Transport|Department for Transport|02/06/2010|Payroll monthly run service|Human Resources|VEHICLE & OPERATOR SERVICES AGENCY|2000005299|14652.86
Department for Transport|Department for Transport|02/06/2010|Services provided by OGDs|Transform Licensing Logistics and Sponsorship|VEHICLE & OPERATOR SERVICES AGENCY|2000005299|605000
Department for Transport|Department for Transport|03/06/2010|Eurotunnel Admin Payment|Rail Strategy & Stakeholder Relations|EUROTUNNEL|2000000871|4283411.97
Department for Transport|Department for Transport|03/06/2010|Eurotunnel Admin Payment|Rail Strategy & Stakeholder Relations|EUROTUNNEL (EURO PAYMENTS)|2000000872|4881241.48
Department for Transport|Department for Transport|03/06/2010|Agency Staff Costs|Procurement|HAYS PERSONNEL SERVICE LTD|2000000913|600.35
Department for Transport|Department for Transport|03/06/2010|Management Consultancy|Finance & Planning|EVERSHEDS LLP|2000000914|15881
Department for Transport|Department for Transport|03/06/2010|Management Consultancy|Strategic Roads and National Networks|AECOM LIMITED|2000000915|45000
Department for Transport|Department for Transport|03/06/2010|Management Consultancy|Finance & Planning|KPMG|2000000916|65093.47
Department for Transport|Department for Transport|03/06/2010|Transport Consultancy|Rail Strategy & Stakeholder Relations|MOTT MACDONALD|2000000917|24443.04
Department for Transport|Department for Transport|03/06/2010|Management Consultancy|Finance & Planning|BOVIS LEND LEASE CONSULTING LTD|2000000918|10800
Department for Transport|Department for Transport|03/06/2010|Capital Grant to Priv Sector - Companies|Projects|HIGH SPEED 1 LIMITED|2000000919|534000
Department for Transport|Department for Transport|03/06/2010|Stationery (Non-stock)|Accident Investigating Branches|BANNER BUSINESS SERVICES LTD|2000005410|541.6
Department for Transport|Department for Transport|03/06/2010|Management Consultancy|Regional & Local Transport|PARTNERSHIPS UK|2000005411|26824.35
Department for Transport|Department for Transport|03/06/2010|Small Software|Information Management Directorate|INSIGHT DIRECT (UK) LTD|2000005412|4298.31
Department for Transport|Department for Transport|03/06/2010|Research|Transform Licensing Logistics and Sponsorship|AEA TECHNOLOGY ENVIRONMENT|2000005415|111804.6
Department for Transport|Department for Transport|03/06/2010|Agency Staff Costs|Information Management Directorate|ELAN COMPUTING LTD|2000005416|1596.18
Department for Transport|Department for Transport|03/06/2010|Service Charge Computer Expenses|Accident Investigating Branches|EPIC PERFORMANCE IMPROVEMENT LTD|2000005417|3525
Department for Transport|Department for Transport|03/06/2010|Management Consultancy|Information Management Directorate|MOUCHEL MANAGEMENT CONSULTING LTD|2000005418|22100
Department for Transport|Department for Transport|03/06/2010|Traffic Survey & Counting Equipment|London and Road Demand Management|MHTC LIMITED|2000005419|3571
Department for Transport|Department for Transport|03/06/2010|Research|Regional & Local Transport|TRANSPORT RESEARCH LABORATORY|2000005420|8920.34
Department for Transport|Department for Transport|03/06/2010|Research|Road & Vehicle Safety & Standards|TRANSPORT RESEARCH LABORATORY|2000005420|4863.03
Department for Transport|Department for Transport|03/06/2010|IT Services  Running Costs|Information Management Directorate|COMPUTACENTER|2000005422|2566.66
Department for Transport|Department for Transport|03/06/2010|Agency Staff Costs|Finance & Estates |MICHAEL PAGE INTERNATIONAL|2000005424|7908.14
Department for Transport|Department for Transport|03/06/2010|Research|London and Road Demand Management|T-SYSTEMS LTD|2000005425|6439
Department for Transport|Department for Transport|03/06/2010|Area Based Grants|Regional & Local Transport|COMMUNITIES AND LOCAL GOVERNMENT|2000005461|9313930
Department for Transport|Department for Transport|03/06/2010|Area Based Grants|Road & Vehicle Safety & Standards|COMMUNITIES AND LOCAL GOVERNMENT|2000005461|6443929
Department for Transport|Department for Transport|03/06/2010|Management Consultancy|Transform Licensing Logistics and Sponsorship|VEHICLE & OPERATOR SERVICES AGENCY|2000005462|35767.1
Department for Transport|Department for Transport|03/06/2010|Grant in Aid to NDPBs|Finance & Estates |HSBC BANK PLC, LONDON|2000005464|37125000
Department for Transport|Department for Transport|04/06/2010|Management Consultancy|Projects|MOTT MACDONALD|2000000948|14280
Department for Transport|Department for Transport|04/06/2010|Agency Staff Costs|Finance & Planning|REED SPECIALIST RECRUITMENT LTD|2000000949|582.33
Department for Transport|Department for Transport|04/06/2010|Agency Staff Costs|Projects|REED SPECIALIST RECRUITMENT LTD|2000000949|594.44
Department for Transport|Department for Transport|04/06/2010|Legal Consultancy|Projects|FRESHFIELDS|2000000950|478474.09
Department for Transport|Department for Transport|04/06/2010|Training|Rail Strategy & Stakeholder Relations|INTERNATIONAL LEARNING|2000000951|553.5
Department for Transport|Department for Transport|04/06/2010|Agency Staff Costs|Aviation|HAYS PERSONNEL SERVICE LTD|2000005571|1908.18
Department for Transport|Department for Transport|04/06/2010|Agency Staff Costs|Corporate Support Function|HAYS PERSONNEL SERVICE LTD|2000005571|1629.96
Department for Transport|Department for Transport|04/06/2010|Agency Staff Costs|Road & Vehicle Safety & Standards|HAYS PERSONNEL SERVICE LTD|2000005571|626.46
Department for Transport|Department for Transport|04/06/2010|Agency Staff Costs|Transform Licensing Logistics and Sponsorship|HAYS PERSONNEL SERVICE LTD|2000005571|886.66
Department for Transport|Department for Transport|04/06/2010|Agency Staff Costs|Transport Security|HAYS PERSONNEL SERVICE LTD|2000005571|944.28
Department for Transport|Department for Transport|04/06/2010|Secondments|Road & Vehicle Safety & Standards|EAST SUSSEX HOSPITALS NHS TRUST|2000005572|8432.48
Department for Transport|Department for Transport|04/06/2010|Research|Transform Licensing Logistics and Sponsorship|AEA TECHNOLOGY ENVIRONMENT|2000005574|30017.3
Department for Transport|Department for Transport|04/06/2010|Agency Staff Costs|Finance & Estates |ALLEN LANE FINANCIAL RECRUITMENT|2000005575|11188.94
Department for Transport|Department for Transport|04/06/2010|Hospitality|Finance & Estates |AMEY BUSINESS SERVICES LTD|2000005576|21933.26
Department for Transport|Department for Transport|04/06/2010|Car Hire and Leasing|Corporate Support Function|ARVAL|2000005578|14898.53
Department for Transport|Department for Transport|04/06/2010|Property Maintenance|Accident Investigating Branches|AUORA SYSTEMS|2000005579|4913.69
Department for Transport|Department for Transport|04/06/2010|Contract Cleaning|Accident Investigating Branches|CLIENTCARE CLEANING LTD|2000005581|448
Department for Transport|Department for Transport|04/06/2010|Publicity|Accident Investigating Branches|FALDER MATTHEWS LTD|2000005585|3995
Department for Transport|Department for Transport|04/06/2010|First Aid|Human Resources|THE FARADAY PARTNERSHIP|2000005586|7829.5
Department for Transport|Department for Transport|04/06/2010|Management Consultancy|Regional & Local Transport|MOUCHEL MANAGEMENT CONSULTING LTD|2000005587|850.77
Department for Transport|Department for Transport|04/06/2010|Car Hire and Leasing|Standalone Units|GOVERNMENT CAR & DESPATCH AGENCY|2000005588|4820
Department for Transport|Department for Transport|04/06/2010|Building Service Charges|Accident Investigating Branches|MAX INDUSTRIAL GP LTD|2000005589|259.02
Department for Transport|Department for Transport|04/06/2010|Rent - L&B (non-PFI)|Accident Investigating Branches|MAX INDUSTRIAL GP LTD|2000005589|3789.38
Department for Transport|Department for Transport|04/06/2010|Personal Development|INE Group |NATIONAL SCHOOL OF GOVERNMENT|2000005590|2275
Department for Transport|Department for Transport|04/06/2010|Personal Development|Transport Security|NATIONAL SCHOOL OF GOVERNMENT|2000005590|2275
Department for Transport|Department for Transport|04/06/2010|Publications for Resale|Road & Vehicle Safety & Standards|KEYTEC TYPESETTING LTD|2000005591|1441.78
Department for Transport|Department for Transport|04/06/2010|Traffic Survey & Counting Equipment|London and Road Demand Management|MHTC LIMITED|2000005593|15802
Department for Transport|Department for Transport|04/06/2010|Training|Accident Investigating Branches|MONARCH AIRLINES LTD|2000005594|7600
Department for Transport|Department for Transport|04/06/2010|Agency Staff Costs|Standalone Units|REED SPECIALIST RECRUITMENT LTD|2000005596|509.03
Department for Transport|Department for Transport|04/06/2010|Agency Staff Costs|Transport Security|REED SPECIALIST RECRUITMENT LTD|2000005596|1074.16
Department for Transport|Department for Transport|04/06/2010|Management Consultancy|Aviation|URS/SCOTT WILSON|2000005597|20517.6
Department for Transport|Department for Transport|04/06/2010|Printing|Regional & Local Transport|ST IVES DIRECT LTD|2000005598|461
Department for Transport|Department for Transport|04/06/2010|Water|Finance & Estates |THAMES WATER|2000005599|1345.38
Department for Transport|Department for Transport|04/06/2010|Research|Regional & Local Transport|WSP DEVELOPMENT LTD|2000005600|31701.72
Department for Transport|Department for Transport|04/06/2010|Agency Staff Costs|Finance & Estates |BROOK STREET BUREAU|2000005602|1410.53
Department for Transport|Department for Transport|04/06/2010|Agency Staff Costs|Standalone Units|BROOK STREET BUREAU|2000005602|617.49
Department for Transport|Department for Transport|04/06/2010|Capital Grants to Local Authorities|Regional & Local Transport|NEXUS|2000005603|2358000
Department for Transport|Department for Transport|04/06/2010|Agency Staff Costs|Finance & Estates |MICHAEL PAGE INTERNATIONAL|2000005604|9505.66
Department for Transport|Department for Transport|04/06/2010|Agency Staff Costs|Transport Analysis and Economics|PARITY RESOURCES LTD|2000005605|3387.88
Department for Transport|Department for Transport|04/06/2010|Financial Consultancy|Finance & Estates |CAPITA RESOURCING LTD|2000005606|8401.25
Department for Transport|Department for Transport|04/06/2010|Travel Expenses UK|Corporate Support Function|CARLSON WAGONLIT TRAVEL|2000005607|4648.82
Department for Transport|Department for Transport|04/06/2010|Books|Legal Services Directorate |WILDY AND SONS LTD|2000005608|617.5
Department for Transport|Department for Transport|04/06/2010|Research|Transport Analysis and Economics|TUV NEL LTD|2000005609|5074
Department for Transport|Department for Transport|04/06/2010|Research|London and Road Demand Management|T-SYSTEMS LTD|2000005610|80408
Department for Transport|Department for Transport|04/06/2010|Management Consultancy|Finance & Estates |LARGESS INTERNATIONAL LTD|2000005611|9750
Department for Transport|Department for Transport|04/06/2010|Management Consultancy|Regional & Local Transport|REAL TIME INFORMATION GROUP LTD|2000005612|15175
Department for Transport|Department for Transport|04/06/2010|Other Current Grants to NDPBs (in budgets)|Road & Vehicle Safety & Standards|SOUTH WALES POLICE|2000005614|2475
Department for Transport|Department for Transport|04/06/2010|Management Consultancy|Regional & Local Transport|CYCLE CITY GUIDES|2000005615|68283.12
Department for Transport|Department for Transport|04/06/2010|Small Software|Accident Investigating Branches|T.A.P. SYSTEMS LTD|2000005617|586.33
Department for Transport|Department for Transport|07/06/2010|Transport Consultancy|Projects|OVE ARUP & PARTNERS|2000000964|90888.38
Department for Transport|Department for Transport|07/06/2010|Research|Projects|STEER DAVIES & GLEAVE LTD|2000000965|14472
Department for Transport|Department for Transport|07/06/2010|Management Consultancy|Projects|WILLIS LIMITED|2000000966|4324
Department for Transport|Department for Transport|07/06/2010|Capital Grant to Priv Sector - Companies|Projects|LONDON UNDERGROUND|2000000967|5586565.46
Department for Transport|Department for Transport|07/06/2010|Agency Staff Costs|Corporate Support Function|HAYS PERSONNEL SERVICE LTD|2000005664|1833.71
Department for Transport|Department for Transport|07/06/2010|Management Consultancy|Regional & Local Transport|PARTNERSHIPS UK|2000005665|548.64
Department for Transport|Department for Transport|07/06/2010|Transport Consultancy|Maritime and Dangerous Goods|ENVIRONMENTAL SCIENTIFICS GROUP LTD|2000005667|1860
