DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIER2POSTCODE
Department for Transport|Department for Transport|06/02/2014|Computer equipment|Group Communication|Probrand Ltd|2000023770|1830.29|#|B1 3BP
Department for Transport|Department for Transport|06/02/2014|Contract Cleaning|Marine Accident Investigation Branch|PROGRESS CLEANING SERVICES|2000023769|702|#|SO30 2FQ
Department for Transport|Department for Transport|06/02/2014|Data Supply - TD|Transport Direct&Travel|OAG WORLDWIDE LTD|2000023779|2210|#|LU1 3LU
Department for Transport|Department for Transport|06/02/2014|Data Supply - TD|Transport Direct&Travel|Rail Settlement Plan|2000023780|1755.6|#|EC1A 4HD
Department for Transport|Department for Transport|06/02/2014|Eurotunnel Admin Pay|Rail Commercial & Programme Office|SNCF Caisse Generale|2000023730|16588.02|Adjustment for January 2014|93633
Department for Transport|Department for Transport|06/02/2014|Eurotunnel Admin Pay|Rail Commercial & Programme Office|SNCF TRESORERIE ENC RHT VFE|2000023729|17500.79|Adjustment for January 2014|75014
Department for Transport|Department for Transport|06/02/2014|IT Equip Cap Cost|Motoring Services|MISCO|2000023778|1576.32|#|NN8 6GS
Department for Transport|Department for Transport|06/02/2014|IT Equip Cap Cost|Motoring Services|MISCO|2000023778|702.32|#|NN8 6GS
Department for Transport|Department for Transport|06/02/2014|Legal Consultancy|Group Human Resource|TREASURY SOLICITOR|2000023765|4642.18|#|WC2B 4TS
Department for Transport|Department for Transport|06/02/2014|Legal Consultancy|Group Human Resource|TREASURY SOLICITOR|2000023765|-4642.18|#|WC2B 4TS
Department for Transport|Department for Transport|06/02/2014|Legal Consultancy|Group Human Resource|TREASURY SOLICITOR|2000023765|4642.18|#|WC2B 4TS
Department for Transport|Department for Transport|06/02/2014|Legal Consultancy|Group Procurement & Estate|CRIPPS HARRIES HALL LLP|2000023790|1586.4|#|TN1 1EG
Department for Transport|Department for Transport|06/02/2014|Legal Consultancy|Rail Commercial & Programme Office|Eversheds LLP|2000023789|14797.8|#|EC2V 7WS
Department for Transport|Department for Transport|06/02/2014|Legal Consultancy|Rail Commercial & Programme Office|Eversheds LLP|2000023789|31054.8|#|EC2V 7WS
Department for Transport|Department for Transport|06/02/2014|Legal Consultancy|Rail Commercial & Programme Office|Eversheds LLP|2000023789|13332|#|EC2V 7WS
Department for Transport|Department for Transport|06/02/2014|Legal Consultancy|Rail Commercial & Programme Office|Eversheds LLP|2000023789|16071|#|EC2V 7WS
Department for Transport|Department for Transport|06/02/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000023781|5510|#|BS24 9BP
Department for Transport|Department for Transport|06/02/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000023781|6570|#|BS24 9BP
Department for Transport|Department for Transport|06/02/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000023781|2510|#|BS24 9BP
Department for Transport|Department for Transport|06/02/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000023781|3079.73|#|BS24 9BP
Department for Transport|Department for Transport|06/02/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000023781|1125|#|BS24 9BP
Department for Transport|Department for Transport|06/02/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000023781|2495|#|BS24 9BP
Department for Transport|Department for Transport|06/02/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000023781|2760|#|BS24 9BP
Department for Transport|Department for Transport|06/02/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000023781|1675|#|BS24 9BP
Department for Transport|Department for Transport|06/02/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000023781|4760|#|BS24 9BP
Department for Transport|Department for Transport|06/02/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000023781|2510|#|BS24 9BP
Department for Transport|Department for Transport|06/02/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000023781|480|#|BS24 9BP
Department for Transport|Department for Transport|06/02/2014|Other Professional F|Group Finance|Arvato Ltd|2000023799|224955|#|HU10 6FE
Department for Transport|Department for Transport|06/02/2014|Prog&ProjMgmt Consul|Energy, Technology and International|Moorhouse Consulting Limited|2000023788|27565.2|#|EC4V 5BT
Department for Transport|Department for Transport|06/02/2014|Purchasing Card Char|Group Finance|BARCLAYS BANK PLC|2000023773|6441.4|Barclays DFT Rail Group Feb 2014|NN4 7SG
Department for Transport|Department for Transport|06/02/2014|Rent - L&B (non-PFI)|Group Procurement & Estate|xxxxxx|2000023775|66308.84|Rent & Service Charge 28/02/14-27/05/14|xxxxxx
Department for Transport|Department for Transport|06/02/2014|Rent - L&B (non-PFI)|Group Procurement & Estate|GVA GRIMLEY|2000023775|66308.84|Rent & Service Charge 28/02/14-27/05/14|B1 2JB
Department for Transport|Department for Transport|06/02/2014|Rent - L&B (non-PFI)|Group Procurement & Estate|DWP SHARED SERVICES|2000023766|1133.93|#|CF14 3UW
Department for Transport|Department for Transport|06/02/2014|Research|Motoring, Freight & London|HALCROW GROUP LTD|2000023776|20328.61|#|W6 7BY
Department for Transport|Department for Transport|06/02/2014|Subscriptions to Pro|Corporate Governance|Association for Project Management|2000023768|2621|#|HP27 9LE
Department for Transport|Department for Transport|06/02/2014|Support Services|Principal Priv. Secretary & Head of Private Office|DRIVER & VEHICLE LICENSING AGENCY|2000023767|-4169.46|#|SA6 7JL
Department for Transport|Department for Transport|06/02/2014|Support Services|Group Finance|DD ACCRAILWAY PENS TRUSTEE|2000023786|987.04|#|DL3 6XR
Department for Transport|Department for Transport|06/02/2014|Support Services|Group Finance|DD ACCRAILWAY PENS TRUSTEE|2000023786|3246.61|#|DL3 6XR
Department for Transport|Department for Transport|06/02/2014|Support Services|Group Finance|DD ACCRAILWAY PENS TRUSTEE|2000023786|701.94|#|DL3 6XR
Department for Transport|Department for Transport|06/02/2014|Training|Motoring Services|DRIVER & VEHICLE LICENSING AGENCY|2000023767|963.34|#|SA6 7JL
Department for Transport|Department for Transport|06/02/2014|Translation Services|Marine Accident Investigation Branch|K INTERNATIONAL PLC|2000023777|500|#|MK5 8PL
Department for Transport|Department for Transport|06/02/2014|Transport  Consult|Rail Franchising|ATKINS LTD (TRANSPORT PLANNING)|2000023772|5553.71|#|WR5 1TX
Department for Transport|Department for Transport|06/02/2014|Transport  Consult|Rail Franchising|ATKINS LTD (TRANSPORT PLANNING)|2000023772|18365.47|#|WR5 1TX
Department for Transport|Department for Transport|06/02/2014|Treasury Solicitors|General Counsel's Office|TREASURY SOLICITOR|2000023765|640.68|#|WC2B 4TS
Department for Transport|Department for Transport|07/02/2014|Agency Staff Costs|Corporate Governance|BADENOCH & CLARK|2000023860|3442.44|#|EC4V 4BG
Department for Transport|Department for Transport|07/02/2014|Agency Staff Costs|Group Finance|BADENOCH & CLARK|2000023860|3347.7|#|EC4V 4BG
Department for Transport|Department for Transport|07/02/2014|Agency Staff Costs|Group Finance|BADENOCH & CLARK|2000023860|4036.38|#|EC4V 4BG
Department for Transport|Department for Transport|07/02/2014|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000023879|3210|#|SL1 3SA
Department for Transport|Department for Transport|07/02/2014|Agency Staff Costs|Rail Director's Office|EXPERIS LTD|2000023865|3851.7|#|EC1R 3DR
Department for Transport|Department for Transport|07/02/2014|Agency Staff Costs|Major Projects & Growth|EXPERIS LTD|2000023865|10872.04|#|EC1R 3DR
Department for Transport|Department for Transport|07/02/2014|Agency Staff Costs|Major Projects & Growth|LEND LEASE CONSULTING (EMEA) LTD|2000023880|12150|#|NW1 3BF
Department for Transport|Department for Transport|07/02/2014|Agency Staff Costs|Rail Commercial & Programme Office|EXPERIS LTD|2000023865|9629.26|#|EC1R 3DR
Department for Transport|Department for Transport|07/02/2014|Agency Staff Costs|Rail Commercial & Programme Office|EXPERIS LTD|2000023865|3214.2|#|EC1R 3DR
Department for Transport|Department for Transport|07/02/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000023881|11757.01|#|DL1 9HN
Department for Transport|Department for Transport|07/02/2014|Agency Staff Costs|Group Finance|EXPERIS LTD|2000023865|3850.32|#|EC1R 3DR
Department for Transport|Department for Transport|07/02/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000023881|17432.81|#|DL1 9HN
