DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIERPOSTCODE|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Rail Strategy & Funding|Experis Ltd|2000007089|5399.46|#|EC2M 2RB|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Group Finance|NETWORKERS INTERNATIONAL (UK) PLC|2000007103|1925.7|#|BR1 1HP|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Group Finance|Experis Ltd|2000007089|7700.64|#|EC2M 2RB|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Rail Franchising|Experis Ltd|2000007089|1105.34|#|EC2M 2RB|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Highspeed 2|Experis Ltd|2000007089|3286.94|#|EC2M 2RB|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Highspeed 2|Experis Ltd|2000007089|8399.16|#|EC2M 2RB|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Rail Franchising|Experis Ltd|2000007089|8941.44|#|EC2M 2RB|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Rail Franchising|MICHAEL PAGE INTERNATIONAL|2000007101|3333|#|SL1 3SA|
Department for Transport|Department for Transport|01/07/2014|Audit Fees (cash)|Group Internal Audit|Pricewaterhouse Coopers LLP|2000007095|221201.85|#|SE1 2RD|
Department for Transport|Department for Transport|01/07/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|ECOCHARGE Ltd|2000007121|10996.39|Ecocharge April i 2014 #10996.39|ST3 4DU|
Department for Transport|Department for Transport|01/07/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|ECOCHARGE Ltd|2000007121|8997.05|Ecocharge April 2014 #8997.05|ST3 4DU|
Department for Transport|Department for Transport|01/07/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Fellows Mortimer Associates Ltd|2000007117|2000|FMA April 2014 #2000.00|CV31 1TN|
Department for Transport|Department for Transport|01/07/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|xxxxxx|2000007120|5998.03|May 2014 #5998.03|xxxxxx|
Department for Transport|Department for Transport|01/07/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Norcroft Energy|2000007114|27990.82|Norcroft Energy April 2014 #27990.82|S36 7JA|
Department for Transport|Department for Transport|01/07/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Pocock Electrical Ltd|2000007118|5998.03|Pocock April 2014 #5998.03|DE21 4TG|
Department for Transport|Department for Transport|01/07/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Quindell Property Services Ltd|2000007119|7000|Quin Prop May 2014 #7000|TA6 4DH|
Department for Transport|Department for Transport|01/07/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|WDS Electrical Ltd|2000007116|3998.69|WDS Electrical April 2014 #3998.69|S61 2AH|
Department for Transport|Department for Transport|01/07/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|WRB Energy Ltd|2000007115|4998.36|WRB Energy Feb 2014 #4998.36|BT3 9JP|
Department for Transport|Department for Transport|01/07/2014|CurrGrtPriSec-P&NPIS|Motoring, Freight & London|RICARDO - AEA LIMITED|2000007108|44000|NCEC Q1|OX11 0PQ|
Department for Transport|Department for Transport|01/07/2014|Financial Consultanc|Rail Commercial & Programme Office|GRANT THORNTON UK LLP|2000007102|24300|#|NN4 7YE|
Department for Transport|Department for Transport|01/07/2014|Investigation Servic|Motoring Services|CH&I Associates Ltd|2000007111|2001.48|#|SK11 8AA|
Department for Transport|Department for Transport|01/07/2014|IT Consultancy|Portfolio Office|ATOS Worldline UK Ltd|2000007113|15532.57|#|WV10 6UH|
Department for Transport|Department for Transport|01/07/2014|IT Consultancy|Portfolio Office|ATOS Worldline UK Ltd|2000007113|15532.57|#|WV10 6UH|
Department for Transport|Department for Transport|01/07/2014|Legal Consultancy|Policy, Legislation and Funding|WINCKWORTH SHERWOOD|2000007098|190302|#|SE1 9BB|
Department for Transport|Department for Transport|01/07/2014|Non Stock Machine Co|Motoring Services|XMA LIMITED GOSC|2000007110|959.46|#|NG11 7EP|
Department for Transport|Department for Transport|01/07/2014|Other Advertising|Local|PENNA COMMUNICATIONS|2000007105|4137.93|#|EC4M 7RD|
Department for Transport|Department for Transport|01/07/2014|Other Professional F|Energy, Technology and International|RICARDO - AEA LIMITED|2000007108|21875|#|OX11 0PQ|
Department for Transport|Department for Transport|01/07/2014|Other Professional F|Energy, Technology and International|RICARDO - AEA LIMITED|2000007108|7329|#|OX11 0PQ|
Department for Transport|Department for Transport|01/07/2014|Printing|Group Communication|WILLIAMS LEA LIMITED|2000007107|20486.52|#|NR3 1PD|
Department for Transport|Department for Transport|01/07/2014|Protective Clothing|Rail Accident Investigation Branch|BURLINGTON UNIFORMS LTD|2000007085|579.6|Green bump cap JSP hardcap A1+ RAIB logo|EN3 7PX|
Department for Transport|Department for Transport|01/07/2014|Publicity|Group Communication|TNS UK LTD|2000007097|13950|#|W5 1UA|
Department for Transport|Department for Transport|01/07/2014|Recruitment Fees|Group Human Resource|HM REVENUE & CUSTOMS|2000007123|635.12|#|BN12 4XH|
Department for Transport|Department for Transport|01/07/2014|Research|Motoring, Freight & London|TWI Ltd|2000007112|10500|#|CB21 6AL|
Department for Transport|Department for Transport|01/07/2014|Research|Local|NATIONAL CENTRE FOR SOCIAL RESEARCH|2000007093|30625|#|EC1V 0AX|
Department for Transport|Department for Transport|01/07/2014|Research|Rail Commercial & Programme Office|PARSONS BRINCKERHOFF LTD|2000007094|5357.32|#|NE4 7YQ|
Department for Transport|Department for Transport|01/07/2014|Services prov by OGD|Motoring, Freight & London|DRIVING STANDARDS AGENCY|2000007122|414892.54|#|NG1 6LP|
Department for Transport|Department for Transport|01/07/2014|Services prov by OGD|Rail Director's Office|Directly Operated Railways Ltd|2000007106|138730.22|#|EC4A 1BL|
Department for Transport|Department for Transport|01/07/2014|Small Software|Motoring Services|INSIGHT DIRECT (UK) LTD|2000007086|1375.2|#|UB8 1PH|
Department for Transport|Department for Transport|01/07/2014|Support Services|Aviation|MORPHO DETECTION (UK) LTD|2000007100|1494.15|#|CB22 5LR|
Department for Transport|Department for Transport|01/07/2014|NLF Interest pay|Group Finance|HM TREASURY - NATIONAL LOANS FUND|2000007124|85276.86|CAA|SW1A 2HQ|
Department for Transport|Department for Transport|01/07/2014|NLF Principal Paid|Group Finance|HM TREASURY - NATIONAL LOANS FUND|2000007124|533135.16|CAA|SW1A 2HQ|
Department for Transport|Department for Transport|01/07/2014|Transport  Consult|Rail Commercial & Programme Office|PARSONS BRINCKERHOFF LTD|2000007094|12006.34|#|NE4 7YQ|
Department for Transport|Department for Transport|01/07/2014|Transport  Consult|Rail Commercial & Programme Office|PARSONS BRINCKERHOFF LTD|2000007094|924.85|#|NE4 7YQ|
Department for Transport|Department for Transport|01/07/2014|Transport  Consult|Aviation|MET OFFICE|2000007092|3812.4|#|EX1 3PB|
Department for Transport|Department for Transport|02/07/2014|Agency Staff Costs|Group Human Resource|HAYS PERSONNEL SERVICE LTD|2000007186|3249.48|#|KT3 4JQ|
Department for Transport|Department for Transport|02/07/2014|Agency Staff Costs|Major Projects & Growth|SPRING TECHNOLOGY LTD  ALSO T/A|2000007205|1320|#|B37 7YE|
Department for Transport|Department for Transport|02/07/2014|Agency Staff Costs|Group Finance|ALLEN LANE FINANCIAL RECRUITMENT|2000007188|1724.69|#|BN11 2BW|
Department for Transport|Department for Transport|02/07/2014|Agency Staff Costs|Group Finance|NETWORKERS INTERNATIONAL (UK) PLC|2000007204|774.9|#|BR1 1HP|
Department for Transport|Department for Transport|02/07/2014|Agency Staff Costs|Rail Franchising|Experis Ltd|2000007191|15474.82|#|EC2M 2RB|
Department for Transport|Department for Transport|02/07/2014|Cap Grt Loc Auth|Local|BATH & NE SOMERSET DC|2000007183|232000|2014-15 DfT Local Pinch Point Fund Grant|BA1 5AW|
Department for Transport|Department for Transport|02/07/2014|Cap Grt Loc Auth|Local|BIRMINGHAM CITY COUNCIL|2000007196|850000|2014-15 DfT Local Pinch Point Fund Grant|B1 1BB|
Department for Transport|Department for Transport|02/07/2014|Cap Grt Loc Auth|Local|COVENTRY CITY COUNCIL|2000007197|2464000|2014-15 DfT Local Pinch Point Fund Grant|CV1 2QL|
Department for Transport|Department for Transport|02/07/2014|Cap Grt Loc Auth|Local|ESSEX COUNTY COUNCIL|2000007184|2258000|2014-15 DfT Local Pinch Point Fund Grant|CM1 1LX|
Department for Transport|Department for Transport|02/07/2014|Cap Grt Loc Auth|Local|LEEDS CITY COUNCIL|2000007198|1442000|2014-15 DfT Local Pinch Point Fund Grant|LS2 8JR|
Department for Transport|Department for Transport|02/07/2014|Cap Grt Loc Auth|Local|NORFOLK COUNTY COUNCIL|2000007185|3910000|2014-15 DfT Local Pinch Point Fund Grant|NR1 2UG|
Department for Transport|Department for Transport|02/07/2014|Cap Grt Loc Auth|Local|NORTHUMBERLAND CC|2000007199|1953000|2014-15 DfT Local Pinch Point Fund Grant|NE61 2EF|
Department for Transport|Department for Transport|02/07/2014|Cap Grt Loc Auth|Local|ROTHERHAM MBC|2000007200|493000|2014-15 DfT Local Pinch Point Fund Grant|S60 1SN|
Department for Transport|Department for Transport|02/07/2014|Cap Grt Loc Auth|Local|STAFFORDSHIRE COUNTY COUNCIL|2000007201|692000|2014-15 DfT Local Pinch Point Fund Grant|ST16 2NF|
Department for Transport|Department for Transport|02/07/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Solar Cell Energy Ltd|2000007217|13995.41|SC Energy April  2014 #13995.41|BT71 4QF|
Department for Transport|Department for Transport|02/07/2014|Cars Maintenance|Motoring Services|Bristol Street First Investments|2000007210|595.06|#|BR2 9HS|
Department for Transport|Department for Transport|02/07/2014|Cars Maintenance|Motoring Services|CAMBRIA AUTOMOBILES SOUTH EAST LTD|2000007213|538.95|#|CR2 6EE|
Department for Transport|Department for Transport|02/07/2014|CurrGrtPriSec-P&NPIS|Energy, Technology and International|LOW CARBON VEHICLE PARTNERSHIP|2000007206|33000|LowCVP June Claim #33,000 DfT payment|SW1H 9JJ|
Department for Transport|Department for Transport|02/07/2014|Data Supply - TD|Motoring, Freight & London|TRL LTD|100008326|-56580.94|#|RG40 3GA|
Department for Transport|Department for Transport|02/07/2014|Data Supply - TD|Motoring, Freight & London|TRL LTD|100008326|56580.94|#|RG40 3GA|
Department for Transport|Department for Transport|02/07/2014|Eurotunnel Admin Pay|Rail Commercial & Programme Office|SNCF Caisse Generale|2000007146|5874537.68|SNCF FUNDS JUNE 2014 GBP EXCHANGE PLUS TVA|93633|
Department for Transport|Department for Transport|02/07/2014|Eurotunnel Admin Pay|Rail Commercial & Programme Office|SNCF TRESORERIE ENC RHT VFE|2000007147|5815579.97|SNCF TRESORERIE FUNDS JUNE 2014 EURO EXCHANGE|75014|
Department for Transport|Department for Transport|02/07/2014|IT Ser Running Costs|Analysis & Strategy|ATKINS LTD (TRANSPORT PLANNING)|2000007189|17669.24|#|WR5 1TX|
Department for Transport|Department for Transport|02/07/2014|Legal Consultancy|Major Projects & Growth|DLA PIPER UK LLP|2000007190|5127.36|#|M2 3DL|
Department for Transport|Department for Transport|02/07/2014|Legal Consultancy|Rail Franchising|DLA PIPER UK LLP|2000007190|9701.9|#|M2 3DL|
Department for Transport|Department for Transport|02/07/2014|Legal Consultancy|Rail Franchising|Eversheds LLP|2000007207|61140.12|#|EC2V 7WS|
Department for Transport|Department for Transport|02/07/2014|Mobile Phone charges|Group Finance|VODAFONE LTD|2000007195|9025.76|456 mobiles 14/6/14|RG14 5FF|
Department for Transport|Department for Transport|02/07/2014|Prog&ProjMgmt Consul|Strategic Roads & Smart Ticketing|Rail Settlement Plan|2000007193|57250.8|#|EC1A 4HD|
Department for Transport|Department for Transport|02/07/2014|Security|General Counsel's Office|FCO SERVICES|2000007181|1086|#|MK19 7BH|
Department for Transport|Department for Transport|02/07/2014|Small Software|Motoring Services|INSIGHT DIRECT (UK) LTD|2000007187|334772.25|#|UB8 1PH|
Department for Transport|Department for Transport|02/07/2014|Support Services|Group Finance|DD ACCRAILWAY PENS TRUSTEE|2000007202|2894.05|#|DL3 6XR|
Department for Transport|Department for Transport|02/07/2014|Support Services|Group Finance|DD ACCRAILWAY PENS TRUSTEE|2000007202|681.24|#|DL3 6XR|
Department for Transport|Department for Transport|02/07/2014|Training|Portfolio Office|THE RAILWAY CONSULTANCY LTD|2000007203|1300|#|SE19 2LT|
Department for Transport|Department for Transport|02/07/2014|Transport  Consult|Rail Franchising|ATKINS LTD (TRANSPORT PLANNING)|2000007189|31293.9|#|WR5 1TX|
Department for Transport|Department for Transport|03/07/2014|Agency Staff Costs|Local|BROOK STREET (UK) LIMITED|2000007311|555.89|#|AL1 4JB|
Department for Transport|Department for Transport|03/07/2014|Agency Staff Costs|Group Communication|MICHAEL PAGE INTERNATIONAL|2000007312|1379.94|#|SL1 3SA|
Department for Transport|Department for Transport|03/07/2014|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000007312|6420|#|SL1 3SA|
Department for Transport|Department for Transport|03/07/2014|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000007312|2568|#|SL1 3SA|
Department for Transport|Department for Transport|03/07/2014|Agency Staff Costs|Rail Strategy & Funding|CAPITA RESOURCING LTD|2000007313|8052|#|DL1 9HN|
Department for Transport|Department for Transport|03/07/2014|Agency Staff Costs|Rail Franchising|Badenoch & Clark c/o Lauren Rogers|2000007294|1514.66|#|B37 7YE|
Department for Transport|Department for Transport|03/07/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000007313|17982|#|DL1 9HN|
Department for Transport|Department for Transport|03/07/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000007313|10080|#|DL1 9HN|
Department for Transport|Department for Transport|03/07/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000007313|7110|#|DL1 9HN|
Department for Transport|Department for Transport|03/07/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000007313|9714.26|#|DL1 9HN|
Department for Transport|Department for Transport|03/07/2014|Agency Staff Costs|Rail Commercial & Programme Office|MICHAEL PAGE INTERNATIONAL|2000007312|579.12|#|SL1 3SA|
Department for Transport|Department for Transport|03/07/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Green Energy Solutions UK Ltd|2000007325|3998.68|GES March 2014 #3998.68|DN5 9TJ|
Department for Transport|Department for Transport|03/07/2014|Conferences / Semina|Aviation|COPTHORNE TARA HOTEL|2000007300|13225.01|#|W8 5SR|
Department for Transport|Department for Transport|03/07/2014|CurrGrtOth to NDPBs|Aviation|MARSHALL OF CAMBRIDGE AEROSPACE LTD|2000007320|259135.43|Cambridge final payment|CB5 8RX|
Department for Transport|Department for Transport|03/07/2014|Data Supply - TD|Transport Direct&Travel|INRIX MEDIA LTD|2000007316|18499.2|#|WA14 1EP|
Department for Transport|Department for Transport|03/07/2014|Data Supply - TD|Transport Direct&Travel|OAG WORLDWIDE LTD|2000007305|2210|#|LU1 3LU|
Department for Transport|Department for Transport|03/07/2014|Eurotunnel Admin Pay|Rail Commercial & Programme Office|EUROTUNNEL|2000007252|5107198.07|Opex & Usage Charges - June 2014|CT18 8XY|
Department for Transport|Department for Transport|03/07/2014|Eurotunnel Admin Pay|Rail Commercial & Programme Office|EUROTUNNEL (EURO PAYMENTS)|2000007251|5236355.55|Opex & Usage Charges - June 2014|CT18 8X|
Department for Transport|Department for Transport|03/07/2014|Financial Consultanc|Major Projects & Growth|WILLIS LIMITED|2000007315|9750|#|IP1  1TA|
Department for Transport|Department for Transport|03/07/2014|Financial Consultanc|Rail Franchising|GRANT THORNTON UK LLP|2000007314|73206|#|NN4 7YE|
Department for Transport|Department for Transport|03/07/2014|IT Consultancy|Portfolio Office|ATOS Worldline UK Ltd|2000007324|15532.57|#|WV10 6UH|
Department for Transport|Department for Transport|03/07/2014|IT Ser Running Costs|Group Communication|RACKSPACE LTD|2000007306|2401.01|#|UB3 4AZ|
Department for Transport|Department for Transport|03/07/2014|IT Ser Running Costs|Group Communication|RACKSPACE LTD|2000007306|-518.21|#|UB3 4AZ|
Department for Transport|Department for Transport|03/07/2014|IT Ser Running Costs|Motoring Services|Department for Education|2000007323|6011.28|#|CF14 3UW|
Department for Transport|Department for Transport|03/07/2014|L&B Excl Dwellings|Maritime|FAITHFUL & GOULD LTD|2000007326|14419.8|#|CF24 0AD|
Department for Transport|Department for Transport|03/07/2014|LGV/PCV Maintenance|Rail Accident Investigation Branch|DERBY OFFICE MACHINES LTD|100008367|836.38|Prod code 254772 Logitech Z130 speakers|DE1 3QB|
Department for Transport|Department for Transport|03/07/2014|LGV/PCV Maintenance|Rail Accident Investigation Branch|DERBY OFFICE MACHINES LTD|100008367|-836.38|Prod code 254772 Logitech Z130 speakers|DE1 3QB|
Department for Transport|Department for Transport|03/07/2014|LGV/PCV Maintenance|Rail Accident Investigation Branch|DERBY OFFICE MACHINES LTD|2000007302|836.38|#|DE1 3QB|
Department for Transport|Department for Transport|03/07/2014|Machinery Rental|Marine Accident Investigation Branch|CANON (UK) LTD|2000007296|2084.65|#|RH2 8BF|
Department for Transport|Department for Transport|03/07/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000007308|1196.65|#|BS24 9BP|
Department for Transport|Department for Transport|03/07/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000007308|480|#|BS24 9BP|
Department for Transport|Department for Transport|03/07/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000007308|14103.2|#|BS24 9BP|
Department for Transport|Department for Transport|03/07/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000007308|4785|#|BS24 9BP|
Department for Transport|Department for Transport|03/07/2014|Medical Examinations|Air Accident Investigation Branch|DEFENCE SCIENCE & TECHNOLOGY|2000007303|3487.54|#|PO14 9HL|
Department for Transport|Department for Transport|03/07/2014|Prog&ProjMgmt Consul|Local|STEER DAVIES & GLEAVE LTD|2000007307|46152|#|SE1 9PD|
Department for Transport|Department for Transport|03/07/2014|Research|Major Projects & Growth|TRANSPORT RESEARCH LABORATORY|2000007309|15706.36|#|RG40 3GA|
Department for Transport|Department for Transport|03/07/2014|Room Hire|Energy, Technology and International|CONFERENCE CENTRE AT CHURCH HOUSE|2000007299|5236.8|Resilience Review|SW1P 3NZ|
Department for Transport|Department for Transport|03/07/2014|Small Software|Motoring Services|INSIGHT DIRECT (UK) LTD|2000007293|33215.88|#|UB8 1PH|
Department for Transport|Department for Transport|03/07/2014|Small Software|Group Communication|Zendesk, Inc|2000007259|1093.74|#|94103|
Department for Transport|Department for Transport|03/07/2014|Support Services|Aviation|CIVIL AVIATION AUTHORITY|2000007297|48867.78|#|RH10 0YR|
Department for Transport|Department for Transport|03/07/2014|Support Services|Marine Accident Investigation Branch|BRAEMAR TECHNICAL SERVICES LTD|2000007319|4170.8|#|EC3N 3AA|
Department for Transport|Department for Transport|03/07/2014|Support Services|Aviation|CAA INTERNATIONAL LTD|2000007295|4250|#|RH6 0YR|
Department for Transport|Department for Transport|03/07/2014|Transport  Consult|Rail Commercial & Programme Office|GRANT THORNTON UK LLP|2000007314|354|#|NN4 7YE|
Department for Transport|Department for Transport|03/07/2014|Transport  Consult|Rail Commercial & Programme Office|GRANT THORNTON UK LLP|2000007314|5425.75|#|NN4 7YE|
Department for Transport|Department for Transport|03/07/2014|Transport  Consult|Rail Franchising|TRANSPORT RESEARCH LABORATORY|2000007309|101531.99|#|RG40 3GA|
Department for Transport|Department for Transport|03/07/2014|Travel Expenses UK|Air Accident Investigation Branch|REDFERN TRAVEL LTD|2000007317|11763.93|Redfern AAIB - June 2014|BD1 3AZ|
Department for Transport|Department for Transport|03/07/2014|Travel Expenses UK|Marine Accident Investigation Branch|CLYDE TRAVEL|2000007298|916.6|Rescan inv doc 01229298|G51 1HJ|
Department for Transport|Department for Transport|04/07/2014|Agency Staff Costs|Corporate Governance|Badenoch & Clark c/o Lauren Rogers|2000007370|3958.08|#|B37 7YE|
Department for Transport|Department for Transport|04/07/2014|Agency Staff Costs|Group Human Resource|HAYS PERSONNEL SERVICE LTD|2000007366|5184|#|KT3 4JQ|
Department for Transport|Department for Transport|04/07/2014|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000007378|3210|#|SL1 3SA|
Department for Transport|Department for Transport|04/07/2014|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000007378|3240|#|SL1 3SA|
Department for Transport|Department for Transport|04/07/2014|Agency Staff Costs|Major Projects & Growth|Badenoch & Clark c/o Lauren Rogers|2000007370|2978.16|#|B37 7YE|
Department for Transport|Department for Transport|04/07/2014|Agency Staff Costs|Rail Commercial & Programme Office|METHODS CONSULTING LTD|2000007377|11025.76|#|WC2H 8AD|
Department for Transport|Department for Transport|04/07/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Rolec Services Limited|2000007385|1352000|Rolec May 2014 #1352000|PE20 1Q|
Department for Transport|Department for Transport|04/07/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Solar Cell Energy Ltd|2000007386|20993.11|SC Energy Marc and May 2014 #20993.11|BT71 4QF|
Department for Transport|Department for Transport|04/07/2014|Cars Fuel|Motoring Services|ALLSTAR BUSINESS SOLUTIONS LIMITED|2000007369|13957.56|#|SN5 6PS|
Department for Transport|Department for Transport|04/07/2014|Cars Maintenance|Motoring Services|Professional Auto Centre Ltd|2000007383|530|#|SW8 1RY|
Department for Transport|Department for Transport|04/07/2014|Contract Cleaning|Marine Accident Investigation Branch|PROGRESS CLEANING SERVICES|2000007368|702|#|SO30 2FQ|
Department for Transport|Department for Transport|04/07/2014|Financial Consultanc|Group Procurement & Estate|PRGX UK LIMITED|2000007380|8176.8|#|LU1 3LU|
Department for Transport|Department for Transport|04/07/2014|Legal Consultancy|Rail Franchising|DLA PIPER UK LLP|2000007373|589.51|#|M2 3DL|
Department for Transport|Department for Transport|04/07/2014|Legal Consultancy|Rail Franchising|DLA PIPER UK LLP|2000007373|962.53|#|M2 3DL|
Department for Transport|Department for Transport|04/07/2014|Support Services|Motoring, Freight & London|HIGHWAYS AGENCY|2000007388|4771.6|#|B1 1RN|
Department for Transport|Department for Transport|04/07/2014|Support Services|Aviation|CAA INTERNATIONAL LTD|2000007371|24000|#|RH6 0YR|
Department for Transport|Department for Transport|04/07/2014|Transport  Consult|Aviation|JACOBS UK LTD|2000007374|109740|#|G2 7HX|
Department for Transport|Department for Transport|04/07/2014|Travel Expenses UK|Marine Accident Investigation Branch|CLYDE TRAVEL|2000007372|649.12|ML + NH - S'hampton to Nantes Bougon RTN 03-05.07|G51 1HJ|
Department for Transport|Department for Transport|04/07/2014|Travel Expenses UK|Rail Accident Investigation Branch|REDFERN TRAVEL LTD|2000007379|2608.92|Redfern RAIB - June 2014|BD1 3AZ|
Department for Transport|Department for Transport|07/07/2014|Agency Staff Costs|Rail Commercial & Programme Office|CAPITA RESOURCING LTD|2000007451|10717.2|#|DL1 9HN|
Department for Transport|Department for Transport|07/07/2014|Agency Staff Costs|Rail Strategy & Funding|CAPITA RESOURCING LTD|2000007451|4026|#|DL1 9HN|
Department for Transport|Department for Transport|07/07/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000007451|20812.46|#|DL1 9HN|
Department for Transport|Department for Transport|07/07/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000007451|12195.79|#|DL1 9HN|
Department for Transport|Department for Transport|07/07/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000007451|15598.44|#|DL1 9HN|
Department for Transport|Department for Transport|07/07/2014|Agency Staff Costs|Rail Commercial & Programme Office|MICHAEL PAGE INTERNATIONAL|2000007450|2580|#|SL1 3SA|
Department for Transport|Department for Transport|07/07/2014|Cap Grt Pri Sec-Cos.|Policy, Legislation and Funding|Eversheds LLP|2000007424|1361409.05|RshllFm/PEARCEN|CF10 5BT|
Department for Transport|Department for Transport|07/07/2014|Cap Grt Pri Sec-Cos.|Policy, Legislation and Funding|Eversheds LLP|2000007425|2080361|TwinOaks/PEARCEN|CF10 5BT|
Department for Transport|Department for Transport|07/07/2014|Cap Grt Pri Sec-Cos.|Policy, Legislation and Funding|Eversheds LLP|2000007426|1073116.59|Millhouse/PEARCEN|CF10 5BT|
Department for Transport|Department for Transport|07/07/2014|CurrGrt Las in AEF/A|Rail Strategy & Funding|TRANSPORT FOR LONDON|2000007452|2208700.87|TfL LOROL Grant July 2014 Claim|SW1H 0TL|
Department for Transport|Department for Transport|07/07/2014|CurrGrtPriSec-P&NPIS|Local|CORNWALL MOBILITY CENTRE LTD|2000007441|70685|Mobility Centres Payments Q2 2014-15|TR1 3LJ|
Department for Transport|Department for Transport|07/07/2014|CurrGrtPriSec-P&NPIS|Local|DERBY HOSPITALS|2000007442|57776|Mobility Centres Payments Q2 2014-15|DE1 2QY|
