DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIER2POSTCODE
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Group Finance|PARITY RESOURCES LTD|2000021207|21600|#|SW19 3RU
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Group Finance|PARITY RESOURCES LTD|2000021207|-21600|#|SW19 3RU
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Group Finance|PARITY RESOURCES LTD|2000021207|23040|#|SW19 3RU
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Group Finance|PARITY RESOURCES LTD|2000021207|16650|#|SW19 3RU
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000021194|3270.3|#|EC4V 4BG
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000021194|-3270.3|#|EC4V 4BG
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000021194|3270.3|#|EC4V 4BG
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Refran Prog Off|CAPITA RESOURCING LTD|2000021208|32606.27|#|DL1 9HN
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Refran Prog Off|CAPITA RESOURCING LTD|2000021208|4266|#|DL1 9HN
Department for Transport|Department for Transport|06/01/2014|Agency Staff Costs|Rail Commercial Contracts|LA INTERNATIONAL COMPUTER|2000021199|10149.05|#|ST1 5UB
Department for Transport|Department for Transport|06/01/2014|Cap Grt Pri Sec-Cos.|Rail|NETWORK RAIL INFRASTUCTURE LTD|2000021209|268631822.2|Period Network Rail Grant - 11th Payment|N1 9AG
Department for Transport|Department for Transport|06/01/2014|Computer equipment|Business Transformation|SPECIALIST COMPUTER CENTRES PLC|2000021211|561.02|#|B11 2LE
Department for Transport|Department for Transport|06/01/2014|Computer equipment|Marine Accident Investigation Branch|Probrand Ltd|2000021192|12.01|Delivery Charge|B1 3BP
Department for Transport|Department for Transport|06/01/2014|Computer equipment|Marine Accident Investigation Branch|Probrand Ltd|2000021192|37.58|Slim USB Portable DVD Burner|B1 3BP
Department for Transport|Department for Transport|06/01/2014|Computer equipment|Marine Accident Investigation Branch|Probrand Ltd|2000021192|1785.4|ThinkPad Helix 3698|B1 3BP
Department for Transport|Department for Transport|06/01/2014|Computer equipment|Marine Accident Investigation Branch|Probrand Ltd|2000021192|121.46|ThinkPad Ultrbay DVD Burner|B1 3BP
Department for Transport|Department for Transport|06/01/2014|Eurotunnel Admin Pay|Rail Commercial Contracts|EUROTUNNEL|2000021142|4675707.92|OPEX AND USAGE CHARGE FOR DEC 13|CT18 8XY
Department for Transport|Department for Transport|06/01/2014|Eurotunnel Admin Pay|Rail Commercial Contracts|EUROTUNNEL (EURO PAYMENTS)|2000021141|4863189.95|#|CT18 8X
Department for Transport|Department for Transport|06/01/2014|IT Consultancy|Marine Accident Investigation Branch|AVENCA LTD|2000021193|1665|#|SP5 3PJ
Department for Transport|Department for Transport|06/01/2014|IT Equip Cap Cost|Commercial & Technical Services|Probrand Ltd|2000021192|732|USB Keyboards|B1 3BP
Department for Transport|Department for Transport|06/01/2014|IT Equip Cap Cost|Commercial & Technical Services|Probrand Ltd|2000021192|6|USB Mice / Keyboards: Shipping|B1 3BP
Department for Transport|Department for Transport|06/01/2014|IT Equip Cap Cost|Commercial & Technical Services|Probrand Ltd|2000021192|482.4|USB Optical Mice|B1 3BP
Department for Transport|Department for Transport|06/01/2014|L&B Excl Dwellings|Maritime|FAITHFUL & GOULD LTD|2000021220|14419.2|#|CF24 0AD
Department for Transport|Department for Transport|06/01/2014|Legal Consultancy|DASH|WINCKWORTH SHERWOOD|2000021204|302817.66|#|SE1 9BB
Department for Transport|Department for Transport|06/01/2014|Machinery Rental|Business Transformation|DANWOOD GROUP LTD|2000021195|568.14|#|LN6 3DG
Department for Transport|Department for Transport|06/01/2014|Mobile Phone charges|Group Finance|T-MOBILE (UK) LTD|2000021202|655.82|T-Mobile - 43361515 - To Dec 13|AL10 9BW
Department for Transport|Department for Transport|06/01/2014|Mobile Phone charges|Group Finance|VODAFONE LTD|2000021205|5580|BB Curve 9320 Black Gov SP|RG14 5FF
Department for Transport|Department for Transport|06/01/2014|Printing|DASH|WILLIAMS LEA LIMITED|2000021217|4564.56|#|NR3 1PD
Department for Transport|Department for Transport|06/01/2014|Printing|DASH|WILLIAMS LEA LIMITED|2000021217|2521.2|#|NR3 1PD
Department for Transport|Department for Transport|06/01/2014|Printing|DASH|WILLIAMS LEA LIMITED|2000021217|-2521.2|#|NR3 1PD
Department for Transport|Department for Transport|06/01/2014|Printing|DASH|WILLIAMS LEA LIMITED|2000021217|-4564.56|#|NR3 1PD
Department for Transport|Department for Transport|06/01/2014|Recruitment|Group HR|RUSSELL REYNOLDS ASSOCIATES LTD|2000021213|16666.67|#|SW1Y 4HZ
Department for Transport|Department for Transport|06/01/2014|Storage & Distributi|Business Transformation|WILLIAMS LEA LIMITED|2000021217|9612.61|#|NR3 1PD
Department for Transport|Department for Transport|06/01/2014|Telecom Equipment|Business Transformation|AZZURRI COMMUNICATIONS LTD|2000021214|4500|5 Days Senior Engr - 20.12.2013|WS9 0RB
Department for Transport|Department for Transport|06/01/2014|Training|Rail|Systra Ltd|2000021201|3750|#|GU21 5BH
Department for Transport|Department for Transport|06/01/2014|Transport  Consult|Refran Prog Off|TRANSPORT RESEARCH LABORATORY|2000021203|113111.6|#|RG40 3GA
Department for Transport|Department for Transport|07/01/2014|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000021269|5352|#|KT3 4JQ
Department for Transport|Department for Transport|07/01/2014|Agency Staff Costs|Local|SPRING TECHNOLOGY LTD  ALSO T/A|2000021285|762.48|#|B37 7YE
Department for Transport|Department for Transport|07/01/2014|Agency Staff Costs|Local|SPRING TECHNOLOGY LTD  ALSO T/A|2000021285|612.72|#|B37 7YE
Department for Transport|Department for Transport|07/01/2014|Agency Staff Costs|Rail and Road Projects|BADENOCH & CLARK|2000021271|3088.8|#|EC4V 4BG
Department for Transport|Department for Transport|07/01/2014|Agency Staff Costs|Rail and Road Projects|EXPERIS LTD|2000021276|12080.04|#|EC1R 3DR
Department for Transport|Department for Transport|07/01/2014|Agency Staff Costs|Rail Commercial Contracts|NETWORKERS INTERNATIONAL (UK) PLC|2000021282|836.51|#|BR1 1HP
Department for Transport|Department for Transport|07/01/2014|Agency Staff Costs|Rail Commercial Contracts|NETWORKERS INTERNATIONAL (UK) PLC|2000021282|4182.54|#|BR1 1HP
Department for Transport|Department for Transport|07/01/2014|Agency Staff Costs|Rail Commercial Contracts|NETWORKERS INTERNATIONAL (UK) PLC|2000021282|3764.29|#|BR1 1HP
Department for Transport|Department for Transport|07/01/2014|Agency Staff Costs|Commercial & Technical Services|ATKINS LTD (TRANSPORT PLANNING)|2000021270|8486.4|#|WR5 1TX
Department for Transport|Department for Transport|07/01/2014|Agency Staff Costs|Group Finance|EXPERIS LTD|2000021276|3850.32|#|EC1R 3DR
Department for Transport|Department for Transport|07/01/2014|Agency Staff Costs|Refran Prog Off|EXPERIS LTD|2000021276|16580.16|#|EC1R 3DR
Department for Transport|Department for Transport|07/01/2014|Agency Staff Costs|Refran Prog Off|EXPERIS LTD|2000021276|2682.43|#|EC1R 3DR
Department for Transport|Department for Transport|07/01/2014|Cap Grt Pri Sec-Cos.|Greener Transport & International|BMW UK Ltd|2000021295|40000|PiCG BMW Oct 2013 #40k|RG12 8TA
Department for Transport|Department for Transport|07/01/2014|Computer equipment|Business Transformation|SPECIALIST COMPUTER CENTRES PLC|2000021283|7017.19|#|B11 2LE
Department for Transport|Department for Transport|07/01/2014|CurrGrt Las in AEF/A|London and Olympics|GREATER LONDON AUTHORITY|2000021296|76479000|GLA GRANT PAYMENT|SE1 2UT
Department for Transport|Department for Transport|07/01/2014|CurrGrtOth to NDPBs|Aviation|NORWICH AIRPORT LIMITED|2000021289|320429.33|Norwich principal application - final payment|NR6 6JA
Department for Transport|Department for Transport|07/01/2014|Legal Consultancy|Group HR|TREASURY SOLICITOR|2000021297|3338.16|#|WC2B 4TS
Department for Transport|Department for Transport|07/01/2014|Legal Consultancy|Refran Prog Off|NORTON ROSE LLP|2000021284|66306.37|#|SE1 2AQ
Department for Transport|Department for Transport|07/01/2014|Legal Consultancy|Refran Prog Off|DLA PIPER UK LLP|2000021275|4498.56|#|M2 3DL
Department for Transport|Department for Transport|07/01/2014|Printing|Air Accident Investigation Branch|WILLIAMS LEA LIMITED|100026852|-2332|#|NR3 1PD
Department for Transport|Department for Transport|07/01/2014|Printing|Air Accident Investigation Branch|WILLIAMS LEA LIMITED|100026852|2332|#|NR3 1PD
Department for Transport|Department for Transport|07/01/2014|Printing|Air Accident Investigation Branch|WILLIAMS LEA LIMITED|2000021288|1522.71|#|NR3 1PD
Department for Transport|Department for Transport|07/01/2014|Printing|Business Transformation|WILLIAMS LEA LIMITED|2000021288|17820|#|NR3 1PD
Department for Transport|Department for Transport|07/01/2014|Printing|Roads|WILLIAMS LEA LIMITED|2000021288|2197.8|#|NR3 1PD
Department for Transport|Department for Transport|07/01/2014|Printing|Aviation|WILLIAMS LEA LIMITED|2000021288|10425.8|#|NR3 1PD
Department for Transport|Department for Transport|07/01/2014|Rent - L&B (non-PFI)|Business Transformation|DWP SHARED SERVICES|2000021298|1001.58|#|CF14 3UW
Department for Transport|Department for Transport|07/01/2014|Research|Greener Transport & International|INSPEC INTERNATIONAL LTD|2000021277|7841.96|#|M6 6AJ
Department for Transport|Department for Transport|07/01/2014|Research|Greener Transport & International|Systra Ltd|2000021278|18844|#|GU21 5BH
Department for Transport|Department for Transport|07/01/2014|Subscriptions to Pro|Business Transformation|CHARTERED INST OF PURCHASING & SUPP|2000021272|3600|#|PE9 3NZ
Department for Transport|Department for Transport|07/01/2014|Support Services|Aviation|CIVIL AVIATION AUTHORITY|2000021273|7310.25|#|RH10 0YR
Department for Transport|Department for Transport|07/01/2014|Support Services|Group Finance|DD ACCRAILWAY PENS TRUSTEE|2000021280|987.04|#|DL3 6XR
Department for Transport|Department for Transport|07/01/2014|Support Services|General Counsel's Office|Irwin Mitchell|2000021292|88608|Industrial Injury Claim|S3 8DT
Department for Transport|Department for Transport|07/01/2014|Training|Group HR|SCT CONSULTANTS LTD|2000021287|4000|#|W8 5RL
Department for Transport|Department for Transport|07/01/2014|Training|Transport Security|Perpetuity Training Ltd|2000021294|1467|#|LE18 4XH
Department for Transport|Department for Transport|07/01/2014|Transport  Consult|Refran Prog Off|GRANT THORNTON UK LLP|2000021281|23779.97|#|NN4 7YE
Department for Transport|Department for Transport|07/01/2014|Transport  Consult|Portfolio Office|Portfolio Solutions Ltd|2000021293|3360|#|WD17 4UW
Department for Transport|Department for Transport|08/01/2014|Agency Staff Costs|Business Transformation|NETWORKERS INTERNATIONAL (UK) PLC|2000021346|1013.52|#|BR1 1HP
Department for Transport|Department for Transport|08/01/2014|Agency Staff Costs|Business Transformation|COMPUTACENTER (UK) LTD|2000021331|8568|#|AL10 9TW
Department for Transport|Department for Transport|08/01/2014|Agency Staff Costs|Local|SPRING TECHNOLOGY LTD  ALSO T/A|2000021348|609.98|#|B37 7YE
Department for Transport|Department for Transport|08/01/2014|Agency Staff Costs|Local|SPRING TECHNOLOGY LTD  ALSO T/A|2000021348|762.48|#|B37 7YE
Department for Transport|Department for Transport|08/01/2014|Agency Staff Costs|Local|EXPERIS LTD|2000021336|1341.18|#|EC1R 3DR
Department for Transport|Department for Transport|08/01/2014|Agency Staff Costs|Rail|EXPERIS LTD|2000021336|2383.38|#|EC1R 3DR
Department for Transport|Department for Transport|08/01/2014|Agency Staff Costs|Refran Prog Off|EXPERIS LTD|2000021336|4470.72|#|EC1R 3DR
Department for Transport|Department for Transport|08/01/2014|Agents Fees|Managing Director Motoring Services|DRIVER & VEHICLE LICENSING AGENCY|2000021335|4720.3|#|SA6 7JL
Department for Transport|Department for Transport|08/01/2014|Agents Fees|Managing Director Motoring Services|DRIVER & VEHICLE LICENSING AGENCY|2000021335|8213.89|#|SA6 7JL
Department for Transport|Department for Transport|08/01/2014|Computer Consumables|Transport Security - Security Compliance Division |XMA LIMITED GOSC|2000021353|1052.49|#|NG11 7EP
Department for Transport|Department for Transport|08/01/2014|IT Equip Cap Cost|Commercial & Technical Services|KONICA MINOLTA BUS. SOLUTIONS  (UK)|2000021329|2110.7|#|SS14 3AR
Department for Transport|Department for Transport|08/01/2014|IT Equip Cap Cost|Commercial & Technical Services|KONICA MINOLTA BUS. SOLUTIONS  (UK)|2000021329|2110.7|#|SS14 3AR
Department for Transport|Department for Transport|08/01/2014|IT Ser Running Costs|Business Transformation|SPECIALIST COMPUTER CENTRES PLC|2000021347|11016|#|B11 2LE
Department for Transport|Department for Transport|08/01/2014|Legal Consultancy|Refran Prog Off|DLA PIPER UK LLP|2000021333|13520.64|#|M2 3DL
Department for Transport|Department for Transport|08/01/2014|Machinery Rental|Local|RICOH UK LTD|2000021337|1921.67|#|NN4 7YB
Department for Transport|Department for Transport|08/01/2014|Machinery Rental|Transport Security Strategy|RICOH UK LTD|2000021337|490.99|#|NN4 7YB
Department for Transport|Department for Transport|08/01/2014|Pip - Rtoc|Rail Commercial Contracts|CHILTERN RAILWAYS|2000021344|-5409.65|1410 Wk4 PIP P1409 - The Chiltern Railway Company|HP20 2RX
Department for Transport|Department for Transport|08/01/2014|Rates|Group Finance|THE FINANCIAL REPORTING COUNCIL|2000021351|7033|#|LN5 5ET
Department for Transport|Department for Transport|08/01/2014|Recruitment Fees|Group HR|ODGERS RAY & BERNDSTON|2000021339|7200|#|EC4M 6XD
Department for Transport|Department for Transport|08/01/2014|Research|Aviation|CIVIL AVIATION AUTHORITY|2000021330|37635.88|#|RH10 0YR
Department for Transport|Department for Transport|08/01/2014|Schedule 8 Fixed Per|Rail Commercial Contracts|ARRIVA TRAINS WALES|2000021345|1152761.55|1410 Wk4 CP2SR P1409 - Arriva Trains Wales Limited|CF10 5DJ
Department for Transport|Department for Transport|08/01/2014|Schedule 8 Fixed Per|Rail Commercial Contracts|ARRIVA TRAINS WALES|2000021345|-66641.08|1410 Wk4 RTMRE P1409 - Arriva Trains Wales Limited|CF10 5DJ
Department for Transport|Department for Transport|08/01/2014|Schedule 8 Fixed Per|Rail Commercial Contracts|ARRIVA TRAINS WALES|2000021345|54238.85|1410 Wk4 TS8A  P1409 - Arriva Trains Wales Limited|CF10 5DJ
Department for Transport|Department for Transport|08/01/2014|Schedule 8 Fixed Per|Rail Commercial Contracts|CHILTERN RAILWAYS|2000021344|31562.92|1410 Wk4 CP2SR P1409 - The Chiltern Railway Compan|HP20 2RX
Department for Transport|Department for Transport|08/01/2014|Schedule 8 Fixed Per|Rail Commercial Contracts|CHILTERN RAILWAYS|2000021344|-24490.71|1410 Wk4 RTMRE P1409 - The Chiltern Railway Compan|HP20 2RX
Department for Transport|Department for Transport|08/01/2014|Schedule 8 Fixed Per|Rail Commercial Contracts|CHILTERN RAILWAYS|2000021344|15037.09|1410 Wk4 TS8A P1409 - The Chiltern Railway Company|HP20 2RX
Department for Transport|Department for Transport|08/01/2014|SFIP|Rail Commercial Contracts|CHILTERN RAILWAYS|2000021344|-6011.09|1410 Wk4 SFIP P1409 - The Chiltern Railway Company|HP20 2RX
Department for Transport|Department for Transport|08/01/2014|Subscriptions to Pro|Group HR|BUSINESS IN THE COMMUNITY|2000021350|6300|#|N1 7RQ
Department for Transport|Department for Transport|08/01/2014|Support Services|Aviation|NATIONAL AIR TRAFFIC SERV (ENROUTE)|2000021343|119188.75|#|EH4 1PU
Department for Transport|Department for Transport|08/01/2014|Support Services|Aviation|NORWICH AIRPORT LTD|2000021338|29988|#|NR6 6JA
Department for Transport|Department for Transport|08/01/2014|Support Services|Rail and Road Projects|NETWORK RAIL|2000021328|444790.8|#|M60 7RT
Department for Transport|Department for Transport|08/01/2014|Support Services|Transport Security Strategy|HIGHWAYS AGENCY|2000021327|690|#|B1 1RN
Department for Transport|Department for Transport|08/01/2014|Transport  Consult|Rail|TRANSPORT RESEARCH LABORATORY|2000021341|24000|#|RG40 3GA
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Business Transformation|LA INTERNATIONAL COMPUTER|2000021409|4014.72|#|ST1 5UB
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000021402|688.49|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000021402|1721.22|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000021402|2409.72|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000021402|2289.24|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000021402|1721.22|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000021402|1721.22|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000021402|1549.1|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Rail Commercial Contracts|BADENOCH & CLARK|2000021402|2409.72|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|General Counsel's Office|BADENOCH & CLARK|2000021402|3098.16|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|General Counsel's Office|BADENOCH & CLARK|2000021402|3098.16|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|General Counsel's Office|BADENOCH & CLARK|2000021402|3098.16|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|General Counsel's Office|BADENOCH & CLARK|2000021402|3098.16|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Highspeed 2|BADENOCH & CLARK|2000021402|2928|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Highspeed 2|BADENOCH & CLARK|2000021402|3660|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Highspeed 2|BADENOCH & CLARK|2000021402|3660|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|100026939|4062|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|100026939|-4062|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|100026940|4062|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|100026940|-4062|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000021402|4062|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000021402|4062|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000021402|4942.38|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000021402|2836.56|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000021402|4062|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000021402|4942.38|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Motoring Services|BADENOCH & CLARK|2000021402|3705|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000021402|4942.38|#|EC4V 4BG
Department for Transport|Department for Transport|09/01/2014|Agency Staff Costs|Motoring Services|BADENOCH & CLARK|2000021402|2964|#|EC4V 4BG
