DEPARTMENTFAMILY|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
Department for Transport|Department for Transport|04/08/2010|Other Current Grants to NDPBs (in budgets)|Maritime and Dangerous Goods|MANORISMS LLP|2000010718|1480.5
Department for Transport|Department for Transport|04/08/2010|Estate Management|Finance & Estates |AMEY BUSINESS SERVICES LTD|2000010719|315189.29
Department for Transport|Department for Transport|04/08/2010|Capital Grants to Local Authorities|Regional & Local Transport|BRISTOL CITY|2000010720|555556
Department for Transport|Department for Transport|04/08/2010|Capital Grants to Local Authorities|Regional & Local Transport|GREATER MANCHESTER ITA|2000010720|555556
Department for Transport|Department for Transport|04/08/2010|Capital Grants to Local Authorities|Regional & Local Transport|LEICESTER CITY COUNCIL|2000010720|555556
Department for Transport|Department for Transport|04/08/2010|Capital Grants to Local Authorities|Regional & Local Transport|MERSEYTRAVEL|2000010720|555556
Department for Transport|Department for Transport|04/08/2010|Capital Grants to Local Authorities|Regional & Local Transport|NOTTINGHAM CITY COUNCIL|2000010720|555556
Department for Transport|Department for Transport|04/08/2010|Capital Grants to Local Authorities|Regional & Local Transport|SOUTH YORKSHIRE ITA|2000010720|555556
Department for Transport|Department for Transport|04/08/2010|Capital Grants to Local Authorities|Regional & Local Transport|TYNE AND WEAR ITA|2000010720|555556
Department for Transport|Department for Transport|04/08/2010|Capital Grants to Local Authorities|Regional & Local Transport|WEST YORKSHIRE ITA|2000010720|555556
Department for Transport|Department for Transport|04/08/2010|Current Grants to LAs within AEF/AEG|Regional & Local Transport|LEICESTER CITY COUNCIL|2000010720|360944
Department for Transport|Department for Transport|04/08/2010|Traffic Survey & Counting Equipment|London and Road Demand Management|NOTTINGHAMSHIRE CC|2000010721|11517
Department for Transport|Department for Transport|05/08/2010|Management Consultancy|Rail Strategy & Stakeholder Relations|BURGES SALMON|2000001713|7832.36
Department for Transport|Department for Transport|05/08/2010|Management Consultancy|Projects|JACOBS ENGINEERING U.K. LTD|2000001714|3225
Department for Transport|Department for Transport|05/08/2010|Management Consultancy|Projects|MOTT MACDONALD|2000001715|4404
Department for Transport|Department for Transport|05/08/2010|Management Consultancy|Strategic Roads and National Networks|MOTT MACDONALD|2000001715|36800
Department for Transport|Department for Transport|05/08/2010|Management Consultancy|Projects|PRICEWATERHOUSECOOPERS LLP|2000001716|7207.79
Department for Transport|Department for Transport|05/08/2010|Agency Staff Costs|Projects|REED SPECIALIST RECRUITMENT LTD|2000001717|567.11
Department for Transport|Department for Transport|05/08/2010|Management Consultancy|Finance & Planning|BOVIS LEND LEASE CONSULTING LTD|2000001718|10800
Department for Transport|Department for Transport|05/08/2010|Management Consultancy|Projects|BOVIS LEND LEASE CONSULTING LTD|2000001718|46552.5
Department for Transport|Department for Transport|05/08/2010|Agency Staff Costs|Procurement|CAPITA RESOURCING LTD|2000001720|3434.76
Department for Transport|Department for Transport|05/08/2010|Programme and Project Management Consultancy|Rail Technical & Professional|RC&M SERVICES (UK) LTD|2000001721|15545.25
Department for Transport|Department for Transport|05/08/2010|Transport Consultancy|Maritime and Dangerous Goods|ENVIRONMENTAL SCIENTIFICS GROUP LTD|2000010760|992
Department for Transport|Department for Transport|05/08/2010|Transport Consultancy|Regional & Local Transport|ATKINS LTD (MANAGEMENT CONSULTANTS)|2000010761|7290.88
Department for Transport|Department for Transport|05/08/2010|Agency Staff Costs|Human Resources|BADENOCH & CLARK|2000010762|2937.5
Department for Transport|Department for Transport|05/08/2010|Management Consultancy|Aviation|CAMBRIDGE ENVIRONMENTAL RESEARCH|2000010764|19822.25
Department for Transport|Department for Transport|05/08/2010|Contract Cleaning|Accident Investigating Branches|CLIENTCARE CLEANING LTD|2000010765|448
Department for Transport|Department for Transport|05/08/2010|Management Consultancy|London and Road Demand Management|DETICA LTD|2000010767|18664.15
Department for Transport|Department for Transport|05/08/2010|Transport Consultancy|London and Road Demand Management|DETICA LTD|2000010767|116492.94
Department for Transport|Department for Transport|05/08/2010|Support Services|Aviation|DURHAM TEES VALLEY AIRPORT LIMITED|2000010768|27916.24
Department for Transport|Department for Transport|05/08/2010|Research|Transform Licensing Logistics and Sponsorship|AECOM LIMITED|2000010769|3496
Department for Transport|Department for Transport|05/08/2010|Minor Developments|Transport Security|INTOUCHUK.COM LTD|2000010770|1576.52
Department for Transport|Department for Transport|05/08/2010|Traffic Survey & Counting Equipment|London and Road Demand Management|JACOBS ENGINEERING U.K. LTD|2000010771|40694
Department for Transport|Department for Transport|05/08/2010|Training|Aviation|JOB ORIENTATED LANGUAGE TRAINING|2000010772|539
Department for Transport|Department for Transport|05/08/2010|Management Consultancy|Corporate Finance|MR TIMOTHY CHARLES MARTIN|2000010774|8737.5
