DEPARTMENTALFAMILY|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIER2POSTCODE|2
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Starfish Installations Ltd|2000006464|900|Starfish Apr 2015 #900|NR13 5FH|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Tesla Motors Limited GBP|2000006461|145000|PiCG TESLA MAY2015 #145,000K|UB7 8JD|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|VAUXHALL MOTORS|2000006452|40000|PiCG Vauxhall May 2015 #40,000|LU1 3YT|
Department for Transport|Department for Transport|01/07/2015|Contract Cleaning|Rail Accident Investigation Branch|OFFICE CARE LTD|2000006450|1333.82|#|DE24 8AN|
Department for Transport|Department for Transport|01/07/2015|Legal Consultancy|Group Human Resource|Government Legal Department|2000006469|20435.77|#|WC2B 4TS|
Department for Transport|Department for Transport|01/07/2015|Legal Consultancy|Rail Franchising|ADDLESHAW GODDARD LIMITED|2000006449|3979.8|#|M2 3AB|
Department for Transport|Department for Transport|01/07/2015|Legal Consultancy|Group Finance|DFT ONE TIME VENDOR|2000006468|1990|120882|SW1P 4DR|
Department for Transport|Department for Transport|01/07/2015|NLF Interest pay|Aviation|HM TREASURY - NATIONAL LOANS FUND|2000006472|68704.79|CAA July Interest|SW1A 2HQ|
Department for Transport|Department for Transport|01/07/2015|NLF Principal Paid|Aviation|HM TREASURY - NATIONAL LOANS FUND|2000006472|549707.23|CAA July Principal|SW1A 2HQ|
Department for Transport|Department for Transport|01/07/2015|Non Stock Machine Co|Motoring Services|XMA LIMITED GOSC|2000006453|1181.16|#|NG11 7EP|
Department for Transport|Department for Transport|01/07/2015|Recruitment Fees|Group Human Resource|HM REVENUE & CUSTOMS|2000006470|8102.1|#|BN12 4XH|
Department for Transport|Department for Transport|01/07/2015|Research|Local|NATIONAL CENTRE FOR SOCIAL RESEARCH|2000006442|137704.12|#|EC1V 0AX|
Department for Transport|Department for Transport|01/07/2015|Research|Local|NATIONAL CENTRE FOR SOCIAL RESEARCH|2000006442|17204|#|EC1V 0AX|
Department for Transport|Department for Transport|01/07/2015|Research|Rail Strategy & Funding|TRANSPORT RESEARCH LABORATORY|2000006445|28582.44|#|RG40 3GA|
Department for Transport|Department for Transport|01/07/2015|Research|Analysis & Strategy|ATKINS LTD (TRANSPORT PLANNING)|2000006439|10659.85|#|WR5 1TX|
Department for Transport|Department for Transport|01/07/2015|Schedule 8 Fixed Per|Rail Commercial & Programme Office|ARRIVA TRAINS WALES|2000006448|141483.63|1604 Wk4 CP2SR_P1602 - ARRIVA TRAINS WALES LIMITED|CF10 5DJ|
Department for Transport|Department for Transport|01/07/2015|Schedule 8 Fixed Per|Rail Commercial & Programme Office|ARRIVA TRAINS WALES|2000006448|-33764.56|1604 Wk4 RTMRE_P1602 - ARRIVA TRAINS WALES LIMITED|CF10 5DJ|
Department for Transport|Department for Transport|01/07/2015|Schedule 8 Fixed Per|Rail Commercial & Programme Office|ARRIVA TRAINS WALES|2000006448|57642.7|1604 Wk4 TS8A_1602 - ARRIVA TRAINS WALES LIMITED|CF10 5DJ|
Department for Transport|Department for Transport|01/07/2015|Support Services|Group Assurance|DEFRA|2000006438|1143.75|Refund to DEFRA|YO1 7PX|
Department for Transport|Department for Transport|01/07/2015|Support Services|Aviation|Civil Aviation Authority|2000006440|222171.34|#|RH6 0YR|
Department for Transport|Department for Transport|01/07/2015|Transport  Consult|Local|ATKINS LTD (TRANSPORT PLANNING)|2000006439|3694.73|#|WR5 1TX|
Department for Transport|Department for Transport|01/07/2015|Transport  Consult|Aviation|xxxxxx|2000006457|1521.96|#|xxxxxx|
Department for Transport|Department for Transport|01/07/2015|Transport  Consult|Rail Franchising|PARSONS BRINCKERHOFF LTD|2000006443|42411.2|#|NE4 7YQ|
Department for Transport|Department for Transport|01/07/2015|Transport  Consult|Rail Franchising|PARSONS BRINCKERHOFF LTD|2000006443|16804.64|#|NE4 7YQ|
Department for Transport|Department for Transport|01/07/2015|Transport  Consult|Rail Commercial & Programme Office|TRANSPORT RESEARCH LABORATORY|2000006445|6200.29|#|RG40 3GA|
Department for Transport|Department for Transport|01/07/2015|Transport  Consult|Rail Commercial & Programme Office|TRANSPORT RESEARCH LABORATORY|2000006445|23858.33|#|RG40 3GA|
Department for Transport|Department for Transport|01/07/2015|Travel Expenses UK|Group Human Resource|Government Legal Department|2000006469|535.9|#|WC2B 4TS|
Department for Transport|Department for Transport|02/07/2015|Agency Staff Costs|Group Assurance|Badenoch & Clark c/o Lauren Rogers|2000006518|3753.36|#|B37 7YE|
Department for Transport|Department for Transport|02/07/2015|Agency Staff Costs|Integrated Delivery|Allen Lane|2000006515|4036.38|#|SW1Y 6RJ|
Department for Transport|Department for Transport|02/07/2015|Agency Staff Costs|Integrated Delivery|Allen Lane|2000006515|4036.38|#|SW1Y 6RJ|
Department for Transport|Department for Transport|02/07/2015|Agency Staff Costs|Integrated Delivery|MICHAEL PAGE INTERNATIONAL|2000006530|3594|#|SL1 3SA|
Department for Transport|Department for Transport|02/07/2015|Agency Staff Costs|Major Projects & Growth|Experis Ltd|2000006520|6040.02|#|EC2M 2RB|
Department for Transport|Department for Transport|02/07/2015|Agency Staff Costs|Major Projects & Growth|Experis Ltd|2000006520|4793.46|#|EC2M 2RB|
Department for Transport|Department for Transport|02/07/2015|Agency Staff Costs|Rail Commercial & Programme Office|Experis Ltd|2000006520|3423.9|#|EC2M 2RB|
Department for Transport|Department for Transport|02/07/2015|Agency Staff Costs|Group Finance|Allen Lane|2000006515|2468.82|#|SW1Y 6RJ|
Department for Transport|Department for Transport|02/07/2015|Agency Staff Costs|Rail Commercial & Programme Office|Experis Ltd|2000006520|5999.4|#|EC2M 2RB|
Department for Transport|Department for Transport|02/07/2015|Cap Grt Loc Auth|Local|WOKINGHAM DC|2000006538|21000|LSTF 2014-15 Wokingham Q4 Capital|RG40 1JW|
Department for Transport|Department for Transport|02/07/2015|Cap Grt Pri Sec-Cos.|Network Rail Sponsorship|Network Rail|2000006539|351027.51|Gospel Oak - Barking Electrification GRIP 3 works|M60 7W|
Department for Transport|Department for Transport|02/07/2015|CurrGrt Las in AEF/A|Local|Brighton & Hove City Council|2000006537|5337|LSTF Payment 2014-15 Q4 Brighton & Hove|BN1 1JE|
Department for Transport|Department for Transport|02/07/2015|CurrGrt Las in AEF/A|Local|WOKINGHAM DC|2000006538|62500|LSTF 2014-15 Wokingham Q4 Revenue|RG40 1JW|
Department for Transport|Department for Transport|02/07/2015|Eurotunnel Admin Pay|Rail Commercial & Programme Office|SNCF Caisse Generale|2000006494|5981624.21|SNCF JUNE 2015|93633|
Department for Transport|Department for Transport|02/07/2015|Eurotunnel Admin Pay|Rail Commercial & Programme Office|SNCF TRESORERIE ENC RHT VFE|2000006495|5201062.45|SNCF JUNE 2015 EURO|75014|
Department for Transport|Department for Transport|02/07/2015|IT Consultancy|Marine Accident Investigation Branch|AVENCA LTD|2000006517|720|#|SP5 3PJ|
Department for Transport|Department for Transport|02/07/2015|IT Equip Cap Cost|Motoring Services|ANS Group plc|2000006535|9142.97|#|M15 6SY|
Department for Transport|Department for Transport|02/07/2015|IT Equip Cap Cost|Motoring Services|ANS Group plc|2000006535|4361.48|#|M15 6SY|
Department for Transport|Department for Transport|02/07/2015|IT Ser Running Costs|Motoring Services|Department for Education|2000006534|1564.92|#|FY5 3TA|
Department for Transport|Department for Transport|02/07/2015|IT Ser Running Costs|Marine Accident Investigation Branch|AVENCA LTD|2000006517|360|#|SP5 3PJ|
Department for Transport|Department for Transport|02/07/2015|Legal Consultancy|Maritime|Slaughter and May|2000006526|52380.48|#|EC1Y 8YY|
Department for Transport|Department for Transport|02/07/2015|Legal Consultancy|Policy, Legislation and Funding|xxxxxx|100008539|11400|#|xxxxxx|
Department for Transport|Department for Transport|02/07/2015|Legal Consultancy|Policy, Legislation and Funding|xxxxxx|100008539|-11400|#|xxxxxx|
Department for Transport|Department for Transport|02/07/2015|Legal Costs - Prosec|Energy, Technology and International|Government Legal Department|2000006511|35921.65|Settlement of Total Legal Case costs|WC2B 4TS|
Department for Transport|Department for Transport|02/07/2015|Media & Press|Group Communications|Cabinet Office|2000006512|20000|#|FY5 3TA|
Department for Transport|Department for Transport|02/07/2015|Periodicals & Subs|Motoring Services|WOLTERSKLUWER UK|2000006514|851.37|#|KT2 6SR|
Department for Transport|Department for Transport|02/07/2015|Property Consultancy|Maritime|FAITHFUL & GOULD LTD|2000006513|5689.16|#|CF24 0AD|
Department for Transport|Department for Transport|02/07/2015|Research|Energy, Technology and International|HALCROW GROUP LTD|2000006521|22751.21|#|W6 7EF|
Department for Transport|Department for Transport|02/07/2015|Research|Aviation|Civil Aviation Authority|2000006519|8907.69|#|RH6 0YR|
Department for Transport|Department for Transport|02/07/2015|Research|Aviation|Civil Aviation Authority|2000006519|620.67|#|RH6 0YR|
Department for Transport|Department for Transport|02/07/2015|Research|Analysis & Strategy|IPSOS UK|2000006531|13487.5|#|HA1 1PT|
Department for Transport|Department for Transport|02/07/2015|Translation Services|Marine Accident Investigation Branch|K INTERNATIONAL PLC|2000006523|534.24|#|MK5 8PL|
Department for Transport|Department for Transport|02/07/2015|Transport  Consult|Major Projects & Growth|JACOBS UK LTD|2000006522|178298.32|#|G2 7HX|
Department for Transport|Department for Transport|02/07/2015|Transport  Consult|Rail Commercial & Programme Office|PARSONS BRINCKERHOFF LTD|2000006524|47513.32|#|NE4 7YQ|
Department for Transport|Department for Transport|02/07/2015|Water|Group Procurement and Property|Thames Water Utilities Ltd|2000006528|9466.47|Thames Water - SW1P 4DR 11.2.15 to 18.5.15|LS14 3WP|
Department for Transport|Department for Transport|03/07/2015|Agency Staff Costs|Air Accident Investigation Branch|BROOK STREET (UK) LIMITED|2000006577|684.52|#|AL1 4JB|
Department for Transport|Department for Transport|03/07/2015|Agency Staff Costs|Project Sponsorship|Experis Ltd|2000006568|4108.68|#|EC2M 2RB|
Department for Transport|Department for Transport|03/07/2015|Cap Grt Pri Sec-Cos.|Major Projects & Growth|LONDON UNDERGROUND|2000006581|26013.17|Kings Cross Southern Square PPA Costs|NW1 2AH|
Department for Transport|Department for Transport|03/07/2015|CurrGrtPriSec-P&NPIS|Motoring, Freight & London|Police & Crime Commisssioner for|2000006579|15299.07|PLO - April to May 2015|GL2 2AN|
Department for Transport|Department for Transport|03/07/2015|Electricity|Rail Accident Investigation Branch|BRITISH GAS BUSINESS|2000006565|865.34|5.2. to 4.3.15 DE21 4BA- Electricity|GU95 1AW|
Department for Transport|Department for Transport|03/07/2015|Eurotunnel Admin Pay|Rail Commercial & Programme Office|Eurotunnel|2000006563|4676104.74|Opex & Usage Charges June 15 - Euro Payment|CT18 8XX|
Department for Transport|Department for Transport|03/07/2015|Eurotunnel Admin Pay|Rail Commercial & Programme Office|EUROTUNNEL|2000006562|5201936.84|Opex & Usage Charges June 15 - GBP Payment|CT18 8XY|
Department for Transport|Department for Transport|03/07/2015|Investigation Servic|Rail Accident Investigation Branch|Ricardo Rail Limited|2000006569|12000|#|DE24 8ZS|
Department for Transport|Department for Transport|03/07/2015|IT Ser Running Costs|Analysis & Strategy|NETFUNDI LTD|2000006572|810|#|LA1 1SQ|
Department for Transport|Department for Transport|03/07/2015|IT Ser Running Costs|Analysis & Strategy|NETFUNDI LTD|2000006572|810|#|LA1 1SQ|
Department for Transport|Department for Transport|03/07/2015|Purchasing Card Char|RTL DG's Office|BARCLAYS BANK PLC|2000006564|18749.69|Barclays - DFT/RT&L July 2015|NN4 7SG|
Department for Transport|Department for Transport|03/07/2015|Purchasing Card Char|RTL DG's Office|BARCLAYS BANK PLC|2000006564|1241.58|Barclays - DFT/RT&L July 2015|NN4 7SG|
Department for Transport|Department for Transport|03/07/2015|Purchasing Card Char|ISE - DG's Office|BARCLAYS BANK PLC|2000006564|20496.99|Barclays - DFT/ISE July 2015|NN4 7SG|
Department for Transport|Department for Transport|03/07/2015|Purchasing Card Char|ISE - DG's Office|BARCLAYS BANK PLC|2000006564|28315.45|Barclays - DFT/ISE July 2015|NN4 7SG|
Department for Transport|Department for Transport|03/07/2015|Purchasing Card Char|Group Finance|BARCLAYS BANK PLC|2000006564|-1717.64|Barclays - DFT/R&S July 2015|NN4 7SG|
Department for Transport|Department for Transport|03/07/2015|Purchasing Card Char|Group Finance|BARCLAYS BANK PLC|2000006564|31047.52|Barclays - DFT/R&S July 2015|NN4 7SG|
Department for Transport|Department for Transport|03/07/2015|Research|Motoring, Freight & London|Ecorys UK Ltd|2000006588|11470|#|B1 2RA|
Department for Transport|Department for Transport|03/07/2015|Research|Transport Security Co-ordination and Response|DEFENCE SCIENCE & TECHNOLOGY|2000006567|7200|#|PO14 9HL|
Department for Transport|Department for Transport|03/07/2015|Support Services|Local|PLANNING INSPECTORATE|2000006590|1493.59|#|BS1 6PN|
Department for Transport|Department for Transport|03/07/2015|Support Services|Aviation|Civil Aviation Authority|2000006566|21128.57|#|RH6 0YR|
Department for Transport|Department for Transport|03/07/2015|Traffic Survey & Cou|Motoring, Freight & London|PARSONS BRINCKERHOFF LTD|2000006573|524202.62|#|NE4 7YQ|
Department for Transport|Department for Transport|03/07/2015|Transport  Consult|Major Projects & Growth|FIRST CLASS PARTNERSHIPS LTD|2000006580|40338|#|YO10 3EB|
Department for Transport|Department for Transport|03/07/2015|Transport  Consult|Aviation|Systra Ltd|2000006571|3816|#|GU21 5BH|
Department for Transport|Department for Transport|03/07/2015|Waste disposal/Refus|Group Procurement and Property|Banner Business Services Ltd|2000006584|733.75|#|NR3 1QU|
Department for Transport|Department for Transport|03/07/2015|Waste disposal/Refus|Group Procurement and Property|Banner Business Services Ltd|2000006584|517.5|#|NR3 1QU|
Department for Transport|Department for Transport|03/07/2015|YR-Dental|Human Resources|National Dental Plan Limited|2000006601|592|3rd Party Payment June/2015|EC3N 1DY|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Air Accident Investigation Branch|BROOK STREET (UK) LIMITED|2000006710|636.25|#|AL1 4JB|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Local|BROOK STREET (UK) LIMITED|2000006710|697.94|#|AL1 4JB|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Local|BROOK STREET (UK) LIMITED|2000006710|697.94|#|AL1 4JB|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Local|BROOK STREET (UK) LIMITED|2000006710|609.12|#|AL1 4JB|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Local|BROOK STREET (UK) LIMITED|2000006710|697.94|#|AL1 4JB|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Local|BROOK STREET (UK) LIMITED|2000006710|609.12|#|AL1 4JB|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Local|BROOK STREET (UK) LIMITED|2000006710|609.12|#|AL1 4JB|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Local|BROOK STREET (UK) LIMITED|2000006710|617.58|#|AL1 4JB|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Local|BROOK STREET (UK) LIMITED|2000006710|681.02|#|AL1 4JB|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Local|BROOK STREET (UK) LIMITED|2000006710|609.12|#|AL1 4JB|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Local|BROOK STREET (UK) LIMITED|2000006710|642.02|#|AL1 4JB|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Integrated Delivery|NETWORKERS INTERNATIONAL (UK) PLC|2000006712|3391.26|#|BR1 1HP|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Rail Commercial & Programme Office|MORGAN HUNT UK LTD|2000006708|4311.38|#|EC4M 7EG|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Major Projects & Growth|CAPITA BUSINESS SERVICES LTD|2000006700|3961.14|#|DL1 9HN|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Group Finance|CAPITA BUSINESS SERVICES LTD|2000006700|2248.51|#|DL1 9HN|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Group Finance|Insight MSC Limited|2000006720|72884.23|#|WC1H 9LT|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Rail Franchising|Badenoch & Clark c/o Lauren Rogers|2000006703|3249.6|#|B37 7YE|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Rail Franchising|Badenoch & Clark c/o Lauren Rogers|2000006703|3953.9|#|B37 7YE|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Rail Franchising|Badenoch & Clark c/o Lauren Rogers|2000006703|1976.95|#|B37 7YE|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Rail Franchising|Badenoch & Clark c/o Lauren Rogers|2000006703|3953.9|#|B37 7YE|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Rail Franchising|Badenoch & Clark c/o Lauren Rogers|2000006703|2965.43|#|B37 7YE|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Rail Franchising|Badenoch & Clark c/o Lauren Rogers|2000006703|2965.43|#|B37 7YE|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Rail Franchising|Badenoch & Clark c/o Lauren Rogers|2000006703|1976.95|#|B37 7YE|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Integrated Delivery|BROOK STREET (UK) LIMITED|2000006710|916.81|#|AL1 4JB|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Integrated Delivery|BROOK STREET (UK) LIMITED|2000006710|752.64|#|AL1 4JB|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Integrated Delivery|CAPITA BUSINESS SERVICES LTD|2000006700|2160.54|#|DL1 9HN|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Integrated Delivery|CAPITA BUSINESS SERVICES LTD|2000006700|4930.86|#|DL1 9HN|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Rail Commercial & Programme Office|CAPITA BUSINESS SERVICES LTD|2000006700|2650.14|#|DL1 9HN|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Integrated Delivery|CAPITA BUSINESS SERVICES LTD|2000006700|4459.26|#|DL1 9HN|
Department for Transport|Department for Transport|06/07/2015|Agency Staff Costs|Integrated Delivery|CAPITA BUSINESS SERVICES LTD|2000006700|2680.14|#|DL1 9HN|
Department for Transport|Department for Transport|06/07/2015|Cap Grt Loc Auth|Energy, Technology and International|Cotswold District Council|2000006722|74322|14/15 Cotswolds #74322 Rapid Chargepoints|GL7 1PX|
Department for Transport|Department for Transport|06/07/2015|Cap Grt Loc Auth|Energy, Technology and International|DARTFORD BC|2000006711|75000|14/15 Dartford #75000 Rapid Chargepoints|DA1 1DR|
Department for Transport|Department for Transport|06/07/2015|Cap Grt Loc Auth|Energy, Technology and International|PLYMOUTH CITY COUNCIL|2000006723|60000|201415 Plymouth #60000 Public Sector|PL1 2AA|
Department for Transport|Department for Transport|06/07/2015|Cap Grt Loc Auth|Energy, Technology and International|WILTSHIRE COUNCIL|2000006713|57700|1415 Wiltshire #57700 Public Sector Chargepoints|BA14 4DS|
Department for Transport|Department for Transport|06/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Blythe Electrical (Warwickshire)|2000006721|700|Blythe Elec MAY 15 #700|B46 2JA|
Department for Transport|Department for Transport|06/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Blythe Electrical (Warwickshire)|2000006721|700|Blythe Elec APR 15 #700|B46 2JA|
Department for Transport|Department for Transport|06/07/2015|Cap Grt Pri Sec-Cos.|Policy, Legislation and Funding|Eversheds LLP|2000006697|10198.06|#|CF10 5BT|
Department for Transport|Department for Transport|06/07/2015|Cap Grt Pri Sec-Cos.|Policy, Legislation and Funding|Eversheds LLP|2000006698|38397.48|PROPERTY PURCHASE|CF10 5BT|
Department for Transport|Department for Transport|06/07/2015|Cars Fuel|Air Accident Investigation Branch|ALLSTAR BUSINESS SOLUTIONS LIMITED|2000006702|1422.89|#|SN5 6PS|
Department for Transport|Department for Transport|06/07/2015|Infrastructure Maint|Rail Accident Investigation Branch|Network Rail|2000006724|2400|#|M60 7W|
Department for Transport|Department for Transport|06/07/2015|Investigation Servic|Motoring Services|Procordia Ltd|2000006719|1604.04|#|TN39 4SR|
Department for Transport|Department for Transport|06/07/2015|Investigation Servic|Motoring Services|Procordia Ltd|2000006719|4009.2|#|TN39 4SR|
Department for Transport|Department for Transport|06/07/2015|Investigation Servic|Motoring Services|Procordia Ltd|2000006719|2910.2|#|TN39 4SR|
Department for Transport|Department for Transport|06/07/2015|Legal Consultancy|Rail Franchising|Eversheds LLP|2000006716|22230|#|EC2V 7WS|
Department for Transport|Department for Transport|06/07/2015|Machinery Rental|Marine Accident Investigation Branch|CANON (UK) LTD|2000006705|1020.42|#|RH2 8BF|
Department for Transport|Department for Transport|06/07/2015|Maintenance Other|Motoring Services|ARVAL|2000006701|4693.18|#|SN5 6PE|
Department for Transport|Department for Transport|06/07/2015|Maintenance Other|Motoring Services|ARVAL|2000006701|1050.84|#|SN5 6PE|
Department for Transport|Department for Transport|06/07/2015|Other Advertising|Local|PENNA COMMUNICATIONS|2000006715|9690.84|#|EC4M 7RD|
Department for Transport|Department for Transport|06/07/2015|Printing|Air Accident Investigation Branch|WILLIAMS LEA LIMITED|2000006717|1297.51|#|NR3 1PD|
Department for Transport|Department for Transport|06/07/2015|Subscriptions to Pro|Group Human Resource|BUSINESS DISABILITY FORUM|2000006706|20400|#|SE1 2NY|
Department for Transport|Department for Transport|06/07/2015|Support Services|Motoring, Freight & London|Highways England|2000006699|4941.45|#|B1 1RN|
Department for Transport|Department for Transport|06/07/2015|Support Services|Aviation|CORNWALL AIRPORT LTD|2000006714|30864|#|TR8 4RQ|
Department for Transport|Department for Transport|06/07/2015|Transport  Consult|Rail Strategy & Funding|OVE ARUP & PARTNERS|2000006709|34389.6|#|NE1 3PL|
Department for Transport|Department for Transport|07/07/2015|Agency Staff Costs|Group Assurance|Badenoch & Clark c/o Lauren Rogers|2000006786|3002.69|#|B37 7YE|
