DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIER2POSTCODE
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Group Finance|ALLEN LANE FINANCIAL RECRUITMENT|2000019011|6006.07|#|BN11 2BW
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Group Finance|ALLEN LANE FINANCIAL RECRUITMENT|2000019011|2463.84|#|BN11 2BW
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Group Finance|EXPERIS LTD|2000019016|3850.32|#|EC1R 3DR
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Group Finance|EXPERIS LTD|2000019016|4352.58|#|EC1R 3DR
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000019028|4032|#|SL1 3SA
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000019012|3191.14|#|EC4V 4BG
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000019012|3545.7|#|EC4V 4BG
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000019012|2836.56|#|EC4V 4BG
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000019012|3545.7|#|EC4V 4BG
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000019012|5991.24|#|EC4V 4BG
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000019012|5392.12|#|EC4V 4BG
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000019012|4792.99|#|EC4V 4BG
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Refran Prog Off|BADENOCH & CLARK|2000019012|5991.24|#|EC4V 4BG
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Refran Prog Off|CAPITA RESOURCING LTD|2000019030|1896|#|DL1 9HN
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Refran Prog Off|EXPERIS LTD|2000019016|4470.72|#|EC1R 3DR
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Refran Prog Off|EXPERIS LTD|2000019016|2011.82|#|EC1R 3DR
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Refran Prog Off|EXPERIS LTD|2000019016|8941.44|#|EC1R 3DR
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Refran Prog Off|EXPERIS LTD|2000019016|4470.72|#|EC1R 3DR
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Refran Prog Off|EXPERIS LTD|2000019016|22106.88|#|EC1R 3DR
Department for Transport|Department for Transport|04/12/2013|Basic Franchise Pay|Rail Commercial Contracts|LONDON MIDLAND RAILWAY|2000019034|4580036|1409 Wk3 Basic Franchise Payment (Model v3.11) - L|B2 4JB
Department for Transport|Department for Transport|04/12/2013|Basic Franchise Pay|Rail Commercial Contracts|NORTHERN RAIL LTD|2000019033|10461320.52|1409 Wk3 Basic Franchise Payment - Model v12 - Nor|YO1 6HT
Department for Transport|Department for Transport|04/12/2013|Basic Franchise Pay|Rail Commercial Contracts|NORTHERN RAIL LTD|2000019033|152596|1409 Wk3 Class 333 - Centre Cars - Northern Rail L|YO1 6HT
Department for Transport|Department for Transport|04/12/2013|Basic Franchise Pay|Rail Commercial Contracts|NORTHERN RAIL LTD|2000019033|813108|1409 Wk3 Franchise Payment - HLOS - Northern Rail|YO1 6HT
Department for Transport|Department for Transport|04/12/2013|Basic Franchise Pay|Rail Commercial Contracts|FIRST KEOLIS TRANSPENNINE|2000019032|4974928.01|1409 Wk3 Basic Franchise Payment - model v11 on ac|M1 6LT
Department for Transport|Department for Transport|04/12/2013|Building Service Cha|Business Transformation|AMEY COMMUNITY LTD|2000019048|36185.63|#|OX4 4DQ
Department for Transport|Department for Transport|04/12/2013|Building Service Cha|Business Transformation|AMEY COMMUNITY LTD|2000019048|68545.09|#|OX4 4DQ
Department for Transport|Department for Transport|04/12/2013|Building Service Cha|Business Transformation|AMEY COMMUNITY LTD|2000019048|225358.01|#|OX4 4DQ
Department for Transport|Department for Transport|04/12/2013|Building Service Cha|Rail Accident Investigation Branch|INNES ENGLAND LTD|2000019018|5340|25 Dec 13 - 24 Mar 14 Service Charge, Derby|DE1 1BT
Department for Transport|Department for Transport|04/12/2013|Building Service Cha|Rail Accident Investigation Branch|INNES ENGLAND LTD|2000019018|1625|Innes - Clarke St - 25 Dec 13 - 24 Mar 14|DE1 1BT
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|BATH & NE SOMERSET DC|2000019062|1106650|LSTF Grant Payment 2013-14 Q2 Resource|BA1 5AW
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|BLACKBURN WITH DARWEN BC|2000019073|1687370|LSTF Grant Payment 2013-14 Q2 Resource|BB1 7DY
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|CHESHIRE EAST BOROUGH COUNCIL|2000019059|2321722.58|LSTF Grant Payment 2013-14 Q2 Resource|CW11 1HZ
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|CITY OF YORK COUNCIL|2000019063|1227390.2|LSTF Grant Payment 2013-14 Q2 Resource|Y01 7WH
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|Cornwall Council|2000019060|1538055.39|LSTF Grant Payment 2013-14 Q2 Resource|TR1 3AY
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|DERBY CITY COUNCIL|2000019064|807876|LSTF Grant Payment 2013-14 Q2 Resource|DE1 2YL
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|DEVON COUNTY COUNCIL|2000019065|7749116|LSTF Grant Payment 2013-14 Q2 Resource|EX2 4QJ
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|DONCASTER MBC|2000019049|263970|LSTF Grant Payment 2013-14 Q2 Resource|DN1 1ER
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|DUDLEY MBC|2000019050|8783|LSTF Grant Payment 2013-14 Q2 Resource|DY1 1HF
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|EAST RIDING OF YORKSHIRE COUNCIL|2000019051|1240719.2|LSTF Grant Payment 2013-14 Q2 Resource|HU17 9BA
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|EAST SUSSEX COUNTY COUNCIL|2000019077|14706486.31|LSTF Grant Payment 2013-14 Q2 Resource|BN7 1UE
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|HALTON BC|2000019066|363243|LSTF Grant Payment 2013-14 Q2 Resource|WA8 6NB
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|LEEDS CITY COUNCIL|2000019052|30743|LSTF Grant Payment 2013-14 Q2 Resource|LS2 8JR
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|LEICESTERSHIRE COUNTY COUNCIL|2000019074|2610844.14|LSTF Grant Payment 2013-14 Q2 Resource|LE3 8RB
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|LUTON BOROUGH COUNCIL|2000019067|2251782|LSTF Grant Payment 2013-14 Q2 Resource|LU1 2BQ
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|MIDDLESBROUGH BOROUGH COUNCIL|2000019053|894863.77|LSTF Grant Payment 2013-14 Q2 Resource|TS1 9GA
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|NEXUS|2000019054|1903059|LSTF Grant Payment 2013-14 Q2 Resource|NE1 4AX
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|NORTH SOMERSET COUNCIL|2000019068|4286416.41|LSTF Grant Payment 2013-14 Q2 Resource|BS23 1UJ
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|NORTHAMPTONSHIRE CC|2000019069|5557316.36|LSTF Grant Payment 2013-14 Q2 Resource|NN4 7DB
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|NOTTINGHAM CITY COUNCIL|2000019058|203835|LSTF Grant Payment 2013-14 Q2 Resource|NG1 5NT
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|PORTSMOUTH CITY COUNCIL|2000019075|5224898.36|LSTF Grant Payment 2013-14 Q2 Resource|PO1 2BG
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|ROTHERHAM MBC|2000019055|2687138.16|LSTF Grant Payment 2013-14 Q2 Resource|S60 1SN
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|SANDWELL MBC|2000019056|79082.21|LSTF Grant Payment 2013-14 Q2 Resource|B69 3BS
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|SOMERSET COUNTY COUNCIL|2000019070|1996287.56|LSTF Grant Payment 2013-14 Q2 Resource|TA1 4DY
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|ST HELENS MBC|2000019071|23148|LSTF Grant Payment 2013-14 Q2 Resource|WA10 1UQ
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|SUFFOLK COUNTY COUNCIL|2000019078|3979831|LSTF Grant Payment 2013-14 Q2 Resource|IP1 2DH
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|SURREY COUNTY COUNCIL|2000019072|1430297.76|LSTF Grant Payment 2013-14 Q2 Resource|KT1 2DN
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|WEST MIDLANDS ITA|2000019061|7651945|LSTF Grant Payment 2013-14 Q2 Resource|B19 3SD
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|WOLVERHAMPTON CITY COUNCIL|2000019057|327148.26|LSTF Grant Payment 2013-14 Q2 Resource|WRV 1RL
Department for Transport|Department for Transport|04/12/2013|Cap Grt Loc Auth|Local|WORCESTERSHIRE COUNTY COUNCIL|2000019076|2072235|LSTF Grant Payment 2013-14 Q2 Resource|WR5 2NP
Department for Transport|Department for Transport|04/12/2013|Cap Grt Pri Sec-Cos.|DASH|Eversheds LLP|2000019038|650000|#|EC2V 7WS
Department for Transport|Department for Transport|04/12/2013|Computer Consumables|Analysis/Science|XMA LIMITED GOSC|2000019043|585.83|#|NG11 7EP
Department for Transport|Department for Transport|04/12/2013|CurrGrtOth to NDPBs|Maritime|THE CHAMBER OF SHIPPING LIMITED|2000019041|3000|Merchant Navy Grant 2013-14|EC1M 6EZ
Department for Transport|Department for Transport|04/12/2013|Data Supply - TD|Transport Direct and Travel information|LANDMARK INFORMATION GROUP LTD|2000019021|15050.6|#|EX2 7HY
Department for Transport|Department for Transport|04/12/2013|Electricity|Roads|EDF ENERGY|2000019015|44860.39|EDF - trfc C'ting 01/10/2013 to 31/10/2013|DA6 8ET
Department for Transport|Department for Transport|04/12/2013|Eurotunnel Admin Pay|Rail Commercial Contracts|EUROTUNNEL|2000018919|4439733.95|#|CT18 8XY
Department for Transport|Department for Transport|04/12/2013|Eurotunnel Admin Pay|Rail Commercial Contracts|EUROTUNNEL (EURO PAYMENTS)|2000018918|4627704.86|#|CT18 8X
Department for Transport|Department for Transport|04/12/2013|Investigation Servic|Managing Director Motoring Services|Procordia Ltd|2000019045|1127.1|#|TN39 4SR
Department for Transport|Department for Transport|04/12/2013|Investigation Servic|Managing Director Motoring Services|Procordia Ltd|2000019045|799.5|#|TN39 4SR
Department for Transport|Department for Transport|04/12/2013|Investigation Servic|Managing Director Motoring Services|Procordia Ltd|2000019045|604.5|#|TN39 4SR
Department for Transport|Department for Transport|04/12/2013|IT Equip Cap Cost|Commercial & Technical Services|KONICA MINOLTA BUS. SOLUTIONS  (UK)|2000019009|2110.7|#|SS14 3AR
Department for Transport|Department for Transport|04/12/2013|IT Equip Cap Cost|Commercial & Technical Services|KONICA MINOLTA BUS. SOLUTIONS  (UK)|2000019009|2110.7|#|SS14 3AR
Department for Transport|Department for Transport|04/12/2013|IT Equip Cap Cost|Commercial & Technical Services|KONICA MINOLTA BUS. SOLUTIONS  (UK)|2000019009|2110.7|#|SS14 3AR
Department for Transport|Department for Transport|04/12/2013|IT Equip Cap Cost|Commercial & Technical Services|KONICA MINOLTA BUS. SOLUTIONS  (UK)|2000019009|2110.7|#|SS14 3AR
Department for Transport|Department for Transport|04/12/2013|IT Equip Cap Cost|Commercial & Technical Services|KONICA MINOLTA BUS. SOLUTIONS  (UK)|2000019009|2110.7|#|SS14 3AR
Department for Transport|Department for Transport|04/12/2013|IT Equip Cap Cost|Commercial & Technical Services|KONICA MINOLTA BUS. SOLUTIONS  (UK)|2000019009|2110.7|#|SS14 3AR
Department for Transport|Department for Transport|04/12/2013|IT Equip Cap Cost|Commercial & Technical Services|KONICA MINOLTA BUS. SOLUTIONS  (UK)|2000019009|2110.7|#|SS14 3AR
Department for Transport|Department for Transport|04/12/2013|IT Ser Running Costs|Business Transformation|SOFTWARE BOX LTD|2000019024|12001.66|#|YO61 1ET
Department for Transport|Department for Transport|04/12/2013|IT Ser Running Costs|Transport Security - Security Compliance Division |CACI INFORMATION SOLUTIONS LTD|2000019013|2338.56|#|W14 8TS
