DEPARTMENTFAMILY|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
Department For Transport|British Transport Police|04/04/2011|SOLICITORS FEES|FHQ MAJOR INCIDENT SUPPORT|MARIEL IRVINE SOLICITORS|229381|67,804.55
Department For Transport|British Transport Police|04/04/2011|SOLICITORS FEES|FHQ MAJOR INCIDENT SUPPORT|MARIEL IRVINE SOLICITORS|236256|51,993.08
Department For Transport|British Transport Police|04/04/2011|MEDICAL FEES- OPERATIONAL|LN CUSTODY|Metropolitan Police|238018|32,200.00
Department For Transport|British Transport Police|04/04/2011|MEDICAL FEES- OPERATIONAL|LS CUSTODY|Metropolitan Police|238018|32,200.00
Department For Transport|British Transport Police|04/04/2011|MEDICAL FEES- OPERATIONAL|LU NON STAFF RECHARGE|Metropolitan Police|238018|75,600.00
Department For Transport|British Transport Police|04/04/2011|TEMPORARY STAFF|IMPACT TECHNOLOGY|NETWORKERS RECRUITMENT SERVICES LTD|235961|2,304.00
Department For Transport|British Transport Police|04/04/2011|TEMPORARY STAFF|IMPACT TECHNOLOGY|NETWORKERS RECRUITMENT SERVICES LTD|236703|2,304.00
Department For Transport|British Transport Police|04/04/2011|TEMPORARY STAFF|IMPACT TECHNOLOGY|NETWORKERS RECRUITMENT SERVICES LTD|236812|7,020.00
Department For Transport|British Transport Police|04/04/2011|TEMPORARY STAFF|IMPACT TECHNOLOGY|NETWORKERS RECRUITMENT SERVICES LTD|237651|2,304.00
Department For Transport|British Transport Police|04/04/2011|TEMPORARY STAFF|IMPACT TECHNOLOGY|NETWORKERS RECRUITMENT SERVICES LTD|237652|2,340.00
Department For Transport|British Transport Police|04/04/2011|ADHOC MTCE- BUILDINGS|FORCEWIDE MAINTENANCE|NATIONWIDE PROPERTY SOLUTIONS LTD|238032|690.00
Department For Transport|British Transport Police|04/04/2011|OCCUPATIONAL HEALTH COSTS|WELLBEING|SANTIA HEALTH AND SAFETY LIMITED|235717|684.00
Department For Transport|British Transport Police|04/04/2011|OCCUPATIONAL HEALTH COSTS|HR BUSINESS CENTRE(BIRMINGHAM)|SANTIA HEALTH AND SAFETY LIMITED|236163|13,612.80
Department For Transport|British Transport Police|04/04/2011|OCCUPATIONAL HEALTH COSTS|LU NON STAFF RECHARGE|SANTIA HEALTH AND SAFETY LIMITED|236163|114.00
Department For Transport|British Transport Police|04/04/2011|OCCUPATIONAL HEALTH COSTS|WELLBEING|SANTIA HEALTH AND SAFETY LIMITED|237118|1,368.00
Department For Transport|British Transport Police|04/04/2011|LH BUILDINGS - ADDITIONS|CAPITAL CONTROL ACCOUNT|RIDER LEVETT BUCKNALL UK LTD (Deleted)|227945|11,421.00
Department For Transport|British Transport Police|04/04/2011|IMPROVEMENT WORKS (NON CAP)|FORCEWIDE MAINTENANCE|Southern Electric Contracting Ltd|236213|6,270.00
Department For Transport|British Transport Police|04/04/2011|TRAINING-POLICE|HR LEARNING AND DEVELOPMENT|SHERRY DESIGN|238140|1,650.00
Department For Transport|British Transport Police|04/04/2011|ADHOC MTCE- BUILDINGS|FORCEWIDE MAINTENANCE|STRATEGIC TEAM GROUP CO LTD|238142|839.51
Department For Transport|British Transport Police|04/04/2011|CONFERENCE FEES|CONFERENCE FEES (DCC)|CJS EVENT SOLUTIONS|235855|1,198.80
Department For Transport|British Transport Police|04/04/2011|TRAINING-POLICE|CRIME+ADV TRAINING FACULTY|MALCOLM ROSS|232979|692.56
Department For Transport|British Transport Police|04/04/2011|VEHICLE ACCIDENT REPAIRS|FHQ VEHICLE FLEET MANAGER|FARG LTD C/B AC|237947|1,527.80
Department For Transport|British Transport Police|04/04/2011|VEHICLE ACCIDENT REPAIRS|FHQ VEHICLE FLEET MANAGER|FARG LTD C/B AC|237948|849.11
Department For Transport|British Transport Police|04/04/2011|SOLICITORS FEES|NCT MANAGEMENT|LIBERATA UK LTD|237050|1,200.00
Department For Transport|British Transport Police|04/04/2011|TRAINING-POLICE|LN AIB|NATIONAL POLICING IMPROVEMENT AGENCY|238039|744.00
Department For Transport|British Transport Police|04/04/2011|IMPROVEMENT WORKS (NON CAP)|FORCEWIDE MAINTENANCE|ALLSIGNS INTERNATIONAL LTD|226262|652.06
Department For Transport|British Transport Police|04/04/2011|VEHICLE SERVICING- PLANNED|FHQ VEHICLE FLEET MANAGER|THAMES VALLEY POLICE AUTHORITY|237942|1,749.97
Department For Transport|British Transport Police|04/04/2011|VEHICLE SERVICING- PLANNED|FHQ VEHICLE FLEET MANAGER|THAMES VALLEY POLICE AUTHORITY|237943|2,559.57
Department For Transport|British Transport Police|04/04/2011|VEHICLE SERVICING- PLANNED|FHQ COVERT INVESTIGATIONS UNIT|THAMES VALLEY POLICE AUTHORITY|237944|1,117.97
Department For Transport|British Transport Police|04/04/2011|VEHICLE SERVICING- PLANNED|FHQ VEHICLE FLEET MANAGER|THAMES VALLEY POLICE AUTHORITY|237944|1,108.07
Department For Transport|British Transport Police|04/04/2011|EQUIP PURCH - POLICE  (NONCAP)|SPECIALIST  RESPONSE UNIT|THERMO FISHER SCIENTIFIC MESSENTECHNIK GMBH|237933|2,124.85
Department For Transport|British Transport Police|04/04/2011|VEHICLE OWNED - ADDIT 3 YEARS|CAPITAL CONTROL ACCOUNT|YAMAHA MOTOR (UK) LTD|237929|18,462.42
Department For Transport|British Transport Police|08/04/2011|CLEANING CONTRACT- BUILDINGS|FHQ AXIS FACILITIES|ADEPT CLEANING SERVICES LTD|235884|504.76
Department For Transport|British Transport Police|08/04/2011|CLEANING CONTRACT- BUILDINGS|FHQ AXIS FACILITIES|ADEPT CLEANING SERVICES LTD|235885|2,290.58
Department For Transport|British Transport Police|08/04/2011|CLEANING CONTRACT- BUILDINGS|FHQ AXIS FACILITIES|ADEPT CLEANING SERVICES LTD|237100|2,155.33
Department For Transport|British Transport Police|08/04/2011|ADHOC MTCE- BUILDINGS|FORCEWIDE MAINTENANCE|ASSOCIATED ENG SERVICES T/A AES CONTROLS|238544|1,320.00
Department For Transport|British Transport Police|08/04/2011|ADHOC MTCE- BUILDINGS|FORCEWIDE MAINTENANCE|Carillion Planned Maintenance|238398|751.36
Department For Transport|British Transport Police|08/04/2011|EXTERNAL ARCHIVING|LN FINANCE|IRON MOUNTAIN (UK) LTD|238636|1,147.43
Department For Transport|British Transport Police|08/04/2011|SUBS TO OUTSIDE BODIES|FHQ POLICE AUTHORITY|ASSOCIATION OF POLICE AUTHORITIES|238505|23,064.00
Department For Transport|British Transport Police|08/04/2011|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|AVENTE LTD|229011|1,527.50
Department For Transport|British Transport Police|08/04/2011|IT HARDWARE PURCH (NONCAP)|FHQ TECHNOLOGY MANAGER|AVENTE LTD|236625|2,406.00
Department For Transport|British Transport Police|08/04/2011|IT HARDWARE PURCH (NONCAP)|FHQ TECHNOLOGY MANAGER|AVENTE LTD|237229|3,600.00
Department For Transport|British Transport Police|08/04/2011|IT HARDWARE PURCH (NONCAP)|FHQ TECHNOLOGY MANAGER|AVENTE LTD|237231|1,159.20
Department For Transport|British Transport Police|08/04/2011|EQUIP PURCH - POLICE  (NONCAP)|FHQ CONTROL ROOMS|AVENTE LTD|238429|3,240.00
Department For Transport|British Transport Police|08/04/2011|INVENTORIES -ADDITIONS-FORCE|FORCE BALANCE SHEET (EXCL.FAR)|AARON DISTRIBUTION|238374|4,355.71
Department For Transport|British Transport Police|08/04/2011|LH BUILDINGS - ADDITIONS|CAPITAL CONTROL ACCOUNT|Bellard Electronics Limited|235933|8,554.82
Department For Transport|British Transport Police|08/04/2011|LH BUILDINGS - ADDITIONS|CAPITAL CONTROL ACCOUNT|Bellard Electronics Limited|235934|59,927.36
Department For Transport|British Transport Police|08/04/2011|LH BUILDINGS - ADDITIONS|CAPITAL CONTROL ACCOUNT|Bellard Electronics Limited|235935|2,100.00
Department For Transport|British Transport Police|08/04/2011|ADHOC MTCE- BUILDINGS|FORCEWIDE MAINTENANCE|Bellard Electronics Limited|238386|1,026.00
Department For Transport|British Transport Police|08/04/2011|SECURITY SYSTEM MAINTENANCE|FHQ FACILITIES|Bellard Electronics Limited|238588|1,511.10
Department For Transport|British Transport Police|08/04/2011|BUSINESS RATES|WN SUPPORT SERVICES|BIRMINGHAM CITY COUNCIL|238430|2,294.90
Department For Transport|British Transport Police|08/04/2011|BUSINESS RATES|WN SUPPORT SERVICES|BIRMINGHAM CITY COUNCIL|238431|1,299.00
Department For Transport|British Transport Police|08/04/2011|BUSINESS RATES|WN SUPPORT SERVICES|BIRMINGHAM CITY COUNCIL|238432|24,897.50
Department For Transport|British Transport Police|08/04/2011|PARKING SPACE RENTAL|WN SUPPORT SERVICES|BIRMINGHAM CITY COUNCIL|238434|541.25
Department For Transport|British Transport Police|08/04/2011|PARKING SPACE RENTAL|WN SUPPORT SERVICES|BIRMINGHAM CITY COUNCIL|238437|541.25
Department For Transport|British Transport Police|08/04/2011|PARKING SPACE RENTAL|WN SUPPORT SERVICES|BIRMINGHAM CITY COUNCIL|238438|541.25
Department For Transport|British Transport Police|08/04/2011|PARKING SPACE RENTAL|WN SUPPORT SERVICES|BIRMINGHAM CITY COUNCIL|238439|541.25
Department For Transport|British Transport Police|08/04/2011|PARKING SPACE RENTAL|WN SUPPORT SERVICES|BIRMINGHAM CITY COUNCIL|238440|541.25
Department For Transport|British Transport Police|08/04/2011|PARKING SPACE RENTAL|WN SUPPORT SERVICES|BIRMINGHAM CITY COUNCIL|238441|541.25
Department For Transport|British Transport Police|08/04/2011|PARKING SPACE RENTAL|WN SUPPORT SERVICES|BIRMINGHAM CITY COUNCIL|238442|541.25
Department For Transport|British Transport Police|08/04/2011|PARKING SPACE RENTAL|WN SUPPORT SERVICES|BIRMINGHAM CITY COUNCIL|238623|541.25
Department For Transport|British Transport Police|08/04/2011|PARKING SPACE RENTAL|WN SUPPORT SERVICES|BIRMINGHAM CITY COUNCIL|238624|541.25
Department For Transport|British Transport Police|08/04/2011|PARKING SPACE RENTAL|WN SUPPORT SERVICES|BIRMINGHAM CITY COUNCIL|238625|541.25
Department For Transport|British Transport Police|08/04/2011|PARKING SPACE RENTAL|WN SUPPORT SERVICES|BIRMINGHAM CITY COUNCIL|238626|541.25
Department For Transport|British Transport Police|08/04/2011|PARKING SPACE RENTAL|WN SUPPORT SERVICES|BIRMINGHAM CITY COUNCIL|238627|541.25
Department For Transport|British Transport Police|08/04/2011|PARKING SPACE RENTAL|WN SUPPORT SERVICES|BIRMINGHAM CITY COUNCIL|238628|541.25
Department For Transport|British Transport Police|08/04/2011|PARKING SPACE RENTAL|WN SUPPORT SERVICES|BIRMINGHAM CITY COUNCIL|238629|541.25
Department For Transport|British Transport Police|08/04/2011|PARKING SPACE RENTAL|WN SUPPORT SERVICES|BIRMINGHAM CITY COUNCIL|238630|541.25
Department For Transport|British Transport Police|08/04/2011|PARKING SPACE RENTAL|WN SUPPORT SERVICES|BIRMINGHAM CITY COUNCIL|238631|541.25
Department For Transport|British Transport Police|08/04/2011|PARKING SPACE RENTAL|WN SUPPORT SERVICES|BIRMINGHAM CITY COUNCIL|238632|541.25
Department For Transport|British Transport Police|08/04/2011|ADHOC MTCE- BUILDINGS|FORCEWIDE MAINTENANCE|Boilertec (Scotland) Ltd|238376|513.60
Department For Transport|British Transport Police|08/04/2011|TEMPORARY STAFF|FHQ FINANCE|Chase Moulande|235849|915.36
Department For Transport|British Transport Police|08/04/2011|TEMPORARY STAFF|FHQ FINANCE|Chase Moulande|237042|832.50
Department For Transport|British Transport Police|08/04/2011|SOLICITORS FEES|B3 - NATIONAL CRIME TEAM|MISS CHARLENE SUMNALL|238029|728.50
Department For Transport|British Transport Police|08/04/2011|BUSINESS RATES|PROFESSIONAL STANDARDS  YORK|CITY OF YORK COUNCIL|236023|2,598.00
Department For Transport|British Transport Police|08/04/2011|IT SOFTWARE PURCH (NONCAP)|LS AREA COMMAND|CIVICA SERVICES LTD|232906|661.08
Department For Transport|British Transport Police|08/04/2011|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|PROMAT ID LTD|235759|1,554.00
Department For Transport|British Transport Police|08/04/2011|LH BUILDINGS - ADDITIONS|CAPITAL CONTROL ACCOUNT|Cobal|229925|9,977.57
Department For Transport|British Transport Police|08/04/2011|EQUIP PURCH - POLICE  (NONCAP)|EVENT PLAN & CO-ORD. UNIT|Derby Unitex Ltd|238024|2,419.20
Department For Transport|British Transport Police|08/04/2011|SERVICE CHARGES|Rhyl Police Station|DENBIGSHIRE COUNTY COUNCIL|231759|-1,422.63
Department For Transport|British Transport Police|08/04/2011|BUILDING RENTAL|Rhyl Police Station|DENBIGSHIRE COUNTY COUNCIL|232795|1,173.00
Department For Transport|British Transport Police|08/04/2011|SERVICE CHARGES|Rhyl Police Station|DENBIGSHIRE COUNTY COUNCIL|232795|237.90
Department For Transport|British Transport Police|08/04/2011|ADHOC MTCE- BUILDINGS|FORCEWIDE MAINTENANCE|GEAGROUP|238540|1,032.00
Department For Transport|British Transport Police|08/04/2011|ROAD FUND LICENCE|FHQ VEHICLE FLEET MANAGER|DEPARTMENT OF TRANSPORT|238605|2,655.00
Department For Transport|British Transport Police|08/04/2011|IT HARDWARE PURCH (NONCAP)|LU NON STAFF RECHARGE|Dtp Group Ltd|226788|1,799.63
Department For Transport|British Transport Police|08/04/2011|IT HARDWARE PURCH (NONCAP)|LU NON STAFF RECHARGE|Dtp Group Ltd|235162|10,858.50
Department For Transport|British Transport Police|08/04/2011|IT HARDWARE PURCH (NONCAP)|LU NON STAFF RECHARGE|Dtp Group Ltd|235720|-3,467.23
Department For Transport|British Transport Police|08/04/2011|IT HARDWARE PURCH (NONCAP)|LU NON STAFF RECHARGE|Dtp Group Ltd|237456|798.01
Department For Transport|British Transport Police|08/04/2011|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|Dtp Group Ltd|237458|1,447.80
Department For Transport|British Transport Police|08/04/2011|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|Dtp Group Ltd|238120|788.93
Department For Transport|British Transport Police|08/04/2011|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|Dtp Group Ltd|238121|788.93
Department For Transport|British Transport Police|08/04/2011|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|Dtp Group Ltd|238122|723.90
Department For Transport|British Transport Police|08/04/2011|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|Dtp Group Ltd|238123|5,067.30
Department For Transport|British Transport Police|08/04/2011|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|Dtp Group Ltd|238124|11,970.18
Department For Transport|British Transport Police|08/04/2011|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|Dtp Group Ltd|238125|11,172.17
Department For Transport|British Transport Police|08/04/2011|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|Dtp Group Ltd|238126|723.90
Department For Transport|British Transport Police|08/04/2011|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|Dtp Group Ltd|238127|5,067.30
Department For Transport|British Transport Police|08/04/2011|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|Dtp Group Ltd|238129|5,652.00
Department For Transport|British Transport Police|08/04/2011|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|Dtp Group Ltd|238130|944.10
Department For Transport|British Transport Police|08/04/2011|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|Dtp Group Ltd|238131|3,776.40
Department For Transport|British Transport Police|08/04/2011|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|Dtp Group Ltd|238132|2,395.62
Department For Transport|British Transport Police|08/04/2011|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|Dtp Group Ltd|238133|798.54
Department For Transport|British Transport Police|08/04/2011|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|Dtp Group Ltd|238134|1,138.04
Department For Transport|British Transport Police|08/04/2011|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|Dtp Group Ltd|238135|1,597.08
Department For Transport|British Transport Police|08/04/2011|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|Dtp Group Ltd|238136|862.48
Department For Transport|British Transport Police|08/04/2011|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|Dtp Group Ltd|238137|811.74
Department For Transport|British Transport Police|08/04/2011|IT HARDWARE PURCH (NONCAP)|LU NON STAFF RECHARGE|Dtp Group Ltd|238138|1,080.00
Department For Transport|British Transport Police|08/04/2011|ADHOC MTCE- BUILDINGS|FORCEWIDE MAINTENANCE|DUFFY CONTRACT SERVICES LTD|238705|7,033.76
Department For Transport|British Transport Police|08/04/2011|ADHOC MTCE- BUILDINGS|FORCEWIDE MAINTENANCE|DUFFY CONTRACT SERVICES LTD|238706|8,371.45
Department For Transport|British Transport Police|08/04/2011|ELECTRICITY|BLUNDELL STREET|EDF ENERGY|238677|4,021.80
Department For Transport|British Transport Police|08/04/2011|ELECTRICITY|FHQ FACILITIES|EDF ENERGY|238678|14,490.93
Department For Transport|British Transport Police|08/04/2011|ELECTRICITY|FHQ FACILITIES|EDF ENERGY|238679|5,881.00
Department For Transport|British Transport Police|08/04/2011|VEHICLE HIRE- NONOPS|FHQ CRB DISCLOSURE UNIT|EUROPCAR GROUP UK LTD|238665|-1.33
Department For Transport|British Transport Police|08/04/2011|VEHICLE HIRE- NONOPS|FHQ SPECIAL BRANCH|EUROPCAR GROUP UK LTD|238665|165.59
Department For Transport|British Transport Police|08/04/2011|VEHICLE HIRE- NONOPS|A1 - NATIONAL CRIME TEAM|EUROPCAR GROUP UK LTD|238665|543.81
Department For Transport|British Transport Police|08/04/2011|VEHICLE HIRE- NONOPS|FHQ SCENES OF CRIME|EUROPCAR GROUP UK LTD|238665|424.30
Department For Transport|British Transport Police|08/04/2011|VEHICLE HIRE- NONOPS|FHQ SCIENTIFIC SUPPORT|EUROPCAR GROUP UK LTD|238665|132.92
