DEPARTMENTFAMILY|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNO|SUMOFAMOUNT|TEXT|POSTCODE
Department for Transport|GCDA|10.02.12|Agy Drivers|Govt Mail|Randstad Employment Bureau Ltd|77124|2849.95|| RG14 1LA
Department for Transport|GCDA|10.02.12|Agy Drivers|Govt Mail|Randstad Employment Bureau Ltd|77137|3149.24|| RG14 1LA
Department for Transport|GCDA|10.02.12|Repair works|W/Shop|Professional Auto Centre Ltd|77141|1117.21|| SW8 1RY
Department for Transport|GCDA|10.02.12|Repair works|W/Shop|ATS Euromaster Limited|77142|3863.2|| B6 5TW
Department for Transport|GCDA|10.02.12|Fuel Chrg|Operation| Allstar Business Solutions|77144|13123.17|| SN5 6PS
Department for Transport|GCDA|10.02.12|Parts|W/Shop|Goodyear Dunlop Tyres UK Ltd|77145|3861.77|| B24 9HY
Department for Transport|GCDA|10.02.12|Repair works|W/Shop|Vauxhall FSP Service Centre|77148|2465.4|| CM2 5TH
Department for Transport|GCDA|10.02.12|Fuel Chrg|W/Shop|Allstar Business Solutions|77150|3773.24||#N/A
Department for Transport|GCDA|10.02.12|Fuel Chrg|W/Shop|ARVAL PHH Business Solutions|77152|15044.8|| SN5 6PE
Department for Transport|GCDA|10.02.12|Sale of Vehicle|W/Shop|Special Services Group|77161|1954.57|| SN5 7XQ
Department for Transport|GCDA|10.02.12|Cleaning Service|Facilities|Lancaster Office Cleaning Co.|77109|2001.83|| BR2 6HE
Department for Transport|GCDA|17.02.12|Courier Service|Regional+|Swift  Despatch Ltd|77171|1023.17|| L3 7HJ
Department for Transport|GCDA|17.02.12|Courier Service|Regional+|Priority Express (Couriers) Ltd|77186|1102.82|| CF5 6XJ
Department for Transport|GCDA|17.02.12|Courier Service|Regional+|Wallington Cars & Couriers Ltd|77196|2845.48|| SM6 8RG
Department for Transport|GCDA|17.02.12|Agy Drivers|Govt Mail|Driver Hire Bradford Ltd|77134|4343.06|| G2 5ER
Department for Transport|GCDA|17.02.12|Agy Drivers|Govt Mail|Roberts Knight  Ltd|77127|641.82|| EC4R 2ST
Department for Transport|GCDA|17.02.12|Agy Drivers|Govt Mail|Roberts Knight  Ltd|77129|675.6|| EC4R 2ST
Department for Transport|GCDA|17.02.12|Courier Service|Govt Mail|Swift  Despatch Ltd|77079|3380.4|| L3 7HJ
Department for Transport|GCDA|17.02.12|Courier Service|Govt Mail|Point to Point|77074|2555.46|| W10 6AU
Department for Transport|GCDA|17.02.12|Courier Service|Regional+|Network Logistics UK Ltd|77099|1436.66|| RH16 3BY
Department for Transport|GCDA|17.02.12|Courier Service|Regional+|Wallington Cars & Couriers Ltd|77062|2966.56|| SM6 8RG
Department for Transport|GCDA|17.02.12|Courier Service|Regional+|Wallington Cars & Couriers Ltd|76966|3530.04|| SM6 8RG
Department for Transport|GCDA|17.02.12|Courier Service|Regional+|JC Couriers Ltd|77110|743.7|| PE2 6UP
Department for Transport|GCDA|17.02.12|Agy Drivers|Govt Mail|Driver Hire Bradford Ltd|76950|3289.54|| G2 5ER
Department for Transport|GCDA|17.02.12|Courier Service|Regional+|Priority Express (Couriers) Ltd|77182|1230.57|| CF5 6XJ
Department for Transport|GCDA|17.02.12|Diesel supply|Govt Mail| Harvest Energy Limited|77168|13057.19|| W1G 0PU
Department for Transport|GCDA|17.02.12|Vehicle hire|Operation|Network Logistics UK Ltd|77070|3095.38|| RH16 3BY
Department for Transport|GCDA|17.02.12|Repair works|W/Shop|ACP Services|77014|922.18|| ST21 6JL
Department for Transport|GCDA|17.02.12|Courier Service|Regional+|Point to Point|77104|33779.9|| W10 6AU
Department for Transport|GCDA|17.02.12|Parts|W/Shop|Inchcape Battersea|77210|734.83|| SW8 4AH
Department for Transport|GCDA|17.02.12|Parts|W/Shop|Inchcape Battersea|77216|1275.6|| SW8 4AH
Department for Transport|GCDA|17.02.12|Sub Chrg|W/Shop|Wolters Kluwer (UK) Ltd|77217|861.73|| KT2 6SR
Department for Transport|GCDA|17.02.12|Training |Operation|ROSPA|77220|2460|| B5 7ST
Department for Transport|GCDA|17.02.12|Coach hire|Operation|Clarkes Coaches|77221|722.26|| SE26 5AT
Department for Transport|GCDA|17.02.12|Courier Service|Regional+|Goldstar Courier|77225|1370.88|| NE21 5TX
Department for Transport|GCDA|17.02.12|Courier Service|Regional+|Goldstar Courier|77226|975.53|| NE21 5TX
Department for Transport|GCDA|17.02.12|Courier Service|Regional+|Goldstar Courier|77227|993.74|| NE21 5TX
Department for Transport|GCDA|17.02.12|Subscription chrg|Marketing|BiP Solutions Ltd|77228|2016|| G73 1SQ
Department for Transport|GCDA|17.02.12|Sale of Vehicle|W/Shop|Special Services Group|77229|3708|| SN5 7XQ
Department for Transport|GCDA|17.02.12|Fuel Chrg|W/Shop|ARVAL PHH Business Solutions|77231|1446.78|| SN5 6PE
Department for Transport|GCDA|17.02.12|Fuel Chrg|W/Shop|Allstar Business Solutions|77232|25276.85||SN5 6PS
Department for Transport|GCDA|28.02.12|Agy Drivers|Govt Mail|Roberts Knight  Ltd|77311|675.6|| EC4R 2ST
Department for Transport|GCDA|28.02.12|Agy Drivers|Govt Mail|Driver Hire Trading Ltd|77305|1028.77|| SW20 8LX
Department for Transport|GCDA|28.02.12|Agy Drivers|Govt Mail|Driver Hire Bradford Ltd|77317|4395.01|| G2 5ER
Department for Transport|GCDA|28.02.12|Courier Service|Govt Mail|Wallington Cars & Couriers Ltd|77306|3613.44|| SM6 8RG
Department for Transport|GCDA|28.02.12|Courier Service|Govt Mail|JC Couriers Ltd|77315|2120.88|| PE2 6UP
Department for Transport|GCDA|28.02.12|Agy Drivers|Govt Mail|Roberts Knight  Ltd|77294|641.82|| EC4R 2ST
Department for Transport|GCDA|28.02.12|Agy Drivers|Govt Mail|Roberts Knight  Ltd|77295|618.18|| EC4R 2ST
Department for Transport|GCDA|28.02.12|Agy Drivers|Govt Mail|Roberts Knight  Ltd|77309|682.84|| EC4R 2ST
Department for Transport|GCDA|28.02.12|Agy Drivers|Govt Mail|Roberts Knight  Ltd|77310|675.6|| EC4R 2ST
Department for Transport|GCDA|28.02.12|Courier Service|Regional+|Network Logistics UK Ltd|77298|1782.38|| RH16 3BY
Department for Transport|GCDA|28.02.12|Courier Service|Govt Mail|Ozone Couriers Ltd|77281|3069.52|| B18 5AN
Department for Transport|GCDA|28.02.12|Courier Service|Govt Mail|Ozone Couriers Ltd|77282|1020|| B18 5AN
Department for Transport|GCDA|28.02.12|Courier Service|Govt Mail|Wallington Cars & Couriers Ltd|76983|1758.6|| SM6 8RG
Department for Transport|GCDA|28.02.12|Agy Drivers|Govt Mail|Roberts Knight  Ltd|77263|641.82|| EC4R 2ST
Department for Transport|GCDA|28.02.12|Courier Service|Govt Mail|JC Couriers Ltd|77266|1272.53|| PE2 6UP
Department for Transport|GCDA|28.02.12|Courier Service|Govt Mail|Wallington Cars & Couriers Ltd|77061|1823|| SM6 8RG
Department for Transport|GCDA|28.02.12|Courier Service|Govt Mail|Wallington Cars & Couriers Ltd|77200|1707|| SM6 8RG
Department for Transport|GCDA|28.02.12|Agy Staff|Finance|Morgan Hunt Ltd|77121|1165.99|| WC2B 5QR
Department for Transport|GCDA|28.02.12|Courier Service|Regional+|Swift  Despatch Ltd|77233|2186.76|| L3 7HJ
Department for Transport|GCDA|28.02.12|Courier Service|Regional+|Network Logistics UK Ltd|77246|1071.82|| RH16 3BY
Department for Transport|GCDA|28.02.12|Courier Service|Govt Mail|JC Couriers Ltd|77202|848.35|| PE2 6UP
Department for Transport|GCDA|28.02.12|Courier Service|Govt Mail|Ozone Couriers Ltd|77193|3203.91|| B18 5AN
Department for Transport|GCDA|28.02.12|Agy Drivers|Govt Mail|Randstad Employment Bureau Ltd|77162|3018.17|| RG14 1LA
Department for Transport|GCDA|28.02.12|Courier Service|Govt Mail|Excel Group Services Ltd|77088|5018.2|| E14 3RY
Department for Transport|GCDA|28.02.12|Courier Service|Govt Mail|Swift  Despatch Ltd|77234|1512|| L3 7HJ
Department for Transport|GCDA|28.02.12|Courier Service|Govt Mail|Network Logistics UK Ltd|77247|980.53|| RH16 3BY
Department for Transport|GCDA|28.02.12|Agy Drivers|Govt Mail|Driver Hire Trading Ltd|77245|720.96|| SW20 8LX
Department for Transport|GCDA|28.02.12|Agy Drivers|Govt Mail|Driver Hire Bradford Ltd|77249|3889.19|| G2 5ER
Department for Transport|GCDA|28.02.12|Agy Drivers|Govt Mail|Roberts Knight  Ltd|77241|686.16||EC2Y 5EA
Department for Transport|GCDA|28.02.12|Agy Drivers|Govt Mail|Roberts Knight  Ltd|77242|675.6|| EC4R 2ST
Department for Transport|GCDA|28.02.12|Agy Drivers|Govt Mail|Roberts Knight  Ltd|77238|641.82|| EC4R 2ST
Department for Transport|GCDA|28.02.12|Canteen food|Facilities|Madeira Patisserie Ltd|77187|598|| SE1 7TL
Department for Transport|GCDA|28.02.12|Courier Service|Govt Mail|Wallington Cars & Couriers Ltd|76805|3636.6|| SM6 8RG
Department for Transport|GCDA|28.02.12|Courier Service|Govt Mail|Point to Point|77076|27598.8|| W10 6AU
Department for Transport|GCDA|28.02.12|Gas Usage|Facilities|Corona Energy|77197|8451.06|| WD17 1JW
Department for Transport|GCDA|28.02.12|Courier Service|Regional+|JC Couriers Ltd|77304|810.6|| PE2 6UP
Department for Transport|GCDA|28.02.12|Courier Service|Regional+|Wallington Cars & Couriers Ltd|77307|5869.28|| SM6 8RG
Department for Transport|GCDA|28.02.12|Diesel supply|Govt Mail| Harvest Energy Limited|77330|13892.4|| W1G 0PU
Department for Transport|GCDA|28.02.12|Agy Drivers|Govt Mail|Randstad Employment Bureau Ltd|77326|2993.34|| RG14 1LA
Department for Transport|GCDA|28.02.12|Courier Service|Govt Mail|Swift  Despatch Ltd|77319|918|| L3 7HJ
Department for Transport|GCDA|28.02.12|Courier Service|Govt Mail|Wallington Cars & Couriers Ltd|77328|1707|| SM6 8RG
Department for Transport|GCDA|28.02.12|Vehicle repairs|W/Shop|Cumbria Constabulary|77343|1230.62|| CA10 2AU
Department for Transport|GCDA|28.02.12|Agy Drivers|Govt Mail|Randstad Employment Bureau Ltd|77342|3573.59|| RG14 1LA
Department for Transport|GCDA|28.02.12|Lease |W/Shop|The Colt Car Company Ltd|77338|1409.6|| GL7 1LF
Department for Transport|GCDA|28.02.12|Rental Chrg|W/Shop|Ryder  Plc|77100|600|| SK16 4UL
Department for Transport|GCDA|28.02.12|Contract hire|W/Shop|Fraikin Limited|77270|517.24|| CV4 8HX
Department for Transport|GCDA|28.02.12|Contract hire|W/Shop|Fraikin Limited|76782|5209.73|| CV4 8HX
Department for Transport|GCDA|28.02.12|Contract hire|W/Shop|Fraikin Limited|76781|1106.35|| CV4 8HX
Department for Transport|GCDA|28.02.12|Contract hire|W/Shop|Fraikin Limited|76780|1703.35|| CV4 8HX
Department for Transport|GCDA|28.02.12|Security Service|Facilities|Special Services Group|77296|938.64|| SN5 7XQ
Department for Transport|GCDA|28.02.12|Building Rent|Facilities|AMAS Limited|77274|223500|| W1A 2BN
Department for Transport|GCDA|28.02.12|Rent & Service|Facilities|Jones Lang|77136|3494.4||BS8 9AQ
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|Small Software|Finance & Strategy|IBM UNITED KINGDOM LTD|2000357782|37789.92||PO6 3AE
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|Computer Equipment Service Charge|Information Services|IBM UNITED KINGDOM LTD|2000357782|818422.08||PO6 3AE
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|Small Software|Finance & Strategy|IBM UNITED KINGDOM LTD|2000357782|1068.23||PO6 3AE
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|IBM Stage Payments|Operations|IBM UNITED KINGDOM LTD|2000357782|26239.19||PO6 3AE
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|Computer Equipment Service Charge|Information Services|IBM UNITED KINGDOM LTD|2000357782|9343.37||PO6 3AE
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|IBM Stage Payments|Operations|IBM UNITED KINGDOM LTD|2000357782|7711.73||PO6 3AE
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|Service Charge Computer Expenses|Information Services|IBM UNITED KINGDOM LTD|2000357782|1348.01||PO6 3AE
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|IT Services  Running Costs|Operations|IBM UNITED KINGDOM LTD|2000357782|34129.57||PO6 3AE
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|IT Services  Running Costs|Operations|IBM UNITED KINGDOM LTD|2000357782|11747.94||PO6 3AE
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|IT Services  Running Costs|Operations|IBM UNITED KINGDOM LTD|2000357782|30402.71||PO6 3AE
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|Service Charge Computer Expenses|Information Services|IBM UNITED KINGDOM LTD|2000357782|1797.11||PO6 3AE
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|Computer Equipment Service Charge|Information Services|IBM UNITED KINGDOM LTD|2000357782|9956.99||PO6 3AE
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|IBM Stage Payments|Operations|IBM UNITED KINGDOM LTD|2000357782|4298.9||PO6 3AE
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|IBM Stage Payments|Operations|IBM UNITED KINGDOM LTD|2000357782|4781.86||PO6 3AE
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|IBM Stage Payments|Operations|IBM UNITED KINGDOM LTD|2000357782|14363.75||PO6 3AE
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|IBM Stage Payments|Operations|IBM UNITED KINGDOM LTD|2000357782|3570.2||PO6 3AE
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|IBM Stage Payments|Operations|IBM UNITED KINGDOM LTD|2000357782|4486.53||PO6 3AE
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|Project Developments|Information Services|IBM UNITED KINGDOM LTD|2000357782|198092.8||PO6 3AE
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|Non Stock Machine Consumables|Operations|CONTINUA LTD|2000357787|1206.6||LU3 3HP
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|Secured Stock|Information Services|PARAGON GROUP UK LTD|2000358940|816.48||SR4 6ST
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|Secured Stock|Operations|PARAGON GROUP UK LTD|2000358940|3251.64||SR4 6ST
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|Secured Stock|Operations|PARAGON GROUP UK LTD|2000358940|2378.88||SR4 6ST
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|Secured Stock|Operations|PARAGON GROUP UK LTD|2000358940|2378.88||SR4 6ST
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|Non Secured stock|Operations|PARAGON GROUP UK LTD|2000358940|4380.31||SR4 6ST
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|Non Secured stock|Operations|PARAGON GROUP UK LTD|2000358940|1759.78||SR4 6ST
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|Computer Equipment Service Charge|Finance & Strategy|IBM UNITED KINGDOM LTD|2000358941|28662.4||PO6 3AE
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|Small Software|Finance & Strategy|IBM UNITED KINGDOM LTD|2000358941|2418.6||PO6 3AE
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|Car Parking|Finance & Strategy|TELEREAL TRILLIUM|2000358943|16431.72||LS11 9DX
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|Live Running |Operations|DEPARTMENT FOR WORK & PENSIONS|2000358948|8782.8||FY5 3TA
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|Debt Collection|Finance & Strategy|Philips Collection Services Ltd|2000358953|1221.29||DL3 9WT
Department for Transport|Driver and Vehicle Licensing Agency|03/02/2012|Secured Stock|Operations|LABELNEEDS LTD|2000360174|7339.2||CF5 4AQ
Department for Transport|Driver and Vehicle Licensing Agency|02/02/2012|Secured Stock|Operations|RR Donnelley|2000360201|2346||PE29 7YD
Department for Transport|Driver and Vehicle Licensing Agency|02/02/2012|Printing Stock |Operations|RR Donnelley|2000360201|0.01||PE29 7YD
Department for Transport|Driver and Vehicle Licensing Agency|02/02/2012|Non-stock Printing Purchases|Operations|RR Donnelley|2000360201|4588.13||PE29 7YD
Department for Transport|Driver and Vehicle Licensing Agency|02/02/2012|Secured Stock|Operations|RR Donnelley|2000360201|2346||PE29 7YD
Department for Transport|Driver and Vehicle Licensing Agency|02/02/2012|Printing Stock |Operations|RR Donnelley|2000360201|-0.01||PE29 7YD
Department for Transport|Driver and Vehicle Licensing Agency|02/02/2012|Secured Stock|Operations|RR Donnelley|2000360201|743.4||PE29 7YD
Department for Transport|Driver and Vehicle Licensing Agency|05/02/2012|Subsistence UK|Finance & Strategy|EXPOTEL HOTEL RESERVATIONS LTD|2000360207|6643.73||HA7 4AN
Department for Transport|Driver and Vehicle Licensing Agency|05/02/2012|Travel Expenses UK|Finance & Strategy|EXPOTEL HOTEL RESERVATIONS LTD|2000360207|211.05||HA7 4AN
Department for Transport|Driver and Vehicle Licensing Agency|05/02/2012|Subsistence UK|Finance & Strategy|EXPOTEL HOTEL RESERVATIONS LTD|2000360207|3993.02||HA7 4AN
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Machinery Maintenance|Operations|KODAK LTD|2000360212|622||HP2 7YU
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Secured Stock|Operations|MBA GROUP LTD|2000360227|3036.1||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Non Secured stock|Information Services|MBA GROUP LTD|2000360227|598.5||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Non Secured stock|Operations|MBA GROUP LTD|2000360227|585.9||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Printing Stock |Operations|MBA GROUP LTD|2000360227|-2.52||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Secured Stock|Operations|MBA GROUP LTD|2000360227|1587.46||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Secured Stock|Information Services|MBA GROUP LTD|2000360227|559.78||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Non Secured stock|Operations|MBA GROUP LTD|2000360227|789.98||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Secured Stock|Operations|MBA GROUP LTD|2000360227|1729.46||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Secured Stock|Operations|MBA GROUP LTD|2000360227|1729.73||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Non Secured stock|Operations|MBA GROUP LTD|2000360227|585.9||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Printing Stock |Operations|MBA GROUP LTD|2000360227|-2.52||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Non Secured stock|Operations|MBA GROUP LTD|2000360227|523.8||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Printing Stock |Operations|MBA GROUP LTD|2000360227|-1.8||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Secured Stock|Operations|MBA GROUP LTD|2000360227|2277.07||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Secured Stock|Operations|MBA GROUP LTD|2000360227|520.56||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Secured Stock|Operations|MBA GROUP LTD|2000360227|585.9||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Non Secured stock|Operations|MBA GROUP LTD|2000360227|2226.74||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Non Secured stock|Operations|MBA GROUP LTD|2000360227|529.92||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Non Secured stock|Operations|MBA GROUP LTD|2000360227|1184.98||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Non Secured stock|Operations|MBA GROUP LTD|2000360227|571.82||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Printing Stock |Operations|MBA GROUP LTD|2000360227|-1.58||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Non Secured stock|Operations|MBA GROUP LTD|2000360227|1358.28||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Non Secured stock|Operations|MBA GROUP LTD|2000360227|532.98||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Secured Stock|Information Services|MBA GROUP LTD|2000360227|1058.62||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Printing Stock |Information Services|MBA GROUP LTD|2000360227|-0.22||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Secured Stock|Operations|MBA GROUP LTD|2000360227|932.4||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Printing Stock |Operations|MBA GROUP LTD|2000360227|-5.04||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Non Secured stock|Operations|MBA GROUP LTD|2000360227|762.05||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Secured Stock|Operations|MBA GROUP LTD|2000360227|864.86||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Non Secured stock|Operations|MBA GROUP LTD|2000360227|523.8||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Printing Stock |Operations|MBA GROUP LTD|2000360227|-1.8||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Non Secured stock|Operations|MBA GROUP LTD|2000360227|1166.76||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Non Secured stock|Operations|MBA GROUP LTD|2000360227|1525.5||MK11 3ET
Department for Transport|Driver and Vehicle Licensing Agency|04/02/2012|Secured Stock|Operations|MBA GROUP LTD|2000360227|864.86||MK11 3ET
