DEPARTMENTFAMILY|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNO|SUMOFAMOUNT|TEXT|POSTCODE
Department for Transport|Department for Transport|23/04/2012|Training|Air Accident Investigation Branch|MONARCH AIRLINES LTD|2000001478|3800|7-8/11/11 Simulator Recurrent Training|LU2 9NU
Department for Transport|Department for Transport|24/04/2012|Printing|Air Accident Investigation Branch|INTYPE LIBRA LTD|2000001563|565|16.01.12 AAIB Report 2/2011 Eurocopter|SW19 4HE
Department for Transport|Department for Transport|18/04/2012|Transport Consultancy|Analysis/Science|OVE ARUP & PARTNERS|2000001208|20342.4|Prod. Of An Economic Tool For Local Speed Limits|NE1 3PL
Department for Transport|Department for Transport|24/04/2012|Research|Analysis/Science|TRANSPORT RESEARCH LABORATORY|2000001567|13500|Fatal Road Traffic Accidents BW- Traffic Reports|RG40 3GA
Department for Transport|Department for Transport|26/04/2012|Research|Analysis/Science|SOUTH YORKS POLICE AUTHORITY|2000001827|33377.5|South Yorks Crime and casualities|S70 2PQ
Department for Transport|Department for Transport|02/04/2012|Research|Aviation|MANCHESTER METROPOLITAN UNIV|2000000010|66223|Dec 11 - Mar 12, RW|M1 5GD
Department for Transport|Department for Transport|02/04/2012|Research|Aviation|MANCHESTER METROPOLITAN UNIV|2000000010|34696|Dec 11 - Mar 12, RW, Research Staff Costs|M1 5GD
Department for Transport|Department for Transport|04/04/2012|Research|Aviation|CIVIL AVIATION AUTHORITY|2000000257|47356|Feb 12 ERCD work programme costs|RH10 0YR
Department for Transport|Department for Transport|04/04/2012|Support Services|Aviation|CIVIL AVIATION AUTHORITY|2000000257|3898.3|25.1.12 CAA Safety for Turkey|RH10 0YR
Department for Transport|Department for Transport|04/04/2012|Research|Aviation|URS INFRASTRUCTURE |2000000268|21002.5|28.01.12-24.02.12 Professional Services|RG21 4JG
Department for Transport|Department for Transport|04/04/2012|Eurocontrol Contributions|Aviation|EUROCONTROL|2000000297|9594709.63|Contributions to Eurocontrol (11,573,930.00 Euros)|1130
Department for Transport|Department for Transport|05/04/2012|Research|Aviation|URS INFRASTRUCTURE |2000000350|32059.75|Prof Services Jan 25 - 31.03.2012|RG21 4JG
Department for Transport|Department for Transport|10/04/2012|Research|Aviation|CIVIL AVIATION AUTHORITY|2000000417|18150|CAA SPECTRUM RESEARCH -API|RH10 0YR
Department for Transport|Department for Transport|10/04/2012|Support Services|Aviation|NORWICH AIRPORT LTD|2000000429|14103.6|LARS - 01.01 -31.03.2012|NR6 6JA
Department for Transport|Department for Transport|11/04/2012|Support Services|Aviation|DURHAM TEES VALLEY AIRPORT LIMITED|2000000523|29137.5|March 2012 Lower Airspace Radar Services|DL2 1LU
Department for Transport|Department for Transport|11/04/2012|Support Services|Aviation|EXETER & DEVON AIRPORT LIMITED|2000000525|29137.5|LARS - 01.01 -31.03.2012|EX5 2BD
Department for Transport|Department for Transport|11/04/2012|Support Services|Aviation|MINISTRY OF DEFENCE|2000000531|20743.2|MoD DFM SAR Incidents  -R0086|L2 3YL
Department for Transport|Department for Transport|11/04/2012|Support Services|Aviation|CORNWALL AIRPORT LTD|2000000538|29137.5|Jan - March 12 LARS Charge Q4|TR8 4RQ
Department for Transport|Department for Transport|12/04/2012|Support Services|Aviation|NEWCASTLE INTERNATIONAL AIRPORT LTD|2000000604|29137.5|Newcastle Int Airport LARS -March 2012|NE13 8BZ
Department for Transport|Department for Transport|12/04/2012|Support Services|Aviation|BAE SYSTEMS (AVIATION SERVICES)LTD|2000000613|17544.6|Lars provision Jan-Mar12|BS997AR
Department for Transport|Department for Transport|12/04/2012|Legal Consultancy|Aviation|TREASURY SOLICITOR|2000000623|7843|Fees to 31.1.12|WC2B 4TS
Department for Transport|Department for Transport|12/04/2012|Support Services|Aviation|TREASURY SOLICITOR|2000000623|470|Fees to 31.1.12|WC2B 4TS
Department for Transport|Department for Transport|13/04/2012|Legal Consultancy|Aviation|TREASURY SOLICITOR|2000000908|12412.5|Professional Fees to 31.03.2012|WC2B 4TS
Department for Transport|Department for Transport|17/04/2012|Support Services|Aviation|MINISTRY OF DEFENCE|2000001072|3457.21|MoD DFM SAR Incidents FY 11/12|L2 3YL
Department for Transport|Department for Transport|18/04/2012|Support Services|Aviation|ENVIRONMENT AGENCY|2000001242|43323.5|DfT Share of enforcement costs 2011/12|BS32 4UD
Department for Transport|Department for Transport|19/04/2012|Support Services|Aviation|TAG FARNBOROUGH AIRPORT LTD|2000001298|29137.5|01.01.12-31.03.12 Lars|GU14 6XA
Department for Transport|Department for Transport|20/04/2012|Computer equipment|Aviation|DANWOOD GROUP LTD|2000001366|898.97||LN6 3DG
Department for Transport|Department for Transport|24/04/2012|Secondments|Aviation|CIVIL AVIATION AUTHORITY|2000001558|21145.47|Jan - Mar 12, Salary|RH10 0YR
Department for Transport|Department for Transport|24/04/2012|Secondments|Aviation|CIVIL AVIATION AUTHORITY|2000001558|22478.51|Jan - Mar 12, Salary.|RH10 0YR
Department for Transport|Department for Transport|30/04/2012|Research|Aviation|CIVIL AVIATION AUTHORITY|2000001966|58342|March 2012 ERCD work programme costs|RH10 0YR
Department for Transport|Department for Transport|02/04/2012|Computer equipment|Business Transformation|SPECIALIST COMPUTER CENTRES PLC|2000000021|1671.48|4GB PC2|B11 2LE
Department for Transport|Department for Transport|02/04/2012|Computer equipment|Business Transformation|SPECIALIST COMPUTER CENTRES PLC|2000000021|4732.69|SPS-DIMM2GB PC3-10600R /HP memory 8GB 2x4GB|B11 2LE
Department for Transport|Department for Transport|02/04/2012|IT Services  Running Costs|Business Transformation|BT CONVERGENT SOLUTIONS LTD|2000000024|291908|Data Switch Replacement - Services|OX29 8SD
Department for Transport|Department for Transport|02/04/2012|IT Services  Running Costs|Business Transformation|BT CONVERGENT SOLUTIONS LTD|2000000024|148730.16|Hardware Advice Replacement Services|OX29 8SD
Department for Transport|Department for Transport|03/04/2012|Support Services|Business Transformation|DRIVER & VEHICLE LICENSING AGENCY|2000000150|5828.12|Reimbursement Recruitment charges Campaign DfT/SCS|SA6 7JL
Department for Transport|Department for Transport|03/04/2012|Computer equipment|Business Transformation|SPECIALIST COMPUTER CENTRES PLC|2000000169|1087.34|HW Support|B11 2LE
Department for Transport|Department for Transport|04/04/2012|Computer Consumables|Business Transformation|SUPPLIES TEAM|2000000254|638.94||S9 1XU
Department for Transport|Department for Transport|04/04/2012|Agency Staff Costs|Business Transformation|NETWORKERS RECRUITMENT|2000000275|3545.16|pe 18.03.12 +25.03.12|BR1 1HP
Department for Transport|Department for Transport|04/04/2012|Agency Staff Costs|Business Transformation|NETWORKERS RECRUITMENT|2000000275|3545.16|VE to PE 04.03 & 11.03.2012|BR1 1HP
Department for Transport|Department for Transport|04/04/2012|Computer equipment|Business Transformation|RIELLO UPS LIMITED|2000000285|-1434.38|Credit note for 128626 (5105923574)|LL13 9XN
Department for Transport|Department for Transport|04/04/2012|Computer equipment|Business Transformation|RIELLO UPS LIMITED|2000000285|1960.33|UPS Service / Repair|LL13 9XN
Department for Transport|Department for Transport|04/04/2012|IT Services  Running Costs|Business Transformation|VEGA CONSULTING SERVICES LTD|2000000287|1346.16|T&S Feburary 2012|BS16 1EJ
Department for Transport|Department for Transport|05/04/2012|Property Consultancy|Business Transformation|DRIVERS JONAS DELOITTE|2000000344|22601.1|MH East & 55VS - Services to 22 March|MK9 1FD
Department for Transport|Department for Transport|05/04/2012|Publications for Resale|Business Transformation|CREATIVE CHOICE CIC|2000000360|731.12|DfT Organisation Chart - April 2012|SW1H 0DJ
Department for Transport|Department for Transport|05/04/2012|Publications for Resale|Business Transformation|CREATIVE CHOICE CIC|2000000360|863.2|GMH lift lobby duratrans panels|SW1H 0DJ
Department for Transport|Department for Transport|10/04/2012|Support Services|Business Transformation|DRIVER & VEHICLE LICENSING AGENCY|2000000410|1104.3|Recruitment charge campaign DfT/23,24/ 11|SA6 7JL
Department for Transport|Department for Transport|10/04/2012|Telephone Line Rental|Business Transformation|COLT TELECOMMUNICATIONS|2000000418|3825|COLT - DATA SERVICE CHARGES - APR-JUN 12|EC3A 7QN
Department for Transport|Department for Transport|10/04/2012|Computer equipment|Business Transformation|DELL CORPORATION LTD|2000000420|1046.06||RG12 1LF
Department for Transport|Department for Transport|10/04/2012|Agency Staff Costs|Business Transformation|MORGAN HUNT UK LTD|2000000427|1045.38| Agency Staff W/E 11/3/12,C W|WC2B 5QR
Department for Transport|Department for Transport|10/04/2012|Agency Staff Costs|Business Transformation|MORGAN HUNT UK LTD|2000000427|1045.38|W/E 04.03.2012 C W|WC2B 5QR
Department for Transport|Department for Transport|10/04/2012|Computer equipment|Business Transformation|SPECIALIST COMPUTER CENTRES PLC|2000000438|4598.41|HP Blade Servers for Rail|B11 2LE
Department for Transport|Department for Transport|10/04/2012|Computer equipment|Business Transformation|SPECIALIST COMPUTER CENTRES PLC|2000000438|543.67|HP Blade Servers HW Support|B11 2LE
Department for Transport|Department for Transport|10/04/2012|Small Software|Business Transformation|PHOENIX SOFTWARE LTD|2000000446|14698.2|Licence Dashboard License Manager|YO42 1NS
Department for Transport|Department for Transport|10/04/2012|Financial Consultancy|Business Transformation|PRGX UK LIMITED|2000000447|8312.4|December 2011 & IDV issues|LU1 3LU
Department for Transport|Department for Transport|10/04/2012|Financial Consultancy|Business Transformation|PRGX UK LIMITED|2000000447|10962.6|Nov 2011 Spend Analytics|LU1 3LU
Department for Transport|Department for Transport|10/04/2012|Financial Consultancy|Business Transformation|PRGX UK LIMITED|2000000447|3060|Spnd Recovery Fees Oct 11|LU1 3LU
Department for Transport|Department for Transport|10/04/2012|Media & Press|Business Transformation|DURRANTS LTD|2000000450|3972.41|MARCH 2012 PRESS CUTTINGS|EC1Y 8QE
Department for Transport|Department for Transport|11/04/2012|Computer equipment|Business Transformation|SPECIALIST COMPUTER CENTRES PLC|2000000532|9760.53|HP Blade Servers for RAS|B11 2LE
Department for Transport|Department for Transport|11/04/2012|Computer equipment|Business Transformation|SPECIALIST COMPUTER CENTRES PLC|2000000532|1087.34|HP Blade Servers for RAS|B11 2LE
Department for Transport|Department for Transport|11/04/2012|Computer equipment|Business Transformation|SPECIALIST COMPUTER CENTRES PLC|2000000532|-1087.34|Reversal of 5105923556 (Incorrect Quantity)|B11 2LE
Department for Transport|Department for Transport|11/04/2012|IT Services  Running Costs|Business Transformation|ACTICA CONSULTING LIMITED|2000000537|22080|Review existing RMAD set March 2012|GU2 7YF
Department for Transport|Department for Transport|11/04/2012|Storage & Distribution|Business Transformation|CAMBERTOWN LIMITED|2000000539|9005.21|Feb 12 S&D charges|S63 9BL
Department for Transport|Department for Transport|12/04/2012|Agency Staff Costs|Business Transformation|BADENOCH & CLARK|2000000598|1239.3|IH W/E 23/3/12|W1T 5AE
Department for Transport|Department for Transport|12/04/2012|Agency Staff Costs|Business Transformation|BADENOCH & CLARK|2000000598|1239.3|IH W/E 30/3/12|W1T 5AE
Department for Transport|Department for Transport|12/04/2012|IVR Costs|Business Transformation|CABLE & WIRELESS|2000000600|6120|C&W -GSI Message Labs - 01.01 - 31.03.2012|MK3 5JP
Department for Transport|Department for Transport|12/04/2012|Live Running Non IBM|Business Transformation|CABLE & WIRELESS|2000000600|-7822.08|Cr 10/092011/1225 1.09.11UK10/012012/6146 01.01.12|MK3 5JP
Department for Transport|Department for Transport|12/04/2012|Telephone charges|Business Transformation|CABLE & WIRELESS|2000000600|6120|01.04.12 TO 30.06.12 ANTIVIRUS CHARGE|MK3 5JP
Department for Transport|Department for Transport|12/04/2012|Telephone charges|Business Transformation|CABLE & WIRELESS|2000000600|2310.36|C&W -  Call Charges - 01.02 - 29.02.2012|MK3 5JP
Department for Transport|Department for Transport|12/04/2012|Telephone charges|Business Transformation|CABLE & WIRELESS|2000000600|-3911.04|C&W - Misc Refund - Mar 12 re UK13009716|MK3 5JP
Department for Transport|Department for Transport|12/04/2012|Telephone charges|Business Transformation|CABLE & WIRELESS|2000000600|19555.2|C+W - CALL CHARGES - FEB 2012|MK3 5JP
Department for Transport|Department for Transport|12/04/2012|Telephone charges|Business Transformation|CABLE & WIRELESS|2000000600|4491.9|Service Charges - 01.04 - 30.06.2012|MK3 5JP
Department for Transport|Department for Transport|12/04/2012|Telephone Line Rental|Business Transformation|CABLE & WIRELESS|2000000600|2310.36|C&W San Link A/C 01.03.12-31.03.12 AC UK13066448|MK3 5JP
Department for Transport|Department for Transport|12/04/2012|Telephone Line Rental|Business Transformation|CABLE & WIRELESS|2000000600|-30031.82|Credit Billed 03.01.12 for  UK10/012012/4925|MK3 5JP
Department for Transport|Department for Transport|13/04/2012|Publicity|Business Transformation|CENTRAL OFFICE OF INFORMATION|2000000916|6600|4THQ 2011/12 COI News and PR support|SE1 7DU
Department for Transport|Department for Transport|13/04/2012|Machinery Rental|Business Transformation|DANWOOD GROUP LTD|2000000917|568.14|26/1-27/4/2012 rental charges|LN6 3DG
Department for Transport|Department for Transport|13/04/2012|Machinery Rental|Business Transformation|DANWOOD GROUP LTD|2000000917|568.14|28/04 to 27/072012 Rental HR Laserjet HP CM6030|LN6 3DG
Department for Transport|Department for Transport|13/04/2012|IT Services  Running Costs|Business Transformation|MOUCHEL MANAGEMENT CONSULTING LTD|2000000919|3369.34|Transnet A-Z template - Upgrade to 30.03.2012|OL1 9LH
Department for Transport|Department for Transport|13/04/2012|Small Software|Business Transformation|THE PRESS ASSOCIATION LTD|2000000925|850.21|PA Mediapoint Service Apr for MAY|SW1V 1A
Department for Transport|Department for Transport|13/04/2012|Publications for Resale|Business Transformation|CREATIVE CHOICE CIC|2000000928|2524.08|20 acrylic panels for GMH reception.|SW1H 0DJ
Department for Transport|Department for Transport|13/04/2012|Building Service Charges|Business Transformation|AMEY COMMUNITY LTD|2000000929|37373.66|Dec 2011 Amey fixed costs 55VS Cleaning|OX4 4DQ
Department for Transport|Department for Transport|16/04/2012|Telephone charges|Business Transformation|BT CONFERENCING|2000000966|1435.15|BT 28 Conferences|NW9 6LB
Department for Transport|Department for Transport|17/04/2012|Agency Staff Costs|Business Transformation|BADENOCH & CLARK|2000001045|991.44|IH W/E 6/4/12|W1T 5AE
Department for Transport|Department for Transport|17/04/2012|Storage & Distribution|Business Transformation|CAMBERTOWN LIMITED|2000001077|12321.66|Cambertown S & F March 2012|S63 9BL
Department for Transport|Department for Transport|17/04/2012|Financial Consultancy|Business Transformation|PRGX UK LIMITED|2000001082|544||LU1 3LU
Department for Transport|Department for Transport|17/04/2012|Financial Consultancy|Business Transformation|PRGX UK LIMITED|2000001082|2040|Late data charges SSC & HS2|LU1 3LU
Department for Transport|Department for Transport|17/04/2012|Financial Consultancy|Business Transformation|PRGX UK LIMITED|2000001082|544|PRGX Feb 12 Data refresh DVLA & DOR fee|LU1 3LU
Department for Transport|Department for Transport|17/04/2012|Financial Consultancy|Business Transformation|PRGX UK LIMITED|2000001082|2040|PRGX late fees for Highways Agency data|LU1 3LU
Department for Transport|Department for Transport|17/04/2012|Financial Consultancy|Business Transformation|PRGX UK LIMITED|2000001082|10027.91|Spend Recovery March 2012|LU1 3LU
Department for Transport|Department for Transport|17/04/2012|Building Service Charges|Business Transformation|AMEY COMMUNITY LTD|2000001084|13225.99|fixed 55VS Mar 2012|OX4 4DQ
Department for Transport|Department for Transport|17/04/2012|Building Service Charges|Business Transformation|AMEY COMMUNITY LTD|2000001084|1800|fixed 55VS Mar 2012|OX4 4DQ
Department for Transport|Department for Transport|17/04/2012|Building Service Charges|Business Transformation|AMEY COMMUNITY LTD|2000001084|256090.66|fixed GMH Mar 2012|OX4 4DQ
Department for Transport|Department for Transport|18/04/2012|Small Software|Business Transformation|INSIGHT DIRECT (UK) LTD|2000001190|123752.25|Upgrade to  Windows 2008 RDS Licenses|UB8 1PH
Department for Transport|Department for Transport|18/04/2012|Computer equipment|Business Transformation|DELL CORPORATION LTD|2000001198|2145.42||RG12 1LF
Department for Transport|Department for Transport|18/04/2012|Telephone Line Rental|Business Transformation|DAISY COMMUNICATIONS LIMITED|2000001210|542.93|Charges March 2012|BB9 5SR
Department for Transport|Department for Transport|18/04/2012|IT Services  Running Costs|Business Transformation|CENTERPRISE INTERNATIONAL LIMITED|2000001248|1599.05|March 12 DfT Corporate Website Hosting|RG24 8GQ
Department for Transport|Department for Transport|19/04/2012|Telephone Line Rental|Business Transformation|CABLE & WIRELESS|2000001293|2310.36|C&W - Rental - March 2012|MK3 5JP
Department for Transport|Department for Transport|19/04/2012|Electricity|Business Transformation|EDF ENERGY|2000001295|2221.85|EDF - March 2012|EX1 3UT
Department for Transport|Department for Transport|19/04/2012|Electricity|Business Transformation|EDF ENERGY|2000001295|48688.49|EDF - March 2012|EX1 3UT
Department for Transport|Department for Transport|19/04/2012|Electricity|Business Transformation|EDF ENERGY|2000001295|1965.12|EDF - March 2012|EX1 3UT
Department for Transport|Department for Transport|20/04/2012|Rates|Business Transformation|WESTMINSTER CITY COUNCIL|2000001372|4421500|Rates 2012-13 @ Great Minster Hse - 400971768|SW1E 6QP
Department for Transport|Department for Transport|20/04/2012|Telephone charges|Business Transformation|COMMUNITIES AND LOCAL GOVERNMENT|2000001398|17166.71|Dec - Mar 12 HS2 Running Telephone Costs -Eland Hs|SW1E 5DU
Department for Transport|Department for Transport|20/04/2012|Rent - L&B (non-PFI)|Business Transformation|HOME OFFICE|2000001399|181250|Accommodation Charges @ 2MS - Jan-Mar 2012|NP20 9BB
Department for Transport|Department for Transport|23/04/2012|Small Software|Business Transformation|INSIGHT DIRECT (UK) LTD|2000001472|78442.16|PRRO 04/47/50 ORACLE SUPPORT|UB8 1PH
Department for Transport|Department for Transport|23/04/2012|Telephone charges|Business Transformation|VERIZON BUSINESS|2000001481|5440.13|VERIZON - INTERNET CHARGE TO 01.04.2012|RG2 6DA
Department for Transport|Department for Transport|23/04/2012|Telephone charges|Business Transformation|VERIZON BUSINESS|2000001481|7969.75|VERIZON - INTERNET CHARGE TO 02.04.2012|RG2 6DA
Department for Transport|Department for Transport|23/04/2012|Other Comms Charges|Business Transformation|COMPUTACENTER|2000001482|5559.98|Moves Support Staff - March 2012|AL10 9TW
Department for Transport|Department for Transport|24/04/2012|Machinery Rental|Business Transformation|DANWOOD GROUP LTD|2000001559|880.3|Usage January 12 to April 12 Colour|LN6 3DG
Department for Transport|Department for Transport|24/04/2012|Rent - L&B (non-PFI)|Business Transformation|GVA GRIMLEY|2000001562|66308.84|RENT AND SERVICE CHARGES 28.5.12 TO 27.8.12|B1 2JB
Department for Transport|Department for Transport|24/04/2012|Agency Staff Costs|Business Transformation|MORGAN HUNT UK LTD|2000001565|3083.46|Agency Staff W/E 11/03/12 N J|WC2B 5QR
Department for Transport|Department for Transport|24/04/2012|Agency Staff Costs|Business Transformation|MORGAN HUNT UK LTD|2000001565|1045.38|Agency Staff W/E 18/03/12 C W|WC2B 5QR
Department for Transport|Department for Transport|24/04/2012|Agency Staff Costs|Business Transformation|MORGAN HUNT UK LTD|2000001565|1476.24|Agency W/E 11/3/12 M P|WC2B 5QR
Department for Transport|Department for Transport|24/04/2012|Agency Staff Costs|Business Transformation|MORGAN HUNT UK LTD|2000001565|1476.24|Agency W/E 25/3/12  M P|WC2B 5QR
Department for Transport|Department for Transport|24/04/2012|Agency Staff Costs|Business Transformation|MORGAN HUNT UK LTD|2000001565|1476.24|M P Agency W/E 18/03/12|WC2B 5QR
Department for Transport|Department for Transport|24/04/2012|Agency Staff Costs|Business Transformation|MORGAN HUNT UK LTD|2000001565|3083.46|N J Agency W/E 25/03/12|WC2B 5QR
Department for Transport|Department for Transport|24/04/2012|Agency Staff Costs|Business Transformation|MORGAN HUNT UK LTD|2000001565|3083.46|WE 18.03.2012|WC2B 5QR
Department for Transport|Department for Transport|25/04/2012|Telephone Line Rental|Business Transformation|CABLE & WIRELESS|2000001624|19555.2|C&W - SAN Link A/C UK13009716 - March 12|MK3 5JP
Department for Transport|Department for Transport|25/04/2012|Computer equipment|Business Transformation|SPECIALIST COMPUTER CENTRES PLC|2000001640|2236.38|USB Keyboards/ laptop cases/ Shipping|B11 2LE
Department for Transport|Department for Transport|27/04/2012|Telephone charges|Business Transformation|SIEMENS ENTERPRISE COMMUNICATIONS L|2000001878|5536.8|Siemens - charge 5th,19th,26th February 2012|MK15 ODJ
Department for Transport|Department for Transport|30/04/2012|Printing|Business Transformation|PARK COMMUNICATIONS LIMITED|2000001975|8865|HSR Doc007Consultation response Analysis|E6 6LA
Department for Transport|Department for Transport|30/04/2012|IT Services  Running Costs|Business Transformation|SPECIALIST COMPUTER CENTRES PLC|2000001977|3678|DfT Corporate Website App Support 2|B11 2LE
Department for Transport|Department for Transport|30/04/2012|IT Services  Running Costs|Business Transformation|CENTERPRISE INTERNATIONAL LIMITED|2000001979|4182.56|Hosting Service - April 12|RG24 8GQ
Department for Transport|Department for Transport|03/04/2012|Travel Expenses Overseas|Centrally held prog|CAPITA BUSINESS TRAVEL|2000000165|15065.85|CAPITA - INE - JAN 11|DE21 6BF
Department for Transport|Department for Transport|12/04/2012|Travel Expenses Overseas|Centrally held prog|CAPITA BUSINESS TRAVEL|2000000609|26994.49|Capita INE March 2012|DE21 6BF
Department for Transport|Department for Transport|04/04/2012|Travel Expenses UK|Centrally held prog|CARLSON WAGONLIT TRAVEL|2000000276|5047.39|CWT - ISE - March 2012|EN6 5RF
Department for Transport|Department for Transport|12/04/2012|Travel Expenses UK|Centrally held prog|CARLSON WAGONLIT TRAVEL|2000000612|2491.24|CWT ISE April 2012|EN6 5RF
Department for Transport|Department for Transport|03/04/2012|Mobile Phone charges|Centrally held prog|VODAFONE LTD|2000000163|12610.73|Vodafone 474 mobiles March 2012|RG14 5FF
Department for Transport|Department for Transport|17/04/2012|Purchasing Card Charges|Centrally held prog|BARCLAYS BANK PLC|2000001046|33107.71|Barclays ISE 05 April 2012|TS17 6YG
Department for Transport|Department for Transport|17/04/2012|Purchasing Card Charges|Centrally held prog|BARCLAYS BANK PLC|2000001046|1455.17|Barclays ISE 05 April 2012|TS17 6YG
Department for Transport|Department for Transport|02/04/2012|Agency Staff Costs|Commercial & Technical Services|PRICEWATERHOUSECOOPERS LLP|2000000011|10812.8|February 12 - JS|E14 9SQ
Department for Transport|Department for Transport|04/04/2012|Research|Commercial & Technical Services|TRANSPORT RESEARCH LABORATORY|2000000270|34000|Railway Capacity Trade Off's - Phase II|RG40 3GA
Department for Transport|Department for Transport|05/04/2012|Management Consultancy|Commercial & Technical Services|FIRST ECONOMICS LIMITED|2000000348|2000|Jan 12, |E14 8RL
Department for Transport|Department for Transport|05/04/2012|Management Consultancy|Commercial & Technical Services|FIRST ECONOMICS LIMITED|2000000348|6000|March 12, |E14 8RL
Department for Transport|Department for Transport|10/04/2012|Legal Consultancy|Commercial & Technical Services|EVERSHEDS LLP|2000000423|1925.4||LS11 5DR
Department for Transport|Department for Transport|11/04/2012|Agency Staff Costs|Commercial & Technical Services|CAMBRIDGE ECONOMIC POLICY ASSOC LTD|2000000520|6598.8|18 Feb - 17 Mar 12, RH|WC2A 3LJ
Department for Transport|Department for Transport|11/04/2012|Legal Consultancy|Commercial & Technical Services|EVERSHEDS LLP|2000000524|25598.4|15 Feb - 16 Mar 12 Intercity West Coast Franchise|LS11 5DR
Department for Transport|Department for Transport|11/04/2012|Legal Consultancy|Commercial & Technical Services|EVERSHEDS LLP|2000000524|8911.2|15.2 - 16.2 Intercity West Coast Franchise Capped|LS11 5DR
Department for Transport|Department for Transport|11/04/2012|Legal Consultancy|Commercial & Technical Services|EVERSHEDS LLP|2000000524|22524|15.2 - 16.2 Template Agreement Franchise|LS11 5DR
Department for Transport|Department for Transport|13/04/2012|Programme and Project Management Consultancy|Commercial & Technical Services|CMC PARTNERSHIP (UK) LTD|2000000910|33300|March 12, Aspire Europe, RS & AS|SW1V 2AJ
Department for Transport|Department for Transport|13/04/2012|Legal Consultancy|Commercial & Technical Services|EVERSHEDS LLP|2000000918|4421.76|19/12/11 - 12/01/12 -|LS11 5DR
Department for Transport|Department for Transport|17/04/2012|Legal Consultancy|Commercial & Technical Services|EVERSHEDS LLP|2000001055|1855.8| 21/03/12-30/03/12 Eversheds - ICWC|LS11 5DR
